id,user_rating,review_text
1,,"Combined with a score by Jonny Greenwood...breathtaking art direction, and masterful direction, ""Phantom Thread"" presents one of the most disturbing and corrosive love stories in contemporary cinema. [Full review in Spanish]"
2,9/10,"The trio of central actors is impeccable, magnetic, and completely in command of their characters, who complement each other in unexpected ways. [Full review in Spanish]"
3,5/5,"""Phantom Thread"" is a exquisite film of elevated aesthetics that drape over a scintillating story of tumultuous potential discord."
4,4.5/5,"A beautifully crafted, incredibly intentional film that doesn’t waste a single frame. The performances from Krieps and Day-Lewis will make you feel like you are watching a ceremonious dance performed by two highly seasoned veterans of the arts."
5,,"Paul Thomas Anderson knows how to surprise his audience, even his most devoted fans, and Phantom Thread continues that trajectory."
6,,"A simple thing, a robe, and yet it captures so much of what it feels like to have passed so close to disaster..."
7,5/5,“Phantom Thread” reveals a dialed-back Paul Thomas Anderson in top form. His writing is spellbinding. His direction is daring and confident. The look of the film is as beautiful as rare Flemish lace.
8,4/4,Phantom Thread has more feeling and emotional range in its restrained drama than some of his other works - this is certainly the most raw emotion he's produced since Punch Drunk Love (2002).
9,,"Phantom Thread is a low-key PTA classic. Seen it already? Well, watch it again."
10,2/5,"A love story for narcissists, deceptively tender to the touch, an exquisite cashmere cardigan concealing its cold, cold heart."
11,,"Not everyone will see what we uncover in the same way, not every meaning becomes clear, but the result is gorgeous, provocative, and mesmerizing."
12,,Daniel Day-Lewis was phenomenal as always...
13,,"Anderson's masterful craftsmanship makes clear that is where the passion is found, making the climactic moment of this film one of the strangest yet most romantic moments in a year of strange romances."
14,,"Critics and audiences have responded to Anderson's latest film in part because of what it is not: children's fare, violent bombast, superhero and comic book nonsense. Phantom Thread stands out to that degree."
15,,An exquisite weave of gothic romance and haute couture comedy.
16,6/10,"In Anderson's world, love is psychotic and sickening and irrational - and it must be fought for."
17,,"Taking in Phantom Thread is like sitting down at a bar, asking the bartender for something strong, and finishing whatever is put in front of you. You are guaranteed to love it, but have no idea initially what it is."
18,5/5,"If this is Daniel Day-Lewis' last movie, then he retires with a masterpiece bookending his illustrious career."
19,,It's one of those films that doesn't answer every question that audience members have upon first glance. But it'll probably have us studying and analyzing it for years to come because it is spectacular.
20,4.0/4.0,I kind of get the feeling that Paul Thomas Anderson doesn't completely buy into the whole idea that love is patient and love is kind and all that jazz.
21,2.5/4,"""Phantom Thread"" is a film to admire for its dazzling visuals and power performances, but frustrating to consume as an audience experience due to its shaky script. Beware of Best Picture nominees that lack screenplay nominations."
22,5/5,"A sumptuously crafted masterpiece of icy opulence, elegance and a rigid yet bold humour."
23,4/5,"There's a tactility to it all. But there's also a humor that underscores the grandiosity that Anderson so clearly loves, and in that way, Phantom Thread works best as a comedy."
24,,The Phantom Thread in an intricate study of human behavior and development of interpersonal relationships. [Full review in Spanish]
25,B,"At times self-important and in love with it's own inflated brilliance, it can be stodgy and smug and distant. Other times, it's lovely and sweet and inviting."
26,,"It has great acting, great cinematography, great directing, great editing, great costumes, a great score, and (if you keep an open mind) a great story."
27,7/10,"Visual beauty, sublime music and exquisite performances unfold, especially that of Daniel Day-Lewis, who is collaborating with Anderson for the second time. [Full review in Spanish]"
28,,"Phantom Thread is a triumphant valedictory send off for Daniel Day-Lewis, a tragicomic love letter to the agonies and ecstasies of the artist and those unlucky enough to fall in love with one."
29,,"In many ways, it's a perfect work of art -- not unlike Reynolds' dresses -- because it's not attempting to appeal to the masses. It's about the filmmaker putting onto the screen the exact vision he has in his mind."
30,10/10,"If indeed this is Day-Lewis' swan song, Phantom Thread is the crowning achievement of a monumental career."
31,5/5,"a film that when properly enthused, the viewer should find goes by quickly and gives sumptuous images for the eyes to feast on while the mind studies the flawed characters offered by the script and brought to life by a highly talented cast."
32,3/5,Doesn't really earn its push into psychodramatic territory at the midpoint.
33,,Phantom Thread is simply decadent. Delicious in every way.
34,,"Anderson has trouble coaxing this struggle to any sort of emotional climax; its fanciful, symbolic ending is the sort critics will praise for its careful ambiguity even as they overlook its narrative desperation."
35,,"Like Spielberg or Tarantino, Anderson intuitively understands the language of film. He's made a movie that's not only beautiful, but tactile."
36,,"What Phantom Thread is, in the end, is a strange combination of romantic thriller and masterful character study of creatives, obsessives, and the worlds they build."
37,,Perhaps Phantom Thread is best understood as the director coming to grips with his own genius brain.
38,,Infectiously interested in the gratuitous and quirky beauty of the world.
39,4.5/5,"What caught me most off guard is that Phantom Thread, more than any other of [Paul Thomas] Anderson's other movies, is incredibly funny."
40,,"An elegant, fascinating and twisted film that keeps you trapped at all times with its unique romance. [Full Review in Spanish]"
41,,An almost dreamlike tone that increases the feeling of being inside a beautiful story of dark borders. [Full Review in Spanish]
42,9.5/10,"...a testament both to the brilliant performances at its core, from Day-Lewis in his final bow and Krieps in a breakout role, and to Anderson's continued growth as one of our greatest filmmakers."
43,4.5/5,Daniel Day-Lewis delivers a performance worthy of bidding goodbye to his film career.
44,,Just an old-fashioned love song.
45,5/5,"It's Workaholism: The Movie. With Phantom Thread, Anderson has made, unequivocally, the best film about workaholism of all time."
46,,"So instead of asking, ""Is Phantom Thread good?"" (of course it's good, you fool), the question is, ""Is the film a fitting exit for one of the greatest actors of our time?"""
47,4/4,An enthralling and deeply pleasurable treatise on sexual politics that is both richly thematic and beautifully realized.
48,,"It manages to be one of the funniest films I've seen all year, not in spite of but because of the way it remains unwilling to soften the edges or the nastiness of any of its charactrers."
49,5/5,"Phantom Thread is an engrossing and enjoyable drama, a visually beautiful blend of taut drama and seductive romance heightened by the performances of a stellar cast."
50,,"Tailoring shears would've come in handy to snip, snip the pregnant pauses."
