id,rating,review_text
1,4.5,"Seen this style of film before but definitely one of the best, Love the ending."
2,4.5,This movie messed up my brain in the most perfect way it could
3,5,"One of the most unique cinematic viewing experiences I've ever had. The film's unorthodox narrative structure jumps around time periods in the main character's life. The black and white scenes are shown chronologically, while the color scenes are shown in reverse. It's an amazing premise of a detective who can't make new memories having to find creative ways with photographs to maintain short-term memories he cannot sustain in order to gather clues and evidence about the disappearance of his wife. It immediately hooks you into the story and makes you wonder how he's going to solve this case in a very unpredictable movie. The acting is terrific. The movie has great cinematography. The movie really makes you wonder whether it's Teddy or Natalie who's manipulating Leonard's memory. Your opinions of the characters are constantly changing and it's constantly keeping you guessing. It's a fantastic movie with a very creative ways at presenting the story and unfolding the mystery."
4,5,This is the most unique and creative movie I've ever seen! This is the reason why I love movies so much. Christopher Nolan is a genius!
5,5,"I’ve seen this movie three times and still catch something I missed the previous viewing. Unique plot, unpredictable twists, just awesome."
6,5,Loved from the first time I watched 20-years ago - cult classic!
7,5,"What an absolutely fantastic movie, brilliantly acted and the plot is great and the back to front scenes work brilliantly to keep you guessing as to what actually has gone on. Id never heard of it before and only came across it by chance on a streaming app and checked Rotten Tomatoes to see the reviews which is why I gave it a try and very happy that I did. Just great all the way through and no let downs, a must watch if you like a good thriller."
8,5,What an amazingly original movie! I have never seen anything like it! I loved the format of the movie going from the present all the way into the past by scene. The sense of anticipation and wondering what the truth really is. But what really is the truth when the main protagonist doesn't know what's the truth? The dialogue and acting was also amazing. This is a landmark movie.
9,5,definitely one of my fav. movie. amazing cast and great suspense i would definitely recommend it and absolute cinema
10,5,This is the best movie I have ever watched in my entire life and I have seen a whole lot of movies. I was searching for a psychological mind bender and that is exactly what I found. Everything about this movie is made extremely well. It's interesting keeps you thinking and isn't one of those extremely predictable movies. I'm definitely going to watch this again even though it was something I came across when I was desperate for a movie. This is genuinely my new favorite movie. I fully recommend these masterpiece of cinematography.
11,5,Phenomenal. Enough said.
12,5,"Beautiful movie. A hands down 10/10 movie, such good storytelling and the reveal was just executed perfectly 👌"
13,5,My favorite Nolan film. We need a part 2.
14,2,Very disjointed and confusing. Strange enigmatic conclusion
15,4.5,"Not necessarily the easiest to follow (obviously), but an interesting story, and an enjoyable watch"
16,5,"Take a picture, write it down, tattoo it to your body, ""Go see the movie Memento"". It has been a while since I have been moved into mental delirium and intellectual fatigue by a motion picture as I was with Memento. Leonard Shelby, played by chillingly by Guy Pearce (LA Confidential), is a man who suffers from a mental condition that does not allow him to make new memories. He has no short-term memory. The last thing he remembers is seeing his wife raped and murdered. Now armed with a Polaroid camera and a pen he searches for revenge. Directed by Christopher Nolan, who also co-wrote the screenplay with this brother, whose short story inspired the movie, doesn't just reply on the great plot to tell the story. He tells it backwards. Thus the beauty of Memento. We leave the theater feeling the same type of dazed confusion that Shelby must feel every 10 minutes. This is a film that begs for your intelligence, attention and ironically, and yes, your memory."
17,3.5,"Great non linear story. Gets a bit repetitive watching the same scenes repeat over and over, but Christopher Nolan is no stranger to poking his viewers brains repeatedly, making you scratch your head till it hurts. The acting is great and the mood is very sinister and psychotic. Doesn't have a great climax like other movies but that's the idea since the movie is completely non linear. Overall if you've watched other Nolan movies and liked them or need a starting point for his psych thrillers this is a great place to start... Or end?"
18,2.5,"UUUUUHHHHH, I absolutely hate Christopher Nolan movies, but I'll rate this one I guess... Did I like it? Hell no. Confusing as f**k, and if you know me, I HATE confusing movies. (I guess I wouldn't do very well with Lost Highway then)... Anyway, I don't really feel like watching it again. I know it's really famous though."
19,4.5,A true feat of filmmaking process. How in the world did they storyboard this?
20,4,"What can I say? Christopher Nolan always cooks. Memento is another perfect example of how he plays with time like no one else. The story is told backward through the eyes of Leonard, a man with short-term memory loss, and it fits so well with his condition that it almost feels natural. Every scene pulls you in, making you question what’s real and what’s not until that twist hits and completely flips what you thought you knew. What I really love is how it’s not just about a clever structure. It’s about how people lie to themselves just to keep going, and that hits hard. Guy Pearce absolutely nails it, and the whole film still feels sharp and fresh even after all these years. I’d definitely recommend it one of Nolan’s most creative works."
21,5,"""This is the first time I have watched a movie where the plot is played backwards. It captivizes you, making you want to know who did it and how. The plot twist at the end is something I had already figured out once I put the pieces together."""
22,5,"Uma obra-prima que sempre vale a pena ser revista. Memento é genial em diversos níveis, mas principalmente na forma como Nolan conduz o expectador em um emaranhado de situações que se revelam cada vez mais confusas, revelando a condição dramática do protagonista a lá mito de Sísifo."
