review_id,user_rating,review_text
1,80,To call it the most important movie of the year so far makes it sound possibly rather worthy. That’s not true at all. Get Out is a comment on a highly complex situation that’s also a total blast.
2,100,"Get Out is very creepy, very funny and as pitiless as a surgeon’s scalpel."
3,80,The movie rattles with provocations.
4,80,"It lacks the subtlety of Night of the Living Dead, but deftly balances laughs and bloody thrills."
5,80,"Peele's blistering debut is a timely and powerful satire of modern prejudice as much as it is a taut, gripping exercise in horror cinema."
6,91,"What makes Get Out more than just a slam-bang scarefest is that, in its own darkly satiric way, it is also a movie about racial paranoia that captures the zeitgeist in ways that many more “prestigious” movies don’t."
7,100,Retro horror and racial tension mix to surprisingly entertaining effect in Get Out.
8,92,"Like so much of Key & Peele’s comedy, Get Out is refreshing in its naked, frank aggression about confronting racial issues, with comedy, drama, and sharp, unsparing insight."
9,91,"Peele is so attuned to the tiny ways race sneaks into conversations that we hear it in every line. Our suspicions are so heightened, we start to second-guess our own senses."
10,80,"As a writer and a remarkably accomplished first-time director, Peele layers other notions on top as he's inverting those — about servitude, about social privilege, about law enforcement and ""Guess Who's Coming To Dinner"" - style liberals."
11,80,"A scathing examination of race, a take down of phony liberal sympathies that sticks it to racists of every stripe."
12,88,"It is not only the best horror film since “Under the Skin” (2013), but a subversive and often hilarious commentary on race as well."
13,88,"It's a little of everything: unnerving, funny in just the right way and at the right times, serious about its observations and perspectives on racial animus, straight-up populist when it comes to an increasingly (but not sadistically) violent climax. That's entertainment!"
14,91,"Movies with this serious a message about race are rarely fun to watch, but Peele has a perfect handle on tone, knowing just when to lean toward menacing, eerie or sharply funny and when to tip things in another direction."
15,75,"Get Out reveals an underlying unease. It diffuses tension, even as it points to its source. It may be somewhat rough and unrefined and even ill-considered in some of its particulars. Yet it may stand as a kind of pop culture document of this historical moment, a moment that’s not nearly as funny as this movie."
16,75,Get Out loses its nerve winding down but it's a rare horror flick not wasting all its brains on splatter.
17,80,"Get Out marries racial satire with a terrifying finale, one that tears down blinders that some may have kept conveniently in place. Don’t listen to those who say horror movies are defined by physical scares. Plots based on real-life fears typically make for the most horrifying scenarios."
18,75,"Throughout Get Out, Jordan Peele incisively probes the connection between liberal racism and good old-fashioned white supremacy."
19,88,"Like all great movies, Get Out faithfully obeys the conventions of its genre — in this case horror films shot through with brutal wit and sharp-eyed allegory — while getting at profound psychic and political realities. The shocks and the laughs are thoroughly entertaining, but it’s the truth of Get Out that’s so real."
20,80,"This is surely the nerviest, most confrontational treatment of race in America to emerge from a major studio in years, and it brilliantly fulfills the duty of both its chosen genres — the horror-thriller and the social satire — to meaningfully reflect a culture’s latent fears and anxieties."
21,100,"Get Out is a ludicrous paranoid fantasy, but that doesn’t mean it’s not alive in the unconscious. Having it out there in so delightful a form helps us laugh at it together — and maybe later, when we’ve thought it over, shudder."
22,88,A jolt-a-minute horroshow laced with racial tension and stinging satirical wit.
23,75,As funny and bitingly satirical as one would expect from his Key & Peele sketches.
24,90,Get Out starts with a great title and a promising idea — a black man’s fear as he walks at night down a street in an affluent white suburb. Then it delivers on that promise with explosive brilliance.
