id,tomato_score,review_text
1,positive,"A first love is a precious thing. And despite the inherent irrationality, it can be hard to let go of the golden sheen that covers a fond memory. But that is precisely what Song guides her characters to achieve in her film."
2,positive,"I’m happy to say that it does not disappoint -- it may be a slow-burner with no easy answers, but that’s one of its many strengths."
3,positive,"Past Lives is romantic and daring, and both Greta Lee and Teo Yoo are exceptional."
4,positive,"The build-up to their eventual reunion is long, and while it’s emotionally restrained by design, I found myself wanting deeper insights into their lives along the way... Still, when the final act arrives, it’s quietly powerful."
5,positive,"Song steers clear of cliches and tropes.  If this story was indeed based on a real love story dear to her heart, this is one for the ages and a remarkable watch for those that want to experience romantic nostalgia."
6,positive,"“Past Lives,” an intensely personal look at both the paths we take and the ones we don’t, seeps through the cracks in your armor so subtly, you don’t realize you’re coming apart at the seams until it’s too late."
7,positive,"Moving, beautiful, and painful, one of those films that makes us feel and that stays stuck in our minds and hearts for a while. [Full Review in Spanish]"
8,positive,It’s one of the most emotionally powerful movies of the year.
9,positive,Prepare to be drawn into the deeply moving drama created by Song’s atmospheric world.
10,positive,Celine Song's debut film is a powerful metaphor for the two selves that exist within immigrants.
11,positive,"Celine Song announces herself as a major voice in cinema with Past Lives, her divine and complex reflection on enduring love."
12,positive,It is a heartbreaking film that is so masterfully made and profoundly sincere that you want to stay in its world regardless of the emotional cost.
13,positive,"As the credits roll and we’re given a moment to think about the movie in retrospect, it all just… hits different. And it’s what makes “Past Lives” all the more remarkable as a movie about the bittersweet intensity of love and longing."
14,positive,"Song composes this lyrical, melancholic film with the confidence of a director at the height of their career...[finding] pathos in the potentially mundane creases of a marital bed and a poor internet connection."
15,positive,"Past Lives is a film that leaves you breathless, and your heart aching, but in a good way. There’s something deeply comforting about knowing these feelings are universal."
16,negative,"The characters are empty enough for me to imagine my own heartache in its own stead, but hazy characterisations and intriguing concepts aren’t enough to sustain a movie."
17,positive,"The concept of In-Yun promises that after 8,000 years of connecting, they can marry and be together. Nora and Hae Sun are one life closer."
18,positive,"Told with remarkable economy, and perfect performances..."
19,negative,"Hae Sung in ""Past Lives"" barely even exists beyond his nostalgic fixation on Nora, and Nora herself is only slightly more well-defined as a character because she has two relationships and the other characters only one."
20,positive,"The writing was like poetry, I would highly recommend"
21,positive,"There’s so much to dig into and relate to, regardless of your background. Past Lives is quietly devastating."
22,positive,"Celine Song’s Past Lives calls out to tired souls. It’s a beautifully made anti-fairytale movie, where the prince and the princess meet at the wrong place and time..."
23,positive,"To say too much about what happens in each episode would be to spoil the joy of encountering Song’s finely worked screenplay, which lets its characters' emotions glitter in the light."
24,positive,"In this extraordinary Academy Award-nominated film “Past Lives,” the Korean concept of inyeon is used to lead viewers into believing that Nora and Hae-sung are destined to be together – if not in this lifetime, then in the future."
25,negative,"The film is more literature than cinema, elevated mumblecore for graduate writing seminars, the opposite of, for instance, Hong Sangsoo, who makes low-budget films about writers and filmmakers without worrying about prizes..."
26,positive,"Never risking discomfort, Song flattens a real-life anecdote of any truly messy feelings, resulting in a tone poem quasi-romance that’s actually serene to a fault. It’s a good movie too chronically polite to achieve anything like greatness."
27,positive,Lee concentrates and expresses Nora's state of mind through a marvelous performance in which two feelings that initially seem impossible to transmit simultaneously come together... [Full review in Spanish]
28,positive,Past Lives is a treasure and will continue to be for many years.
29,negative,"It is a film that is more pretty than profound, it is a film that seeks to present a demonstration based upon speculation: what would have happened if the kids did not separate? [Full review in Spanish]"
30,positive,The acting was stellar and it's basically about three people but the story is so deep and layered. It's almost a perfect film with saying so much by saying so little.
31,positive,I loved this movie. It is a challenging film that makes you reflect on your own personal experiences and that's a testament to how impactful the storytelling and acting is.
32,positive,"Past Lives is truly a modern romance, rich with bittersweet understanding of what it means to live in the present."
33,positive,A peaceful and deeply moving work. [Full review in Spanish]
34,positive,Vibrates at a very specific emotional pitch that pierced my heart all the way to its core.
35,positive,"This movie is beautifully layered...It's [the film] is so relatable to your life, no matter who you are in terms of partners and past loves...it sticks with you long after you see it. It's definitely worthy of its Best Picture nomination."
36,positive,"The questions the film raises are simply too fascinating to ignore. Its protagonists do not want to change their present, and yet, deep inside and in an increasingly less subtle way, they cannot stop asking themselves: what if…? Full review in Spanish."
37,positive,"There’s no melodrama... Instead, we watch three incredibly lived-in performances guide these characters through a thoughtful, soft-spoken script."
38,positive,"Simple and moving, [Past Lives] is a very interesting debut feature... [Full review in Spanish]"
39,positive,"Past Lives tells a story and manages to transcend temporal and physical conventions, conveying the unique magic of a deep connection that defies the restrictions of conventional logic. [Full review in Spanish]"
40,positive,Celice Song reflects upon an avalanche of romantic emotions without ever falling into kitsch. [Full review in Spanish]
41,negative,"This is not a bad film, but it is an intensely and conspicuously middle class film."
42,positive,"A nostalgic tribute to those love stories that were left in the pipeline, and with more doubts than answers. [Full review in Spanish]"
43,positive,"[Past Lives] asks if a more meaningful and beautiful life might be made by accepting our finitude, keeping commitments, and paring down possibilities."
