id,user_rating,review_text
1,3/5,Director David Mackenzie's new film is inspired in ambition but lax in execution.  Its edge is the inability to decide whether to bark or bite.
2,A,"Mackenzie is a forced to be reckoned with and I, for one, cannot wait to see where his career goes after seeing this film."
3,,Almost a perfect movie that delivers fantastic performances
4,,"We live in a grey world, which is likely to become cloudier. We want to see good people succeed, “come hell or high water.”"
5,3.5/4,"A savory mix of a compelling narrative, several complex characters, and a handful of morally ambiguous situations."
6,4/5,"There is a pretty significant plot-hole in the final act that I can’t quite shake, but otherwise “Hell or High Water” sticks its landing."
7,3/4,"Mackenzie describes his film's characters with richness and depth, and each is afforded gradations by both the screenplay and performances."
8,3.5/5,"Robbing banks was very 1800s; robbing by banks was very 2010s. Robbing robber banks in ""Hell or Highwater"" makes it a post-Occupy Neo-Western. Pine, Foster, and Bridges kill it. Apropos again in 2022, with rumors of account-freezing by banks circulating."
9,5/5,Taylor Sheridan (Yellowstone) wrote the perfect flick for Western-loving grownups.
10,,"It's a neat inversion of the traditional Old West tale of robbers hitting up banks: In this one, the banks are the robbers."
11,,Hell or High Water offers a commentary on how harmful our profit-driven economy can be and to what lengths people will go to make sure their families have a secure financial future.
12,,"It can work well in a film like True Grit, but here, in the absence of great material, it can seem like a surface-level attempt to get something out of a very one-note character."
13,5/10,"The lead duo are hugely unsympathetic, while their motives are slight and unfulfilling - making their high-stakes endeavors far less than suspenseful."
14,4.0/4.0,"Unquestionably one of the best films of 2016, Hell or High Water benefits greatly from an ensemble cast that acts like an ensemble cast."
15,8/10,Being a movie about police chasing thieves it has a disturbing tension that has hooked me from start to finish. [Full review in Spanish]
16,,It's a really good movie.
17,,I almost loved this movie.
18,,"We need a palate cleanser to get us ready for Oscar season. Hell or High Water is just the thing. Filled with indelible characters, sneaky humor, and mournful intelligence, it's a film that deserves to be seen."
19,3/5,"Hell or High Water is appropriately elegiac for its subject matter, but Sheridan's script still offers many wry and humorous moments."
20,A,A great example of what happens when all the components of a film come together in cooperative fashion.
21,5/5,"I'm not sure Jeff Bridges makes a bad film anymore, but if he does, he is usually the bright spot. True to form, he plays his character well."
22,4.5/5,Unexpectedly pulsing with a deep social conscience.
23,,"The great achievement here is its decadent atmosphere about its anti-corporative attitude, a depressing situation that can be the push that the neo-Western needs to return the genre to its true glory. [Full Review in Spanish]"
24,,David Mackenzie carves nuance out of the wide-open spaces and fills the screen with silence in a portrait of an America knockin' on heaven's door.
25,8.5/10,"Unlike earlier entries in the genre, the movie blurs the line between good and bad and right and wrong. While it's completely entertaining, it's that added layer that makes Hell or High Water completely satisfying."
26,,"Director David Mitchell and screenwriter Taylor Sheridan give Hell or High Water a poignant touch by setting the action in West Texas; here, the West isn't disappearing, it's gone."
27,5/5,"Hell or High Water epitomises the economic struggle of people clinging to old ways of life in a world moving further into modernity every minute, for better or worse."
28,A,[Director David Mackenzie] does a tremendous job capturing a sense of place and tone.
29,4/5,"Direction, camera, sound, and performance coalesce as HOHW achieves the tricky balancing act of taking on many incongruous moods and making them complement one another perfectly."
30,4/5,"The joy of the movie is in the shots of the wide, harsh landscapes and the empty towns, its way with words, the great acting all round from fine actors."
31,4/5,A detailed and careful observation of the damage caused by the 2008 recession in some Texas towns. [Full Review in Spanish]
32,,"A good, old-fashioned Texas potboiler with a magnificent cast that builds to an explosive finale. It's one of 2016's best films."
33,4.5/5,...a Texas film if ever there was one.
34,4/5,"Hell or High Water only falters when its sermons about the evil banks, and the demise of blue-collar Texas become too heavy-handed."
35,3.5/5,Hell or High Water is interested in so much more than whether or not the last man standing is the righteous one.
36,8/10,"Saddle up that pony, pardner, and let's hit the multiplex. Hell or High Water is the modern western we've been waiting for."
37,,Hell or High Water may be the first truly great film about the fallout from the 2008 financial crisis.
38,,"From a distance, it's an unassuming work, but as with any great art, the more you look at it, the more you'll find to love about it."
39,,"Hell or High Water is a modern crime tale, as mythic as any classic Western, filled with complex heroes, dangerous bank robberies, and breathtaking scenery."
40,,"Prepare to be pleasantly surprised. This film is complex and emotional, and rather than a stock crime caper flick."
41,4/5,Part of the pleasure to be had from Hell or High Water is watching all concerned turn such assumptions on their heads.
42,4/5,"""Hell or High Water"" is dynamic, well-paced, and builds momentum up until the final showdown where it then turns the intensity all the way up."
43,4/4,"It creates a story with characters that might not be all good or all bad, much in the way real life exists, but we care about them all."
44,,"The complicated camaraderie and the love between the troubled brothers along with the action-thriller elements, has made this my favorite film of the year so far."
45,,"Right up to its unsatisfying, to-be-continued ending, the film's lugubrious quality marks it as an example of grievance cinema, art-directed for a new era of violent self-pity, economic decline, and racial appropriation."
46,A-,"With a smart and refined script by Taylor Sheridan that is both tense and sarcastic, and a cast of fully fleshed out characters that demand investment, the contemporary Western is an exceedingly enjoyable surprise."
47,,"This is one of the best crime movies in recent years, unfolding in a contemporary  reality that seems disconnected from America, yet is of its essence."
48,,"The highlight of this film is that each character is revealed through their relationships with others, so that emotions are nourished by looks, pauses and introspections... [Full review in Spanish]"
49,,"In the real world, the notion of carrying out an ambitious criminal plan heroically does not exist, nor does it completely defeat the system. [Full review in Spanish]"
50,,Hell or High Water: A Different Kind of Heist Thriller
