id,rating,review_text
1,5,"Watch September 5, Argo, then Zero Dark 30. All incredible movies."
2,4.5,"Ben Affleck clearly found his strength behind the camera. His direction is confident and controlled, building tension with precision. As an actor, however, his performance is far less compelling."
3,5,awesome movie based on real life of hard facts shaw and Iran
4,4,Solid historical movie. Entertaining.
5,4,I really enjoyed this movie...the acting was great all the way through
6,5,"I loved this movie. But one thing, the beginning details about what America had done to that country made me not want to root for the captives. It makes sense if it's the real story but I wasn't rooting for America the way that I wanted to. I guess the point was that country politics are complicated. Well done."
7,4.5,"Um ótimo filme que peca, apenas, por algumas inconsistências históricas. (avaliação: 8.5/10)"
8,4,"Great great film, but Affleck being cast as a latin american man is a huge missed opportunity. Unfortunately not surprised the film earned industry acclaim regardless"
9,4,USA overthrows foreign governments with coups funded by CIA and later cries about how Americans have suffered because of this. Good thriller tho.
10,3.5,"Very good film. However, I personally found it difficult to care about the American hostages. The 20 th century history of Iran and the manipulation of its government by the US is sickening. Otherwise this is a very well made film. Affleck is good in his role and directed it well enough to allow the fine cast to get the job done without the need for a heavy hand."
11,4,the 70s vibe was so hard. Loved the intensity of the whole film.
12,5,Un thriller dalla potenza incalcolabile. il film non risparmia un secondo e ogni momento è pieno di tensione da pelle d'oca. I personaggi sono costruiti perfettamente e ad alcuni (soprattutto quello di Alan Akins) ti ci affezioni facilmente. Un film letteralmente imperdibile.
13,5,"True story about the rescue of six of the American diplomats trapped in Iran in 1979. I absolutely loved it, although in true Hollywood fashion the film's climax just might give you a heart attack! Canada used to be a close friend; it's good to have a few of those believe me."
14,5,Wow I am stressed. The entire movie was tension. Incredible story and acting!
15,4.5,"This is a MUST see movie! Suspence, drama, historical. REALLY good!"
16,5,2 hours based on a true story. Academy Award winner in 2013 for Best Picture.
17,3.5,"Argo is great. Great acting, cinematography, and best of all, a great story takes Argo into the realm of one of the best films to come along in some time. Affleck proves once again of his talent as a director. I'd definitely recommend seeing this, you won't be disappointed."
18,5,"Anyone who suggests Canada should become our 51st state is a moron. If that had been the case during the hostage crisis, the 6 Americans portrayed in Argo would have been executed as spies, along with Tony Mendez, the Canadian ambassador and his wife. Every American shouoldl see this movie to appreciate how fortunate we are to have Canada as a neighbor. Argo captures the true horror faced by these brave people."
19,5,"Tenso, comovente, revigorante. Um suspense vívido que recria a história real dos reféns que escaparam dos conflitos no Irã à maneira mais cinematográfica e inacreditável que se podia imaginar. Valeu a pena torcer por Tony Mendez (Ben Affleck) na pele do herói sem capa da CIA."
20,5,"One of the best movies of all times! Ben Affleck is probably a bad husband, but a Genius director! The historical fact is interesting, the screenplay is great! Rythm, suspence, emotions: I wish he could do a new movie of the same level"
21,5,"Brilliant. Amazing. Fantastic. 10 out of 10. Me of the greatest movies ever made. The drama is intense and the character development and storytelling is brilliant. Great cast, great story, great writing, great direction. Absolutely flawless. Easily Ben Afflecks best performance as both an actor and director. Sensational movie."
