id,user_rating,review_text
1,,"It’s a film with an universal and timeless story, good versus evil. It’s an straightforward film with a clearly defined hero and villain. To say that they don’t make films quite like High Noon, is an understatement."
2,5/5,High Noon is not only one of the best Western films of all time but changed the way people viewed the Western genre.
3,,"Without question, this is one of the three best westerns since Stagecoach (the other two being The Westerner and My Darling Clementine). But my admiration for it is not without qualification."
4,,Fred Zinnemann’s film generates suspense — and stark social commentary...
5,3.5/4,Not since My Darling Clementine have we seen a more exciting gun battle on the screen than that in High Noon.
6,,"Add a string of plausible characterizations and an excellent performance by Gary Cooper as a former town marshal, and High Noon moves up into the class of absorbing drama."
7,,Director Fred Zinnemann's expert hand has made High Noon one of the best film western of all time.
8,,"This gives us some time-tested staples: Gary Cooper, a pioneer Western town, lawlessness, gun-shootin' and a haunting theme song you've probably heard already. To these add a movie rarity -- a mature point of view."
9,,"High Noon is just what a Western should be -- a page out of American folklore, a close-to-the-soil delineation of human characters, played against a true-to-life background."
10,,"Its insights are primer sociology, and the demonstration of the town's cowardice is Q.E.D. It's a tight piece of work, though -- well directed by Fred Zinnemann."
11,,"High Noon tries for art, but it succeeds only in being overly arty."
12,,It's Cooper's show all the way and to him goes the credit for that different and wonderful Western you've hoped for.
13,,"Here's a western story with the hero being human, and not a far-fetched hero, afraid of nothing. You worry about Cooper in this film. You don't worry about the average western hero. The human quality in this makes it different."
14,,"This is a film of integrity and purpose, a revelation of human character and a masterpiece of the story telling art."
15,,Cooper performs magnificently and the rest of the cast also are very good in what are essentially routine roles.
16,,High Noon achieves a shattering tension. It is a remorselessly deliberate pace at which Zinnemann follows his story's hero along the desperately lonely trail of courage against ever-mounting odds.
17,,"What it comes down to is that the makers of High Noon, in an attempt to inject new content into the standard Western formula, have raised vexing moral issues that they have no intention of treating in a responsible way."
18,,"Mr. Kramer has produced an exciting western, but he has ended it on a sour and dubious note."
19,,"This Stanley Kramer production is a taut and absorbing western melodrama, distinguished by fine directions and performances, particularly that of Gary Cooper in the leading role."
20,,"A tense and exciting evening's entertainment for adults. As a parable of humanity's moral cowardice, however, the film rings false."
21,,"Would that we had a few more pictures like High Noon, and would that we had a few more producers with the courage, imagination and sanity of Stanley Kramer!"
22,,Gary Cooper as the marshal with a limited vocabulary has a role eminently suited to his talents and he is aided and abetted by an unusually well cast group of actors who make all the smaller parts count.
23,,"Across the arid entertainment desert of the Hollywood horse opera we come across a production that provides an oasis that makes the long trip seem worthwhile. Stagecoach was one, The Gunfighter another and now we have High Noon."
24,,"It is a skillful, assured, engrossing study in suspense in the rather surprising form of a Western."
25,,"High Noon is a good example of its kind. Directed by Fred Zinnemann, it generates a high degree of tension, and Gary Cooper invests the Marshal with a nervous anxiety which is probably more true to life."
26,,"Stanley Kramer's High Noon is an exceptionally good Western: a dramatic, threatening start which does not wait for the credits to clear off the screen."
27,,"Its one weakness is that a happy ending to the story is a little too easy to foresee; thus the suspense is weakened. Mr. Zinnemann, however, has been singularly successful with his character-sketches of the townsfolk."
28,,"Nobody can do more to make this sort of lone victory seem credible than Gary Cooper, who looks more like a lean, fine, experienced gun-dog than ever."
29,,"The issue is one of principle or expediency, the outcome too inconclusive. Still, the suspense is admirably sustained"
30,,"In its early stages High Noon promises more than it eventually yields. The tension is skilfully maintained and the increasing loneliness of the marshal effectively accumulated. The action is swift, tense and fluid."
31,,"High Noon is a highly intelligent film, and, while the story it tells is straightforward enough, there are undercurrents running through it and it is always implying more than it states."
32,,Still powerful and influential after all these years and political waves.
33,,"A movie which does take you into every part of the town and features features Cooper's beautiful rolling gait, but which reveals that someone spent too much time over the drawing board conceiving dramatic camera shots to cover up the lack of story."
34,5/5,The film's assessments of violence and responsibility continue to see High Noon so deliciously open to discussion almost 70 years on.
35,10/10,"An unforgettable, powerful Western of unequaled quality that boasts one of the greatest of all movie endings."
36,3/5,It's the epitome of an underdog hero fighting back against the odds.
37,,...something fresh and mature and honest by dint of superior treatment all along the line.
38,5/5,"With one of the greatest opening sequences in film history, High Noon kicks-off in an outstanding fashion and this 1952 film just gets better and better as it builds towards its climax."
39,5/5,"Few westerns have conveyed fear so potently as Kane tries to persuade the townsfolk to stand against Miller and his gang, while the clock runs down in real time."
40,,A Truly great Western
41,,"A perfect drama... An eternal adventure of men facing the decisive moment of luck, willing to kill or be killed. [Full Review in Spanish]"
42,,"High Noon reflected the heightened fear of the Soviets in the '50s, now similar to the xenophobia that has been raised and further inflamed by our political leaders."
43,3/4,"[UPDATED 2024 4K + BLU-RAY REVIEW] It's the film’s brevity that prevents it from soaring, since the stripped-down narrative allows only the widest of brush strokes when it comes to painting the characters and their situations."
44,3/4,"Deserving of its classic western status... although for a movie predicated on its titular twelve o'clock showdown, the gunfight itself is oddly anticlimactic."
45,,"High Noon isn't really a masterpiece, and if you're a fan of more honest Westerns, it's hard not to notice Zinnemann's general lack of interest throughout. But it is a tense, effective little film."
46,5/5,File under 'classic'.
47,5/5,"Deserving of its label as a true classic, and essential viewing."
48,,High Noon combines its points about good citizenship with some excellent picturemaking.
49,5/5,Tense 1950s Western is still a cinema classic.
50,,Zinnemann carefully and deliberately makes the most of the mood cast by the threat of impending violence.
