id,user_rating,review_title,review_text,author,date
1,8,One of Warner Brother's triumphs of the forties,"Having had his day as an idolized star and romantic leading man, it was now time for Bogart to get down to the serious business of acting For eighteen years it had usually been Bogart playing Bogart in various shadings Now that Bogart was gone and in his place was an older and far less romantic figure, one who found new challenges and was able to meet most of them successfully This new phase of his continued growth began with a story of three men in search of goldAlthough ""The Treasure of the Sierra Madre"" is indisputably one of Bogart's best films, it was co-star Walter Huston who won an Academy Award as did the movie's director and scenarist, John HustonBased on a novel by the mysterious B. Traven, the film told a riveting tale which explored the degenerative effects of encroaching greed, distrust, and hatred on three prospectors who team up to search for gold in MexicoBogart's Fred C. Dobbs was an amazingly complex creation whose slow disintegration into paranoia was brilliant1y managed on camera He is a born loser with no potential for change in sight Suspicious, unfeeling, savage, and easily corruptible, he seems clearly destined for a tragic fate almost from our first meeting with himTim Holt was also excellent as Bob Curtin, a man who, like Bogart, is tempted but whose conscience will not permit him to exercise his baser desires. (He could have let Bogart die in a cave-in, but saved him instead.) Young, impressionable, and unprepared, he has never seen the likes of a Fred C. Dobbs and he finds himself overwhelmed and uncertain as to how he will cope with Dobbs's rage and greedHowever, it is the director's father, Walter Huston, who literally stole the picture from both Bogart and Holt as he played Howard, a wise old toothless codger who knew all along what would happen and took it all in stride, kicking up his heels and having a marvelous time Life can't surprise him any more He's already had successes and failures enough for one lifetime Like a faithful dog, he's along for the thrill of the hunt, and should there be another pot of gold at the end of this rainbow, well, that's just a bonusIt is mainly the interaction of these three men from their first meeting and uneasy partnership through their final confrontation that made ""The Treasure of the Sierra Madre"" one of Warner Brothers' triumphs of the forties",Nazi_Fighter_David,N/A
2,9,"Just a great movie all around, but a very dark tale","This film is a sharp-edged study of the effects of greed on otherwise normal men, and one man in particular: Bogart's Fred C. Dobbs. Dobbs and Bob Curtin (Tim Holt) are down and out and meet up with prospector Howard (Walter Huston). When Dobbs wins a lottery, he uses the proceeds to finance a trip for the three to central Mexico to search for gold.The three have to deal with the lawlessness of central Mexico at the time - bandits were actually on the loose in that country killing anybody with stuff, and taking that stuff. The Federales were a violent solution to a violent problem - killing the bandits after a summary judgement and the bandits having dug their own graves. So our trio not only have to worry about bandits once they strike gold, they have to worry about the darkness of their own souls.In the beginning, Bogart's Fred C. Dobbs is a decent guy who does not take advantage of others. Dobbs only takes his money from the guy that wouldn't pay and he does share his lottery ticket and is generous with his fellow miners, but as greed begins to take root in him, little by little we see his goodness eaten away. It's a great credit to the writing and Bogart's skills that this is done gradually and played out over time. Incidentally, that's director John Huston ""staking him to a meal"". One of the best director cameos ever (although Polanski in Chinatown is equally great)!Dobbs overestimates himself and the fallibility of human nature. Walter Hustons character freely admits what gold could do to any of them including himself. Dobbs is sure it will never happen to him, but he's never had anything, so he's never faced temptation, and when he falls it's a long way down.This may be Tim Holt's finest performance - it was probably his finest opportunity given he had spent years laboring as a B western star on the RKO lot. Walter Huston as the prospector, minus his dentures and plus a bunch of pounds and with holes in his clothes is not the debonair fellow you are used to seeing in film . If Mary Astor's character in Dodsworth could have thought this was the future appearance of the man she loved, would she have taken her gondola in the other direction? I guess we'll never know.Highly recommended as one of the great character studies in which several characters get studied in detail.",AlsExGal,N/A
3,9,A treasure presented to the viewer,"Some movies have certain scenes in them that hold the viewers interest more than others. However every single scene in this film holds the viewers interest. There is never a dull or lagging moment. Three down and outers who at one time in their lives were maybe up and comers strike out in search of a fortune or at least enough to live better than they have been.While Humphrey Bogart gives a superb performance it is Walter Huston who turns in the greatest performance as the old prospector Howard. The scene in the Indian village where he helps to restore a comatose child is one of the most touching in all of film history and is done virtually without any dialog. Mexican character actor Alfonso Bedoya of course steals all the scenes he appears in and delivers his classic ""Stinking Badges"" line. (what person would dress up as a Bandito for a costume party and not want to look exactly like Bedoya's Gold Hat character?) This film probably should have been a little higher on AFI's top 100. A must see!",yenlo,N/A
4,8,"""If you want somebody NOT to find it, . . .  Put it  in front of them""","In the 1920's, labor was hard to find. If you happened to be a laborer, work was almost non existent. Indeed, if you were unemployed and in Mexico, your chances were dismal. Yet, these were the times, which attracted many South of the border. The place was barren, yet many a fortune could spring up directly before you, . . .if you were luckily enough to see it. That is the story behind this incredible film. The legend of El Dorado was only one of the many myths which lured the adventurous to Mexico, another was ""The Treasure of the Sierra Madre."" The gold of the Mother of Mountains was passed from father to son for generations. Thus when the film adaption was made, it was sure to be sculpted by men of vision. One such man is legendary John Huston who directed this film. Three common men are lured by the promise of discovering a lost treasure. The first is Fred C. Dobbs (Humphrey Bogart) a nice enough guy who wants only to be fair, but is hungry to 'strike it rich.' The second is Howard, (Walter Huston) as honest as you expect him to be and a man of considerable experience. The last is Bob Curtin (Tim Holt) who if given a chance, will use it. The trio make a PAC to share and share alike all the treasure they find. However, only Howard is aware of what the possession of Gold can do to a man. To find the treasure, they need the mountain, some hard work, a little luck. To bring it home, will require something only one of them possesses. The film is a Classic and is due to the combined talents of all the stars and the director. If you look closely, you'll see Robert Blake (Barreta) and John Huston in brief roles. ****",thinker1691,N/A
5,10,God Has a Sense of Humor,10/10God Has a Sense of HumorSpoiler,bkoganbing,N/A
6,9,"Still vivid, compact, colorful, and intense, with some acting to, uh, die for.","The Treasure of the Sierra Madre (1948)This is a weirdly contemporary film. I mean, it's certainly set in the past, and it's made in the heyday of Hollywood genius top to bottom which is long gone. But because it's about this old time and about raw black and white issues (often), the film and the filming are really appropriate. The whole thing just fits, and beautifully.And I mean beautiful. As rugged as it all is--the landscape as well as the beards, all very real--the movie is lyrically filmed. The story is told with visual clarity. And the script, speaking of story, is sophisticated and believable. In all, under the direction of legend John Huston, this is a spot on terrific movie.Of course, there are two actors who are just amazing in their roles (and a third, Tim Holt, who is just fine, if not stellar). I mean of course Walter Huston, who nearly steals the show in every scene. He's a character, but not a caricature. His wisdom--real wisdom, based on smart observation over decades of experience--is sterling. Great stuff, well put. And of course he's the father of the director, which is a fun, and slightly Freudian twist. He gives one of the great performances of the decade.Humphrey Bogart is not far behind, actually. If you like him in Maltese Falcon or Casablanca, you'll be surprised at first by the scruffy, raw character played here. But it's clear-headed, brilliantly delivered Bogart all the way, and a joy to watch him really act. See it for him, too.Then there is the story itself, which is as important now as ever. That is, what matters in life? And what is the price to pay to get it? It's all rather bold and emotional even though it's delivered by some rough guys out of money prospecting in the wilderness of Mexico.Are there downsides here? I suppose. You certainly can wonder about the way the Mexicans--good ones and banditos both--are portrayed. I think it's not bad, tinged with clichés, of course, but in Spanish without translation or stilted half-English, so it's the real thing. And no subtitles. Nicely done for an early Hollywood affair. Huston, the son, the director, if you don't know, is famous for doing things raw and right and slightly off the charts. He is making a commercial film, to be sure, but it has many small aspects that are just not pandering to anyone. This makes it work.I'm sure to some this is a masterpiece. I'm giving that some thought. See it.",secondtake,N/A
7,10,"""The Treasure"" of American Cinema ...","10/10""The Treasure"" of American Cinema ...Spoiler",ElMaruecan82,N/A
8,10,What acting is all about.,"Although John Huston's directing is absolutely equal to the screenplay, winning Oscars for both, it is the performance level of the actors that makes ""Treasure of The Sierra Madre"" the classic film that it is. Beginning and ending with Walter Huston's award winning role of the worn-out old miner who is looking for one last big score, Humphrey Bogart and Tim Holt are equal to the task and draw us in to this tale of need and greed. So convincing is Walter's portrayal of the seasoned old prospector, we come to believe that he is a gold digger by trade who only acts in movies so that he can dig and pan for gold again and again. His knowledge of mining and the lifestyle it demands and forces upon those who partake, is so thorough that Bogart and Holt seem like school kids in awe of a new hero. Of course, we know that his son John, did much research in preparation for writing the screenplay; but we are nevertheless plunged into a sure belief that this old miner must surely have been there age upon age, mine upon mine, and has therefore, a thousand tales to tell.When, in the course of the story, Walter is taken away, somewhat without choice, to work the magic of a healer for a Mexican village, we are again convinced that he is a medical doctor hiding out as a prospector. This is the acting craft in full bloom. Walter becomes whatever is called for in the story. However, if one views his other films, the effect is the same. He is one of Hollywood's most under rated actors of all time. Those who have not seen this film have a joyous experience awaiting them. Great story, great screenplay, great acting. This is why we love movies the way we do.",directortom,N/A
9,N/A,Truly something special,"This film made a huge impression on me when I first saw it at the age of 15 or 16. A recent rewatching on DVD really served to bring home for me what makes this film so special.The whole thing is quite good, but it really hits you when Howard goes off to celebrate with the Indians, leaving Dobbs and Curtin to care for his gold and burros. The ensuing scenes of their spiraling mistrust and tension are absolutely spellbinding--the kind of thing that makes you lean forward in your seat just to get your eyes a little closer to the raw humanity unfolding in front of you. Their paranoia, the way you can SEE scenarios of betrayal dancing in their eyes, Dobbs' burgeoning madness--these are the moments that make this film one for the ages.At its best, film noir (which this most certainly is--Western surroundings or no) makes the viewer complicit in the evil depicted on screen. We find ourselves scheming and plotting in our heads along with the unsavory characters we are watching--we start to feel the same temptations and desires that they do. ""Treasure of the Sierra Madre"" accomplishes this bond with the audience as well as any film you are likely to see.A magnificent film--one of the few great screen tragedies.",byght,N/A
10,10,"All that glitters is ""gone with the wind....""","10/10All that glitters is ""gone with the wind....""Spoiler",jotix100,N/A
11,7,The Treasure of the Sierra Madre (1948) ***,"Okay, I've finally watched THE TREASURE OF THE SIERRA MADRE, and I found it to be one of those tough films to comment on, perhaps due to its very excellent reputation.I found Bogart to be very good in the movie, and I also enjoyed Walter Huston's performance and could see how he earned his award. The earlier scenes of the movie - before the men ventured out on their search for gold - actually impressed me more than the main parts of the film did. The classic moments where Dobbs is asking John Huston for a hand out again and again; bitching at the pesty little kid (Robert Blake!); beating the hell out of his ""boss"" when he tries to pull a fast one. These were my favorite scenes.Once the trio of buddies is out in the heat, prospecting for their gold, I have to say that while the tension and acting was very good, I just guess I had a hard time both accepting and believing that Bogart could actually go THAT nuts, and wind up turning against his friends like that. Paranoia and greed is one thing, but it just didn't sit right with me for this character of Dobbs - especially after we'd seen what a fair guy he is back when he only took his share of the salary instead of grabbing the whole wad of bills from his beaten ""employer"" (then again, I'm sure the turnabout was supposed to be the idea). It just didn't ring true for me that he could do what he did to his pal. I understand that it was the desert heat getting the best of him, and especially the gold working its ugly spell as the ""root of all evil,"" but it just hit me as improbable and excessive that things would or could go to THAT much of an extreme. Dobbs became a man possessed, and the effect was often more farcial than it was intense.I think director John Huston turned in a fine piece of cinematic work, and for technicality and acting (more than content) I did like this film enough to give it *** out of ****. I thought Bogart gave a very good performance, albeit one that I didn't really want to see happen to his character and one which I had a hard time swallowing actually could. I wouldn't be against seeing it again and re-evaluating it further, somewhere down the line.",Cinemayo,N/A
12,10,Artistic Gold!!!,10/10Artistic Gold!!!Spoiler,TheAnimalMother,N/A
13,7,Good old movie,"This movie won some prizes in 1948 but I'm surprised Humphrey Bogart hasn't got even a nomination. I'd take the risk of saying that this was Humphrey Bogard's best performance in his life (okay, maybe the best one was in Casablanca). The movie is about how gold can change a poor but winsome man into a thorough-paced rascal. Three homeless guys decide to make money by digging for gold in Sierra Madre. In the beginning they are like brothers, help each-other, they work together hard, fight against the ruthless nature and Mexican bandits. But as the weight of gold is rising they start to suspect each-other stealing the other's share of gold... Recommendation: don't bother that this is a black and white, old movie, watch it!",sycul,N/A
14,5,Not Exactly My Favorite Bogart Film,5/10Not Exactly My Favorite Bogart FilmSpoiler,ccthemovieman-1,N/A
15,10,'Sierra Madre's' gold wasn't the only thing Bogart didn't get.,10/10'Sierra Madre's' gold wasn't the only thing Bogart didn't get.Spoiler,ksdilauri,N/A
16,8,"""It's a great joke played on us by the lord, fate, nature or whatever""","Film noir takes a Mexican holiday in this gritty adventure from John Huston. Pessimistic and full of irony, yet with a sense of adventure and a moralist edge to it, this is typical Huston material.Huston insisted on shooting on location in Mexico, which riled up studio executives no end, but it paid off in the quality of the picture. Treasure of the Sierra Madre would have really suffered in the canned air of a studio. By using the real thing, he perfectly achieves the stark and dusty atmosphere of the poverty riddled Mexican city in the earliest scenes. The sense of scale and grandeur of the mountains in the main part of the film is also very important in achieving the right effect.Huston's background was in fine art, and it's at this point in his career as a director that it really starts to show. The use of lighting is painterly in a way that is almost impossible to achieve in black and white  particularly in the scene in the peasant village which looks almost biblical. Huston also has this unique style of framing, whereby he uses figures in the foreground and background to give the effect of a close-up and a mid-shot simultaneously. It's a look that is totally at odds with anything else produced in Hollywood at that time.Actor wise, Treasure of the Sierra Madre turns the clock back to the 1930s, putting the director's father Walter Huston in a starring role, and casting Humphrey Bogart as a seedy villain. The cast is rounded off by the too-little-seen Tim Holt. All three of them are spot on. The spry old prospector is a role Huston senior seems to have been waiting to play all his life. Bogart is also great playing the sort of character he made his name with a decade earlier. Also worth a mention is Mexican actor Alfonso Bedoya who gives what is for this era an incredibly naturalistic performance as the bandit leader.Huston's forte was in his cinematography, his shot composition and the rhythm of his films, not so much in his handling of action or actors, which is why his pictures tend to be a bit hit and miss. This one is a hit though, thanks to the strength of its story and the quality of the cast, not to mention Huston's persistence for authenticity. Not my absolute favourite of his work, but certainly one of the best.",Steffi_P,N/A
17,8,Bogart and the Stinking Badges,"Two penniless Americans (Humphrey Bogart and Tim Holt) during the 1920s in Mexico join with an old-timer (Walter Huston, the director's father) to prospect for gold. The old-timer accurately predicts trouble, but is willing to go anyway. The film is fictional, but presents a very realistic scenario: By the 1920s the violence of the Mexican Revolution had largely subsided, although scattered gangs of bandits continued to terrorize the countryside. The newly established post-revolution government relied on the effective, but ruthless, Federal Police, commonly known as the Federales, to patrol remote areas and dispose of the bandits. Foreigners, like the three American prospectors, were at very real risk of being killed by the bandits if their paths crossed. The bandits, likewise, were given little more than a ""last cigarette"" by the army units after capture, even having to dig their own graves first.The film shows the Americans doing just about anything for money: drilling oil, digging for gold, begging and more. And once gold comes into the picture, the men who once claimed they were not greedy see things differently. Bogart actually goes mad, after he gets greedy and paranoid... during which he encounters a gila monster! The most memorable scene of this film involves the bandits, who don't need any ""stinking badges"". While the line is much more quotable in ""Blazing Saddles"", we couldn't have ""Blazing Saddles"" (or ""UHF"") without this film... just about everyone, even those who never saw or heard of ""Sierra Madre"", knows the badges line.Humphrey Bogart's best film is probably ""Casablanca"", but this one features him in a nice, rough exterior. Yes, sometimes leading men have beards and are covered in dirt. Pretty boys do not stay pretty boys after digging in the hills, or at least that wouldn't be realistic. This film does a fine job trying to ""keep it real"", so we have to commend Huston not only on his directing, but his wonderful location scouting.",gavin6942,N/A
18,10,Unbeatable.,10/10Unbeatable.Spoiler,rmax304823,N/A
19,10,An excellent film,"The Treasure Of The Sierra MadreCertainly a consuming piece of cinematic achievement. I was delighted in viewing this film, especially when you have the talents of Bogart, Holt and Huston..oh what abilities or should I say gifts'.My eyes never strayed from the screen, I couldn't take the risk of missing one second of this  tremendous adventure/drama film. Bogart played the character Fred C. Dobbs' so convincingly, it doesn't surprise me though he was at his career peak. It was  like his portrayal of Lt. Comdr. Philip Francis Queeg'  in `The Caine Mutiny'  surely no one would disagree he carried the part to it's limit.The B & W format gave an added depth and the direction by John Huston (as usual) was nothing more then what I would expect from an accredited director like him. I was amused to see a very young Robert Blake in the role of the boy selling lottery tickets and the brief appearance of Bruce Bennett as James Cody'. whom starred with Bogie in `Sahara' several years prior. Another reliable support actor was  Alfonso Bedoya as Gold Hat' my fondest memory of any of his acting roles must be `The Big Country' in 1958.Walter Huston stood out with his performance, this was the first time I've had the privilege to watch him in a film role. His portrayal was astounding..and the script he had to work with was a treat to hear.Another funny point I want to point out, I don't know why I kept comparing Tim Holt to John Derek. In some of the scenes his appearance and voice were so similar to Derek's it was uncanny. I'm probably the only one who thinks this, but I can't dismiss the similarities (to me anyway).The plot was an interesting one, one that slowly draws you in until you can't stop watching. I really enjoyed `The Treasure Of Sierra Madre' certainly a must see' filmhighly recommended.",AppleBlossom,N/A
20,8,There's Gold in Them There Hills...,"Tampico sets the scene for the start of speculation, Fred C. Dobbs is out of cash and his luck is in cessation, but an encounter in flophouse, and big dreams emerge and arouse, as a plan is born with Howard, and a fellow who's called Curtin. Into hills laden with gold, our companions then embark, finding seams that come alive with golden riches to impart, building up substantial fortune, thinking soon they will be tycoons, but there's one who's trust is waning and has sores that start to smart. The journey back becomes a challenge to them all, as one by one the group is scattered, battered, stalled, will their work be well rewarded, will endeavours all be thwarted, either way, you will be engaged, and quite possibly enthralled.Bogarts best performance.",Xstal,N/A
21,N/A,All that glitters is not gold,All that glitters is not goldSpoiler,Reality-Bites,N/A
22,7,Great performance in an average movie,7/10Great performance in an average movieSpoiler,Dwerzqiet,N/A
23,10,"""I know what gold does to men's souls.""","The Treasure of Sierra Madre, is not only a stunningly visual treat, but also a story and script of depth and magnitude, set in old time Mexico.As a Bogart fan, I found it at first, difficult to get past Bogart playing such a ragged and gritty character, once I did I realised him and his co stars - Walter Huston & Tim Holt were such a tenacious force in this 2.5 hour epic.Sierra Madre feels fresh and could stand up well against anything put out today. I have not seen a film in recent years, with outstanding lines, powerfully delivered by Huston or with the conviction and honesty Holt does..with Bogart, all three characters are very different yet essential.Do yourself a favor and go buy or rent this. It carries great moral and truth, in a story of rags to almost riches.~Paul Browne.",godamndevil1977,N/A
24,6,Shows the evil in the heart of man,"The Treasure of the Sierra Madre is John Huston's baby. He adapted the novel for the screen, directed it, enjoyed a cameo, and cast his father in the leading role. For his hard work, he was rewarded with a darling photo opportunity the following Oscars ceremony when he and his father received matching statuettes. It really was impossible not to give Walter Huston the Oscar that year, since he was the sentimental favorite, his leading role had been relegated to the supporting category so as to not compete with Hamlet, and he was acting under his son's direction. Still, if you're at all familiar with Walter's breadth of work, you'll be saddened that he got his Oscar for this movie.Walter stars as an old-timer who tells two down-and-out bums, Humphrey Bogart and Tim Holt, about his experience with gold digging. Although the two declare they'd never get greedy if they struck gold, Walter says he's seen how riches changes a man. As the three shake hands and agree to hunt the mountains for gold, Walter's eye twinkles, as if he knows something the others don't. Humphrey proves his twinkle right when he shows his true colors and turns into a greedy, violent, paranoid villain. When you watch this movie, get ready to hate Humphrey Bogart; it might be a good idea to have The African Queen ready to restore your good feelings. He plays such a terrible person in this movie, with a combination of stupidity and selfishness that makes him painfully real.John Huston's careful eye shines as he frames his shots with clever use of lighting and depth, and as he keeps up a sense of suspense during a film with a running time of over two hours. I don't really know why the two famous clips from this film are Walter's shuffling dance and ""We don't need to show you any stinkin' badges!"" when there were plenty of other good scenes to immortalize, like the unexpected and exhaustive fistfight in the beginning of the film.Huston fans, either one, will probably feel the need to watch this classic, and while it is entertaining, it's not for everyone. It shows the evil in the heart of man, and besides Walter's twinkling eye and boisterous laugh, the rest of the movie is very dark.",HotToastyRag,N/A
25,3,not everything that's old has aged well,3/10not everything that's old has aged wellSpoiler,chuck-526,N/A
26,10,A great tale about the darker side of human nature...,10/10A great tale about the darker side of human nature...Spoiler,planktonrules,N/A
