id,tomato_score,review_text
1,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
2,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
3,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
4,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
5,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
6,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
7,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
8,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
9,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
10,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
11,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
12,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
13,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
14,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
15,negative,This film is so painfully awful that no pleasure can be found in criticizing it.
