review_id,user_rating,review_text
1,95,"The perfect mix of thrilling action, compelling storytelling, memorable characters, comedic moments — and all of that works in tandem like an orchestra bellowing an epic score. Infinity War leaves audiences wanting more… and with a lot to think about."
2,50,"The plot consists of bits: a fiery slugfest, a pause for bonding, a quick weep, and a patch of jokey repartee, before the slugging returns. Acts of sacrifice are dotted throughout, and we are urged to applaud the burgeoning fellowship of those who unite against Thanos, but, in truth, it’s every man for himself."
3,67,"Some of the sequences are undeniably thrilling but, at about 2-1/2 hours, overkill sets in early."
4,75,"A comic-book flick that’s as thrilling and enthralling as it is pretentious and preposterous. The story is just an excuse for the action sequences, and the Marvel strategy remains intact: When in doubt, blow stuff up."
5,89,"Never has the “Marvel Cinematic Universe” seemed like more of a universe, in ways both good and bad. Infinity War—the title is almost too apt—is a narrative juggling act the likes of which I’m not sure I’ve ever seen before. It is far from a perfect movie, but it is probably close to the best movie it could have been."
6,88,"Infinity War might be the biggest and most ambitious Marvel movie yet, but it’s certainly not the best. (I’d put it somewhere in the bottom half of the Top 10.) However, there’s plenty of action, humor and heart — and some genuinely effective dramatic moments in which familiar and beloved characters experience real, seemingly irreversible losses."
7,75,"It’s exhausting, but it’s also frequently effective. It’s surface-level with its emotional beats, but a number of them still land, largely thanks to the continuously all-in performances of the series’ endlessly patient stars. It’s an event that advertises itself as an event in every way, while somehow still managing to justify the immense hype around it."
8,63,"Characters overflow on the screen, crowding out emotional investment, and there is a severely misplaced emphasis on the power of special effects — many characters appear to be entirely digitized, and none has much screen impact."
9,50,"Over the last few years, the Avengers, together and separately, have spawned a number of good, very good, or reasonably entertaining movies. But with Avengers: Infinity War, the Marvel Comics franchise arrives at the stage of decadence. There’s just too much of it. A victim of its own success, there are just too many appealing characters here to stuff into one story."
10,88,"No, it’s not a game-changer like ""Deadpool"" or ""Logan."" It remains firmly anchored within the “traditional” comic book milieu. But, with an unwavering devotion to spectacle and action, the film throws down a gauntlet where this kind of mass team-up is concerned."
11,50,"As for everything that happens this time around, it’s a function — or malfunction — of the sequel’s two-part structure. The problem is penultimateness, too much setup and too little payoff. The solution comes, presumably, around the same time next year."
12,58,"Infinity War inherits plenty of the problems endemic to crossovers: the privileging of quantity over quality, of spectacle over story, and of the shock value of major changes to the status quo over just about everything else."
13,93,"Avengers: Infinity War is epic in a way that has been often aspired to but never fully grasped when it comes to the translation from comic book panel to the Big Screen. It’s what happens when moviemakers take their source material seriously, eschewing unnecessary melodrama even as they fully embrace the grandeur, the sheer spectacle, of it all."
14,63,"Picking up where Joss Whedon, director of the first two “Avengers” films, left off, sibling filmmakers Anthony and Joe Russo have so many pairings and sparrings to work through that the movie is essentially a mixed martial arts extravaganza with a severely overcrowded undercard."
15,89,"The Marvel films have been accused of being repetitive in their structure; Infinity War bursts any conventions wide apart. This is a vast, truly epic endeavor, one that both brings the current MCU to a near-climax (wait for the so-far-untitled follow-up, due May 2019, for the ultimate resolution), and sets the future in motion."
16,75,"Avengers: Infinity War leaves viewers up in the air, feeling exhilarated and cheated at the same time, aching for a closure that never comes ... at least not yet."
17,60,"I appreciate the sheer logistical achievement of Infinity War (and the chutzpah of its ending). I laughed a bunch of times, and some of the scenes are definitely exciting. But I would be lying if I pretended this movie ever grabbed me the way the best MCU movies did."
