id,user_rating,review_text
1,,"As much larger-than-life character study as war drama, the film made a star of Peter O’Toole, whose intense performance brings T.E. Lawrence alive as the blue-eyed desert warrior and obsessive dreamer ..."
2,,"It may be said that the weary melancholy underlying Lawrence of Arabia stems from the stupefying apprehension that, whereas England may have been doomed to civilize the world, no power under heaven can civilize England."
3,,"As the larger-than-life, controversial, and complicated titular T.E. Lawrence, Peter O’Toole gives one of the singular performances in the history of film. His immense onscreen presence is a worthy juxtaposition for the man he portrays."
4,4/4,"The second half isn’t quite as compelling as the first, but to paraphrase a comment I once read regarding another film: The first half is pure perfection, and then it devolves into one of the best movies ever made."
5,,"I mean, c’mon, what do you want me to say? It’s a classic."
6,,"Lawrence of Arabia taken as a whole is a genuine, sometimes even a profound interpretation of character. And that alone, even without the great aesthetic beauties, would make the film unique in the cinema of historical reconstruction."
7,,They don't make movies like this anymore.  [Full review in Spanish]
8,4.5/5,"While not originally considered to play Lawrence, O’Toole was eventually offered the part which became his breakthrough role earning him the first of eight Academy Award Nominations"
9,5/5,"Sixty years after its 1962 theatrical release, Lawrence of Arabia remains one of the greatest films ever made from an epic standpoint but it isn't without flaws."
10,,"This is an epic, not just because it runs nearly four hours, but because of the measured and deliberate pacing, tangible sets and action sequences, and the willingness to explore humankind’s folly due to pride and greed."
11,9/10,"The film is impeccably designed from every element on the screen, and words can often fail to accurately describe the elegance that is crafted."
12,4/4,"This motion picture is unlike any epic because after enduring so many perils in an enormous journey, the size of which had never been seen in a Hollywood production, the questions about T.E. Lawrence remain."
13,,The film’s real protagonist is the Arabian Desert -- a state of physical oppression and a state of mind made as compelling for the moviegoer as it must have been for Lawrence himself.
14,5/5,"""Lawrence of Arabia"" is an intensely captivating biographical portrait of a brilliant and controversial figure whose character develops over the backdrop of World War I."
15,3.5/5,"An undeniable technical achievement with its breathtaking scenery, epic score & gorgeous cinematography. The story isn't its strongest suit, but it can be overlooked by its visuals."
16,,"All in all, however, I would say that Mr. Spiegel and his associates have done a creditable job with an almost impossible subject."
17,,"From the early shots laid on the sun-hot sands there is grandeur and awe-inspiring, stark splendor, against which men fight and die, battle for their ambitions and then see their dearest ideals crushed by uncaring, mercenary politicians."
18,,"Peter O'Toole s blond, Irish amd a captivating personality. He brings the character of T. K. Lawrence into splendid focus in the film."
19,,"Whatever Lawrence was, he makes an intriguing subject for dramatization. In the role, Peter O'Toole is most effective in conveying the many facets of the man's personality."
20,,"Spiegel and Bolt and David Lean have run into an old problem with biographical art: they have invented too much to please biographers, and yet they have not taken the bolder liberties that make art."
21,,"The script is taut and expressive and the musical score deftly attuned to the tale. Director David Lean has molded his massive material with skill, but personally I felt the film was too long,"
22,,"A supremely engrossing film, Lawrence of Arabia makes one forget that it runs nearly three and three-quarter hours: and sends one out haunted and shaken."
23,,"The supporting cast can only be described as unbeatable. Jack Hawkins' Gen. Allenby, Alec Guinness's Prince Feisal, Anthony Quinn's Auda abu Tayi, Jose Ferrer's Turkish Bey and Omar Sharif's Arab warrior, are all outstanding pieces of acting."
24,,"The cast, skillfully chosen and directed with intelligence, ' performs as a polished unit."
25,,In leaving the theater Wednesday night I felt not so much an admiration for Mr. O'Toole as for the photography of Fred Young.
26,,"Peter O'Toole, an Irish actor new to films, makes an effective Lawrence, his skills putting much shading into a many-sided and contradictory character, and his support from an impressive cast is uniformly excellent."
27,,"It's a good movie -- a long movie, but not a minute too long. It's one you will enjoy thinking about afterward, and perhaps plan to see again."
28,,"he film touches all the bases in blood and thunder, photographs the Arabian desert in all its limitless desolation and yet fails somehow to shed much insight into the legend that was Lawrence."
29,,It is hard to recall any film that has put the wide screen to such impressive use.
30,,"It has faults, Including an un necessarily long length of almost four hours, but there is no doubt that it is bound to be one of the ""glamour films"" of the season."
31,,"One of the most magnificent pictures, if not the most magnificent, and one of the most exasperating."
32,,"The honours, then, go to OToole, to Bolt, and to the director, Sir David Lean. The film is technically superb, and the desert photography, in Technicolor, is memorable for its beauty. My only great grief is its length."
33,,Seldom have the resources of the movie medium been used with more striking skill or to more dramatic effect.
34,,"In Peter O'Toole, we have an actor who can employ the flawless rhythm of a Shakespearean player as well as the argot of his day."
35,,"The awesome majesty of the desert landscapes, with the camel brigades always sweeping the horizons, linger long after the sated viewer has cause to continue being astonished."
36,,"At last, a film has arrived to justify and even compliment the wide screen -- a spectacle with an intelligent purpose and, in many respects, the most exciting and beautiful movie ever made."
37,,There has never been another motion picture quite like Lawrence of Arabia.
38,,"The big screen has frequently proved to be only too big; here it hardly seems big enough, and the implied compliment to Mr. Lean and his camera crew is considerable."
39,,"[O'Toole] looks a good deal like Lawrence's portraits and he rides a camel with great authority. But he cannot project a sense of magic and, in moments of alleged spiritual agony, he merely looks dazed."
40,,"This marvelous picture, whose photography is like a series of paintings on a great canvas, never diminishes its worth by using spectacle for spectacle's sake."
41,,"By adding subtle character exploration to high adventure, fine acting to poetic photography of incredible sandscapes, this strange film grips attention for almost four hours."
42,,"Lawrence of Arabia is... big, and often beautiful. But it satisfies few of the demands of real drama."
43,,"With this film, David Lean has further entrenched himself as one of the top directors in the industry and heir-apparent to the still vacant boots of Cecil B. deMille."
44,,I have to give a lot of credit to director of photography Freddie Young for the gorgeous cinematography in the film. The desert scenes in particular were beautifully shot.
45,4.5/5,"They definitely don't make them like this anymore. David Lean's grand film was an enormous and impressive accomplishment back then, and with time, it's legend keeps getting stronger. [Full review in Spanish]"
46,,Lawrence of Arabia is the most literate and intelligent and tasteful and the most beautiful of the modern expensive spectacle films. And I wish it had never been made.
47,4.0/4.0,"In a recent viewing of Lawrence of Arabia at a local independent moviehouse, I found myself more in awe than ever."
48,10/10,"Regardless of the historical inaccuracies and contestable portrayals, the film is a flourishing masterpiece of storytelling prowess."
49,,"Allowances for changing tastes and styles must be made for many a film from decades past; that is not the case with Lawrence, which remains as invigorating as the night it was first shown."
50,5/5,"Lawrence, as portrayed by Peter O'Toole with a career-making and career-defining performance, is one of cinema's most fascinatingly complex characters."
