id,user_rating,review_title,review_text,author,date
1,7,I can't help you with that.,7/10I can't help you with that.Spoiler,sharky_55,N/A
2,8,"Subtle, beautiful","I loved this film for the subtleties. Lots of lingering, carefully framed shots and closeups. Lots of quiet scenes. Lots conveyed through looks and innuendo.Rooney and Cate captured what it's like to be nervous yet excited while falling in love. It felt real. It felt like two people unsure of themselves, offering up just a bit of their true feelings at a time and waiting for the other person to do the same before revealing more.Kyle Chandler's performance hasn't been commented on as much as the leads, but he was just as excellent. He played the part of tortured husband well without coming off as a mere villain. I sympathized with him and even understood where he was coming from.I thought the film captured the time period in a very unique way. Nothing was overtly flashy or Normal Rockwell 50s, and at times it even felt gritty compared to most depictions of the era, but it was really beautiful.The film stayed with me on the ride home, and I drove in silence while I reflected on it. That's how I judge a movie. If you are the type that loves character driven films, I'd very much recommend it. If you don't handle slow burn movies well, it might not be for you.",cowfeet,N/A
3,8,"Charming, subtle and in the end it all comes down to Cate Blanchett and Rooney Mara's unforgettable, brilliant performances.","Carol is a good film, with a very important subject, and the script never addresses it head on, rather with class, elegance and subtly.It's a great love and life story about one woman fighting for her right to be happy and another trying to figure out how can she really be happy. Each of them is the answer to the other.The script could feature more insight, but then again, the film is supposed to be subtle and let the images speak for themselves. The cinematography is outstanding and the score is downright superb. There's a feeling, a certain atmosphere that makes the film truly peculiar and one of a kind.But in the end, i think that it all comes down to Cate Blanchett and Rooney Mara, as they give unforgettable, brilliant performances. They are always perfect of course, but here there's something one of a kind about their performances. Its not only the characters that fall in love with each other, but also you who fall in love with them.Its charming, important, powerful, resonant, and features two one of kind performances.",fabiolpinheiro1993,N/A
4,7,Love or madness?,7/10Love or madness?Spoiler,karolina_si,N/A
5,9,The price of salt as a film,"I've watched many, many lesbian movies, and sometimes there is a good one, but this is a gorgeous movie with two recognizable stars in that are so talented that I forgot I was watching people act; it felt more like I was peeping in on their lives. The movie is realistic. The sets are remarkable and so well-done, the costumes, make-up, everything suitable for the time frame. Cinematography is gorgeous, and the plot is both suspenseful and thoughtful at the same time. I've been waiting thirty-five years for a producer to take lesbian love seriously, and it has finally happened. Hooray!",klaurier,N/A
6,N/A,a gem,"After you read the novel, your expectations about its adaptation are not small. The lead actresses are a good promise . But is it enough ? No doubts, yes. Because, for me, it is more than inspired adaptation of a good book. It is a gem, from performances to elegance, atmosphere, flavors and tension, from grace to bitterness. Rooney Mara and Cate Blanchett are the best options and you know that if you read, again, the book. It is a love story but it becomes, scene by scene, more. Maybe, a sort of confession. About a world, a meet, a clash and few people. And, not the last, in special manner, about yourself.",Kirpianuscus,N/A
7,6,Blanchett and Mara; their chemistry was so organic,"The creators didn't divulge deep into intricacies, nor were they obliged to, although I wish they had, but they kept it rather simple, and I believe that is precisely what was required. Especially considering the fact that the writing here didn't have much depth to begin with. That said, even in such tiring mundanity, we get to observe a blossoming rapport that sparkles with electrifying chemistry and much desired warmth.Mara and Blanchett deserve full credit for their performances, which were sincere and convincing. They never seemed out of place; both of them carried and embodied the souls of their characters throughout the narrative. The bonding came across as organic, which I suppose contributed to its being meaningful and memorable.",SoumikBanerjee1996,N/A
8,10,"""I miss you... I miss you...""","Finally. FINALLY. This is the movie which completely overwhelmed my expectations and blew me away.Romance is actually one of my favorite genres, but unfortunately it has let me down a lot more than once. Not the case with Carol. This has a strong possibility of being the best movie of 2015.Therese is a woman working in a store who has an interest in trains and photography. But her hobbies is not enough to escape her boring and quite uneventful life. Carol has a wonderful daughter and is doing fine financially... but has an husband (whom she is trying to divorce) who won't leave her alone and makes her feel miserable.These two people meet, and... they connect.First off, the story itself is already incredibly captivating. It takes place during a time period where homosexuality was not only frowned upon, but there were even laws against it. So seeing the two of them facing struggles in order to keep in contact with each other is fascinating to behold. And it is because the love story is so damn beautiful. There is a lot of visual language. Eye contact and body language often speaks for itself. And it's excellently executed, as you sometimes know exactly how these two character are feeling without a single word spoken. And even the dialogue itself has subtlety to it. There are plenty of times where either Carol or Therese insinuate feelings by using seemingly casual sentences. ""Your perfume... it smells good."" is really just a synonym for ""I want to kiss you"". ""Oh stop it, you look perfect!"" can very well mean ""I want to spend the rest of my life with you."" The lines are not obvious giveaways and I love it. The audience gets to think for themselves.But what really makes this movie work is the acting. It's absolutely amazing. Cate Blanchett and Rooney Mara are at their best ever. They make the characters so real, so human, that you wish they actually existed. Kyle Chandler also throws in a remarkable performance as the husband. You root for the two girls... but you don't hate Harge either. There is one scene where he has gone so far as to get himself to the house Carol and Therese is staying at for the weekend. And when he's told he can't have her, I was really feeling bad for the guy!I can't remember the last time I have been as touched by a movie. It hit my heart just in the right places, and when I walked out of the theater I felt like I had just experienced someone else's life.Okay, the trailer revealed too goddamn much from the movie, so several important plot details I already knew beforehand. But even that couldn't stop the perfectly orchestrated ocean of emotions it bathed me in. Carol will stick to your brain like glue after you've watched it. Oh and the movie too ;)",mattiasflgrtll6,N/A
9,7,A Fine Film That Needs More Character,"'Carol' is a fine film. The juxtaposition of the lavish costumes and production design with the grainy look of 16mm film sells the film's old-fashioned aesthetic. It is a well-shot film that is pleasant to look at. All of the individual performances are pretty good.The best part of the film is the opening sequence. The credits play over a continuing shot of fifties New York accompanied by Carter Burwell's fantastic piece 'Opening'. This shot brings us to a scene in a restaurant. This is a flash-forward that we revisit later on in the film. Our first sight of the main couple occurs when a man at the bar looks around the restaurant and spots them at a table. In this shot, Therese (Rooney Mara) and Carol (Cate Blanchett) are sitting at a table. Therese is sat facing away from the camera and towards Carol, who we can see clearly. My immediate reaction to this sight was ""Wow, Cate Blanchett genuinely looks like she's in love."" It felt real.Unfortunately, I didn't get this feeling from the rest of the film. I couldn't feel any chemistry between Therese and Carol. Mara and Blanchett do their best with what they are given, but they aren't given enough. Their characters don't feel fleshed out. I didn't feel like I knew them as people by the end. The film's technical achievements can only lift a film so high. If you love this film then I'm glad, but I can't love it when I couldn't grow attached to the characters. This is especially a problem as this feels like a film driven more by character than by story.Despite what I have said, this film didn't bore me. Mara and Blanchett are both engaging actresses who command your attention even if they aren't given enough to work with. The film is on the slow side but it goes at the right pace for what director Todd Haynes and screenwriter Phyllis Nagy were going for. Overall, it was an interesting experience that felt a bit empty.You can see more reviews at http://letterboxd.com/lloyd_morgan/films/reviews/",lloydmorgan111222,N/A
10,10,Beautiful.,"This film is heartbreakingly beautiful. The acting, the cinematography, the music, everything. It lingers long after it's over. The characters will take up a place in your heart.",fumbling17-544-318683,N/A
11,6,Wish It Had Been Better,6/10Wish It Had Been BetterSpoiler,JackCerf,N/A
12,8,Achingly tender romance about how love is a part of the human condition.,"It's an inevitability that Carol will face categorisation as an LGBT film, but that's not the limits of how it should be considered. It's simply a heartfelt and deeply human love story where the principle couple confronts insurmountable odds. In Carol's case, these obstacles are the prejudices of the time and culture they live in. The film frames this discrimination in a tangible and legal way, as the titular Carol is accused of a morally indecent lifestyle by her ex-husband in order to win custody of their daughter. The film isn't interested in being a courtroom drama though, instead focusing on the blossoming relationship between Rooney Mara's Therese and Cate Blanchett's Carol.Todd Haynes is known for his heightened style that evokes the melodrama of Douglas Sirk, for instance. His 2002 film Far From Heaven feels plucked from the cinema of the 1950s. However, Carol is a film that feels plucked from the New York streets of the 1950s as the aesthetic here is surprisingly naturalistic. It doesn't quite breach a documentary-esque style with Edward Lachman's understated and pleasantly grainy cinematography, but it all comes organically and authentically with the elegant fashion of production and costume design and the atmosphere that its cold Christmas setting provides. It's a very restrained film – as there are only two particularly intimate scenes – but the film carries an air of sexual and romantic tension throughout.As Carol, Cate Blanchett challenges her polar opposite and equally excellent work with Haynes as a Bob Dylan incarnation in I'm Not There here. By nature of the film's structure, the first half is in the perspective of Therese and the second focuses on the perspective of Carol. There's an interesting inaccessibility about Blanchett in the first half that draws you into Therese's infatuation. Mara, one of the most promising actresses of this decade since her small memorable part in The Social Network, uses her own reserved detachness – something she's been frequently criticised for – to her own advantage. To watch someone like Therese open up after being so repressed is thoroughly cathartic.However, Blanchett whips the film from under her feet in the second half. She litters the first half of the film with nuanced hints and clues to her past desires, also communicating so much with very little. She's elusive, but Mara is a key source of intrigue at that point due to the honesty in her performance and unexpected dry wit. Once Carol is struggling to deal with her own internal conflicts, Blanchett is on fire and burns the house down with her ultimate rebuttal of the accusations against her. Kyle Chandler, her suffering husband soon to be ex-husband, shows such painful anguish in his brief outbursts. It's a measured performance that anchors the film and the stakes of the relationships. Every performance of the ensemble – from extras to bit parts – are delivering among their finest work.It's an all-rounder in terms of Oscar-contention, with Haynes perhaps being a more likely bet for Best Director than the film is for Best Picture. Blanchett has won too recently but if Weinstein works his magic, Mara would be a strong contender in either leading or supporting. Phyllis Nagy will certainly duel with Aaron Sorkin in Best Adapted Screenplay, even if her work is more patient, while the production and costume design ought to destroy competition. A sure bet should be Carter Burwell for his beautiful score that sunk my chest with its few powerful notes. It's an achingly tender film that will be timeless, even if it doesn't resonate with everyone with such specificity. Carol shouldn't just be a statement for our time and a condemnation for past mistakes, it's a demonstration that love is a part of the human condition regardless of sexuality.8/10",Sergeant_Tibbs,N/A
13,6,1950's postcard USA.,6/101950's postcard USA.Spoiler,kaptenvideo-89875,N/A
14,4,A disappointing film with very little emotional content,4/10A disappointing film with very little emotional contentSpoiler,alexlangholm,N/A
15,N/A,An essence and definition of love,"Imagine how The Blue Angel Marlene Dietrich meets Audrey Hepburn in Breakfast At Tiffany's. Two goddesses in love affair. An essence and definition of love in its core distilled through different bodies and remaining a mutual enjoying of the heart. There is some cold classical feeling from the 30's in this movie, though it was set in the early 1950s in the McCarthy's era of witch-hunts. No answers are provided here and no stretched details. All is centred around Kate Blanchet and Rooney Mara.What you have to do is just to sit down,relax and enjoy the smoky narrative with a scarce dialogue.The 16 mm grainy picture, Sandy Powell's period costumes , cinematography and film editing from Edward Lachman and Affonso Gonçalves ,all well fitted in Patricia Highsmith's ""The Price Of Salt"" novel deliver a new conversation between the movie and the viewer. It's not about others but it's all about us. This message is truly important these days. No satisfaction in the sense and laws of tradition but how tradition have shaped us to rethink the history. As John Grant sings in Glacier ""Don't listen to anyone, get answers on your own/Even if it means that sometimes you feel quite alone,No one on this planet can tell you what to believe,People like to talk a lot, and they like to deceive"". There are echoes of other movies here such as the cold sentimentality of Savage Grace , Far From Heaven (from same director Todd Haynes) - another forbidden love story, Brokeback Mountain and A Single Man - both tragic waste of lives. Carol in some ways captures few finest moments from all these movies but as mentioned before it transcends one step further. It neutralises the bitter ends replacing it with hope. It's not the usual Hollywood hope but your own personal hope.It inspires you to decide,design and photograph your life. Don't wait,do it now!",SvetoslavGrigorov,N/A
16,6,Carol Is Beautiful To Look At But Icy to The Touch,"Like many of Todd Haynes films, Carol is beautifully made. The costumes, the sets, and the direction are all meticulously handled. As for the performances, they are technically good as well. In particular, Blanchett gives a stealy, committed performance that is the foundation of the film. The story is interesting enough as well. The only issue is that all of these wonderful components are still able to leave the final product feeling a bit bereft of emotion. The love interest between the two leads seems to be handled well and given it's due, but I just didn't feel any chemistry between the two leads. Yes, they looked great together, but for me at least they didn't create many sparks together.",daoldiges,N/A
17,6,I never knew lesbians were so boring,6/10I never knew lesbians were so boringSpoiler,neil-476,N/A
18,8,Simply beautiful,"It entertained me too much. Although it is a drama with perhaps more twists than it should have been, the cast captivates you and every detail amazes, even more, the visuals it has, so at least for me, I highly recommend it.",spiderdib,N/A
19,7,"Light , Gentle Touches On A Heavy Subject","7/10Light , Gentle Touches On A Heavy SubjectSpoiler",Theo Robertson,N/A
20,10,An Unforgettable Film Experience,10/10An Unforgettable Film ExperienceSpoiler,lavatch,N/A
21,6,Carol - A Beautiful Love Story,"Cate Blanchett is the best actress of the 21st Century. This film is just further proof of that fact. Rooney Mara (who is a dead ringer for Audrey Hepburn) also does a fantastic job in this film. This a scrumptious, gorgeously mounted film with several fine performances. The production values are first-rate and the material covered is done with great sensitivity and passion. I also appreciated the fine flashback technique used by the screenwriter. The film highlights the impossible task of both women, and I would assume men in the same situation, who must be true to their hearts, when society, at this point in time (1953), did not have a clue about the needs of the LGBTQ+ community. A film for all sexes and preferences, because beautiful love stories are hard to find for any community.",arthur_tafero,N/A
22,9,Simply beautiful,"I watched Carol at the New York Film Festival, days after watching Freeheld. Since both movies talk about love relationship between two women, I was afraid I was going to see the same thing. Gladly, I couldn't be more wrong. Carol is such a beautiful movie, subtler than I had expected.Even though I loved the movie, I'm aware that it's not for everybody. It's not fast paced, as current films tend to be. It takes its time to carefully construct the characters and to make us root for them. Credit is due to the cast, as Cate Blanchett and Rooney Mara are brilliant, and to the director Todd Haynes, who conducts well the story.Moreover, the film is visually stunning, with impeccable make-ups and wardrobes, not to mention the beautiful locations covered in snow while they take a road-trip. Finally, the soundtrack is equally wonderful, with songs that correctly set the tone of their relationship.It probably won't be a box office hit, but I do hope everybody gets a chance to see it eventually.Full review: http://wp.me/p5Rk4c-f6",artscommented,N/A
23,6,Sacrifice and sensuality,6/10Sacrifice and sensualitySpoiler,Horst_In_Translation,N/A
