id,user_rating,review_text
1,A,"As old as it is, much like the franchise’s toys (aside from Wheezy, poor guy), it just doesn’t seem to age. It is, and always will be, a quintessential children’s movie."
2,5/5,"It may have been the first production of its kind, but the beauty of “Toy Story” lies in its characters, the themes it explores, and, of course, how funny it is. [Full review in Spanish]."
3,,"It’s a story that still holds up because themes of identity, friendship, and lifestyle changes are a constant presence in all our lives, no matter how old we get or where we come from."
4,,"There's a giddy, absurd charm to the story, in which the strange setting only enhances the comfortable familiarity of the narrative and characters."
5,,"The simple story is enlivened by the distinctive personalities of the toys, especially the irascible tater head, the supportive Bo Peep lamp (voiced by Annie Potts) and a neurotic plastic dinosaur"
6,,"The result is a clash of toy cultures and values -- nostalgic, old-fashioned simplicity versus visionary, space-age ingenuity."
7,5/5,"More fun than Christmas mornings and birthday presents and winning a prize and making a friend, more fun than parking for free and falling in love and flying to Paris, more fun than anything you can think of is Toy Story."
8,3.5/4,The world created by the artists is so utterly believable that viewers will have no trouble accepting the fact that toys talk and bicker and worry and play when no one's around.
9,4/4,"It takes more than cute voices and clever dialogue to make an outstanding cartoon, and director John Lasseter comes through in every frame with detailed delights."
10,,The 3-D is fantastic.
11,,"Toys will be toys and for anyone who enjoyed pitched battles with plastic soldiers and crating bizarre faces with Mr. Potato Head, Disney's latest extravaganza is a fun-filled feast."
12,,The film contains a series of superb comic set-pieces and a finale which tries to equal the train chase at the end of The Wrong Trousers.
13,,"Toy Story is exciting but sweet-tempered, the kind of movie that parents and younger children can enjoy together."
14,4/4,"More than a tale of a young boy's playthings that come to life and interact when no one is around, Toy Story ingeniously taps into the stream of childhood recollections and emotions."
15,A,"Toy Story is a blast from start to finish, and any kid between 2 and 12 ho doesn't love this movie has a serious Wednesday Addams complex."
16,,"What's stirring about this film isn't how big and special it is, but how small and simple it is."
17,4/4,"With songs from Randy Newman and a screenplay full of cheeky wit, Toy Story has none of the syrupy sentiment that undermines so many family films."
18,,It's a spectacular technique married to a good story.
19,5/5,"Ingenious, charming, and breathtaking."
20,4/4,"Christmas arrives one day before Thanksgiving this year in the guise of Toy Story, far and away the most dazzling and delightful family film in a year of terrific family films"
21,,The central notion of two competing American heroes -- Stetson-wearing cowboy of the old frontier and bubble-helmeted spaceman of the new-- is nicely developed.
22,4/4,"Toy Story is not only the best children's movie of 1995, it's the best buddy movie, too."
23,,"In the movie, a bunch of toys come to almost flabbergasting life, performing for all the world like magically enlivened bits of plastic, as if they were modern-day Pinocchios."
24,3.5/4,"More than merely a dazzling technical breakthrough, this comic fable is an exuberant family charmer."
25,4/4,"John Lasseter is Walt's digital descendant, having nurtured this new animation technology from its earliest days."
26,4/5,"Toy Story and its cleverly names sequel, 1999's Toy Story 2, stand amid the great films of the 20th century not merely for their cutting-edge computer graphics but as kid-friendly entertainments."
27,4/4,"As clever as the technology is in Toy Story, there's also a soul in this machine."
28,3.5/5,Although aimed at school-age children the movie has a level of humor sophisticated enough to keep parents chuckling.
29,5/5,Toy Story is infinitely entertaining.
30,4/4,"Yet all the visual razzle-dazzle, formidable as it is, wouldn't work so well without equally great writing. Toy Story does not disappoint there, either."
31,,The result is as historic and breath-catching as Snow White was when it revolutionized feature-film animation 60 years ago.
32,5/5,"Toy Story is technically dazzling, charming, and, occasionally, rollickingly funny."
33,,"Tom Hanks, Tim Allen and Don Rickles lend voices that are ably directed by John Lasseter."
34,4/4,"The intensity of the visual experience is potent, even intoxicating. It's so strong that the toys look real."
35,,"John Lasseter's greatest achievement is not that he has produced a movie that is clever, but that, using such cumbersome technology, he has produced a movie that is very enjoyable."
36,,"None of its technical wizardry would matter if there weren't such a superb script and such strong characters, especially an overly sensitive toy dinosaur voiced by Wallace Shawn."
37,,"The production is first-rate all the way. It is superbly paced -- crisp, never frenetic --and it has lots and lots of ideas that turn over rapidly."
38,A-,"The film has a wonderful story, enough so that after the first few minutes, you forget that what you're looking at is an impressive bit of computing."
39,4.5/5,"The colors, lighting and camera work give both live-action and cel animation a run for their money."
40,3.5/4,"Attractive computer animation, on-target humor and well-cast celebrity voices help the comedy adventure appeal the comedy adventure appeal to grown-ups nearly as much as their kiddies."
41,3/4,"[Its] so completely different from the traditional cel style it may initially seem disorienting or even off-putting. But as with all the best Disney films, we eventually give in to the fantasy techno-toy box fantasy that Toy Story creates"
42,3.5/4,Toy Story should score like a galaxy of Flash Gordon's.
43,4/4,"If you haven’t seen the original in some time, it’s worth rediscovering its pleasures."
44,4/4,"The creative minds at Pixar mixed full computer animation with old-fashioned fantasy and with writing that is downright smart, for the best family movie so far of the 1995 holiday season."
45,3.5/4,Seeing the imagery dimensionalized subtly adds to the already tangible curviness of Woody and Buzz's molded plastic world.
46,,"Like the perennial ballet, it has instant classic written all over it and will be popped into VCR's and laser-disc players for years to come."
47,,This is simply solid entertainment that uses the most awe-inspiring animation you've seen in a long while.
48,,"Whatever unfathomable technology brought Toy Story into being, the completed film is delightfully user-friendly."
49,,"It's consistently entertaining, and I had a good time watching it."
50,,"The computer-generated animation, favoring clinically bright, super-crisp photo-realism, approached the real of 3-D, even without 3-D."
