id,user_rating,review_text
1,5/5,"'That’s my family, Kay; that’s not me' remains for me one of the most tragic lines in all film."
2,,"While the concept of ""auteur cinema"" had been circulating for years, it is with this film that it is definitively consolidated, marking the beginning of a new way of making films. [Full review in Spanish]"
3,,"Coppola was able to take a trashy pulp novel and turn it into something close to Shakespeare; a sweeping, epic tale of family, crime, corruption and the Immigrant experience in America."
4,5/5,"This is not only grand entertainment, but an emotional and intellectual experience to rival any in cinema."
5,9/10,"The Godfather remains a powerful film that explores intricate themes that appear to contradict, but Coppola's storytelling ties it together."
6,,This magnificent multigenerational mafia drama represents a benchmark not just in crime movies but in American cinema as a whole.
7,,"The Godfather works like a masterfully conducted orchestra, whose immaculate symphony is a meticulously crafted and extraordinarily integral thread in the fabric of cinema history."
8,,... Villains and criminals that fulfill the American dream with complete disregard for the American way. A contradiction that engenders gods. [Full review in Spanish]
9,,"Now half a century old, Francis Ford Coppola's revered New Hollywood masterpiece has one of the best-known final shots in film history - but it almost had a much more Catholic ending."
10,4/4,A cultural milestone.
11,5/5,"The Godfather is as much about America, and the American experience, as any other great movie is (50th anniversary)"
12,,Skepticism of American exceptionalism is far more commonplace now than it was when The Godfather was first released. But the fragility of the American Dream was revealing itself as the illusion it had always truly been.
13,,"The Godfather films have set home-video standards for decades, and that trend continues with Paramounts astonishing 4K restorations."
14,,"50 years after its release on March 24, 1972, The Godfather is now and forever, one of the greats."
15,5/5,"An engrossing metaphor for American capitalism, watching the film on the big screen emphasises the majesty of Coppolas work."
16,,"It is a gangster film without any of the pity and hatred we might feel towards such aliens in our midst, because it recognises that in all of us there is the ignition towards power and criminality."
17,5/5,The Godfather justifies every minute of its extravagant running time.
18,,"For all its graphic violence, the movie was—unlike the novel it was based on—no mere exercise in popcorn sensationalism; it was emotionally complex, tragic, melancholy, definitely for grownups."
19,5/5,"As the doomy burnish of Gordon Willis’s photography captures the darkened souls of the Corleones, the effect is flat-out mesmeric."
20,,"The Godfather is the most memorable, most influential, most quoted, most beloved, most discussed, most imitated, most revered and most entertaining American movie ever made."
21,4/4,"Five decades later, The Godfather still resonates with the paradigm shifts from one generation to the next, still influences one filmmaker after another, and continues to be the foundation of a lasting mythology."
22,4/4,The Godfather is a rarity in film as every element off and on screen work here.
23,5/5,There is simply not a character introduced or exchange of words or looks that doesn't inform or add.
24,,"The Godfather redefined concepts of Mob movies by standing out artistically, and that comes partly from its distinct look, as deep browns and blacks contrast with light and golden tints reminiscent of Caravaggio...violence and beauty indelibly combine."
25,,The Godfather shows that there is still life in the massive production engineering which made Hollywood studios the wonder of the entertainment world in their great days.
26,,"The intimate camerawork, highlighted by closeups and staging actors as if in a void, creates a sinister edge to every scene."
27,5/5,"The supporting cast is a marvel, including Diane Keaton as Pacino's bewildered fiancee, Robert Duvall as Brando's second-in-command, James Caan as Pacino's headstrong brother, [and] Al Martino in a role patterned after Frank Sinatra."
28,,"Despite Brando's limited screen time, his presence overpowers the film. Yet it's Pacino's performance, as the idealistic war hero turned ruthless crime lord that takes on new meaning the second time around."
29,,"Maybe the secret of Brando's power is that he, like maybe a handful of others, understands fully what stillness and repose and tentativeness mean in terms of impact on film."
30,,"A three-hour film that thunders by like it was only 90 minutes. Truly, a milestone film."
31,,The Godfather becomes an instant classic among the superflicks.
32,,"The effective mingling of innocence and corruption here raises this moving, adult film above the level of the ordinary gangland thriller. Its three hours of well-acted, well-written and fascinating drama constitute an original and intriguing film."
