review_id,user_rating,review_text
1,80,A ravishing period piece that simmers with sexual tension while pulling off some dazzling narrative gymnastics.
2,100,"The Handmaiden is at once a superlative thriller and a deeply erotic character study, but it’s the intelligence, mordant wit and depth of characterisation that are the real turn-ons."
3,88,"Deliciously perverse, delightfully twisty, and unapologetically erotic."
4,88,Far too good to be watched in one sitting.
5,75,"The thriller is mildly thrilling, the intrigues reasonably intriguing. But it’s the sex that sells this."
6,80,"I still don’t know how a gore-meister like Park Chan-wook could have made the year’s most irresistible romance. Maybe it’s that he hates oppression — chauvinist, colonialist, Sadean — so deeply that in hoisting his old boys on their own petards, he has discovered the wellsprings of love."
7,50,"As far-fetched as it sounds, such torque-y plotting works, catching the audience off guard, even if the quasi-feminist payoff is less satisfying than it should be, thanks mostly to the film’s puerile fascination with girl-on-girl action."
8,88,This may not be Park’s best or gravest picture. But it might be his most entertaining.
9,100,"Elegantly depraved and immaculately degenerate, Park Chan Wook’s The Handmaiden is an astonishment. The filmmaking is masterful, very near to Hitchcock in its sly, controlled teasing of the audience."
10,75,"It’s an intricate thriller about a con game, but so loaded with wicked humor and sensual appeal — ravishing cinematography, high-temperature eroticism — that for long stretches viewers might forget there’s any plot at all."
11,100,"It’s a beautifully filmed, wonderfully challenging, multi-layered tale of trickery upon trickery, short con upon long con, deception upon deception."
12,90,"The Handmaiden is everything, in that it is a mystery, a graphically erotic romance, a black comedy and a little bit of a horror story. And, of course, really good."
13,88,"You have, I promise, never seen a movie quite like Park Chan-wook’s The Handmaiden. It’s a period drama gone mad; a lavishly colorful, beautifully-filmed-erotic-revenge-crime thriller set in 1930s Korea."
14,100,"Park Chan-wook’s The Handmaiden is a jaw-dropping, pulse-quickening mash-up."
15,100,Park’s Handmaiden is a great big chocolate box of a movie in which a rich and satisfying narrative is enlivened by some piquant erotica and the sharp tang of politics.
16,100,"The Handmaiden is film at its most exhilarating by a director at the height of his powers, and it’s the kind of singular rarity that must be savored when it comes around."
17,89,"An engaging and evocative thriller/love story, The Handmaiden is ultimately a tale of freedom and transformation, as satisfying as an exquisitely choreographed four-course meal."
18,91,"A fiendishly clever, sinfully funny con-job melodrama, the kind that keeps yanking the rug out from under everyone on screen and off."
19,70,"The nearly three-hour runtime, though, may be one of the film's biggest hurdles. But the time seems necessary for a story that adds more layers the further we're taken down the rabbit hole."
20,100,"It is voluptuously beautiful, frankly sexual, occasionally perverse and horrifically violent."
21,80,"It doesn’t all work: The pace can feel a little slow, and there are points where Park tries to have his tasty feminist cake and eat it too. But mostly, this is smart, sumptuous and wonderfully indulgent."
22,91,"So suspenseful, sexy, and surprising that it would be a shame to say any more."
23,90,"Without sacrificing his taste for psychosexual perversity or his flair for violent grace notes, Park has given us a teasingly witty and elegant puzzle-box of a thriller whose pleasures are rooted not in visceral shock but in narrative surprise, and which wisely opts to seduce rather than pulverize its audience."
24,90,"A rebus, a romance, a gothic thriller and a woozy comedy, The Handmaiden is finally and most significantly a liberation story."
25,100,"Thoroughly entertaining, startling and highly erotic film."
26,60,"Both actresses deliver vivid, tender performances; they generate all the movie’s fire, but they’re obliged to do it inside a chilly, ritualized framework, the aesthetic equivalent of a softcore mausoleum."
27,80,Park has conjured up not only his smartest but also his most stirring film to date. And the least icky.
28,75,"With The Handmaiden, Park Chan-wook has made a gigantic leap as an artist, but he retreats to lurid cartoonishness just as he’s earned your trust."
29,100,Perhaps the most surprising turn in The Handmaiden is that Park has knowingly subverted his own iconography by delivering one of the most beautifully romantic films of the year.
30,60,"A unique cherry blossom of a period piece finds its roots intertwined with an erotically-charged crime, set to shock and entrance viewers unaware of the free-spirited madness to follow. A cultural appropriation of submission, the male gaze and gender dominance, stretched until storytelling fabrics just begin to tear."
31,82,"By replacing the class system of Victorian England with the dynamic of the occupier and occupied, Park has tapped into something uniquely complex about a chapter of history that is rarely explored. There is a deep, festering malady at the heart of The Handmaiden, exacerbated by idle fantasy, cultural projection and denial."
32,80,"The film reveals its twists and turns with a delicate hand and always manages to stay one step ahead of the audience, even as most of those watching will surrender to the hypnotic erotic charge that runs through the film."
33,67,"Those familiar with Park’s earlier work will know that he’s hardly the most subtle of filmmakers, and his approach to gender politics here is risible, even self-contradictory. His customary prowess as a stylist and knack for constructing and navigating intricate plots, on the other hand, is once again put to good use."
34,80,"Given the nudity on show, some are already quick to criticise Park’s direction as gratuitous and to claim that his male gaze is affecting the depiction of lesbian romance. But the impotency of the male characters helps to counter this while the sex scenes themselves, as lovingly shot as they might be, feel vital to the narrative."
35,100,"Expectations are fully met in Park Chan-wook’s exquisitely filmed The Handmaiden (Agassi), an amusingly kinky erotic thriller and love story that brims with delicious surprises, making its two-and-a-half hours fly by."
36,83,"No matter its overarching ridiculousness, The Handmaiden remains a hugely enjoyable dose of grotesque escapism from a master of the form."
37,83,"An intensely pleasurable, lavishly shot dessert tray of utter hokum, The Handmaiden is a prime example of why we should be glad that there’s someone out there still invested in the overwrought Gothic melodrama, and that that person is Park Chan-wook."
38,80,"The film manages the tricky feat of both staying true to Waters breathless, page-turning prose, and creating a wholly persuasive new milieu for the story."
39,40,"It’s hard to pinpoint the precise moment at which The Handmaiden, Park Chan-wook’s deviously kinky period thriller, shifts from being a lascivious slice of art-house delirium to a gruelling, dislikable contraption which meretriciously sells out its source material. But that’s what happens."
40,80,"It’s sybaritic, cruel and luridly mesmerizing."
