review_id,user_rating,review_text
1,70,"Finding Nemo is, as it happens, the most dangerously sugared of the Pixar productions to date--how could any father-finding-son saga be otherwise?--but the threat is now one of oversophistication.  [9 June 2003, p. 108]"
2,75,"Though not as great as ""Toy Story 2"" and ""Monsters, Inc.,"" Pixar movies that are the gold standard for family movies, Finding Nemo is visually entrancing."
3,88,Pixar is so good at what it does that every other kiddie-entertainment purveyor -- including parent company Disney -- flounders in comparison.
4,100,"You could trawl the seven seas and not net a funnier, more beautiful, and more original work of art and comedy than Finding Nemo."
5,90,"The humor bubbling through Finding Nemo is so fresh, sure of itself and devoid of the cutesy, saccharine condescension that drips through so many family comedies that you have to wonder what it is about the Pixar technology that inspires the creators to be so endlessly inventive."
6,90,"An undersea treasure all the same, and a prodigy of visual energy."
7,88,"Though the Disney logo is on this movie, there is -- possibly excepting little Nemo himself -- not a single cloying, sentimental Disneyesque creature in it. There is, instead, wit and flair in concept and writing, the trademark of the Pixar people who drove the project."
8,80,"The whole thing is absolutely beautiful to look at, even when it has a bad case of the cutes."
9,100,"This time the dad is the hero of the story, although in most animation it is almost always the mother."
10,100,"Finding Nemo and its Pixar predecessors tap into the shared gene among the kids and adults that delights in imagination-engaging, eye-tickling and wit-filled storytelling. You connect to these sea creatures as you rarely do with humans in big-screen adventures. The result: a true sunken treasure."
11,100,"Summer hasn't even started, but you won't likely find a better catch this season than Finding Nemo, a dazzling, computer-animated fish tale with a funny, touching script and wonderful voice performances that make it an unqualified treat for all ages."
12,100,It has what the most heartfelt Disney animated features used to have: rapturous imagery matched with real wit.
13,80,"The best break of all is that Pixar's traditionally untethered imagination can't be kept under wraps forever, and ""Nemo"" erupts with sea creatures that showcase Stanton and company's gift for character and peerless eye for skewering contemporary culture."
14,90,"Nemo, with its ravishing underwater fantasia, manages to trump the design glamour of earlier Pixar films."
15,80,"Very clever and imaginative indeed, and its pictures are so gorgeous that they alone could warrant a second viewing."
16,90,Aquatic joyride.
17,100,"I don't think we're going to see a better--a funnier or more genuinely heartwarming, for that matter--comedy this year."
18,100,"Pixar's employees, masters of computer-generated animation, capture the look of the ocean like no artists before."
19,88,"As always, the voice casting is perfect. Throw in a moral, and some nice touches of technical accuracy (that fish keepers will appreciate), and the movie represents the best family film to-date of 2003."
20,100,The movie's generosity of spirit and artistry swamps its flaws.
21,100,"The visuals pop, the fish emote and the ocean comes alive. That's in the first two minutes. After that, they do some really cool stuff."
22,88,"The most gorgeous of all the Pixar films &#151; which include ""Toy Story"" 1 and 2, ""A Bug's Life"" and ""Monsters, Inc."" &#151;Nemo treats family audiences to a sweet, resonant story and breathtaking visuals."
23,80,"What's more impressive, and in the end more important, is the high standard of storytelling that Pixar continues to meet by locating both humor and emotional depth in worlds created out of lines of code."
24,100,It's the filmmakers' refusal to sugarcoat their tale's darker subtexts that makes Finding Nemo such a resounding piece of storytelling.
25,70,"The colorful and kid-friendly characters are a delight, though very young children might be alarmed by some of the larger creatures, who tend to come into view teeth first."
26,50,"After four Pixar features under their belts, it is painfully easy to see the clich&#233;s emerging."
27,88,"Leave it to a g-rated cartoon to give the live-action epics a lesson in action, fun and bracing originality."
28,70,"It's all beautiful, all right. But before long I began to feel beaten against the rocks of that beauty -- Finding Nemo smacks of looky-what-I-can-do virtuosity, and after the first 10 minutes or so, it's exhausting."
29,90,"May be a fish tale, but its story of the paradox of love -- knowing when to hold on means knowing when to let go -- is profoundly humane and human."
30,90,"Of all the great vocal characterizations...the showstopper is Brooks, who hasn't had a part this good since ""Lost in America"" (1985). His Marlin is tender, cranky, hysterical, yet somehow lucid."
31,100,The great joy of watching a Pixar production is how it rewards not only younger viewers but their older companions as well.
32,83,Dazzles us with computer-generated animation that has never looked quite so boldly exotic or shimmeringly beautiful.
33,89,Pixar's Finding Nemo may well have the best casting of any animated film of the past 30-odd years.
34,88,"This stirring children's movie about separation anxiety is swimming with comic references only adults will catch, thus greatly expanding the potential audience."
35,80,Stuffed to the gills with surprises.
36,100,"On a purely visual level, Finding Nemo is as gorgeous a film as Disney's ever put out, with astonishing qualities of light, movement, surface and color at the service of the best professional imaginations money can buy."
37,100,An exhilarating fish story in the perfectly cast comic adventure.
38,100,"The H2O theme fits in with the main feature, its tale of a clownfish searching for his son constituting Pixar’s most effective amalgam of comedy, artistry and emotional pull."
