id,tomato_score,review_text
1,positive,"Paths of Glory was too sobering to be a popular success, but it established Kubrick as a leading director."
2,positive,The director Stanley Kubrick and the producer-star Kirk Douglas anticipated the countercultural energy of the 1960s with this angry anti-war parable.
3,positive,"...the real enemy here is the French officer class who, from their opulently appointed chateau, use infantry as pawns in pursuit of personal promotion and in covering up of their own highly consequential failures."
4,positive,"Arguably the greatest antiwar film ever made, Stanley Kubrick's Paths of Glory feels like a mule kick to the stomach no matter how many times one has seen it (in my case, too many to recall)."
5,positive,The film also excels thanks to Kubrick’s visual choices particularly his decision to shoot in black and white. It is perfect considering the harshness of the material and the morally murky waters we navigate through.
6,positive,"Language issues notwithstanding, Stanley Kubrick certainly knows what he's doing with Paths of Glory."
7,positive,"Mr. Kubrick has not been able to inject into figures which are literary and alien from the rough vitality which so naturally flowed [in The Killing]. Nevertheless, Paths of Glory in its authority, its piercingness, is an extraordinary film."
8,positive,I can't even begin to imagine how Kubrick made this movie. I was perplexed the entire time. An absolute masterpiece. [Full review in Spanish]
9,positive,The directors most humanist film.
10,positive,"At any time, fashionable or not, it is a disturbing plea against the horror and senselessness of war."
11,positive,"Paths of Glory is finally a captivating work, both weakened and reinforced by its Americanism -- but a very diluted, Hollywood Americanism, at that, and therefore something of a positive force in the end."
12,positive,"The subject matter is fictional, but it has been handled so realistically that one feels as if he is witnessing a real-life occurrence."
13,positive,"Stanley Kubrick brings a controlled power to his direction of the uncompromisingly grim events, and Kirk Douglas, who produced the film, finds a most congenial role as an uncorrupted French colonel fighting for his men."
14,positive,Flashes of angry humor and a final gleam of hope relieve grimness.
15,positive,That is the shocking story and it is told with a stark realism that quite literally gives one the shivers.
16,positive,"For those who like to contemplate politics and philosophy through well-written narrative drama, it is a welcome distraction."
17,positive,I usually don't respond to Stanley Kubrick's films positively but I was moved by Paths of Glory and am very happy to have had the chance to see it.
18,positive,"An eye-opening, thought-provoking, powerful war picture that isn't so much anti-war as it is anti-politics, anti-corruption, and anti-authoritarianism."
19,positive,"Paths of Glory is something like an invitation to disobedience, to mistrust those who are in a position of authority. [Full Review in Spanish]"
20,positive,"Customers impatient of anything but escapist entertainment on the screen may be harshly jolted by this bleak and powerful antimilitarism drama. For less narrow viewers, it s a picture that should not be missed."
21,positive,What elevates Paths of Glory above and beyond the standard war film (despite Kubrick's keen direction) is its final moments.
22,positive,Paths of Glory is a classic for a reason.
23,positive,"The strong, decidedly unconventional conclusion confirms Paths of Glory's place as a fairly striking drama from Kubrick..."
24,positive,"High on tension, low on fat and fully deserving of its reputation as one of the finest war films ever made."
25,positive,"Those who are used to 2001: A Space Odyssey or A Clockwork Orange will initially find this black-and-white First World War drama starring Kirk Douglas rather traditional, until its radical content is revealed."
26,positive,"Classic Kubrick film with complex, heavy, anti-war themes."
27,positive,A reminder both of [Kubrick's] extraordinary formal virtuosity and his powers as a satirist.
28,positive,"Kirk Douglas and Timothy Carey are outstanding among the troops on the front line, while Kubrick's relentlessly probing camera offers constant evidence of a film-maker at the height of his powers."
29,positive,"It is arguably the best film about the first world war, and still has a reasonable claim to being Stanley Kubrick's best film."
30,positive,Some kind of corrupted masterpiece.
31,positive,"The scenes of trench warfare are frighteningly vivid, and Kirk Douglas gives a searing performance as the officer assigned to the hopeless task of defending the three men."
32,positive,"More than 20 years after Mr. Cobb's novel was first published, Mr. Kubrick reminded us that human folly is rarely checked for long. A half-century on, he is still right."
33,positive,Kirk Douglas gives one of his finest performances as the intelligent and courageous Col. Dax.
34,positive,You can sense Kubrick stretching his cinematic wings in this prime slice of Hollywood liberalism.
35,positive,"The sardonic rhetoric may be laid on a little heavily at times, but the movie is blunt and scornfully brilliant."
36,positive,"profound, poignant, and eloquent"
37,positive,"Stanley Kubrick often spoke out against war in his film, using violence as a weapon against the audience's sensibilities. Never was he more convincing as here."
38,positive,watching it is to watch the birth of the one of the greatest filmmakers of the second half of the 20th century
39,positive,
40,negative,"While the subject is well handled and enacted in a series of outstanding characterizations, it seems dated and makes for grim screen fare."
41,positive,"This masterpiece still packs a wallop, though nothing in it is as simple as it may first appear; audiences are still arguing about the final sequence, which has been characterized as everything from a sentimental cop-out to the ultimate cynical twist."
42,positive,"Stanley Kubrick's best meditation on war (yes, ""Full Metal Jacket"" fans, you heard me)."
43,positive,Truly a Kubrick classic with strong Kirk Douglas performance.
44,positive,
45,positive,"The final scene, in which Kubrick presents close-ups of soldiers watching a captured German girl being forced to sing for their pleasure is nothing short of masterful."
46,positive,"Working with a big budget for the first time, Kubrick superbly marshals the battle scenes. But the behind-the-scenes military wrangling seems so regimented and preordained that there's not much left to respond to."
47,positive,Star Kirk Douglas used to say he didn't have to wait 50 years to know that Paths Of Glory would 'always be good.' He was right.
48,positive,One of the great anti-war dramas.
49,positive,Songs at the ends of dramas usually make us feel better. They are part of closure. This song at the end of this movie makes us feel more forlorn.
50,positive,Paths of Glory is all about that greatest of all movie subjects: power.
