id,tomato_score,review_text
1,positive,"If I consider The Godfather Part II a formidable film, it's because it's the perfect complement to the first, even when the latter apparently didn't need it. [Full review in Spanish]"
2,positive,"Pacino’s performance is like that of a simmering volcano, powerful through what is being withheld from the audience."
3,positive,"""Godfather II"" ties all its elements together into a nuanced yet epic vision of an American family and how its downfall parallels that of America itself in the first half of the 20th century."
4,positive,The storytelling is leisurely and masterful; Coppola at the very peak of his powers.
5,positive,"If you like your drama on a low-key level with excellent acting all around, then Godfather II is where it's at. I wasn't a great fan of the original but this sequel succeeds in unraveling the saga of a simple Mafia family."
6,positive,"Through a compelling dual character study, the sequel explores the intertwined yet distinct paths of its protagonists. The result is a breathtaking display of filmmaking leaving us in awe of its expansive scope, attention to detail, and sheer perfection."
7,positive,The finest example of when a sequel is superior to its predecessor. The Godfather Part II is one of the best films of all-time. A masterpiece. It's that simple. Full review in Spanish
8,positive,Lauded in some corners (although not this one) as being superior to its predecessor.
9,positive,"The Godfather films have set home-video standards for decades, and that trend continues with Paramounts astonishing 4K restorations."
10,positive,It’s an epic vision of the corruption of America.
11,positive,"One leaves the theatre stunned by the cold, ruthless violence of which men who are so otherwise civilised (they, have nice homes, wear nice clothes, love their families and friends dearly) are capable."
12,positive,Director Francis Ford Coppola furnished a fully-fashioned gangster melodrama in the first film: in this one he stretches his talent to encompass a genuine American tragedy.
13,positive,Seldom has a motion picture captured the feel and texture of novel form as this film does.
14,positive,What particularly impresses me about the film is the way it conveys the feeling of being a young immigrant in the land of opportunity.
15,positive,"What is so good about the film is the sympathetic way that Coppola has treated such unsympathetic characters, machismo-minded males still worshiping at the god of tribal virility."
16,positive,"The Godfather, Part II grows more impressive by the minute."
17,positive,"This ideal is achieved perfectly in The Godfather: Part II, which to me is the best of the series."
18,positive,"The cinematography is the third major element in Godfather, Part II, ranking with Coppola's direction and its major acting successes to create its convincing epic quality."
19,positive,"All the performances are fine, especially Lee Strasberg as a despicable Meyer Lansky hood; Diane Keaton, as Michael's despairing wife; Robert Duvall, as his lawyer; and Robert De Niro, as Vito Adolini, nee Don Corleone."
20,positive,Acknowledgement should be given the film for its sweep and scope and a style so distinctive that Coppola must be credited with creating something entirely fresh and inimitable -- the hallmarks of a first-rate artist.
21,positive,"Francis Ford Coppola's The Godfather, Part II is an even richer, more spellbinding work than its wholly successful predecessor."
22,positive,"The new sequel to The Godfather, titled The Godfather, Part II, permits us a second look inside that room, inside that world. At times the vision is as beautiful, as harrowing, and as exciting as the original."
23,negative,"The Godfather, Part II really has no reason for its lavish existence other than the greediness of its makers. And that is the kind of avarice that a godfather appreciates."
24,positive,"The Godfather Part II is quite fascinating in its study of a migrant community and especially of power within that community. A mixture of horror, piety and wit, it is compulsive viewing (even if you feel like closing your eyes in some scenes)."
