id,user_rating,review_text
1,4/4,Delightful film that tugs at the heartstrings!
2,17/20,... one of Miyazaki’s highest peaks.
3,5/5,"Whether you're a seasoned Ghibli fan or have never seen this classic before, seeing Princess Mononoke on the big screen is a must."
4,5/5,"133 minutes of rich animation...a testament to Miyazaki’s craft as both storyteller and animator, creating not only one of Studio Ghibli’s greatest works but one of the greatest animated films of all time."
5,4/5,"…a vibrant, colourful film…Studio Ghibli’s Princess Mononoke still enchants and entertains with its epic medieval narrative, strong female lead and environmentally sound message…"
6,,Miyazaki’s ability to seep in the elements of fantasy with the real creates images that are not just visually stunning but also a reminder that he is an artist whose genius can never be replicated.
7,10/10,"Even for Miyazaki, few works reach the perfection of craft like Princess Mononoke. The 4K restoration for IMAX allows the visual and auditory artistry to shine."
8,4/5,"""Blending gorgeous visuals with a tender and topical narrative that speaks to the soul, Princess Mononoke is one of Ghibli’s most important films yet."""
9,4/5,"...a refreshing take on the tired man versus nature genre, and it also sheds light on ancient Japanese folklore, religion, and history."
10,5/5,"When you watch this film, you need to think: ""Where are the Japanese wolves?"" If you don't, you'll miss the full impact of Hayao Miyazaki's environmental theme. Japan isn't the land of Bambi or the Big Bad Wolf."
11,,Princess Mononoke explores the gaping chasm between nature’s gentle acceptance of circumstance and humanity’s steadfast refusal to quietly accept death.
12,5/5,"With his characteristic vitalism, Miyazaki's Princess Mononoke shows us that even after destruction by reaped a headless god in a seemingly interminable night, the day always breaks and... trees will flower once again. [Full review in Spanish]"
13,,"Beautifully animated, with a gorgeous, mature score... this is a perfect adult alternative to standard Disney fare."
14,4/4,"The story could not be told through another medium, nor could another director wield its vast scope."
15,99/100,It's a powerful allegory that stands on it's own as a beautiful piece of art that is wildly entertaining.
16,4.5/5,"Hayao Miyazaki's dark world of magic, in which humans and forest gods vie for supremacy, stands alongside the real one, commenting upon its shortcomings."
17,,'Princess Mononoke' gives empowered voices to women (in a time where they didn't have any) & doesn't make them victims in need of a savior. It also forces audiences to look inward and question the way we consume things from the world around us.
18,,"In a style similar to ""Nausicaa of the Valley of the Wind"" but much richer in context, Hayao Miyazaki manages to present a number of different comments, mostly having to do with the dark side of human nature"
19,,"[Miyazaki understands] the myriad complications of being a person in this world, a world with too many layers for a word like 'evil' to suffice, and Princess Mononoke reflects that."
20,3.5/4,This is a visual treat featuring some truly unique creatures -- just check out those oddities that look like an unholy cross between Casper the Friendly Ghost and that chattering demon from the Hellraiser flicks.
21,,There are some movies that are so special that it's almost like watching it for the first time every single time. Princess Mononoke is one of those films.
22,9/10,"A spellbinding epic with great characters, visuals and pathos."
23,2.5/4,"Done mostly in the style of hand-painted classic animation, with occasional digital assists, ""Princess Mononoke is indeed a thing of beauty and imagination."
24,,It's one of Ghibli and Miyazaki's many animated masterpieces.
25,A,"Princess Mononoke's greatest feat is in crafting a story that could've been so easily simple, but manages to be more morally complex than even the most epic live-action films."
26,,"This handsome, beautifully designed Japanese animated film has the size -- though not the clarity -- of a great Japanese film epic."
27,,"Miyazaki's hordes of animators haven't penetrated beyond the skin; the moving creatures feel inarticulate and jerky, almost weightless, particularly when played against painterly background mattes."
28,4/4,"With a Luminist's attention to light, water, shadow and smoke, Miyazaki creates an epochal story born of history, myth and Shinto animism."
29,,"The film's strength lies in its refusal to paint either its arguments or its characters in black and white: There are no pure heroes, no clear-cut villains and no pat answers."
30,4/5,This imaginative and intriguing Anime deserves all the plaudits heaped upon it.
31,4/4,"Beautifully constructed and painstakingly written, this is about as close to a perfect animated epic as you're likely to get."
32,3.5/4,Anyone who relishes seeing the reach and scope of the genre redefined should not miss this marvelously accomplished picture.
33,,"You'll see why, in animation circles, Miyazaki himself is considered one of the gods."
34,,"Watching this film is often like observing a group of people playing an elaborate game for which you don't know the rules. What they're doing obviously has enormous meaning for them, but that meaning is mostly lost on outsiders."
35,,Miyazaki's world is stunning for its richness and imagination.
36,3.5/4,This highly imaginative and beautifully rendered fable of ancient Japan comes from writer-director-master animator Hayao Miyazaki and is told with the scope and epic flair of the best live-action adventure films.
37,4/5,The highest-grossing Japanese film of all time is a luxuriously animated legend of ancient gods going head to head with mankind and industry over the balance of nature.
38,,The animation -- from elaborate (the supernatural creatures) to simple (a rain shower) -- is superb.
39,,"Some of the images in Princess Mononoke are not just unforgettable, they're almost edible in their vibrantly colored beauty. I haven't taken in animation quite so hungrily since I was a kid watching Disney features for the first few times."
40,4/4,"Hayao Miyazaki is a great animator, and his Princess Mononoke is a great film."
41,,"It's more thoughtful and varied than the average Hollywood cartoon, and its environmental message is appealing."
42,,"Highlighted by a sparkling, translucent Forest Spirit that only emerges at night, tiny skeletal creatures with clicking swivel-heads, and a truly magical denouement, Princess Mononoke is still a formidable achievement, if not a resounding success."
43,4/4,Watching the way Miyazaki and his animators can make a misty cloud drift across the screen is nothing less than pure bliss.
44,8/10,"It is too ambitious, too sure of its own vastness to love it; it demands respect more than affection."
45,3.5/4,"A seamless marriage between a mature, complex story ideas and boundless visual imagination."
46,,"From the very opening frames, Miyazaki proves himself a total master of the medium..."
47,,Hayao Miyazaki recasts the mythic tale of man's dominion over the earth with an animist mythology and a conservationist message...
48,,"Obviously the real star here is the artwork, which was spearheaded by director/lead animator Hayao Miyazaki."
49,4/4,"Its delicate intricacies appeal to older audiences while its simple, animated appearance appeals to younger generations hopefully influencing them into action to help preserve and defend nature without condemning technology."
50,3/4,Hayao Miyazaki's eco-friendly animated fable about animal gods and those damn humans bent on destroying the environment is made bearable by some trademark anime limb-severing violence.
