id,user_rating,review_title,review_text,author,date
1,6,A Lot Going On,"Still grieving the loss of her husband, Tabatha is struggling to keep her ranch afloat while managing her children and the other children she has opened her home to. The tables turn when an outsider offers her a way out, forcing her to re-evaluate her outlook and priorities.An intriguing movie with potential and beautiful horses. There is one main story, with many different tangents, but none of them are given much detail or background. Most of the details of the stories are inferred based on the minimal dialogue. The one hour and thirty-seven minute runtime feels longer due to the slow pace of the movie and the dialogue being broken up by beautiful scenic shots and horse riding. It has the potential to be worth a stream.",RegalsReelView,N/A
2,7,staying the course,"Greetings again from the darkness. Kate Beecroft's first feature film as writer-director can be accurately described as a biographical-drama, yet we can't help but wonder if a straight documentary could have been equally interesting. In no way is that meant as a criticism of the film, it's just that most of the cast (with only a couple of exceptions) is made up of non-actors playing versions of their real-life selves ... and each one of them holds our attention, leaving us wanting to know even more.Tabatha Zimiga is a tough-looking mom who runs a 3000 acre horse farm near the Badlands of South Dakota. She's a horse trainer and trader, and is known as a 'horse whisperer' (her abilities are so renowned, some even jokingly refer to her as a witch). The auction prices on her horses have dropped recently, adding stress to Tabatha's existence. Not only did her husband die, leaving her to run the farm, but she's also the one who welcomes local kids to live at her place when things don't go well at their own home. As noted by the signs of blight in the area, poverty is commonplace, and some folks can't handle the added burden of kids. In fact, Tabatha currently has seven teenagers and her own three-year-old son to care for - so the reduced price for horses puts many in peril.One of the teenagers is Tabatha's fourteen-year-old daughter, Porshia, a champion rider who markets the horses on TikTok ... while also going through the moods of a teenager who no longer has her dad. Also on the farm are Tabatha's mother Tracey (played by the always excellent Jennifer Ehle, SAINT MAUD, 2019) and Tabatha's boyfriend Clay. Tracey seems best suited to smart-aleck remarks as she brews her own moonshine. Tabatha calmly and firmly runs the show, knowing full well how dependent the kids are on her.After one of the auctions, Roy Waters (Scoot McNairy, A COMPLETE UNKNOWN, 2024), a cocky rancher from Fort Worth, Texas makes an offer to Tabatha. He will buy the ranch and allow her and the kids to continue living and working there to build the horse trading business. He recognizes the value in having a horse whisperer of Tabatha's caliber. One can imagine how angry this makes Porshia, as it's the only home she's ever known, and the farm carries all memories of her late father. It's here where the film slips a bit, as the interaction between Tabatha, Porshia, and Roy seems a bit clunky, leaving us to fill in a few too many gaps.Cinematographer Austin Shelton does a terrific job at capturing the unique terrain of the area, as well as the near chaos of the energetic kids. Periodically, the music is a bit too strong for the scene, but there is something true and honest here as we ask ourselves, ""what makes a family?"" It certainly seems like Tabatha knows.The film opens on August 15, 2025.",ferguson-6,N/A
3,7,like this corner of the world,7/10like this corner of the worldSpoiler,SnoopyStyle,N/A
4,6,Doesn't know what it wants to be when it grows up,"There are some fine bits, especially in the first third, and those into horseflesh will likely appreciate the training, auction & rodeo sequences. The acting is uniformly good for an ensemble made up mostly of newbies. But the film's great potential is ultimately wasted. The mother's birthday encounter session is a genuine ""jump the shark"" disaster, which the conclusion can do little to rectify.",kirkers9,N/A
5,6,Rescuing the Rescuer,"In this world, there are people who are rescuers and those who need rescuing, and rarely do they stray from either of these natural inclinations. But, in an unexpectedly intriguing twist on this idea, first-time writer-director Kate Beecroft has served up a debut feature that showcases a colorful cast of characters who ultimately explore both sides of this question, and they do so in a setting that few of us ever get to see up close. This quasi-biographical tale tells the story of a passel of South Dakota cowgirls who struggle to learn the ropes of getting by in this fundamentally hard way of life, many of whom are portrayed here by cast members who have firsthand real-world experience at home on the range. Leading the way is rebel rancher Tabatha Zimiga, playing a fictionalized version of herself as a rescuer and reseller of wild horses, primarily to rodeo circuit clients. And, to help her tame these mavericks, she draws upon the breaking skills of another pool of ragtag rescues - local at-risk teens in need of developing a skill to help keep them out of trouble and broken homes. She seems to get considerable fulfillment from these undertakings, a real sense of purpose and profound satisfaction. But life on the edge of the Badlands is hard, a way of living that doesn't pay off nearly as well as she would like considering the effort she puts into it. On top of that, Tabatha also wrestles with the unresolved grief of losing her husband, the challenges of raising a developmentally disabled young son (Stetson Neumann) and strained relations with a rebellious teen (played by Tabatha's real-life daughter, Porshia). Given what she's up against, it sounds like Tabatha could use some rescuing of her own, and that just might come to pass when a well-off prospective business partner from Texas, Roy Waters (Scoot McNairy), unexpectedly enters her life. Recognizing Tabatha's talents with horses, Roy is eager to join forces with her, a venture that he sees as mutually beneficial, one that he believes could potentially change both of their destinies for the better. But at what cost? And is teaming up with this mystery man something this fiercely independent woman is willing to do? Fortunately, Tabatha has an array of confidantes to call upon, such as her no-nonsense, moonshine-swilling mother, Tracey (Jennifer Ehle), who freely shares her sage advice whether or not her daughter wants it, especially when it comes to making it plain that the one who's in the best position to rescue Tabatha is herself. Through this release, the filmmaker takes viewers into a world they're not likely to know much about, and she tells them an authentic story grounded in genuine emotion and heartfelt compassion, cleanly presented up in a tidy, economic fashion. However, despite these noteworthy attributes, the narrative could use some greater depth, substance and development at times, qualities that would go a long way toward enhancing an already-solid premise. Still, ""East of Wall"" has nevertheless made a mark for itself, earning two Independent Spirit Award nominations for best first feature and best breakthrough performance, notable accomplishments for a labor of love made on a shoestring budget, traits at the heart of independent cinema - and what tends to make it so satisfying.",brentsbulletinboard,N/A
6,3,"Hard to follow story, visually well done","I saw East of Wall at a ""Screen Unseen"" event at my local theater. I hadn't heard of it before and went in completely blind, which I usually enjoy-but in this case, it didn't quite work out.I found the movie hard to follow, both in terms of plot and pacing. It seems to center on a woman with a difficult past who trains horses and tries to move forward with her life. While the film clearly aimed to be emotional and character-driven, the storytelling felt disjointed and lacked enough clarity to fully connect with the audience.On the plus side, the visuals were striking-the South Dakota Badlands made for a beautiful and atmospheric backdrop. The acting was generally solid, though nothing particularly stood out.Overall, East of Wall had potential, but its narrative struggles kept me from becoming fully invested.",DFWMovieGuy42,N/A
7,8,Good emotional slice of life story,"Watched at the 2025 Sundance Film Festival.A simple slice of life tale about a women trying her best to go through the troubles in life is emotional journey. And director Kate Beecroft does a fantastic job on presenting a low-budget feature with strong nature performances from the cast, realistic characters and engaging writing.Presented through a docudrama presentation, this slice of life narrative carries many good themes about family, the struggles, being a cowboy/cowgirl kind, and trying the best to navigate despite the harsh realities. Filmed with beautiful camerawork and nature dialogue, you begin to feel the connection and emotions the characters are going through. Whether they aren't perfect, the characters are interesting as they never came off as unlikable or boring.All of the performances are good, the score is good, and there are some sequences that does hit right in the heart successfully. Reminds me a lot of Chloé Zhao which her works focus on the American natural landscapes.Overall, I really liked this movie and I love to see this director make another movie someday.",peter0969,N/A
8,1,Absolutely not,"Forcing myself to sit through this self-aggrandizing garbage was one of the most boring and painful experiences of my life. It felt like someone handed the most broken people in America a camera and told them to try to make people cry with their ""story"".I struggle to even call this a movie because it was just so much nothing all the way through. No substance, people ""acting"" as themselves and still failing at that, and the most cringy voiceovers since the original cut of Blade Runner. This was worse than watching the trashiest reality TV, because at least something happens on those shows that can be accidentally entertaining at times.Instinct told me to leave 2 minutes in when it showed the family making horse-riding TikTok videos, but I was too stupid to listen to that voice. Be smarter than me and go see or do literally anything else.",the_avatar_77,N/A
9,10,Boyhood Meets Cowgirl Power!,"Boyhood meets Cowgirl Power meets Chloé Zhao's ""The Rider""! How anyone who loves humanity, horses, and nature could not love this gorgeous docudrama, I'll never understand. An extended family of young and younger people, mostly female, fight through the daily challenges of managing a horse ranch in the Badlands area of South Dakota, somewhere East of Wall.They seek to combine fact and fiction to tell their unique story in unique ways, all on a shoestring budget with some amateur actors playing themselves. Three years of video footage and a mere twenty four days of low budget shooting later, what could go wrong?But more importantly, what could go right? Apparently an awful lot because audiences don't hand out heartfelt standing ovations at Sundance festivals like children's candy. With many tears flowing the audience in Park City professed their sincere gratitude to these real life superstars of the silver screen and the silver spur.When I saw the film yesterday I was spellbound by a number of shots that reminded me of my own disadvantaged childhood and my love of nature. Growing up in the city I didn't get to see much of it like this family does but the challenges of my youth were very much the same.What's wrong with my family? Why are we broken? How did we get here? Who am I? Where am I going? How do I become someone I can be proud of being someday? Then ultimately, how can we help others to become what they can all be proud of becoming, and have a lot of fun along the way. How can I help them?Something about seeing a simple jump cut to young Porshia's Championship buckles on a little shelf in her room held me in awe of the feeling it resurrected, that I also still remember from way back then. That someday maybe I could achieve something, and be happy, and be proud of myself and of my extended family. That maybe someday the world would make complete sense and I would enjoy and be grateful every minute of being alive.Never mind that suicide is a central part of the story. Or that a young girl eaves dropping on adults in her family late one night revealed the awful truth of that heartbreaking event. This is a story that affirms everything good about life and death. You leave the theater grateful that such storytelling still exists in the world. That real people like this still exist!It seems that from the report at Sundance of the reception of this amazing film in Park City, it gave them all that sense of accomplishment. It's so often is missing in the lives of the underdogs, the people living on the edge and barely getting by. That it was given by their peers who also love nature, and their animals, and their extended families, made the report all the more heartfelt and appreciative.My only question is wanting to know more about the Native American connections in the family. Jesse Thorson let's out a few war hoops at the end on his horse, to make sure we all know where he originally came from. Other than a dedication to a person named Warhawk, I can find nothing on that Native connection. Jesse, and what appears to be his girlfriend and maybe even a better trick rider, are important characters in the story and deserve a bit more attention as to their own Native connections.In any case, someone please give Kate Beecroft, Tabatha and Porshia, and this wonderful group of kids and adults more than just some applause or kind words so that their legendary story can be enjoyed by more of us. It is something that makes it crystal clear what life is all about. They've also earned a place in indie film history in my heart, a fellow underdog also made good. Giddeyup!",djdavig,N/A
10,2,The acting ruins the film,"East of Wall is a drama through and through, centering on a rebellious, tattoo-covered horse trainer who's recently lost her husband and is now facing the possible collapse of everything she has left. The premise is solid: she opens her home and horse farm to children whose parents either can't or won't take care of them - whether they're addicts, absent, or just checked out. It's a noble idea and one that immediately creates empathy for her character.From a directing standpoint, the film is competently put together. It's very story-driven and tries to keep its focus on the emotional core. That said, the plot has holes you can't ignore. There are threads that feel abandoned, moments where you're waiting for payoffs that come too late or not at all. By the time something gets addressed later, you've already forgotten why it mattered in the first place. The writing isn't bad - it's straightforward enough to follow - but it doesn't elevate the material beyond ""decent drama.""Where the film really lost me was the casting and presentation of the main actress. I understand that she was written as a rough-around-the-edges character, someone with a tough exterior and a troubled past. The tattoos, the shaved head - those things fit the rebellious angle. But the execution was distracting. Instead of seeing a strong, complicated woman rising above hardship, I kept thinking she looked like someone who was actively battling addiction herself. The camera doesn't help here either, constantly drawing attention to her teeth, which looked discolored and unhealthy. It was incredibly off-putting for a role that's supposed to be about saving children from broken lives.Her daughter Porsche didn't help much either - the same issue applied. Every close-up was hard to watch, not because of emotional weight, but because of glaringly unpolished details like bad dental presentation. I'm not trying to be cruel or mock someone's real-life appearance, but when you're making a film, those choices matter. If it distracts the audience from the story, it undermines everything you're trying to build. A simple mouthpiece, better makeup, or just attention to detail could've solved this problem.It's frustrating, because at its core, East of Wall has a good story about grief, resilience, and trying to help kids who've been dealt a terrible hand in life. But the movie never let me fully connect because I couldn't get past the surface-level distractions - the teeth, the appearance, the choices that just didn't feel believable for the kind of role she was playing.So, here's where I land: East of Wall is a watchable drama. It has its moments, and the premise is heartfelt, but it's far from flawless. If you can look past the distracting presentation of its lead characters, you might find a meaningful story underneath. But for me, it was hard to separate the performance from the unintentional distractions, which ultimately kept me from fully enjoying it.",TheMovieSearch,N/A
