id,tomato_score,review_text
1,positive,"Exceedingly slow and lumbering with awkward posturing throughout, Call Me By Your Name, even in its inspiring peaks, is missing the rapturous sweep to bring outsiders into these taboos."
2,positive,Luca Guadagnino's adaptation is a sublime queer romance anchored by Chalamet's assured lead performance and great chemistry with Hammer. And a scene with Michael Stuhlbarg that'll break your heart.
3,positive,"There’s not only pain and heartache in that reflection by the fire, but also a tinge of hope and relief. It’s astounding in how powerful it is."
4,positive,"It would be easy, but superficial, to lump Call Me by Your Name as just a romance film between two young men, but director Luca Guadagnino thankfully has a lot more on his mind."
5,positive,"Call Me by Your Name skips through time like a dream, or a calcified, powerful memory. Guadagnino succeeds remarkably in working the themes into the craft and, like love that ends too soon, so does the film."
6,positive,"Luca Guadagnino’s lush Italian masterpiece, “Call Me by Your Name,” is full of romantic subtleties: long lingering looks, brief touches, meaning-laden passages read aloud. But nothing is ever fully overt..."
7,positive,"From the 1980s idyllic Italian countryside to the slow-burn romance, Luca Guadagnino directs a mesmerizingly dreamy summer experience."
8,positive,"The film is romantic in a very classical sense, and the spell works."
9,positive,"17-year-old Elio (Timothée Chalamet, in his best performance to date) lives with his parents in suburban Northern Italy. Elio's archaeologist papa (Michael Stuhlbarg) invites an American grad student (the always-wooden Armie Hammer), to spend the summer.."
10,positive,"Chalamet rocketed from obscurity onto the Hollywood A-List thanks to Call Me By Your Name, and with good reason: he didnt just give a great performance in the film, he gave the best performance of 2017."
11,positive,"Call Me by Your Name taps into universal emotions that belong to everyone who has loved, and rewards our experience through luscious filmmaking."
12,positive,Call Me By Your Name is a film that captures a human truth in a way like no others.
13,positive,"While it's the simmering sexual tension that keeps you watching for most of the film, it's only later that you realise this is a character piece about a man's bluster and how his confidence does not make him strong."
14,positive,The most humane and kind movie in a year that featured so many others filled with anxiety and darkness.
15,positive,"Chalamet's performance is magnificent - this is the sort of performance that stretches across a lifetime. This is ""Hey look we have our own James Dean now"" level good stuff here"
16,positive,"The blossoming romance between these two men, that unfurls over six sun-dappled weeks in northern Italy, is utterly ravishing."
17,positive,"What the film does with that, thanks to the performance by 2017 all-star Michael Stuhlbarg, is surprising and life-affirming."
18,positive,Chalamet is quickly becoming one of the most reliable young actors around...
19,positive,The actors are superbly convincing.
20,negative,"It's certainly a handsome piece of escapist-touristic fantasy, though I remain skeptical of Guadagnino, who often seems truer to his sideline as a luxury-product advertiser than he does to the narrative and psychological depth..."
21,positive,One of 2017's most engaging and loving films.
22,negative,"[I]ncredibly seedy and oft-fetishized . . . In the world of Call Me by Your Name, this sort of behavior is literal, and it's abusive."
23,positive,"Chalamet's performance is subtle but thorough, his body language conveys so many feelings... his stare is the reflection of the love he desires. [Full review in Spanish]"
24,positive,"[T]here is nothing else in their world of two, no other possible reference ... The film is powerful not in spite of the fact that it's a summer fling, but because of it."
25,positive,It frames the honesty of human feelings with a lucidity that transcends any sexual sphere. It is a good movie. [Full review in Spanish]
26,positive,"Call Me by Your Name transcends because it dares to not only ask, but also answer the question posed by so many love stories throughout history: was the love worth the pain? Yes. Without a doubt, it was."
27,positive,A delicious boy-meets-boy romance.
28,positive,"The director's use of location is almost too good to be true, and will likely make you want to book at trip to Italy immediately."
29,positive,I still enjoyed a lot of this movie.
30,negative,There wasn't nearly enough Italy porn or gay porn.
31,positive,"A modern-day Visconti, Italian director Luca Guadagnino (I Am Love) grants us entry into a world not only of wealth but of culture, which can be just as liberating."
32,negative,"Call Me By Your Name is one of the most beautiful films I saw in 2017, but ultimately it left me unsettled."
33,positive,"The movie contributes little to the urgent contemporary project of diversifying representation... Yet, for two hours and change, Call Me By Your Name is an overwhelmingly pleasant and seductive place to live."
34,positive,"The film (adapted by James Ivory) is beyond lovely and methodical, covering every aspect of the life of an adolescent at a critical moment of his growth."
35,positive,"Guadagnino has absorbed some of that Merchant Ivory mojo, with its sotto vocce emotions and divine European languor. But he's also fallen victim to his inspiration's vices as well."
36,positive,A timeless and sumptuous tale of the rarity and fullness of love.
37,positive,"At its heart, Call Me By Your Name is bittersweet, melancholic yet ultimately uplifting - just like first love."
38,positive,"It is a lyrical, mesmerizing, experience at the cinema that numbers among the best movies of the year."
39,positive,"This film is a beautifully shot lavish love letter to Italy, but even more, the slow unfolding of a love affair that meant something to two men who knew it would not continue."
40,positive,"This gently provocative new film is an insightful portrait of not just the awkward ungainliness of first love, but the intensely defining nature of how its effects define identities and trajectories."
41,positive,Their love story is one for the cinematic ages.
42,positive,"For such a simple story, the thematic depths that Call Me By Your Name covers is incredibly impressive."
43,positive,"'Call Me By Your Name' is a wonder, a film that leaves you with a smile on your face and with a good feeling similar to that unexpected breeze on a hot summer afternoon. [Full Review in Spanish]"
44,positive,"It is precisely its honesty that makes it an indelible, charmingly melancholic journey. [Full Review in Spanish]"
45,positive,"A lovely film that works on various levels, not least being its insistence on lush visual cues."
46,positive,Love my way.
47,positive,"A masterpiece; a wise, wonderful, and perfectly crafted romance that lingers and enchants, standing tall as one of the finest cinematic achievements in recent memory."
48,positive,"Call Me By Your Name is an exquisite queer love story that might be through the lens of two gay men, but it speaks to the hearts of everyone, everywhere."
49,positive,Call Me By Your Name is a visually stunning film and a romantic tale of forbidden love.
50,positive,A beautiful film.
