id,user_rating,review_text
1,,"Envy, Embarrassment, Ennui and Anxiety begin to dominate the mind of struggling teen Riley in this witty Inside Out follow up that feels too similar to the original."
2,,"Inside Out 2 is ultimately successful, in large part because, like in the first film, the embrace of a harmony and balance among the emotions is emphasized above all else."
3,4/5,"Inside Out 2 is chock full of charm and intelligence, with witty new wordplay that makes our heroes float down a Stream of Consciousness before they face a sarcasm Chasm."
4,,Pixar again manages to bring heart and humor in a creative and unique way you don’t see coming.
5,,"Inside Out 2 comes close enough to success that it is going to make billions worldwide, but does not quite cross over into “we will be thinking about this film six months from now”."
6,,"While the first film was undeniably charming, Inside Out 2 takes the concept to new heights. It’s a perfect example of how a sequel can not only meet expectations but far exceed them."
7,,"It’s a reminder to everyone watching, no matter their age, to seek out community when problems arise, to strengthen bonds of support rather than shun them."
8,4.5/5,"Inside Out 2 is full of emotional stakes and consequently plays into the character traits of its human figure. Despite being hefty in minutiae, the film can be quite overwhelming in the thesis argument it seeks to convey."
9,4/5,"This sequel manages to address much more complex emotions that appear over time and visualize problems that many children and not so young people are going through today, from a more comical and playful perspective. [Full Review in Spanish]"
10,,"Inside Out 2 is a hell of a return to form for Pixar, building upon the foundations of its previous installment with insightful and creative world-building, richly developed characters, and no shortage of wonder and self-reflection."
11,3/4,"One of the reasons the “Toy Story” sequels were so effective was their sense of continuity, which simply doesn’t register here. On the other hand, a few of the new additions beyond Anxiety are inspired."
12,,"It was well made, it was well thought out as an expansion, continuation, and growth of what the previous one was. I just personally will never watch it again, because I can't handle cringe."
13,,"Inside Out 2 is the best PIXAR sequel ever. It deftly taps into the universal experience of young adults with new emotions, coming of age experiences and moral quandaries to navigate while also being a moving commentary on the importance of mental health."
14,5/5,"A fine sequel during which Riley copes with some new emotions, including Anxiety."
15,7/10,"It's a fascinating shift of focus as a result. Where Riley needed her emotions to lead in Inside Out, her salvation in Inside Out 2 lies in stopping them from driving the car into a wall."
16,B+,"Even with its flaws, it’s still one of the year’s most gorgeous and heartfelt films."
17,,Feels like a natural progression of the story established in the original movie.
18,,"[Inside Out 2] is a natural progression in terms of Riley’s narrative, exploring the onset of transition from childhood to adulthood."
19,6/10,"A sequel that, from the start, promises new emotions and adventures inside the human mind, but unfortunately fails to capture the spark and depth of the original. [Full review in Spanish]"
20,4/5,"The turbulent tale of teenage emotions is moving, lovable and wildly creative."
21,,"Inside Out 2 is too nuanced and deeply felt to be called impersonal. It takes Riley's ambivalence and crushing self-esteem issues seriously, while still mining laughs from the awkwardness she finds herself unable to shake off."
22,3/4,"One of the most perfect of all Pixar flicks has finally been followed by a sequel that, while enjoyable, doesn’t come close to matching the giddy heights of its 2015 predecessor."
23,4.5/5,A lot better than the original - this is important film that both parents and children need to watch together.
24,5/5,"With smart writing and a talented cast, Inside Out 2 captivates audiences, delivering a successful and heartfelt sequel."
25,4/5,"... more than 1, 2 contains an important message that transcends the target viewing audience, the Riley-aged viewers, expanding its influence to those who’ve yet to learn that anxiety itself isn’t bad, but just another facet of ourselves to understand."
