id,user_rating,review_title,review_text,author,date
1,9,A classic for all the right reasons,"Watching On The Waterfront nowadays, two scenes stand out head and shoulders above the rest. First is the impassioned speech by Father Barry (Karl Malden) to the gathered dock workers in the hull of a ship where he tries to rally them against the mobsters running their lives. Second is the confrontation between Terry and Charlie Malloy (Marlon Brando and Rod Steiger) in the back of a taxi which ends in one brother pointing a gun at the other and Brando's now legendary ""contender speech."" Both of them are sequences where the characters do nothing but talk but each is a fine example of what makes On The Waterfront the undeniable classic it is; acting, scripting, cinematography, music, everything fits into one cohesive whole and the end result is a welcome addition to any film collection.The story here concerns Terry Malloy, a New York shipyard worker who finds his conscience bothering him when one of his friends is murdered. Terry at first is a tough guy with a grim outlook (""you know my philosophy on life, give it to 'em before they give to you"") who despite his inner turmoil refuses to confess anything to the Police as it would make him a ""rat."" However, the arrival of Malden's headstrong Preacher and the victim's innocent sister Edie (Eva Marie Saint in her debut appearance) throws his deaf and dumb world into chaos. Soon, Terry finds himself falling for Edie and the Preacher's words hit home, leaving the angry young dockworker to question what's really right. The mob meanwhile aren't too happy about Terry's UNHEALTHY RELATIONSHIP and begin to pile on the pressure, especially his older brother Charlie who's torn between loyalty to his boss and looking out for his younger sibling. Before anyone can put a lid on things, the dockyard becomes a very tense place to be.Brando of course puts his heart and soul into his performance. Terry by his very nature isn't one to carry his heart on his sleeve and so the great Method Actor is left to convey his turmoil through body language alone. It is a testament to how good he is that you can tell exactly what Terry is feeling even though he hardly ever expresses it verbally. Instead his shoulders hunch with resigned indignation and his eyes spark with anger, Brando playing the part so well he more or less disappears into the character completely. While he may have taken a lot of the credit however, he is far from the only strong presence in the film as Karl Malden's rock hard Preacher is just as compelling, his depiction of the dignified man of Christ who isn't afraid to drink beer and smoke cigarettes with the Wharf rats being a refreshingly positive portrayal of a Catholic leader. Eva Marie Saint meanwhile puts in a convincing portrayal of Edie, but she is hamstrung a little by some old fashioned writing. Her pursuit of her brother's murderers give her some powerful moments but there are a couple of instances where it becomes all too clear that the part was written by a man. However, she still gives us one of the most touching moments in the film, a confrontation with Terry where most of their chat is disrupted by a tug horn that is achingly sad despite the absence of dialogue.Acting is only one half of the equation of course and needless to say, the story remains constantly gripping. The murder that opens the film leaves an instant grip on the viewer's attention and as Terry spirals further into an intricate web of half truths, things get incredibly dark. The New York tenement blocks that tower over the proceedings provide an imposing sense of claustrophobia while the rooftops are a smoke laden jungle of chimney stacks and TV aerials. However, if you look closely it becomes apparent that the crew still had some fun with the material and there is some subtle humour to be had - a wedding party degenerating into a brawl and a bar full of panicked customers emptying into the streets followed by a shot of one isolated individual desperately jumping into the bathroom.All in all therefore, On The Waterfront is a film that is thoroughly deserving of its reputation. Brando excels in his role and heads up a highly talented cast giving it their all. Most of all though, it's an engaging and captivating story of urban paranoia, filled with tough guys spitting out slang in barking New York accents. Think you're a big shot, do ya? Huh? Well do us all a favour and check this one out. Ah enough a youse guys, ged outta here.",ExpendableMan,N/A
2,9,Not what I expected- so much more.,"IMDb Top 250: 105I finished On the Waterfront about 2 hours ago, and something strange happened. Something I haven't done in a long while, I can't for certain remember the film that caused it. When the film ended, I sat in silence for about 10 minutes.On the Waterfront is an inspiring film. There's a feeling you get watching it- movie magic. Something great is playing out in front of your eyes and you are taking in the collective effort of geniuses. Right from the start, with the dramatic score (that stays fine throughout) introducing the film, something special is happening.The plot synopsis gives the appearance of a plain film, and plain it is not. The mob, murder and romance are the stars of this show and right off the start this is apparent- like the lighting of a fuse. Then as the wick burns down, the drama unfolds. We learn about Terry Malloy (Marlon Brando), his past and present, and his conflicted thoughts. We are introduced to characters that push him down the path he has to choose. A viewer grows to care about Terry, and until he decides for himself, we have no idea what he'll do.This film is an acting gold magnet- it received 5 nominations in acting alone. I'll start with Brando's legendary performance. It doesn't matter what you think of him offscreen because for 2 hours he is at his very best, one of the best in acting ever. Terry is a fantastic character and Brando gives an unrivalled, honest performance.Wanting him to stand against his negative influences are Father Barry (Karl Malden) and Edie (Eva Marie Saint). The father is a frustrated man, furious in his quest for righteousness. Only in The Exorcist have I liked a priest as much. He gives a raging performance, at its peak with a scolding of the longshoremen. Riveting. With him, but quite the opposite in character is Edie, who falls into the plot. Saint aces her characters role, which is to mold Terry. Their scenes are tender, believable, and in a recurring theme with the film, honest. During their bar scene I thought they could've just made a romance together, leaving out all the drama.On the other side, the mob union leaders, we have Johnny Friendly (Lee J. Cobb), the head honcho, who is ferocious, intimidating, and impeccably evil to honest workers. There's also Charley (Rod Steiger), Terry's older brother who is comfortably in with the mob. I didn't notice him at all, except for 'the scene' which must've made him in the Academy's eyes.Speaking of 'the scene', the pivotal Taxi cab dialogue between Terry and Charley, you can tell as it happens this is the moment, the peak of On the Waterfront and Marlon Brando. It is the turning point of the film, where Terry makes some huge realizations that we can infer from only his face and tone. I won't even discuss his words, as it's been done by absolutely everyone. There are several other great scenes, like the 'It's a crucifixion' speech and the various rooftop scenes.Right until the last scene we aren't sure what will happen. I won't spoil it, but it's elevating. Heroic. Even enlightening.On the Waterfront is about the small speaking out against the large and corrupt. It's about going against the flow, breaking the silence. Sometime in your life you were or will be in Terry's position to some degree, and you'll either do or don't. Leave it at that, please don't read the director's reasoning behind the film. Take it for what it is: a fantastic film that will make you want to be a better person who can speak out against wrongdoers. Powerful indeed.I thought On the Waterfront would be good, but not this good. With stupendous performances, a top notch story and a strong message, On the Waterfront is film at it's best. 9.4/10",Kubris,N/A
3,8,"Powerful portrait of N.Y. docks , being stunningly performed and excellently directed by Elia Kazan","This compelling and dynamic drama is set on New York's dock where mobsters control the Union and stevedores . An ex-prize fighter named Terry Malloy (Marlon Brando who deservedly won an Academy Award) turned longshoreman struggles to stand up to his corrupt union bosses (Lee J Cobb) and is embroiled in violence . Malloy faces the terrible dilemma of whether or not to turn informer . While his brother (it was originally offered to Lawrence Tierney , but he asked for too much money so the role went to Rod Steiger who was nominated for an Academy Award for his performance) is a crooked lawyer and he meets a beautiful ex-nun (Eva Maria Saint , Grace Kelly turned down the role of Edie Doyle, deciding to make Rear Window instead) and falls in love for her .This is an interesting and thought-provoking film with attractive plot by screenwriter Budd Schulberg , containing intense drama with pungent lines , emotion , wonderful performances , memorable climax , magnificent direction and classic musical score by maestro Leonard Berstein . For this brooding film and highy charged throughout story writer Budd Schulberg took the idea from newspapers , as he started with an expose series written for The New York Sun by reporter Malcolm Johnson , the articles won him a Pulitzer Prize and were reinforced by the 1948 murder of a New York dock hiring boss which woke America to the killings , graft and extortion that were endemic on the New York waterfront . Marvelous acting by entire casting . Marlon Brando is perfect as stevedore who faces the thorny dilemma of whether or not to become himself into an unfortunate informer . The taxicab scene , one of the most known scenes in the cinema, in which Brando began to improvise some dialogue , while surprising Rod Steiger listened and Kazan simply stood back and let the two actors direct themselves . Along with first-rate main cast : Brando , Steiger , Eva Maria Saint , appearing here and there great secondaries giving nice interpretations , such as : Lee J. Cobb , Leif Erickson , Michel V. Gazzo, Pat Henning , James Westerfield , Martin Balsam , Pat Hingle , Nehemiah Persoff, among others . Being film debuts of Michael V. Gazzo, Pat Hingle, Martin Balsam, and Eva Marie Saint . The leading characters were based on real people: Terry Malloy was based on longshoreman and whistle-blower Anthony De Vincenzo ; Father Barry was based on waterfront priest John M. Corridan ; Johnny Friendly was based on mobster Albert Anastasia. On the Waterfront is widely known to be an act of expiation on the part of Elia Kazan for naming names to the House Committee on Un-American Activities (HUAC) during the Joseph McCarthy witch-hunts of the 1950s.This trend-setting film has a gritty portrait of N. Y. waterfront and stand up well nowadays and resulted to be a huge financial hit , it is a winner all the way , as from a budget of just under $1 million, the film went on to gross ten times its production costs in its initial release. And winning eight Academy Awards , including : Best Picture , Direction (Elia Kazan) , Actor (Marlon Brando), special mention for Eva Maria Saint who gave a debut performance that won her the Best Supporting Actress Academy Award, Cinematography (cameraman Boris Kaufman) , Art Director (Richard Day) . The motion picturre was compellingly directed by Elia Kazan , and it seems to be a direct response to Miller's play The Crucible. In fact , Kazan intended it as a direct attack at his former close friend Arthur Miller who had been openly critical of Elia's actions . Rating : Very good , above average , and a real must see . Well worth watching .",ma-cortes,N/A
4,10,"Kazan's film constitutes an extraordinary tour de force of fluid direction and nervous, edgy acting","""On the Waterfront"" is basically the story of one man, Terry Malloy, a young dock worker with a little, and unsuccessful, experience as a boxer but not much intelligence or purpose He wastes his time around the docks, vaguely discontented about his life and revealing a tender trace in his otherwise tough manner as he tends his pigeons caged on the roof of his modest buildingHis brother Charley (Rod Steiger), a suave opportunistic lawyer, works for the local dockers' union, headed by Johnny Friendly (Lee J. Cobb), the arrogant mob bossFriendly takes affectionate interest in Terry and tries to make things easy for him He also takes advantage of Terry by involving him in the killing of an uncooperative docker Unaware of their murderous intentions, Terry sets the trap for the man who is thrown from a roof top because he allowed himself to be interviewed by a crime investigating commissionTerry's alienation from the crooked union leaders starts when he meets the dead man's sister, Edie (Eva Marie Saint), and realizes the grief he has brought into her life She asks his help in bringing the racketeers to justice, as does Father Barry (Karl Malden), a priest of complete goodness and rightnessBrando's moral dilemma was superbly drawn in the film He's an ordinary man finding the courage to stand up and be counted As portrayed by Brando he is touchingly believableThe rest of the cast is excellent:Cobb is extremely good as the brute fury boss who intimidates the workers into silence, stopping at nothing to maintain his position of power on the docks...Rod Steiger gives his finest performance as the clever and suave opportunistic lawyer who works for the local docker's union...Eva Marie Saint manages to make the blood go through Brando's valves reviving and creating a heart that never existed before...Karl Malden is hard and clear as the activist Catholic priest who continue encouraging other longshoremen to testify, inciting Brando to fight for his rightsregardless of the costrather than be a pawn in a ruthless system of bribes and killings...""On the Waterfront"" is one of the great American films, not only because it bravely spreads a strong light on the violation of justice, but because it is a powerful piece of cinema, which push forward a classic study of man's responsibility to his fellow man...The film won eight Academy Awards...",Nazi_Fighter_David,N/A
5,N/A,A Few Side Remarks on a Consensus Classic,A Few Side Remarks on a Consensus ClassicSpoiler,dougdoepke,N/A
6,10,A film I consider absolutely perfect,"I watched ""On the Waterfront"" last night, and I have seen it many times. This movie is a perfect capsule for any viewer. The actors are superb in their roles, the dialogue is raw and powerful, the staging is tight and reflects the claustrophobic nature of the characters' lives in this part of Hoboken. You have the feeling that they never leave this area of maybe a few blocks, because they feel trapped by their circumstances, poverty, grueling work, and the corruption that's endemic in this place and system.Marlon Brando is Terry, a failed prize fighter with deep regrets and loneliness, who is a low-level thug in this corrupt system dominated by the bombastic, cruel union boss, Johnny Friendly (Lee J. Cobb in an electrifying performance). He rules the waterfront with brutality and terror. To make Terry feel even more trapped is the fact that his only living relative, his brother, Charlie (Rod Steiger), is Friendly's right-hand man. Terry has no great ambitions in life, and seems resigned to this bleak path until fate, and two shining lights, appear in his life: Edie (Eva Marie Saint), a decent, loving, determined and angelic blonde woman, and Father Barry (Karl Malden), the local priest who can throw a punch, drink a beer and stand up to the mob with the strength of his faith behind him.Terry and Edie embark on a seemingly doomed romance that both actors play so beautifully. You can feel their yearning, their awkwardness, their passion for each other and their deep connection -- all without the explicit nudity and fake grunting used in contemporary movies. When they embrace, you feel their desperation and desire for each other in a profound way.""On the Waterfront"" is certainly director Elia Kazan's great masterpiece. The performances are all outstanding, and Brando is just a marvel of tortured pain and passion and agony and courage. One particular thing I love about ""On the Waterfront"" is the scenery. Every set or outdoor shot conveys the grim, cold nature of the characters' lives. There is no movie glamour and little comfort here. Only a hot cup of coffee made on a plug-in heating plate in a ""cold-water flat,"" or a beer and a shot hastily consumed in a waterfront saloon are pleasures to these characters. Their clothes are patched. Edie's hair isn't ""styled,"" and she wears no makeup. Terry's face is a bit scarred. Malden's nose is...as we all know. The gritty setting feels real. If you've never seen this movie for any reason, do not delay!",PeachesIR,N/A
7,9,"Brando makes this an intense movie, well worth seeing.","Ex prize fighter Terry Malloy is conflicted, between The Mob and his brother, and a woman he's fallen in love with, who's husband fell foul of The Mob.I haven't long completed Target, The Corruptors, and the wonderful algorithms suggested this film, what a great suggestion. Very much a story of people suffering at the hands of The Mob, and someone forced to bracelet make a stand.This film is very gritty, very well paced, and boy you get a sense of the poverty and desperation of those men.Marlon Brando makes this film so incredibly watchable, his performance is nothing short of captivating, he exudes masculinity, anger, rage, conflict and love. He definitely appears haunted in this movie, he has a look in his eyes.9/10.",Sleepin_Dragon,N/A
8,10,Powerful every time I see it,"Back in the early 1950's, after a movie had run its course at the theaters, it did not go to video.  Nor did it go on prime-time TV, as that concept came up many years later.  Instead, they put it on afternoon TV, sometimes around dinner time.  Well, that's when I'd come home from high school, and got to enjoy free black and white classics such as ""High Noon"" and ""On the Waterfront"".It made a moviefan of me for life.  I remember the effect of ""On the Waterfront"", as I remember thinking about Terry Malloy in that final scene, ""Wow, that guy's got guts!  I wish I could be like him.""  Being just a typical Midwestern teen, I didn't know who Marlon Brando was, but I just was fascinated by this life of these good and bad people, on the tops of buildings and in the cold, wet streets and alleys of this far-away place near the waterfront.Now, every time I watch it, years later, I still love it.  Yes, there is definitely an attempt to make Terry into a Christ-figure at the end. That's no coincidence that he stumbles from having been beaten to a pulp, to walk and carry a hook on his shoulders, to lead others to a better life.  (In the book by Budd Schulberg, by the way, Terry disappears after testifying and what is thought to be his body is found floating in a barrel of lime.  But he has become a legend on the waterfront.)  I love the powerful Elmer Bernstein score (glaring for our present tastes, but back then, exactly what people expected to hear during a drama -- you've got to wonder what a future generation will say about the constant replays of fairly irrelevant pop and rap songs as themes during most movies today, dramatic or comedy).And being raised in a Catholic home, I found Father Barry to be a great dramatic figure, one of the only times I saw a priest portrayed as a gritty, brave, heroic person, not afraid to mix it up with the common folks in the parish.  He smoked, drank and slugged it out.  And he was not afraid to die for the right reason.  Folks, that's true Christianity at work.  And that's powerful.A classic.  A must-see.  10/10",jjh6519,N/A
9,7,Excellent performances; so-so story,"Elia Kazan's ""On the Waterfront"" is frequently listed among the greatest of all American films. It concerns a longshoreman's inner and outer struggles in exposing the corruption of union bosses.Unquestionably, the strength of the film is the acting. Brando's performance in particular is one for the ages. He won his first Oscar for this role and Eva Marie Saint also garnered an Oscar in her introductory film role. On top of that Karl Malden, Lee J. Cobb & Rod Steiger all earned Best Supporting Actor nominations. These accolades give an idea of the level of talent on display here.Kazan's direction is well done as he strives for a gritty, realistic look. Shooting on location was an important part of that. Leonard Bernstein's score, on the other hand, is often overbearing. There's nothing wrong with the music itself, only the prominence of it.The main area in which I feel the film doesn't quite deliver is the story. The film does a fine job of exploring the characters but I find that the underlying storyline doesn't really work for me. The main premise is a good one but after the initial confrontation I began to lose interest. The self-consciously 'inspiring' ending doesn't help, either.All things considered, I give the film high marks for the excellent acting and direction which, unfortunately, are in service of a merely average story.",sme_no_densetsu,N/A
10,10,Magnificent statement about the power of one,"""All that is necessary for the triumph of evil is that good men do nothing."" (Edmund Burke) The evil in 1954's ""On the Waterfront"" is the union bosses, brilliantly portrayed by Lee J. Cobb, Rod Steiger and their thugs. They are allowed to do business because of the fright, intimidation, and passiveness of an entire group of longshoremen, who either work or don't while the big shots take kickbacks and steal from them. Then Joey Doyle, who had agreed to testify against the union bosses, is set up by a clueless Terry Malloy (Marlon Brando) and thrown off of a roof. His sister Edie (Eva Marie Saint) is determined to find out what happened. But no one will talk. She shames Father Barry (Karl Malden) into taking more of an interest in what is happening on the docks, and he does. Still, no one's talking. Terry falls in love with Edie but still can't do the right thing. Another man is killed. When the killing finally affects Terry, he realizes something has to change.""On the Waterfront"" is one of the most amazing films ever made, directed by the great Elia Kazan. There were three Oscar nominations (Malden, Cobb and Steiger) in the Best Supporting Actor category, and the film took home the top acting awards, Kazan as director, and best film, best screenplay, best editing, best cinematography, best art direction. There was a nomination for Leonard Bernstein's fantastic score, and it's difficult to understand how he could have lost the award. This is the only film for which he wrote incidental music. It is fantastic, particularly in the tender moments between Terry and Edie.""On the Waterfront"" has the classic performance of Marlon Brando, a man who is loyal to his brother Charlie (Steiger) even though Charlie ruined Terry's fight career and now is part of the union corruption. Brando is sensational as a tortured young man (based on whistle-blower Anthony DiVincenzo) who knows what he should do, but the price is too high. It's his love of Edie that gives him a conscience. She's from another world and hasn't been jaded by life yet. It's impossible to believe that this role was offered to Grace Kelly, but it was. Why Kazan thought her cold beauty and finishing school accent would have fit into this scenario is beyond me. Saint is perfect - warm, strong, gentle and most importantly, comes off as the kind of girl who lives in a blue collar neighborhood.Lee J. Cobb as Johnny Friendly (based on real-life mobster Albert Anastasia) gives a bombastic, violent, and scary performance; Karl Malden is letter-perfect as the priest who fights for Terry's soul; and Steiger is excellent as Charlie, a weak man who has taken advantage of his brother to feather his own nest. Karl Malden's character of Father Barry was based on the real-life ""waterfront priest,"" Father John M. Corridan, who operated a Roman Catholic labor school on the west side of Manhattan. Father Corridan was interviewed by screenwriter Budd Schulberg.The saddest thing in the film is the attitude of the young boy who helps Terry take care of Joey's pigeons. He's already been inculcated with the ""D&D"" (deaf and dumb) policy of the longshoremen.The cloudy, rich atmosphere of the story is captured by the Hoboken, New Jersey locations - although this is a fictionalized version of events on the New York waterfront.The end of ""Raging Bull"" is a homage to ""On the Waterfront."" The end of ""On the Waterfront"" will give you goosebumps.Evil only triumphs when good men do nothing. When those same men stand up for what they believe in, they show evil for what it really is - cheap, lousy, and dirty.",blanche-2,N/A
