id,tomato_score,review_text
1,positive,"""Terminator 2: Judgment Day"" isn't just best film of the summer; it is the standard by which action films of the future will be judged."
2,positive,"Judgment Day smoothed and stretched the premise behind these [Terminator] films about as much as it could be without snapping, and it did so with a firm conclusion."
3,positive,... you can enjoy this film simply for the heartwarming moment where an advanced killing machine falls victim to a high five he just isn’t quick enough to make.
4,positive,"After taking a wobbly step with The Abyss, Cameron can now confidently assume his rightful place as the best action genre director around. And of course Arnold is at his very best when he's playing a robot."
5,positive,"Terminator 2 is an ultra-violent science-fiction fantasy, but Cameron's direction is so wildly stylized that even the most intense sequences are less disturbing than you might imagine."
6,positive,Mr. Muscle delivers the explosive goods in Terminator 2: Judgment Day. And director/producer/co-writer James Cameron once again puts the pedal to the metal cyborg and unloads a stunning arsenal of truly special effects.
7,negative,"Nothing detracts or distracts from [the film's] cost. Not the plot - too lame, too limp, too tense but with no tension. Not its look - it has the sleek, blue-ice sheen of a music video. Not its script - which reads pompous, the way only bad sci-fi can."
8,positive,"Terminator 2: Judgment Day is louder, flashier and deeper than its predecessor. But no better. What it gains in power and technical prowess it loses through its gargantuan size.  Terminator 2 lumbers while the first movie sprints."
9,positive,The message is certainly not a new one. But the pleasures of 'Terminator 2' are to be found in the way it is delivered. It is one of the rare sequels that lives up to the standard of the original.
10,positive,"Stacked with special effects to make your jaw drop...this is a science fiction fan's dream, offering many of the genre's classic themes and concerns, but married to heartstopping big screen action which can only be described as ""relentless."""
11,positive,"""Terminator 2""...is packed with thrills and astonishing visual effects - there are a couple of long, winding chases... that are as exciting as any ever filmed, and this is one of the few movies worth seeing for its special effects alone."
12,positive,"The effects are great and the violence is less explicit than, say, ""Total Recall."" All in all, it may be the hit of the summer. It just isn't Cameron's best."
13,positive,It's the action-adventure film of the year - a standard by which all others will be judged. But it isn't exactly the most original concept of this or any other decade.
14,negative,"The rest of ""Terminator 2: Judgment Day"" is a series of crushing fights and chase scenes punctuated with a smattering of cheap jokes and meretricious calls for world peace."
15,positive,"""T2"" is merely a simple-minded action story told with state-of-the-art technology and the Cameron flair. Don't think about it and you will enjoy the ride."
16,positive,"It's a tough movie, not for the squeamish or for family viewing. But adults will delight in this sometimes tongue-in-cheek treatment of a frightening future."
17,positive,"[Terminator 2] is a movie that seems to set new marks for violence, explosiveness, state-of-the-art technical effects and budgetary extravagance. It is, at the same time, dazzling and numbing, a movie that stuns you in all senses of the word."
18,positive,"For sheer, stupefying, screen-filling destructive size, Terminator 2 is the ultimate weapon. Movies won't (can't?) come any bigger, louder or expend so much technical sweat as this - and all over a couple of cyborgs trying to terminate each other."
19,positive,"""T2"" is as exciting as the original - but packed with even more action and propelled by a story that can stand on its own."
20,positive,"But genre considerations aside, ""Terminator 2"" is simply the most visually dynamic and imaginative American movie to come out since ""GoodFellas."""
21,positive,"This is the ""Gone With the Wind"" of action films; it's Indiana Jones on amphetamines."
22,positive,"""Terminator 2"" is two-plus hours of the best thrill ride you've ever been on; it is funny, scary, compelling and wall-to-wall with eye-popping chase scenes, urban combat and state-of-the-art special effects."
23,positive,"""Terminator 2"" is pure movie. The past-future, man-vs.-machine mythology that is its fuel becomes a little muddled as a message for mankind. But its mythology is not muddled as fuel for cinema."
24,positive,"From its spirited female lead to its spectacular special effects and Schwarzenegger's appealing blend of menace and self-deprecation, ""T2"" is a film for people who like movies with action, a smidgen of heart and a great deal of Schwarzenegger."
25,positive,Its breakneck chase scenes and slambang shock effects leave an audience feeling like road kill.
26,positive,"Its major drawback is that it's too long, and it's too long mostly because no one could bear to leave more of that $100 million on the cutting room floor."
27,positive,"...at a time when big-budget sequels have tended to disappoint (""'Predator 2"" and ""Back to the Future III'), ""Terminator 2"" delivers more than two hours of nonstop, thrilling action."
28,positive,"Terminator 2 is violent, yes. But the magical effects created by five separate companies skilled in computer graphics, pyrotechnics, miniatures, animatronic make-up and optical illusions do wonders for the overkill."
29,positive,"In the end, what's scariest about this movie isn't the T-1000 or the evocation of nuclear holocaust - it's that even Cameron's most violent excesses are a helluva lot of fun to watch."
30,positive,"On several counts ""Terminator 2: Judgment Day"" succeeds spectacularly. Its special effects are as amazing as anything ever seen on the screen. Its chases and shootouts represent the acme of action moviemaking."
31,positive,"Terminator 2 beckons the art of special effects into alarming and beautiful new territory, and forces you to reconsider their place in cinema."
32,positive,Terminator 2 is a dazzling display of special effects for which the term state of the art seems too mild by half.
33,positive,"If you liked the first Terminator, you'll delight in this. It's twice as good as it had to be."
34,negative,"...""Terminator 2"" plays much better as a weapons demonstration/truck-o-rama than as a telling collision of the future and now."
35,positive,"Terminator 2 has everything you could want in an action adventure - incredible special effects that redefine the art, explosive stunts that'll take your breath away, and the alternately awesome and amusing presence of Arnold Schwarzenegger."
36,positive,The film is exciting even though nothing really exciting happens in it. It's all movie magic.
37,negative,"Where the original Terminator holds up marvelously as a generous thriller without imitation-epic pretensions, the sequel plays like a ""B"" movie with delusions of grandeur."
38,positive,"The movie is a stunningly efficient study in special effects, high-style violence and relentless action. In short, it's a heart-thumper."
39,positive,"This is the best-looking action movie with the most eye-popping special effects in a good long time. It contains not one, but two of the best chase sequences in movie history; and the bad terminator is easily one of the best science fiction baddies ever."
40,positive,"But if Terminator 2 is somewhat mechanical and predictable, it is never boring or stupid in the way that most big budget action films have become. The Terminator may shoot at the knees, but the movie aims much higher."
41,negative,"The sequel maintains the nihilistic humor of the first...but it never gets the soul. It isn't the characters; it is about how much Cameron and his special effects team can cook up in explosions, car crashes, shoot-outs and fights."
42,positive,"The violence is still gratuitous, although Terminator Arnold doesn't kill anybody. ...But for a whopping adrenalin rush that feels like a dozen straight rides on a corkscrew rollercoaster, ""Terminator II"" can't be surpassed."
43,positive,"...the movie is everything that its fans could have wanted - a big, bashing, boisterous action spectacle merrily devoted to the demolition of property and mortification of the flesh."
44,positive,"Resonant and sweet, as well as thunderously violent, ""Terminator 2: Judgment Day"" is terrific."
45,positive,Cameron delivers some stunning sequences and Arnold has become a joy to watch; but T2 can't match its original.
46,positive,"As a movie, ""Terminator 2"" is good enough. But as a special-effects display, it's spectacular."
47,positive,Never has the screen been filled with so much mind-blowing action.
48,positive,Terminator achieved its legacy as one of the best science-fiction films of all time through its originality. Terminator 2 achieves most of its impact through sheer size and firepower.
49,negative,"[James Cameron's] screenplay...is confusingly plotted, despite the skinniness and unoriginality of its ideas."
50,positive,Terminator 2 is among the most exciting spectacles ever made.
