review_id,user_rating,review_text
1,100,"Pixar has raised the animation bar again, with its most musical — and arguably most magical — film yet. If this is the afterlife we’re all headed to, don’t fear the reaper."
2,80,"It may lack the ingenuity of their finest outings, but this is Pixar’s best film in ages. Visually splendid, frequently emotional and culturally nourishing."
3,90,"Does Coco rise to the heights of Pixar’s very best work? No. But it is a generous, heartfelt film, full of color and music, one that offers a timely Thanksgiving tribute to the intergenerational importance of family."
4,90,"It’s not a subtle movie, but it’s an uncommonly affecting one—a film that, like Pixar’s best, manages to be whimsical and bone-deep, all at once."
5,85,"Most of all, Coco hums with the idea that we’re kept alive by the stories people tell about us when we’re gone. Whether Coco itself will be an eternal story is iffy. But I’m glad it’s with us today."
6,83,"It’s imperfect and gorgeous, and even if it is a dark movie, it’s one I can’t wait to see again. Being confronted with one’s own mortality is a small price to pay for something this good."
7,83,"The film represents a full embrace of a culture and its people, as well as a celebration of family, both present and past. As such, it’s difficult to imagine healthier holiday fare."
8,90,"Coco wonderfully explores familial themes, identity, and learning what it means to grow up in a world that isn’t perfect."
9,75,"As Miguel unravels the secret behind his family's ban on music and its relationship with de la Cruz, a story emerges that is both newly inventive in the way it deploys the skeletons and absolutely classic in the way it connects remembrance with immortality. Turns out these talking skeletons have a lot to say."
10,88,"Coco brims over with visual pleasures, comic energy and emotional wallop."
11,83,"It lacks the delirious inventiveness and irreverence of the best Pixar movies (which for me would be the “Toy Story” trilogy, “The Incredibles,” and the first 10 minutes of “Up”), but there’s always something spacious to look at, and the songs, mostly by Robert Lopez and Kristen Anderson-Lopez, aren’t bad either."
12,80,"Yes, Coco thrills with its of-the-moment visual invention, but its core elements — dead relatives, family photos, the power of loving memory — couldn’t be more timeless. When Pixar made me cry this time, it wasn’t just for the characters on the screen. It was for the people I remember, and the ones I hope will remember me."
13,80,"If Coco doesn’t quite reach the highest level of Pixar masterpieces, it plays a time-tested tune with captivating originality and flair, and with roving, playful pop-culture erudition."
14,80,"Coco is a rousing, affecting, fun and much-needed return to form after underwhelming Finding Nemo and Cars sequels and will help to ensure that Pixar’s legacy remains intact."
15,88,"Coco is a day-glo firecracker celebrating a country and a culture that has been (and continues to be) much maligned, and it’s at its most vibrant when it journeys into and beyond the shadow of death. That’s a paradox I can live with."
16,100,"I had some minor quibbles about Coco while I was watching it, but I can’t remember what they were. This film is a classic."
17,50,It’s so respectful that vibrancy suffers. Coco is a bright pinata of a movie that breaks and nothing falls out.
18,75,"Not only is it a wholly original story, but it also honors a culture that’s so often overlooked by the movie industry. That alone might have made it a hit, but Coco has so much more to offer."
19,100,"It’s heart that’s overflowing with love, poignancy, humor, color and music."
20,70,"Try as you might to lose yourself in Coco, or pause to ponder its metaphysics, too often you find yourself hindered by the movie's breathless velocity."
21,75,"Coco may not be a blockbuster but, regardless of how it performs at the box office, it’s a welcome return to a variety of animated fare that prizes inspiration over safety."
22,75,"Too often Coco mistakes chaos and calamity for comedy, and it’s a little perverse to prevent this particular story from becoming a full-on animated musical."
23,70,"While Coco brings a lot of sweetness and light with it (and, undoubtedly, a lot of happy tears), not one story beat includes something to startle the adults in the audience into realizing something new. No movie has to do that. But Pixar once was reliably in the business of making indelible cinematic crowd pleasers — and now it feels like it’s settling into something much more routine."
24,88,Coco is one of Pixar’s most gorgeously animated outings in some time.
25,80,"Yes, the latest Pixar offering involves a journey to the Land of the Dead, which by definition requires people to, you know, die. That's always sad. But there's joy here, particularly in the animation and the cinematography; the Land of the Dead is a beautiful place, which is kind of comforting"
26,89,Coco is animatedly empowering entertainment for anyone who’s ever had to go against the wishes of their family to achieve their most heartfelt dreams.
27,83,"The vividness of the narrative never quite matches the riotous swirl of color and culture on screen — and neither do the songs, sadly, for how central they are to the story. Instead, Coco settles into something gentler but still irrefutably sweet: a movie that plays safe with the status quo, even as it breaks with it."
28,90,"Pixar’s latest animated film may lack the volume of out-loud laughs of the “Toy Story” series, but the fantasy set in Mexico doesn’t skimp on the tears. It’s as if the studio turned the touching first seven minutes of “Up” into a nearly two-hour feature film."
29,75,"In general, Coco is the kind of first-rate technical production you expect from Pixar. On the other hand, it often feels more frantic than exciting, and it counts on moments of humor that often do not materialize."
30,88,"The colorful visuals are matched with lively music, especially de la Cruz’s signature song, “Remember Me.”"
31,80,"The film is exuberant and heartfelt, and the hero’s journey takes him through spectacular territory; the picturesque land of the living pales by comparison to what Miguel discovers in the Land of the Dead."
32,88,"Coco is full of life, especially when we’re hanging out the with the dead."
33,60,The movie slips into a familiar rut and the scenery fades into the background.
34,80,"Being dead has never looked as fun as it does in Pixar’s latest adventure, bursting with skeletons, magical spells and Mexico’s annual Day of the Dead."
35,100,"Coco is packed with terrific original tunes such as “Remember Me” (by Robert Lopez and Kristen Anderson-Lopez of “Frozen”) and “Proud Corazón” (co-written by Adrian Molina, the film’s co-director). But it’s not your average musical, in which characters wail their wants and feelings. That’s a refreshing change."
36,75,"After a string of films ranging from safe sequels (Finding Dory) to franchise duds (Cars 3) to not-fully-realized adventures (The Good Dinosaur), this is Pixar coming back in a heartfelt, gorgeous way."
37,83,"One might argue that Coco could stand to be weirder and more self-indulgent; the alternate reality it creates is entertaining and expansive. But then it wouldn’t be a Pixar film. It is impeccable, time-tested craftsmanship, not experimentation, that drives Coco, both in its most familiar beats and in its most moving moments."
38,75,"The film brings Pixar's customary emotional directness to a festive, reverent, and wide-ranging pastiche of Mexican culture."
39,70,"One of the films best visual treats are its alebrijes, the colorful fantastical creatures from Mexican folk art, rendered here as electrically colored lizards and gryphons that seem to pop off the screen even without the aid of 3-D."
40,100,"Coco is the best-looking Pixar movie since the tonally uneven “The Good Dinosaur.” The colorful afterlife is the centerpiece, but excellence is found in unexpected places."
41,88,"The whole enterprise is amusing, warm and embracing, so much so that English words fall short of perfectly summing up this utterly charming film. Only a Spanish word will do. “Encantada.”"
42,90,"This is a masterpiece of woven ancestral roots and the importance of “familia,” confident in song and poetic in vision."
43,100,"Thankfully, Coco, Pixar’s latest original work and one of their very best, truly does transport you. The results are magical and feel somewhat rebellious given the current political climate, which makes the film feel even more special."
44,67,"Fresh and stale in equal measure, Coco represents the best of what Pixar can be, and the worst of what they’ve become."
45,90,"If an animated movie is going to offer children a way to process death, it’s hard to envision a more spirited, touching and breezily entertaining example than Coco."
46,80,"In any case, it works: Coco’s creators clearly had the perfect ending in mind before they’d nailed down all the other details, and though the movie drags in places, and features a few too many childish gags...the story’s sincere emotional resolution earns the sobs it’s sure to inspire."
47,100,"At every imaginative juncture, the filmmakers (the screenplay is credited to Pixar veteran Molina and Matthew Aldrich) create a richly woven tapestry of comprehensively researched storytelling, fully dimensional characters, clever touches both tender and amusingly macabre, and vivid, beautifully textured visuals."
48,60,"In its zeal to pay proper respect to Mexican traditions and to avoid any hint of appropriation, Coco fails to give as much attention to its perfunctory characters or mediocre plotting, resulting in a family film which is reverent rather than inspired."
