id,rating,review_text
1,5,The silence of the lambs is as intriguing as it can get.
2,4.5,Its a very disturbing film even 35 years later. Its aged well. Brilliant film
3,5,"Based on the same book, this film changed the rules of horror cinema for the better and, in the process, propelled Anthony Hopkins and Jodie Foster to stardom. The suspense is steady throughout its nearly two hours and remains compelling no matter how many times you watch it."
4,5,"One of the best movies of the 20th century. Thanks largely to the magnetic performances of Sir Anthony Hopkins, Jodie Foster, Scott Glenn, Ted Levine, and Jonathan Demme’s superb directing, The Silence of the Lambs has become immortalized as a film you can watch over and over again without getting bored. Everything succeeds here. The acting, screenplay, themes, and plot are so compelling that they keep the audience captivated from start to finish. What makes the film especially powerful is not only Clarice Starling’s internal struggle to prove herself and confront her demons, but also the classic good-versus-evil conflict full of twists and turns. Demme’s use of POV shots through Starling’s perspective is especially effective. Five stars all day, and I highly recommend seeing it if you have not already."
5,5,"This is a rare perfect film. This transcends the typical horror film with the director's constant use of tight, direct-to-camera close-ups which forces an uncomfortable intimacy with the characters. While Anthony Hopkins' portrayal of Hannibal Lecter is the quintessential magnetic, high-functioning nightmare that dominates the zeitgeist, it is Jodie Foster's grounded, vulnerable portrayal that provides the character exploration of the suffocating world that Clarice inhabits. Plus in the haunting world where (alot, not all) transgenders commit horrible acts of violence, this film gives a realistic portrayal into their disturbing mindset. It’s atmospheric, highly intelligent, and relentlessly tense—a masterpiece for a reason. 5/5 10/10"
6,5,"I really like the make-up in this movie :D It's really convincing, and pratical effects don't get old like CGI does. That's why The Birds by Hitchcock is nearly unwatchable while this movie still delievers chills three decades later. It's honestely one of if not THE scariest movie I've watched. I don't really know I'm saying that like it's a huge millestone or something, but anyways, I also like the story and the direction SO MUCH. Please do yourself a favour and watch it if you haven't already!"
7,4.5,"I have always admired this film, not least for the two excellent leads in Foster and Hopkins. But for the first time ever I got round to watching ""Manhunter"" yesterday, and I have to say I found that film far more compelling and rounded compared to Lambs. The protagonists in that film - Peterson and Cox - were equally outstanding as Hopkins and Foster were here, but the film overall had a far tighter direction and an intensity that was a little lacking in Lambs, Moreover the final 10 minutes and the confrontation between Foster and BB just felt a little forced and unrealistic in all honesty. That said, Lambs is a great film. But had it not being the towering performance of Hopkins this could have been just another routine thriller/horror film"
8,5,"Meraviglioso, da rivedere assolutamente"
9,5,"It truly is a timeless classic. The pacing is perfect, the acting incredible, and the plotline is concise!"
10,5,"Arguably the best horror/suspense movie ever to hit the big screen. The way the amazingly written story ties into the even better suspense factor is so incredible and makes up for a great experience. Any scene with Hannibal Lector (Anthony Hopkins) gives me goosebumps and leaves me on the edge of my seat. Once thing I would also like to point out is the title: it sounds so terrifying at first but also a bit ambiguous. But, when you finally hear the meaning (which I shall not spoil), it becomes even better and so much more intelligent. Five stars."
11,5,"Extremely tense and marvelous, really well made and realistic. Also, it was perfectly acted. Just a perfect movie."
12,5,One of my favorites.. such a classic and an incredible movie
