id,rating,review_text
1,3,"This is one of those old Hollywood classics that feels classy even when it’s being a little messy. Cary Grant is doing peak Cary Grant charm, Ingrid Bergman is carrying a ton of emotional weight, and Claude Rains quietly steals scenes by just looking tired and suspicious. The bones of the movie are great: romance, espionage, betrayal, all simmering in that slow burn Hitchcock style. That said, the pacing definitely shows its age. There are stretches where it feels like the movie is politely asking you to be patient while it rearranges its trench coat. Some of the emotional beats hit hard, especially Bergman’s, but the romance can feel more frustrating than swoony, like everyone involved desperately needs better communication skills. Still, there’s a lot to admire here. The tension builds well, the vibes are immaculate, and you can see why it’s considered important. I didn’t fall in love with it, but I respected it the whole time. Solid, stylish, and a little distant."
2,2.5,"This is more about sexual jealousy than uranium minerals. Cary and Ingrid make a strange couple, Cary's character being particularly obtuse and not very professional to be honest . Some nice Hitch camera placements but it's not my favourite."
3,2.5,"This lesser Hitchcock that revolves around a bottle of champagne gets going only at the very end, despite great effort of all the protagonists. The movie wants to be a love story and a spy thriller at the same time, although the latter becomes increasingly irrelevant as Bergman delivers another of her brilliant interpretations of a woman in love."
4,4,"Love the chemistry between Cary and Ingrid, they looked good together in this movie."
5,4,"Started laborious, continued so glorious! One of Hitchcock's finest about a promiscuous patriot and the spy who loved her. I found the first 20 minutes trying and stopped watching. I'm glad I continued. The initial set up of the storyline, Alicia's (Bergman's) background and the start of her relationship with Devlin (Grant) is laborious. Once they're in Rio and engaged in espionage, the film takes off like a rocket. I was shocked, SHOCKED to find how much I enjoyed this movie. All four principals - Bergman and Grant, Claude Rains and Madame Leopoldine Konstantin - are superb. Mme. Konstantin showcases a sinister matronly cool in her only Hollywood film. Perfect ending making it obvious but not showing what was to come of Rains' fate and Bergman's widowhood status."
6,5,A success for a spy movie in 1 hour and 43 minutes!!!!!!!!!!!!!!!!!!
7,3.5,"Like most in early Hitchcock the viewer has to do some creative thinking to make the story work, but Ingrid Bergman is good enough to forgive the rest."
8,4.5,"Masterful Hitchcock thriller with iconic lead performances from Grant, and Bergman. One of the most romantic of endings too!"
9,5,"Subplot about uranium can feel a little bit odd and out of place, but the love story in this movie is absolutely beautiful."
10,5,not to be missed...the drama never ceases..a pure classic!!!
11,2,A rare dud I think. Nonsense plot. Great performance from Ingrid B but can't save this.
12,4.5,"With Hitchcock's hallmark, this espionage thriller would become, and rightly so, a role model in the genre. The names of Cary Grant and Ingrid Bergman in the cast the invitation is irresistible."
13,4,"A film that marked a shift in Hitchcock’s career, demonstrating a newfound level of maturity that would lead him into his greatest period. At least that’s what the scholars say; for the rest of us its yet another banger in a filmography overflowing with them. Hitchcock knows how to ring the most suspense from a scene, whether it’s through cinematography, camera work, the actors performances or the use/absence of music. Notorious is a film that’s heavy on the romantic elements, and these are made so compelling by 2 dedicated and nuanced performances from cinematic legends Cary Grant and Ingrid Bergman. Their chemistry oozes off the screen, and their moral and ethical ambiguity constantly keeps you guessing which way they’re going to go. The story isn’t the most complex or layered, but it provides a wide canvas for a multitude of plot threads, conflicts and revelations. I wouldn’t choose it over other Hitch films such as Rear Window, Rebecca or Psycho, but it’s still a fantastic movie that’ll keep you hooked to very end."
14,5,"Must watch at least once a year! A big time Hitch classic and maybe what the definition of ""pioneer"" is revealed as an auteur.I'm not sure it's the best of Hitchcock but surely one of the most personal.Do you still have any doubt that every single Hitch movie is a love story indeed?"
15,4,"Ignore the glaring holes in the plot and enjoy the suspense and eroticism delivered by three stellar actors - Grant, Bergman and Rains."
16,5,"Incredible movie. If you like Noir and great acting , you can't miss this. It aged like fine wine. Rains, Bergman and Grant are at the top of their game. So dang good."
17,5,"My time growing up in the Bronx during Biggie's era was unforgettable, filled with the incredible NYC hip hop scene. This film resonated with me, and the lead actor flawlessly portrayed the role. Kudos to the director for skillfully narrating this impeccably written story! Highly recommend it!"
18,5,"A true classic from the golden age of Hollywood featuring some of the greatest talents ever put on film--Ingrid Bergman, Cary Grant and Claude Rains are all sublime. The groundbreaking (at the time) cinematography and stellar directing from Hitchcock make this movie a must see for any afficianado of vintage cinema."
19,4.5,"Classic Hitchcock, nothing else."
20,5,Excellent film. Both leads were great. The storyline had plenty of finesse and the cinematography was rich.
21,5,"Its one of Hitchcock's best films, and its one of the greatest thrillers ever made. He makes the trade-off of a key and the lack of champagne at a party to be some of the most unbearably suspenseful stuff ever on the screen. While Bergman and Grant are great (they have some wonderful sexual tension between the two of them), its Claude Rains as the villain who gives the standout performance"
