review_id,user_rating,review_text
1,100,Once again Disney has come up with a winning animated feature that has something for everyone on the age spectrum.
2,75,"The first all computer-animated feature, which brings a bedroom of playthings to bouncy life, is yummy eye candy spiked with 3-D-style tactile treats."
3,80,"Walt Disney Pictures and Pixar Animation Studios join forces on an entertaining computer-generated, hyperrealist animation feature that's also in effect a toy catalog."
4,100,"What the bright minds of Walt Disney have produced here is a must-see movie. Must-see, must-talk-about, must-plan-to-see-again."
5,90,"The very good news is that, in addition to stylistic innovation, the film sports a provocative and appealing story that's every bit the equal of this technical achievement."
6,100,"There's a giddy, absurd charm to the story, in which the strange setting only enhances the comfortable familiarity of the narrative and characters."
7,100,The film will intoxicate children and charm the parents in their company.
8,100,A visionary roller-coaster ride of a movie.
9,100,"The first animated feature produced entirely on computer is a magically witty and humane entertainment, a hellzapoppin fairy tale about a roomful of suburban toys who come to life when humans aren't around."
10,100,"A gem of fast action, sophisticated wit and inspired comedy."
11,88,"The computer-generated effects are a marvel. It's something of a bonus that the characters, dialogue, and story provide entertainment value of their own."
12,100,"Thanks to exultant wit and so many distinctive voices, Toy Story is both an aural and visual delight."
13,100,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue."
14,80,"The easy-to-follow screenplay, about the rivalry between two toys -- cowboy Woody and spaceman Buzz Lightyear -- should excite young children; teen-agers and parents can enjoy the brilliantly executed action sequences."
15,90,"Though computer-animated rather than hand-drawn, this wry, rippingly paced buddy movie is as delightful in its own way as any of Walt Disney's traditional fairy tales."
16,100,"With ""instant classic"" written all over it, Toy Story, the first full-length feature entirely composed of computer-generated animation, is a visually astounding, wildly inventive winner."
17,100,"The film is virtually perfect: Nary a frame goes to waste in the establishment and development of plot and character, with the occasionally deviant touch serving to neutralize a sense of overly manufactured calculation."
18,100,"Just perfect. Script, character, animation....this manages to break free of the yoke of 'children's movie' to simply be one of the best movies of the 90's, full-stop."
19,100,"When a genius like Lasseter sits at his computer, the machine becomes just a more supple paintbrush. Like the creatures in this wonderful zoo of a movie, it's alive!"
20,88,"Clever, fast-moving and unobtrusively self-conscious."
21,80,"The movie's sneaky intelligence pokes out in surprising, amusing ways."
22,100,"What makes Toy Story such a dazzling surprise is that while technological novelty is partly what it's about, it transcends technology. [22 Nov 1995, p.29]"
23,100,"It's that rarest of all films, the one that can unify, not divide, the generations, as both jaded teen-agers and their more innocent parents can connect with it. And of course for the kids, it's pure balm from heaven."
24,100,Toy Story is a complete joy.
25,90,"Disney's unrivaled ability to wed emotional depth to high-tech razzle-dazzle endows Toy Story with its authentic heart and soul. [24 Nov 1995, p.L28]"
26,100,"Toy Story  fully understands the limitless potential of childish fantasy, and the  computer animation style fashions dreams into a glossy, fantastic reality. [24 nov 1995, p.3]"
