id,user_rating,review_text
1,3.5/4,Forrest Gump works primarily because of Tom Hanks’ intuitive performance in the lead role and director Robert Zemeckis’ wizardry behind the camera.
2,7/10,"Flaws and all, the movie unfolds like a book of short stories and that choice ushered in a confidence the script is able to pull off."
3,5/10,"When analyzing the ultimate endurance that “Forrest Gump” has left in the decades since it first came out, it’s obvious that approaching it with a more inquisitive perspective leaves it with a much shallower impact than it did upon its initial release."
4,4/5,"Forrest Gump is Hollywood film-making at its most corn-fed, sucrose-enriched and calorific; you’ll need a sweet tooth for it."
5,5/5,Forrest was an ordinary man in extraordinary circumstances.
6,,"Zemeckis has made a fast movie about a slow hero; he transforms Forrest's daffy misconceptions into lyrical flights. Forrest Gump has a softer, more delicate touch and a richer current of feeling than any of the other holy-innocent movies."
7,4/4,"What makes Forrest Gump a stunning triumph, a departure from the mediocre norm? A big reason is the way the film provides a fresh perspective on the familiar experience, through the eyes of its unforgettable protagonist."
8,A-,"Forrest Gump isn't a movie for cynics. Instead, it's one of those rare films that seduces viewers into overlooking its faults with the sheer goodness of its heart."
9,,"Hanks' performance [is] a triumph of dignity, decency, and warm-hearted humor... Even more than his Oscar-winning achievement in Philadelphia, this is a role that will be remembered as long as people care about great acting."
10,4/4,Forrest Gump is a very fine hour for everybody involved. And it's concrete evidence that Tom Hanks is the best actor working in American film today.
11,,"Forrest Gump is for big kids what playing Nintendo is for little ones -- that is, the neato thing about Robert Zemeckis' film is the clever techno-wizardry produced by Ken Ralston and Industrial Light and Magic."
12,,"Hanks never strikes a false note, never panders to his mentally slow character nor tries to make him more than he is, despite a script that occasionally calls on him to utter what presumably are intended to be simple profundities."
13,,"There's an undeniable kick to the idea of recapitulating to the Boomerography as a tale told by an idiot, but the thrill inexorably fades."
14,,"Intended as a paean to simplicity and a meditation on the quirks of destiny, ""Gump"" is instead simple-minded and calculated, a cloying, reactionary fable in praise of stupidity."
15,3.5/4,Forrest Gump is about as good as Hollywood movies get.
16,3/5,Hanks' immersion in character and his convincing interaction with fellow players make Forrest Gump -- gimmicks and all -- a pleasure.
17,5/5,"The best art takes the biggest chances, thereby losing people who can't stretch with it. Forrest Gump is worth the effort."
18,4/4,Forrest Gump is going to touch a lot of people's lives. It also has a good shot at bringing Tom Hanks a second Oscar for best actor.
19,3.5/4,"Loosely adapted from Winston Groom's satirical novel, Forrest Gump provides an incredibly rich and daffy historical pastiche."
20,4/4,Forrest Gump is a rare treat: a movie that delivers a message of hope and faith without delving into preachiness. Much of that success is due to Hanks' majestically deadpan performance.
21,3/4,"It turns tedious toward the end... But when it's good, it's very good, and the way it blends star Tom Hanks, who plays the title character, into actual historical film footage will tickle you to no end."
22,4/4,Forrest Gump manages to examine some of the basic questions of human life and to add perspective to the two most disruptive decades in modern history.
23,3.5/4,"Director Robert Zemeckis is no stranger to spectacular effects. But seldom do knockout technology, superb acting and witty writing meld so satisfactorily."
24,3.5/4,It requires a delicate touch to keep from becoming precious. Director Robert Zemeckis is up to the task.
25,,"Far more impressive than Zemeckis' techno-sleight-of-hand is the steadying integrity of Hanks' portrayal. His Southern-fried Holy Fool brings the movie into focus, giving it a heart to make up for its lack of brains."
26,4/4,"Warm and winning, the spare, simple ""Gump"" shows the honor that exists in decency and loyalty."
27,4/4,The conviction behind this film is so strong that the sprawling panoply of time and place that it encompasses takes on an intimate and personal flavor -- as if Forrest is real.
28,3.5/4,"Forrest Gump takes its own sweet time getting where it wants to go. But it's a journey worth taking, with a traveling companion you'll never forget."
29,9/10,"By turns silly and sensitive, romantic and ridiculous, schmaltzy and sincere, this biography of a fictional character is entertaining and touching."
30,A,"Aided by his cast and a fine script by Eric Roth, Zemeckis delivers his best directorial performance."
31,5/5,"Forrest Gump is directed with patience and good humor by veteran Robert Zemeckis. He gently mixes state-of-the-art, high-tech special effects with this absorbing story."
32,3/4,"For all the film's excess, both social and sentimental, it remains an extremely moving experience, and that's because of the unabashed humanity at its core."
33,,"Yes, its intended climax is not as powerful as the rest of the film. Yet Rob Zemeckis' movie serves up so much fun for such a long time that you hardly mind its sentimental conclusion. It's a delightful trip, this excursion into the mind of Forrest Gump."
34,4/4,"It is a triumph for Tom Hanks, who surely deserves to become the first person since Spencer Tracy to win back-to-back best-actor Oscars."
35,3.5/5,"When director Robert Zemeckis decides not to numb us with the unnecessary lingering melodrama, he manages to move us for the right reasons with super story quirks, old-fashioned romance and hysterically funny irony."
36,3/5,"Forrest Gump has some nice surprises and its message about common decency is bound to warm hearts everywhere, but as a view of the world, it has an IQ of about 75."
37,4/5,"A tasty mix of the comic and the absurd. You never know what you're gonna get, but you can always be sure Hanks will deliver the goods in mint condition."
38,3/4,"Hanks shows the gears turning in Forrest's head -- and the limits of just how far they will turn. Even as luck rises again and again to save Forrest and push him forward, Hanks maintains a simplicity and openness that keeps Forrest real -- and engrossing."
39,,Forrest Gump doesn't wake people up to their times; it sends them to sleep thinking all is well with them. It makes one feel there's something to be said after all for Oliver Stone.
40,4/5,"Hanks pulls another stunning coup as the dim-witted, sweet-natured Gump. Speaking in a thick, gulping Southern accent, Hanks creates a character ""dumb"" enough to be mistreated and ridiculed by other but smart enough to know what's up."
41,4/4,"From his ramrod-straight posture to the high stride of his running, from his wide-eyed curiosity to his totally guileless personality, Hanks has fashioned one of the most unusual and endearing characters in recent film history."
42,4/5,"Forrest Gump is a winning, unabashedly sentimental fable that somehow manages to bring Frank Capra and Oliver Stone to mind in the same breath."
43,,"One of the best films of the year, bar none. Nearly 30 years of American history are woven into this droll, tearful, honest search for the American dream and the lost innocence that gave birth to it."
44,,The film's attitude is that intellectual deficiency is not something to be treated with understanding: it should be worshipped as the highest quality to which Americans can aspire.
45,,"It's part elegy for a nation that likes to gun down its leaders, part Buster Keaton or Harold Lloyd comedy... The mix is kind of irresistible, because comedy with such texture is rare."
46,,"More of interest for what it says about how Americans wish to regard themselves than for its qualities as comedy or drama. Movies can be a magic mirror, and America has been mightily pleased with what it has seen in this tricksy bit of silvered glass."
47,4/4,"As sweet and satisfying as a slice of apple pie, Forrest Gump is just about as wholesome."
48,,"I never looked at my watch once. It really is a must-see movie. And, as Forrest would say, that's all I have to say about that."
49,,"Forest Gump is far from being a grand movie. Tom Hanks is very close to being a grand actor. Balance one with the other and go see it, either way. [Full review in Spanish]"
50,,"Forrest Gump is not without its amusing and felicitous moments, but the way it brings together Main Street and Woodstock, middle American and the counter-culture, in one great clammy embrace is glib and dishonest."
