review_id,user_rating,review_text
1,70,This slick and entertaining 1975 film of Ken Kesey's cult novel will inevitably disappoint admirers of director Milos Forman's earlier work.
2,75,"So good in so many of its parts that there's a temptation to forgive it when it goes wrong. But it does go wrong, insisting on making larger points than its story really should carry, so that at the end, the human qualities of the characters get lost in the significance of it all. And yet there are those moments of brilliance."
3,100,"Too many classic set pieces to mention but keep your ears cocked for that immortal line ""Mmmm, Juicy Fruit."" Certified brilliance."
4,70,"A comedy that can't quite support its tragic conclusion, which is too schematic to be honestly moving, but it is acted with such a sense of life that one responds to its demonstration of humanity if not to its programmed metaphors."
5,80,Jarring and electrifying drama.
6,100,"A masterpiece. (9 Jan 1998, p.3D)"
7,100,Brilliant cinema theatre.
8,100,"Playing the mental-hospital firebrand who rebels against monstrous Nurse Ratched (Louise Fletcher), Nicholson seduces in an anti-establishment classic with a gut-punch exit."
9,100,Here is the bruised-plum role that put Jack Nicholson into the biggest of big leagues.
10,90,"With One Flew Over the Cuckoo's Nest, Forman takes his rightful place as one of our most creative young directors. His casting is inspired, his sense of milieu is assured, and he could probably wring Academy Award performances from a stone."
11,100,One Flew Over the Cuckoo’s Nest is the best film therapy one can recommend.
12,88,"Although the picture has not aged as well as some of its contemporaries, its themes remain germane, the story has lost none of its punch, and the performances retain their freshness."
13,50,One Flew over the Cuckoo 's Nest is an earnest attempt to make a serious film. But in the end the movie backs away from both the human reality and the cloudy but potent symbolism that Ken Kesey found in the asylum.
14,60,"The supporting cast is flawless, with a special mention owed to Brad Dourif as poor, doomed Billy Bibbit. But the script lacks the woozy, otherworldly subtlety of Kesey’s book, relying instead on pop psychology and finger-pointing: once again, it turns out women are to blame for pretty much everything."
15,100,Nicholson’s live-wire performance turns what could have been a standard movie malcontent into a martyr.
16,80,"Its honest and forthright depiction of mental illness, combined with Nicholson’s tour-de-force bull in a china shop performance, mean that it has lost none of its power to provoke and entertain in the four decades since its release."
17,100,It’s not just Nicholson’s performance that makes this film a masterpiece; it’s the fact that Forman was able to prevent that performance from capsizing the whole enterprise.
18,88,The film remains a stunning collective of method acting and 1970s social critique.
19,80,"The story and the acting make the film emotionally powerful. And Nicholson, looking punchy, tired, and baffled--and not on top of his character (as he is often is)--lets you see into him, rather than controlling what he lets you see."
20,100,"Forman’s classic has not aged one bit. In fact, it’s become more relevant than ever, considering today’s tumultuous climate."
21,100,"In Forman’s hands, McMurphy becomes more than a rebel in this specific time and place. He becomes mythic—a symbol for irrepressible Life."
