review_id,user_rating,review_text
1,80,"Mackenzie goes western in satisfying style, while Bridges, Pine and Foster bring true grit to Sheridan’s tight script."
2,90,"Pulpy, old-fashioned Western action and terrific performances make Hell or High Water one of the most satisfying releases of the summer."
3,80,"Taut, tense and burnished by Jeff Bridges at his best. This is a deceptively simple tale of Texan cops and robbers that drags the Old West into the modern age."
4,91,"A lean, efficient modern Western that is so satisfyingly constructed I’m tempted to say it’s just about perfect. There’s a special pleasure in watching a movie that knows exactly what it’s after and then, in scene after scene, gets it."
5,88,"From a purely narrative perspective, there’s nothing new here but like a new arrangement of a familiar tune, the slight changes make it fresh and enjoyable."
6,100,"And Bridges? What's there to say about a man who makes it look so easy, and who - in one breathless, pivotal scene - runs through a range of emotion like a wild pony running across the land. Genius, any way you look at it."
7,88,"It’s ABOUT something, which has become a rarity in Hollywood pictures. Sometimes, the smallest stories cast the largest shadows."
8,100,The year’s most exhilarating film.
9,100,"By turns funny, elegiac and thrilling, it’s a tale of brotherhood and family that takes in the harsh beauty of the land, the elusive nature of right and wrong and the quirky delights of human connections in a time of bewildering change."
10,90,"Bridges knows just what he’s doing, and with the splendid West Texas waltz of a drama, Hell or High Water, British director David Mackenzie has given him the perfect hook on which to hang his hat."
11,88,"Scenic, well-paced and rich in dialogue and character, the film is Coen brothers for the squares, and maybe the best middle-of-the-seat drama of the summer."
12,100,Hell or High Water is a terrific piece of entertainment.... It isn't a highbrow indie but a gritty work of art. Mackenzie's movie thrills for all the right reasons and will be fondly remembered at year's end.
13,63,"While moviegoers desperate to see anything that doesn’t involve a superhero may be willing to overlook its shortcomings, others will undoubtedly be disappointed to find that it's somewhat less than the sum of its parts."
14,88,"For all the methodical pacing and old archetypes, Hell or High Water is a thoroughly contemporary action film, complete with fast chases and flashes of dark comedy. But like the classic Westerns, it invites viewers to evaluate, one more time, the myth of the American outlaw, and the idea of criminals as heroes."
15,60,A film with a fistful of memorable moments—most of them involving Bridges hurling insults at people—but not a great deal new to say.
