id,tomato_score,review_text
1,positive,The true power of De Niro's performance rests in his ability to worm his way into this lug's twisted psyche and air out his personal demons for all to see.
2,positive,"Scorsese effortlessly fuses top-drawer acting, pumping narrative drive and blitzkrieg camera technique to deliver a giddy, claustrophobic classic."
3,positive,Martin Scorsese perfects a configuration of the biopic as self-recognized fiction.
4,positive,"The brutality of Raging Bull is intense, a mood Scorsese maintains consistently. And, connected with that, is the director's search for, if not beauty, then poetry, within that vivid viciousness. He succeeds in that search."
5,positive,"De Niro playing La Motta in Raging Bull is beyond mere typecasting. It is an apotheosis. With La Motta as technical adviser, De Niro, an actor with a passion for authenticity, has found the ideal outlet for his singular talent."
6,positive,"An intensely personal piece of work made to exacting specifications by a team of perfectionists. The result is like the man it portrays -- undeniably powerful and distinctive but not especially pleasant, an inspirer of awe but not affection."
7,positive,"Even if Scorsese and De Niro have created a movie that defies categories, the sports film will never seem quite the same, and the boxing division has a new heavyweight against which past and future efforts will be measured."
8,positive,"You certainly don't emerge from this entertainment uplifted, inspired or wishing to emulate a hero. Instead you've had your nose rubbed in the bloody, seamy side of the ""manly act"" and got to know one of its best, but least happy, champions."
9,positive,"There is appalling violence in Raging Bull, but as in Greek tragedy the violence is the thunderbolt of shock of a total apprehension of the humanity of its characters."
10,negative,"Between them, De Niro and Scorsese and their associates end up with a breathtakingly new dimension of memory and regret. If only I could feel the slightest moral resonance as well -- but I can't, and that makes all the difference."
11,positive,"The impacted hell of city life, the incessant noise and motion, seen and heard as it washes over and around one man, is bearable only because Scorsese makes it beautiful. Almost overbearingly beautiful, but not quite."
12,positive,"Seeing Martin Scorsese's new film is like visiting a human zoo... The life we watch is stripped to elemental drives, with just enough décor of complexity to underscore how elemental it basically is."
13,positive,"Raging Bull is a modern epic in that it is ambitious and audacious -- an experimental film that plays with time, with a person's life and with a message... Scorsese has created a work that's at once appealing and appalling."
14,positive,It is above all a personal expression that takes its place in a body of work -- Scorsese's -- that has begun to have the size and coherence of a major novelist's.
15,positive,"Raging Bull may prove to be Scorsese's finest achievement to date. Certainly the visceral intelligence on display, the radical awareness and use of his own cinephilia... make it a powerful contender."
16,positive,"If you like a movie down-and-dirty, Raging Bull is it. Filmed in black-and-white, and shockingly well acted by De Niro, Raging Bull suggests that if you are looking for the source of evil in the world, you don't have to look any further than yourself."
17,positive,"Extraordinary, electric, perverse, brilliant -- they are puny words to describe Robert De Niro in this unflinching biography of Jake La Motta."
18,negative,The enigma of La Motta remains and we are unenlightened... There is small point to the film beyond providing a showcase for the great gifts of De Niro and Scorsese's special talents. Are these enough?
19,positive,What is most remarkable about the new rigour of Raging Bull is that it tells La Motta's story with both complete realism and total subjectivity. In a way that leaves them difficult to disentangle... each is even made to seem a function of the other.
20,positive,"Raging Bull feels like a tragedy, all right, but it's hollow at the center. I can't imagine anyone's seeing it without being awed; I also can't imagine anyone's really cherishing it."
21,positive,"Martin Scorsese's Raging Bull is a technically brilliant piece of moviemaking that is often spellbinding. Something, however, is desperately missing, and that's a story with interesting people."
22,positive,"The ending is too ironically inconclusive but this movie has, in general, what it had to have -- an unquenchable and lusty appetite for what John Updike so memorably called ""the horrible, jubilant truth."""
23,positive,"It is a film that brings mixed feelings of fascination and revulsion -- like watching a trapped animal, hating its struggle and feeling its torment, but unable to release it and unable to stop watching."
24,positive,"Without preachment... Raging Bull draws a peculiar character, lays him out and opens him up for us to see. This is a character study of richness and texture, and if it ends without explaining much, it remains a piece of beautiful work."
25,negative,"Somehow life drains out of things, though there are brilliantly lively and edgy moments, because of a central incoherence, a failure to come to grips with what Raging Bull might have been about."
26,positive,"It is about, if anything at all, rage... The power of [Raging Bull] lies in the inspired way director Martin Scorsese, with the help of actor Robert De Niro and writers Paul Schrader and Mardik Martin, has depicted it in virtually pure form."
27,positive,"Raging Bull is, in spite of its depressing subject matter, another brilliant film from Scorsese and De Niro."
28,positive,"De Niro's portrayal of La Motta is the best work yet by this incredible actor. He is supported by a flawless ensemble of unknown actors, including Cathy Moriarty... and Joe Pesci, who is wonderful as La Motta's much-abused brother."
29,positive,Raging Bull is a one-of-a-kind effort. I can think of only one other film in recent years to which it can be compared: Terrence Malick's Days of Heaven. Both movies are less conventional narratives than poetic meditations on a theme.
30,positive,"Scorsese's vision is operatic. His style of filmmaking, which turned so many heads in 1973 with Mean Streets, his first widely-promoted film, is full of large gestures. His characters don't so much make speeches as sign arias."
31,positive,"There is an element common to all great performances. It is utter audience immersion into the character. We forget about the actor, the star. It comes as no surprise that De Niro pulls this off... The amazing thing is that he does it instantly."
32,positive,Martin Scorsese has organized Raging Bull into a symphony of flying fists and psychological violence. Utterly depressing action and outlook become strangely exhilarating in Scorsese's hands.
