id,user_rating,review_text
1,2/5,The end of this movie doesn't justify the means as director Bryan Singer takes his audience on a cat and mouse chase that never finds its way.
2,4/4,"...a perpetually engrossing endeavor that benefits from its myriad of above-average, inherently spellbinding attributes..."
3,,"Singer has an obvious grasp of craft, but it's far less clear whether he has anything to say about movies, violence, the world, or his place in the world."
4,3.5/4,"With one Internet to rule them all, it's hard for most folks to avoid cinematic spoilers of yore (whether it's the sled in Citizen Kane or the penis in The Crying Game), but even knowing the answer shouldn't spoil this film's myriad other pleasures."
5,B,"An intricate doodle of no special importance. It’s all play, all illusion, all movie."
6,,Never a dull moment in this one!
7,,"It is a wonderful film, with a plot as complicated as Farewell My Lovely and as violent as any of Mr. Stallone’s pictures."
8,3.5/4,Singer uses a clever combination of flashback and straight narrative to keep his tale of crime and betrayal moving through a tangle of blind alleys and false leads.
9,2/4,The Usual Suspects flirts with greatness but attempts too much. It's a fascinating failure.
10,10/10,Features perhaps the most famous of all movie lineups and the most unforgettable series of unpredictable twists.
11,4/5,One of the best heist films ever made. Includes one of the all-time best twists/reveals in film history. [Full review in Spanish]
12,5/5,"In all of my heist movies research, and all of the things that I've watched recently, I think The Usual Suspects might be the best heist movie of all time."
13,,EVERYTHING that takes place during the two hours minus a quarter of footage comes to affirm that in Singer we had found a rough diamond that already polished some facets. [Full Review in Spanish]
14,,"A film that was compelling enough with its intricate narrative and colorful cast of degenerates, became an entirely different beast with its final sequence, putting the twist in plot-twist more memorably than M. Night Shyamalan could ever dream of."
15,5/5,A movie where the getting-there (and the getting-away-with-it) is everything.
16,3.5/4,"Singer, like Tarantino, is less into mining new film themes than in re-inventing old ones. And the way he does so shows full well that there is still a bit of life in the old mob movie yet."
17,5/5,It's a film that demands to be watched again and again -- this is good old-fashioned pulp fiction told in the slickest 1990s style.
18,2.5/4,"Give director Bryan Singer credit for providing a plot that is not resolved by an exchange of gunfire, but don't expect the movie's glib punchline to stay with you for very long."
19,3.5/4,"An imaginative, entertaining crime mystery with plenty of nerve and vigor."
20,,"Metaphysical mumbo-jumbo? Of course -- but the thrill of The Usual Suspects is that, after years of movie demythologising, it re-mythologises the crime movie."
21,,"If the pleasures of The Usual Suspects are the more superficial ones of ingenuity and style, those are abundantly available. The twists and turns of the plot are an awful lot of fun, while the ending is genuinely satisfying and surprising."
22,,The most attuned devotee of crime mystery will be hard-pressed to guess the outcome of this stylish thriller. It is riddled with machine-gun dialogue and kinky implications at every turn.
23,,"In a season of fat blockbusters, a picture as brainy, bitter, and compact as this one comes as a shock and a treat."
24,4/4,"It's a nerve-shredding suspense movie about corruption, a bravura actor's show full of deliciously twisted cops and robbers, and a complex riddle packed with unexpected turns."
25,3.5/4,"It may ultimately make sense; no one could tell without at least four or five viewings. What is totally commanding, however, is the level of ensemble acting [and] the adroitness of the storytelling."
26,,"A little red herring is one thing. But don't smack me in the face with it, all right?"
27,,"For many true movie fiends, noir is the key American movie type, and the most fun when it's done right. The Usual Suspects is done right."
28,9/10,"A masterpiece of the modern film noir genre, a terrific performance piece for everyone involved and an absolutely outstanding directorial effort."
29,3.5/4,"While it's fair to call The Usual Suspects a gimmick in search of a movie, one could say something similar of, say, an Agatha Christie mystery. [Blu-ray]"
30,,"I didn't believe this story for a minute, even in movie terms -- though it's less offensive than a piece of junk like Apt Pupil, Singer's subsequent feature."
31,,"The Usual Suspects expertly combines the complicated narrative structure of D.O.A. with the quirky, hard-boiled characters of Pickup on South Street."
32,1/4,Bryan Singer's poker face is worthless at best.
33,,A terrific cast of exciting actors socks over this absorbingly complicated yarn that's been spun in seductively slick fashion by director Bryan Singer.
34,B-,"Stylishly made but narratively hollow and dramatically derivative, Bryan Singer's neo-noir puzzle owes its existence to Tarantino."
35,3.5/4,"To many young film buffs, this is where film history begins and ends."
36,4/4,"McQuarrie's script is a scurrying lizard of a yarn, scaly, swift and difficult to follow."
37,,"Singer creates a classy, thought-provoking mystery that is pleasingly old-fashioned and absolutely modern in the sly, slightly self-conscious play it makes with myth and methods of storytelling."
38,7/10,"If ever a movie got extra points for a strong, unexpected conclusion it's The Usual Suspects."
39,B-,Not to be believed for a NYC second.
40,5/5,"No one is out of place or out of line here, and that is what makes the final payoff so sweet."
41,2.5/4,"One of the most ingenious, unpredictable films in recent memory... and one of the biggest cheats."
42,4/4,It's a real dazzler -- a neo-noir hybrid of a heist and a mystery film that sucks you into a dark world where nothing is what it seems.
43,3.5/5,"This movie finally isn't anything more than an intricate feat of gamesmanship, but it's still quite something to see."
44,3/4,"It is a complex story, but I found it fun."
45,5/5,Fantastic ensemble crime thriller with the mystique of an underworld urban legend. A Breakout project for both Benecio Del Toro and Director Bryan Singer.
46,4/5,"What a cast, what a script, what a movie. We need some more of these."
47,4/5,"Good, but...movies don't come more overrated."
48,4/5,
49,3/5,Too predictable. Still enthralling enough to watch (at least twice).
50,5/5,"In many ways, the viewers are the mark in this audacious con game... and its brilliance is all the more impressive for it."
