id,tomato_score,review_text
1,positive,"While The Grand Budapest Hotel doesn't delve as deeply into its characters' internal conflicts as ""Rushmore,"" it's imbued with mischief and possesses an undeniable handcrafted charm. [Full review in Spanish]"
2,positive,"It's no wonder that Anderson lets this layered tale of friendship, war, fascism and tragedy hang off his leading man."
3,positive,"""The Grand Budapest Hotel is Wes Anderson’s greatest cinematic achievement yet, bursting with bold visuals and dynamic storytelling."""
4,positive,"“The Grand Budapest Hotel” may be an audiovisual feast, but what makes it an artistic marvel is that its dynamic style enhances the narrative’s focus on its primary characters through different decades."
5,positive,"It’s not hard to see why The Grand Budapest Hotel has gleaned such love over the past seven years. It is a perfect encapsulation of the best of Anderson’s works, with its fast-paced dialogue and candy coloured visual palette"
6,positive,"...a variety of post-production work is highlighted, from color correction of the typically fastidiously coordinated hotel to the mechanics of the dizzying climactic downhill mountain chase..."
7,positive,Wes Anderson blends his trademark fanciness with a more rompish style of humour than usual.
8,positive,It definitely comes more into focus the more times you see it.
9,positive,"Even from a single viewing, an audience knows they have seen what surely must be one of Anderson's best works to date."
10,positive,"Wes Anderson's bright, meticulous style reaches its most complete expression in this painfully poignant period comedy."
11,positive,"It's is an adventure, a murder mystery, an old-world tale, a storybook fable, and a sinister conspiracy. But under the cake-frosting colors and period gilt is a bittersweet story about a way of life hanging on in a world modernizing and passing it by..."
12,positive,"Something this exciting to look at and listen to, something this light and entertaining, shouldn’t leave a viewer so unsatisfied."
13,positive,It is a gorgeous movie; both comedic as well as emotional until the very last moment. Another great film by Anderson.
14,positive,This is Wes at his most over-the-top and accessible - somehow simultaneously.
15,positive,"Amongst the whole spread of frequent Anderson collaborators, it is Ralph Fiennes, in the spotlight, who makes the most of every second he has on-screen. The end result is a flurry of cotton candy feelings."
16,positive,"Wes Anderson finds a balance between his highly stylized artistic vision, story and heart."
17,positive,"No one crafts characters, worlds, and stories quite like Wes Anderson."
18,positive,"The film's wholly fictionalized history and its meticulously composed imagery overlay the darkest thematic innards the filmmaker has yet composed, near-seamlessly melding its war-torn heart with a Mendl's sugary coating."
19,positive,It is a film best experienced with a heart and mind fully open.
20,positive,"There's a tantalising darkness just beneath the surface of Anderson's trademark whacky whimsy in his latest offering, The Grand Budapest Hotel, making it one of the year's most unforgettable films"
21,positive,"Wes Anderson's newest film, The Grand Budapest Hotel, is a stylish, fantastical film, sometimes comic and sometimes tragic in its re-imagining..."
22,positive,"At 45 the Wes Anderson metaphor reaches its peak and is still more polymorphic than ever. 'The Grand Budapest Hotel' is another eccentricity of its world, where tragicomedy wraps itself of dreams without the need to wake up. [Full review in Spanish]"
23,positive,"""Times have changed."" It's an elemental Wes Anderson lament..."
24,positive,The desire to show fantastic worlds and tell stories in the face of the inevitable march of time and destructive forces is at the core of the film. Anderson's films are beginning to show the soul beneath the exactitude.
25,positive,The Grand Budapest Hotel is a fast-paced beautiful spectacle that never ceases to amuse you.
26,positive,"Magnificent and magical, once you check-in, you'll never want to check-out."
27,positive,"To alter a phrase from Batman, who won't mind because he's not real, The Grand Budapest Hotel is the movie audiences deserve and the one Anderson needed."
28,positive,"Those of you who worship at the auteur altar of the director, who have long embraced his fastidious, meticulous style of studied nostalgia and to-the-inch symmetrical specificity, need no prodding."
29,positive,"Anderson's particular aesthetic can sometimes serve to keep the audience at arm's length, but here it achieves something deeply beautiful, even warm and inviting."
30,positive,What the film amounts to is nothing more than a well-done and admirable piece of fluff.
31,positive,"The sometimes erratic tone and plot machinations mean it may not be perfect, but ignore your reservations and check in to The Grand Budapest Hotel."
32,positive,A cat and mouse chase with a lot of humor and whimsey.
33,positive,"The Grand Budapest Hotel is immense fun and, as far as Anderson's oeuvre is concerned, unquestionably the rarest of fillet steak."
34,positive,"It is certainly a magical and childlike way of storytelling, even if the content is a little more adult."
35,positive,This might just be Wes Anderson's best film; it's certainly his most thrilling. The cult director has bolstered the whimsical humor with a raucous crime caper and it's a riot.
36,positive,"It all seems kind of silly and trivial, but under Anderson's screenplay -- inspired by the works of Stefan Zweig -- it's tied together with a bit of a melancholy sweetness that gives it some unexpected heart."
37,negative,"I didn't find it amusing, and while I can appreciate the creativity, it's an hour and 40 minutes I wish I could take back."
38,positive,The conceit of having the film refracted through four stories-within-stories beautifully thematises the idea of nostalgia and storytelling as part of our balm of remembrance.
39,positive,"I wouldn't describe it as a film that will have a profound impact on your psyche. It is however a visually delightful, beautifully acted tale."
40,positive,"Fans of the director will not be disappointed, almost expecting the bit of meandering that occurs in the middle that is immediately forgiven in the context of the whole."
41,negative,Like a beautiful stacking petruschka doll - open up another and another of its layers until you reach an empty center.
42,positive,The movie is so lush with detail that only a big screen can do it justice.
43,positive,"Wes Anderson's overly considered cinematic world has never felt so expansive, enveloping, and infectiously fun."
44,positive,With an absolute stellar cast and Adrien Brody's moustache deserving its own line in the credits this film is about as sweet as some Mendl's confectionary. Five Stars.
45,positive,"Handsome, opulent and cunningly devised."
46,positive,"[Wes Anderson has[ made his most Wes Anderson-ian film yet, ""The Grand Budapest Hotel,"" and it is utterly glorious."
47,positive,"The Grand Budapest Hotel is such an ode to the old world, and to those who have immortalized it in words and pictures."
48,negative,"The theme seems to be a kind of late-Edwardian Euro whimsy along Wodehousian lines... except that Wodehouse was really funny, and Anderson really isn't."
49,positive,"Whether you call this an exaggeratedly tall tale or simply a good old shaggy dog story, its ultimate meaning matters less than its maker's lavish deployment of a whimsy so powerful it could almost be thermonuclear."
50,positive,Discerning travellers and Wes Anderson fans will luxuriate in the glorious Mittel-European kitsch of one of the director's funniest and most exquisitely designed movies in years.
