id,rating,review_text
1,5,The movie shows even our daily life is just like what we see on movies. Full of events. The movies does not sugarcoat the people and scenario to be seen interesting.
2,4,"Um filme de bela complexidade, onde um problema se transforma em uma bola de neve e as duas famílias envolvidas se afetam em ondas cada vez mais insolúveis. Gostei de como o ponto de vista de cada personagem é destacado e tornado individualmente crucial para encontrar a resolução final, tarefa que o espectador mais sensível pode achar bem difícil, pois esse emaranhado de vidas se chocando, tem consequências. Nesse quesito, me lembrou ""12 Homens e uma Sentença"" (1958), atuações brilhantes. Fora isso, para mim, mais um recorte da sociedade iraniana super interessante, com os papéis de gênero ali, o peso da religião, tão ou mais absoluto que o da lei, a tradição e a modernidade em convívio. Sempre bom como o cinema, enquanto produto cultural (arte em geral), insiste em ser uma ferramenta de potência quando falamos de educar o olhar estrangeiro a se libertar de visões estereotipadas e entender que toda sociedade é heterogênea. Payman Maadi. Acho que nunca vi um homem tão bonito na vida."
3,5,"A Separation portrays several perspectives of diverse characters of different backgrounds. Each character, while they may act different than us, is so complex that us viewers can still understand their perspective and behavior. Each character is well-rounded and it feels like a raw snapshot into real peoples lives. The flow from start to finish. A simple, petty yet understandable ""separation"" at the beginning is the unintended catalyst which increases the rift between the characters. It portrays how life can suddenly spin a situation into an uncontrollable chaos, which you cannot return from. The movie did a great job at keeping everything mundane despite Nader facing manslaughter of the baby. It shows the reality of such situation without the drama of Hollywood. The movie is not political as the questions for the separation are for the best of marriages and familial life in Iran and moreover, this was also proven by the daughter, whom Simin had told that she never intended to move abroad and that she later intended to return home. While not political, it is a great movie to provide insight into the mundane life of Iranians."
4,5,Beautiful and complicated.
5,5,Success in 2 hours and 3 minutes!!!!!! Rated PG-13 for Mature Thematic Material!!!!!!!!!!!!!! In Persian and English versions with English subtitles!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
6,5,"A Separation is without a doubt the best social drama I've had the privilege of viewing. Masterclass in storytelling, honest, raw, and emotionally subtle. The film doesn't rely on melodramatic plot twists or flashy cinematography. Instead, it pulls you in quietly into an intensely human conflict, where every character is real, flawed, and achingly relatable ... it explores morality, justice, family, and pride in a way that lingers long after the credits roll. Direction is subtle yet powerful, and the performances are astonishingly authentic."
7,5,An absolute masterpiece. so many layers. at the end we should be the judge! but who are we to judge these people. They are all doing the right thing in their own way!
8,4,Brilliant story and absolutely amazing performances. A Separation is a great movie.
9,1,A snooze fest. Didn’t care about any of the characters. Too long by far. One has to be seriously in love with anything Iranian or be able to speak Farsi in order to enjoy this one. How this is getting such good reviews is a mystery to me.
10,4,"Intense family drama examining an unusual couples situation for a country like Iran. Screenplay, direction, acting, storytelling: all first level."
11,4.5,"""A Separation"" reminded me about how gripping, thought-provoking, and chilling quiet dramatic films can be. This movie features story elements that are genuinely hard to watch, but the story is compelling and fascinating. Characters all make mistakes and feel human, and somehow everyone feels right and wrong in their own way at some point. It is a movie that throws the viewer into a sad situation and then shows the devastating aftermath of it. Overall, this is a tough movie to get through as it is often emotionally draining and features a lot of unfortunate moments, but it is riveting and compelling and genuinely kept me completely engaged while watching it."
12,4.5,This film does a lot of work unfolding a seemingly small case to devastating proportions. The relentlessness is thrilling and the complexity is beautifully structured.
13,4.5,"Excellent Iranian movie—sober, realistic and very effective. How can a film about a couple getting divorced turn out to be so interesting? Just watch this movie and see!"
14,4.5,"Separation slowly picks at the pain of a couple splitting and the complexity of their daughter deciding who to live with. Religious beliefs, lies, alzheimers and more all play into the conflict (which isn't so extreme, but just handled well)."
15,3,1001 movies to see before you die (Added 2012; Removed 2017). An Iranian moral dilemma film framed in family struggles and divorce. It was sad and painfully real; all within an Iranian cultural. Saw on Delta.
