id,rating,review_text
1,0.5,"Ooof, that was awful. ScarJo in her drawers/tastefully sometimes out of her drawers. I don't know, I stopped paying full attention and worked on my taxes. There's no amount of side boob that would make this a worthwhile film. Didn't read the book but hopefully THAT was an engaging story."
2,4.5,"Honestly thought the slow pace of the movie was very intense, and beautiful at the same time. Can't beleive this movie is only 83%, honeslty think it should be at LEAST in the 90%, MAYBE even in the 95%. Scarllett Johansen played an amazing, sexual attractive-man-hunting alien. Love how this movie used so many deep symbols, which made this movie SO disturbing, yet so absaloutely AMAZING!!!!!!!!!!!!"
3,1.5,"I love slow burn movies that keep you guessing and use elements that are open to interpretation. However, this movie dragged for way too long and the metaphors and visual elements used don't help the story, because there isn't much of a story here. It's lack of substance masked by pretentious visuals that ultimately lead to a very irritating finale. Once you sort of understand what was going on, your reaction will be ""I can't believe I waited 110 minutes for this."" It's more of a message than a story and even if this message would have been delivered in less than 90 minutes, it would still feel like a total waste of time."
4,1,Under the Skin is an incoherent and unengaging example of the gap that sometimes exists between critical and audience acclaim.
5,0.5,What a terrible piece of crap. I want my 100 minutes back.
6,5,"Wow. Some of the viewers comments are absolutely inane and laughable. The movie is a Masterpiece. Wonderfully shot and paced. Dark, gloomy, forlorn, melancholy. Explores great topics if you want to dig into it- but it's also easily MISINTERPRETED. The dark pool scene were Haunting! I am sad the movie won critical praise but that people were simply too stupid and vanilla to not get it. It's like Soccer. It's the number 1 sport in the world- and it's awful and boring. The negative reviews= all soccer fans."
7,4,"1 star for: the black-void seduction kills 1 star for: Mica Levi’s inhuman score 1 star for: Johansson’s eerie restraint 1 star for: the philosophical ""what is empathy?"" question 0 stars lost for: pacing that tests patience"
8,4.5,"I’m rating this movie so high not because it’s so amazing, but because of how much I liked it as a total package. It’s a very strange movie, which ends up making more sense with the plots twist at the end. The cinematography and soundtrack are amazing and very eerie and creepy. Scarlett was amazing and the story had me wondering ""wtf is happening"" from beginning to end. It’s definitely one of those movies you think about for a while."
9,0.5,Scarlett Johannson's accent is atrocious. It made the movie unwatchable.
10,0.5,Scarlett Johanson is so very good at not being able to act. LOL. BIZARRE!
11,3,"Mesmeric Performance by Scarlett Johanson. Stunning Visuals. A handful of Eroticas. This trio feature make up for the movie's graphic beauty. But.... character motivation,rationale is zero. Mr. Director never got to show us what became of her last victim. The lead is not human, yeah, nevertheless she portrays desire to be human, especially in her wandering about for shelter. What does she really want from our planet? No clue and Mr. Director loves it that way."
12,0.5,"The movie leaves you wondering what happened and makes you ask more questions. For some, this works, because they may love having their own interpretation of the movie. For those who want answers, the movie wont leave you satisfied."
13,0.5,Have you ever seen the poster/meme of the guy bent over with his head stuffed up his own @ss? I think he made this movie.
14,4.5,"A stunning film which impresses with successive viewings. Scarlet Johannson's detached alien character serves as a similie for vampirism, psychopathy and even autism. She's just as much an observer as we are, doing what she needs to survive. The skill in editing and sound design is breathtaking. Glazer directed the superb Radiohead video ""Street Spirit"". A very talented geezer. Hope he'll direct one of my works some day....😎"
15,2,"Wtf was the point?? Besides seeing a partially naked Scarlett Johannson, I woulda rating this a half star"
16,4.5,Was not expecting this. So pleased to find a film that trod a different path. Scarlet was entrancing. Off to find a copy of Michael Faber’s book.!
17,0.5,What an UNprofessional dragon of a movie. Total waste of time.
18,2,It was overly long and repetitive. Also rather derivative. It copied David Lynch and Lars on Trier’s Melancholia.
19,4.5,"Some 2001 a space odyssey influence, beautiful film. Lets you marinate in the suspense, giving you a mirror to yourself. Jonathan Glazer is a genius. This one will stay with you. But won’t be for most watchers."
20,1,"Lenta, curiosa de ver, pero con una actuación seca e inexpresiva que puede confundirse con el personaje, pero no deja de ser la Scarlett que vimos en Lucy, no la recomiendo."
21,4,"Strange, bizarre and disturbing in a good way."
22,0.5,"People are writing all this deep stuff, but it is really nothing but a bizarre skin flick. I'm disappointed that an actress of her caliber would participate in it."
23,1.5,"Critics pump this film up to feel smart, but it’s honest to God a borefest. You’ll be dragging your energy like an anchor, trying to stay awake because it really seems like something always about to shake loose like in the X-Files, but no dice. Probably the most disappointing film of the 2010’s, given the bizarrely rave reviews."
24,5,"Read Wael K’s review before you watch this. I’d have never understood it in a million years but reading his review made it all understandable, and thus a WOW film for me. Read the review. Watch the movie. Thank me later."
25,1,"Since Johansson can't act to begin with, it makes sense to have her not act in this movie, as an automaton, an incredibly boring character. There is an enigmatic motorcyclist that appears but never actually does anything, kind of like the whole movie, which is very slow and boring. The book is really good. The movie? Well, not really possible to adapt the book. This was a box office failure. Easy to see why. ""It was the only time an audience booed a film."" -Venice Film Festival director Alberto Barbera"
26,1,"This movie was terrible. I can't understand how it has such a high rating. I normally like unusual indie-type movies, or at least can appreciate the effort, but this is self-conscious, pseudo-intellectual, pretentious, and mind-numbingly boring. It was a supreme struggle to sit through."
27,3.5,"Though at times utterly perplexing and obscure, Under the Skin’s high points are indeed very high, with Scarlett Johansson’s intriguing performance, the unsettling visuals, and its phenomenal score being standouts. There was also a striking theme of human empathy throughout."
28,2,I js saw a review about scarlett johansson naked ✌️💔
29,5,"Scarlet Johansson naked , naked for goodness sake and still people are complaining"
30,1,"Que pérdida de tiempo, no pasa nada en toda la película. Esta toda aburrida, lo único rescatable es que sale Adam pearson y que Scarlet Johansson se desnuda, de ahí en fuera es una historia pésima."
31,1,Never seen a worse film . Absolute crap.
32,1,Stinks! May be the dumbest movie I ever watched. And I seen Friday the 13th part 7😜😜😜
33,2.5,"It turns out Jonathan Glazer has a style, and I don’t like it. I totally see why people like this movie, but it didn’t do it for me. It’s in a weird state between ambiguous and overly explanatory. There’s not much uncertainty about what actually happens; once you understand it, it’s not really up for debate. But at the same time, you spend most of the film just kind of staring and waiting for it to start making sense. It really doesn’t come together until the very last scene. Maybe it would be better on a rewatch, but I don’t really care to. Plus, I found it a bit slow; maybe we could take some of the time spent lingering on the same shot for minutes on end and put it towards some real backstory? Some shots are absolutely gorgeous, but there’s more to a film than just pretty scenes. And in contrast, some of the camera work felt downright amateur, with bouncy, unstable scenes and out-of-focus shots. Overall, it’s a unique film and it has some merits (mostly its aesthetic), but I wouldn’t recommend it."
34,0.5,"I may have been able to tolerate this movie if I hadn't read the book by Michel Faber (a stunning story that is part sci fi fable, part cautionary tale of abuse of power, part grand metaphor.) This movie reads like Jonathan Glazer saw the book in a bookstore, read part of the back flap and said, 'Oh, I got this' and then made this movie. This movie is not an adaptation of the book. It is an insult to the author's original intent and masterful storytelling. But I guess one can't expect much from the same guy who made 'Birth,' one of the stupidest, most pretentious movies ever made in the history of cinema."
35,4,This is Super Scottish Sci-Fi. But the book is even better!
36,5,"This film makes you think about our existence in the universe. Are we a supermarket for aliens, what would their reaction be if they started to become like us. Run!"
37,0.5,"Terrible, was a waste of my time"
38,5,After finishing this movie I just sat there for about 20 minutes and honestly couldn't stop thinking about this for the entire day after. I was a bit hesitant to watch this at first but now I do not regret it at all. It's an odd movie but in the best way possible. You just really have to sit there and focus on what the story is trying to tell you which in my opinion it had a lot of thoughts and ideas for one to ponder and think through.
39,3,A woman (Scarlett Johansson) travels the Scottish towns looking for men to lure into her otherworldly trap. Another film I was looking forward to seeing that fell flat. It's more interesting than stimulating. The film is remarkably vague as to the purpose of Johansson's character. What function do these men serve? And why is she able to fake being human but then so unemotional otherwise? At least they had erections for the nude men. I hate it when a man in film is supposed to be aroused but then shown flaccid.
40,0.5,"My God, this movie was boring. The fact that it appeals to critics does no favour to critics. It has such a tedious plot, and it ends with this nasty scene in which the main character is abused and raped and burned alive. Hard to see why I'd recommend this to someone."
41,2,"It is like a USC Film School student tried to be ""out there"" They are no Fellini"
42,2.5,"I found it interesting but somewhat slow , was not clear on what the objective was but I am a Scarlett Johansson fan and she kept me intrigued"
43,4.5,Scarlett Johansson is haunting in this disturbing yet visually stunning slow burning sci-fi.
44,4.5,"A Sci-Fi Horror Cult Classic. As good as this is, this is 100% not for everyone. It's very serious, extremely slow, and dry at times but filled with substance and style. The editing is solid but it probably could've cut quie a few scenes in length terms. Lots of shots hold for a little too long and sometimes it feels like were going in circles at certain points. We know this creature is preying on men and it keeps driving that point home to repetition a little bit and the story is VERY barebones for such an abstract presentation and original idea. That being said, everything else man is really good. The direction is really strong. The whole film gives off Polanski, Altman type of vibes in the best way possible. The cinematography especially the camera work really gives off a ioslated/distant vibe. It's difficult to describe but it feels like I'm there in spirit watching events almost like a ghost if that makes sense. The lighting can be very dull and lifeless which makes senes given the setting but it's a small miracle it never is boring to look at. A testament to the direction, unique subject matter, camerawork and acting. Scarlett Johansson is phenominal in this and easily the best thing. Her performance is so....other worldy without seeming like someone from the Happening (which is probably what Shamaylan was trying to go for here) She's detached, curious, scary, and sexy. This is more so a horror film than Sci-Fi about what it means to be a human and sexual attraction/awareness. It also has quite a few arthouse type of moments as well with anything to do with the alien stuff and leaves a lot of it up ot the imagination. Kind of reminds me of The Thing in terms of we are left up to our imagination to think where it came from and why. Which is far more terrifying than anything that can be shown. As good as this is, this really is only for fans of A24 projects, the director, Johansson, or fans of really challenging arthouse type of stuff. I can't see Star Wars fans or slasher fans really getting into this at all."
45,5,I can't understand why this film is ranked lower than a film like Lamb or Uncut Gems. I would put this neck and neck or even one point above a film like Ex Machina. Under The Skin has stayed with me since I first saw the movie at the theatre days after its release. The film is haunting and makes me look at men of earth as aliens.
46,1,this movie reminded me that i put up with way too much until i lose my gourd and go into a rage. take this condescending garbage somewhere else.
47,3,"Highly intriguing movie, which must be seen until the end for its slowness to habe been worthwhile. Fortunately, the interesting dynamics of the contact of the main protagonist with different real-life people (and some other professional actors) in Glasgow and the beautiful scenery help very much along the way. That said, there was no reason this couldn't have been a little less contemplative and a bit faster-paced."
48,4.5,"2013's 'Under The Skin' is one of the most underrated sci-fi horror films from the 2010's. SYNOPSIS: 'A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.' Whilst also running around as a Marvel super hero, Scarlett Johansson was also performing in this film as a murderous alien who has a change of heart. Haunting and beautiful at the same time, 'Under The Skin' is a cinematic achievement on a limited budget. It's both disturbing and real, both in good measure. It's certainly not for everyone, but for those who can stick with it will find an incredibly unique and captivating experience. It's totally unforgettable and will leave you with nightmares. An absolutely stunning film. 9/10"
49,5,"Great movie, but the beginning bored me to tears"
50,1,"absolute crap, didnt undertand the movie it went off after 30 mins"
