review_id,user_rating,review_text
1,75,"Because of Little Women‘s grandeur, opulence, and density, it is impossible to deny that the cast was not greatly directed."
2,100,"Little Women is made with so much love and enthusiasm — both behind and in front of the camera — that even the deeply sad scenes still fill you with joy and longing. It’s an explosion of emotions, from loss to love to everything in between."
3,80,"By encouraging a merry chaos of overlapping personalities and performances – restructuring the timeline into a multilayered playground where the child and adult stories interact – and subtly foregrounding existing themes of female fulfilment and the economics of creativity, Gerwig creates something that is true to its roots and bracingly current."
4,60,"It’s a ravishing spectacle. The trouble is that the unremitting gorgeousness robs the material of all its grit, of its satire, of the sense of precariousness that one experiences on the characters’ behalf, of the fear of hunger, and of the dread that any chill or fever might be a death sentence."
5,75,"Those advocating for the movie as an Oscar contender might be overstating its merit, especially in a year with an abundance of options. But as a warm-hearted holiday release, Gerwig has created a ""Little Women"" for the 21st century, which, if history's any guide, will still be watched and compared to editions past and future not only through this century, but into the next."
6,100,"At her best, Gerwig can make galumphing seem an even higher form of grace — one that’s doesn’t just forgive imperfection but rejoices in it."
7,75,"Gerwig is trying for something a little different, juggling the time frame and creating a “meta” ending to make the story’s feminist themes overt and incorporate an ambiguous “twist” that some will see as clever and others may find heretical."
8,100,"The movie’s outward gaze is radical, no question, yet it refuses to scorn the comforts — of ingrained habits, and of home — that are honored by the conservative imagination. Such equipoise is almost as rare in cinema as it is, God knows, in politics, and right now, though we can’t foretell whether time will be cruel or kind to Gerwig’s Little Women, it may just be the best film yet made by an American woman."
9,90,"Gerwig manages to honor both the letter and the spirit of Alcott’s tale; Little Women is stuffed with trials and tribulations, yet overflowing with goodwill, just as Alcott described it herself."
10,70,The writing and editing aren’t up to the task of retrofitting Alcott’s straightforward narrative with a sophisticated chronology and rob it of dramatic tension in the process.
11,100,"Through Gerwig’s wonderfully creative prism, it’s as if we’re meeting the March sisters for the very first time, and we’re immediately swept away in a gorgeously filmed, wickedly funny, deeply moving and, yes, empowering story with themes still relevant some 150 years after the time period of these events."
12,100,"This Little Women purist was moved to tears by this movie, and didn’t want it to end. Beautifully intimate, gentle and wise, it made me — and all of us — part of the March family. And what better Christmas gift could we wish for than that?"
13,100,"The achievement of this wonderful movie goes beyond the specifics of its production. Gerwig has reimagined the novel back to its roots, as the story of not just one woman but all the women Louisa May Alcott may have lived with or known or been. It is an offering — to her, to them, and to us."
14,100,"Little Women solidifies Gerwig’s one-of-a-kind voice on the page and behind the camera, opening up the classic in a blissful and innovative screen adaptation that feels ageless and vastly of today."
15,100,"Ms. Gerwig’s reimagining — and provocative restructuring — of the American classic is all ablaze with ferocious purpose, urgent passion, boisterous humor and the nourishing essence of family life in good times and bad."
16,90,"With her film adaptation, Gerwig re-embroiders and reinforces that unspoken reassurance. Like Alcott, she leads by example: She has made a film that’s complex and thoughtful but that is also, at every moment, pure pleasure to watch."
17,90,Surprisingly timely and enduringly timeless.
18,85,What I love most about Little Women is how Gerwig’s script refuses to turn each character into a stereotype of their time. There is a complexity to each character and a real arc for each.
19,100,"Like any good novelist and every great filmmaker, Gerwig isn’t afraid to let her audience work a little. She trusts our intelligence and our curiosity, and also her own command of the medium."
20,100,It’s enough to know that Gerwig directs romance in a similar way that Tarantino directs violence. The romance—like Tarantino’s violence—comes in large sweeping gestures turning in on itself before pulling out again. It’s all so authentically cinematic that some of it seem surreal.
21,90,"It can at times feel sentimental and mawkish — an inevitability of adapting the classic story — but no other film in 2019 has conveyed as much ineffable joy, or been such a testament to the human spirit."
22,91,"Suffice it to say, there’s very little flash to Little Women and a whole lot substance. It doesn’t scream what it is. It nurtures our appreciation gradually so that when we finally realize that we’re truly in love, it feels that much sweeter. It’s one of the most successful adaptations I’ve seen in a long time."
23,50,"It is rare that a movie finds its way into the hearts of a massive audience with both flair and sentimentality that made the 1949 ""Little Women"" so unique and unforgettable. The new one pretty much settles for sentimentality."
24,50,"So the most noticeable thing about the first minutes of Greta Gerwig’s new screen adaptation of the Louisa May Alcott classic is that the women in Little Women seem just a little bit snooty here, more like privileged actresses from 2019 than like a Northern family living in genteel poverty during the Civil War."
25,100,"Gerwig’s smart, delightful film seems on its way to becoming a classic."
26,88,"Gerwig’s concocted a fresh, frothty and fun take on a timeworn classic, the perfect family film for the holidays."
27,100,"There is a wild urgency to Greta Gerwig’s Little Women that hardly seems possible for a film based on a 150-year-old book. But such is the magic of combining Louisa May Alcott’s enduring story of those four sisters with Gerwig’s deliciously feisty, evocative and clear-eyed storytelling that makes this Little Women a new classic."
28,91,"If you’re a living, breathing person with feelings and emotions, it is almost guaranteed to set your soul aglow."
29,90,Greta Gerwig's Little Women weaves a stunningly heartfelt and achingly honest coming of age story with excellent performances from its entire cast.
30,88,"In Gerwig’s capable hands, though, even the most familiar contours of Little Women feel new, not because she has the temerity to redefine Alcott’s masterpiece, but because she subtly reframes it."
31,100,"It is sublime. Better than ""Lady Bird"" even, and I would not, could not, say that lightly. Because it hits harder. Like someone ripping your heart out, while gently rubbing your back and telling you that it’s all going to be okay. I laughed obnoxiously loud, and I cried so hard my face formed a frozen death mask that just went, “Owww, myyyyy hearrrrttttt.”"
32,78,"Out of a terrific ensemble cast, Pugh (Midsommar, TV’s The Little Drummer Girl) emerges as the star."
33,100,"A big step up in scale for a writer-director who got her start in the freewheeling world of low-budget indies. Seeing her pull off a grand period drama with such confidence, humor, and style leaves you with a sensation not unlike what Jo March must be feeling in the film’s final scene, as she watches while her first book is printed, sewn, and bound, a tiny smile playing on her lips. I can’t believe it’s all finally happening, her face seems to say. I can’t wait to see what comes next."
34,100,"I doubt Gerwig read the 1868 Tribune classifieds, but her film is, in fact, fresh, sparkling, natural and full of soul."
35,80,"Greta Gerwig’s warm, woke take on America’s classic girlhood novel takes liberties, but makes a tender, engrossing tale."
36,88,"Ably mixing past and present sensibilities is no easy feat, but every person in Gerwig’s ensemble cast manages it."
37,63,"Individual scenes are set to the rhythm of the young women’s conversations, which at times approach Gilmore Girls-level warp speed."
38,88,Gerwig mostly plays it safe with this adaptation but a stellar cast and her impressive directorial eye mean that it's a total joy to watch.
39,88,"The acting performances are stellar across the board, though the biggest joy of Little Women is Gerwig’s magnificent screenplay."
40,91,Gerwig’s adaptation looks at the eponymous little women through ambitious storytelling techniques that modernize the book’s timeless story in unexpected ways.
41,100,"This is such a beguiling, generous film from Gerwig. There is a lot of love in it."
42,100,"In an era in which sentimentality is a seasoning that filmmakers either shun entirely or employ with too heavy a hand,  Gerwig crafts a work about love and family and devotion and empathy that is moving without being manipulative. This is a Little Women for the ages."
43,91,"If Gerwig’s woke Women-hood verges on anachronism, though, it also feels fully loyal to the spirit of Alcott, a woman always well ahead of her time. And like a sort of balm too, for an era when the novel’s long-held values — courage, kindness, strength in vulnerability — still feel a lot further away than they should."
44,80,It would be near-impossible to love Louisa May Alcott’s Little Women more than Greta Gerwig does.
45,80,"Gerwig skillfully navigates the line between respecting the story's old-fashioned bones while illuminating the modernity of its proto-feminist perspective, only occasionally leaning into speechy advocacy of a woman's right to self-actualization beyond marriage. Her cast may be slightly bound by their canonical character types, but there's lovely ensemble work here, captained with coltish physicality and hard-charging pluck by the luminous Saoirse Ronan as Jo."
46,100,"Little Women is the best kind of Hollywood film: thoughtful yet escapist, sophisticated yet accessible, expertly crafted and deeply felt. The performances are all top notch—Ronan and Pugh, especially, breathe new life into their characters. Gerwig’s direction is also first rate."
47,100,"Not just for women of whatever size. Warm but never wishy-washy, cosy without being cutesy, this is a superb adaptation of the source and further evidence that Gerwig is the real deal."
48,90,Gerwig’s script is far more comical than any previously committed to film. This she achieves by emphasizing the humor inherent in the source material.
49,83,A thematically rich and acutely moving update for both a new generation and certainly many more to follow.
50,60,"It’s only when Pugh gets her hands on spoiled younger sister Amy and opens up that often-overlooked strand of the work does the film seem to find relevance beyond its pretty fussiness and that warm, wintery – decidedly Christmassy, somewhat pleased-with-itself – glow."
