id,rating,review_text
1,5,Amazing. Leaves me in a good emotional space.
2,5,There are lesbians. 10/10.
3,5,"Trippy and wild with more plot twists than a twizzler, multiverses have never been so fun or engaging. But this movie is more than just a thrill ride, it has a brain and soul and won best picture for 2023. Props to Michelle Yeoh who won best actress, Jamie Lee Curtis who won best supporting actress and Ke Huy Quan who won best supporting actor. Yeah it's that good."
4,5,"Loved the comedy in this movie. Action isn’t usually my thing, but here it worked really well. The sci-fi elements were great, and the surreal moment with the hot-dog fingers was especially memorable. Writing this review a long time after seeing it, and that scene still sticks with me."
5,3.5,"Everything Everywhere All at Once (2022) It's simply crazy and fun at the same time. Until now, I've never seen a movie about the Multiverse as bizarre as this one. It's simply captivating and brilliant."
6,5,"Everything is overwhelming. Kindness is everywhere, and you can do it all at once."
7,1,"I just finished watching Tetris last night that came out in 2023, the same year this mess ""Everything Everywhere All At Once"" came out. It was only by chance I seen a Youtube Tetris short clip and decided to watch it. Tetris based on a true story was invented during The Cold War in Russia and wasn't even considered for an Oscar and yet it is the best film I have seen in years. Just look at the youtube comments on the Tetris trailer. It is quite clear that an Oscar is worth nothing and just goes to the highest bidder. Everything Everywhere All at once was just that... all over the place. Over rated garbage. I lasted an hour watching it... I advise everyone to watch Tetris to restore your faith in what it means to be brave and courageous to stand up against Communism. Maybe if Hollywood had got their hands on Tetris it would not have become the masterpiece that it is. Tetris should be mandatory viewing for every child in America and Europe as a warning to the horrors of Communism."
8,5,"I 100% agree with the comment that said ""WOW WOW WOW WOW WOW JUST BRILLIANT"" and I say it again: WOW WOW WOW WOW WOW. JUST B-R-I-L-L-I-A-N-T. One of the best and coolest pieces of art I’ve ever watched and seen"
9,3,Es de comedia y de diferentes dimensiones en lo personal le tenia altas espectativas pero me quede dormido y eso que es de comedia es raro que me pase eso
10,5,"DEEPLY-MOVING, TRANSCENDENTAL, AND ALLURING"
11,0.5,Akin to a 2 hour root canal sans lidocaine!
12,5,"Imagine ""The Matrix"" on acid—this film takes you on a mind-bending ride from start to finish. Humour, imagination, and creativity grab you by the sausages and hurtle you through a fascinating and emotional journey. The first film I've seen to visualise compassionate killing, this hit me deep. I came out with a wet face, a hopeful heart, and a throbbing snakepit of energetic and vibrant ideas!"
13,0.5,"Don't watch it you're wasting your time! Terrible acting, shitty storyline, made no sense and wasn't even funny. I honestly don't understand how people thing it's great because it's so overrated and doesn't deserve awards."
14,5,"This movie is complex, heartbreaking, funny, action packed with a deeply emotional yet uplifting undertone. A must watch of the 21st century."
15,2,"Everything Everywhere All at Once is truly everything everywhere all at once. The movie attempts at a lecture of life. Whilst the attempt in itself is not bad, it fundamentally fails to portray any meaningful message regarding it. Outside of the lacklustre attempt to teach a lesson of value, the film forgets to include the most fundamental component of film-making: stake. Albeit the excellent action sequences and flamboyant camera work, the reason this film inherently fails to be interesting is due to a lack of any stake within the movie. There is no ""risk"" being associated with any of the characters within the film, as they can simply just co-exist within another ""multiverse"". Hence, the audience presumably has difficulty attaching to any set character within the film, given no character is truly at risk of ""failing"". The irony is, that for a film that is so geared towards teaching a life lesson, it forgets to include the most important lesson of life: taking risks."
16,1,"It’s official, people are stupid…worst movie I have seen that has an Oscar, by far……"
17,5,"Breaks the tired plot stereotypes of modern movies in a wonderful way. When you're sure the movie is going to zig, it doesn't zag -- it turns around and runs completely the other way! It's refreshing to see something so out of the box. And take a veneer of a dark action film and turn it into the most heartwarming film I've seen in years."
18,1,"If I could give this Zero Stars I would. I had big expectations and it didn't meet any of those. Found absolutely nothing funny about it, and when it first started I was like okay. This could be good and then it took a downhill turn and it just kept rolling through the ditch."
19,1,"It’s similar to the concept of the Matrix from Kung Fu Hustle, with the elevation of one’s own values, but it has a lot of cringe-worthy moments and a messy plot. I don’t understand where the rating and the Oscar came from."
20,4.5,"Creativity, Imagination, and story telling at it's best."
21,0.5,This film was truly chaotic nonsense. It was with to sit through to the end.
22,5,Truly a masterpiece and work of art.
23,0.5,This is so chaotic it gave me migraine.
24,1,"Nonsensical, boring, obnoxious."
25,4,"Wow. This movie is wild. It’s crazy, funny, emotional, and completely unpredictable all at once. Michelle Yeoh is amazing—she makes all the weird action, the jumping between universes, and the really emotional family stuff feel completely real. The movie jumps around a lot, and sometimes it’s kind of overwhelming, but that’s also what makes it fun. It’s like a rollercoaster where you don’t know what’s coming next, but you want to stay on for the whole ride. I laughed, I cried, and honestly, I just kept thinking about it long after it ended. If you like movies that are weird, kind of messy, but really smart in a sneaky way, you’ll probably love this one."
26,0.5,Abysmal in every sense of the word. A mess particularly the Asian laundromat trope. Disappointing to see Michelle Yeoh in a role like this. Right there with Joy Luck Club for bad Asian stereotyping to top off a muddled mess of a film. Cant believe I wasted 2 hours(Ok it was on an airplane) watching this drivel.
27,1.5,Talented cast who give charming performances... or at least as much as is possible within the confines of this vehicle. It's just not a motion picture. An art piece? I tried to suspend disbelief but couldn't become engaged in the gibberish.
28,5,"Had to create an account just to rate it. One of my favorite movies of all time. You’ll feel every emotion during thins watch. I was crying out of my eyes, pores, you name it, I was crying out of it. The message was as very profound and resonates with me a lot. Watch it!"
29,4,8.5/10
30,5,"Amazing movie. The acting, direction, and cinematography were all brilliant. The first time I watched it, there were parts I missed and didn’t fully understand, but after a second viewing it became an incredible experience. I recommend that viewers take their time with this film and rewind any scenes they find confusing. Also, try not to multitask while watching, or you may end up just as confused as I was during my first viewing."
31,5,"great film with lotsa twists and turns. but why give an oscar to jamie lee curtis who was only in the film for like only 15 mins? stephanie hsu, who played the daughter, had much more screen time & also played multiple deep characters, should've received the oscar. they must have felt sorry for jamie lee who's mostly an aged scream queen, plus hollywood royalty, being the daughter of tony curtis& janet leigh."
32,4.5,"I knew nothing about this movie before watching, and boy, was I taken for a ride. This is very surreal, weird and funny, with lots of action sequences and alternate universes. But through all the craziness, the story is really about a family that needs to reconnect. The three actors in the family give fantastic performances, as does Jamie Lee Curtis as a Karen-esque IRS agent. I have never seen a movie like this before, and probably never will. If you decide to watch, just keep an open mind and let it take you for a spin. It is crazy, humorous, touching, sad, exciting, fast-paced and somewhat relatable despite all that."
