id,user_rating,review_text
1,,Gravity is arguably the best 3-D movie of all-time and it's an experience we've never seen before at the theater.
2,4/5,"While there is no way to truly re-create the wholly immersive theatrical experience of ""Gravity"" at home, the newly reissued Blu-ray comes closest — reintroducing a powerful Dolby Atmos sound mix and intriguing extra features into a more affordable orbit."
3,5/5,Gravity is a thrilling technical achievement unlike any other space thriller.
4,5/5,This is virtuoso film-making on every level.
5,,Their [Sandra Bullock and George Clooney] fight for survival against the odds is so brilliantly realised that you forgive the implausible plot.
6,,...the work of an efficient master dominating his artistic form.
7,B+,"Gravity might still stand out as a technical achievement, but viewing the film after the release of films like Interstellar and The Martian, fails to stand out as super impressive or engaging overall."
8,3/4,"Though the narrative doesn’t contain all of the dramatic pull implied by the title, for its technical and visceral achievements, Gravity is still something of a visual revelation."
9,5/5,"For me the initial experience was unforgettable. Completely original, strikingly bold, and brilliantly made."
10,7/10,"While its screenplay doesn't entirely take off, its sound and visuals make this journey into outer space an unforgettable cinematic experience."
11,,A taut thrill ride.
12,,"If you want utter spectacle in the most realistic way possible, Alfonso Cuarón's Gravity may have been the in-theater experience of the decade."
13,5/10,"A few twists and unpredictable scenarios pop up to keep the intrigue alive for an impressive length, but a lack of solid character development and plot cheapens the momentum."
14,3.5/4.0,Gravity doesn't so much immerse you in its cinematic experience as it simply takes you there and sets you down among the stars.
15,4/5,[Gravity] is not just a spectacle that shows us the beauty and horrors of space but also a survival tale and a tale about grief.
16,4.5/5,"As a sci-fi geek, Gravity naturally ticks all the boxes that I expect from a sci-fi film and reminds me why I fell in love with the genre in the first place."
17,A-,"By turns chilling, engaging, and breathtaking, Gravity juxtaposes the serenity of extreme quiet with moments of swirling, chaotic terror as it hurtles through space."
18,8/10,"At the end of the getaway, 'Gravity' is a film that will be talked about for many years to come, and not because of the realistic approach to space, but because of its technical originality. [Full review in Spanish]"
19,,It was well made.
20,,I was never bored.
21,3/5,Cuarón has created an absolutely singular experience that is a marvel to watch.
22,A,"Cuaron's journey into space is a great achievement, pushing the limits of what we can do with technology on screen and hinting at where it can go in the future."
23,A,Bullock's dizzyingly complex performance in a film that is as thrilling as it is culturally resonant makes Gravity something hella special.
24,,"It literally takes your breath away, yet it's a triumph of weightless entertainment sans gravitas. Not that there's anything wrong with that. Escape doesn't get much better."
25,,It will reinvigorate your love of movies.
26,7/10,"There are some truly incredible sequences in here, and for a studio tentpole it's quite original, but don't expect a masterpiece."
27,3.5/4,"A wondrous experience, a space epic on a grand and rare scale that is one of this year's can't miss films."
28,5/5,Believe the hype.
29,A,It's unlike anything you've ever seen - full of breathtaking visuals that should be witnessed on the biggest screen you can find.
30,4/5,"This won't be the film many were expecting but as pure spectacle cinema, Gravity is breathtaking."
31,,"By the time Gravity concludes at the end of its ninety minutes, we are exhausted. The filmmakers have convinced us that we are part of what we are witnessing, making for one of the most tense and intense movies imaginable."
32,,"A singular survival tale in space, Gravity is an experience that marvels and mesmerizes."
33,,...a very simplistic story against some incredible achievement in visual effects and filmmaking craft.
34,3/5,It's hard to deny the spectatorial awe that Cuarón has engendered by the story's end as the film's very title (and theme) of gravity reaches a moving and emotional conclusion.
35,4/4,...[a] wondrous package of technological achievement. The human feelings of hopelessness and the instinctual need to exist in the madness of fear and frustration is the calling card that really gives this game-changing gem its captivating conviction
36,9/10,"It is complex and profound without being pretentious or pedantic. In fact, if anything, its simplicity highlights the film's depth and study in contrasts. I thought it was a moving, beautiful, unique movie."
37,10/10,"It's got all the spectacle that your average audience wants to see, but also has enough thought and artistry to satisfy the true cinephile as well."
38,,"May be the densest visual experience ever made. The disorientation is physical, visceral -- the audience I was with limped out of the cinema grasping at chair arms for balance."
39,8.5/10,"Gravity really is the closest 99.99% of us will ever get to being in space, and it was beautiful."
40,,The screenwriters fill this chamber piece in space with loads of sentimentality.
41,,"The searing action is never repetitive, and every frame is inspired. I'll pay to see this thrilling and wonderfully realized survival adventure again because the visual elements,... made the film taunt with breath-catching tension."
42,5/5,What makes this by far the best film of the year is not the haiku-like storyline or Stone's heart-stopping scramble... but the tears. Gravity is one of the most outrageously emotionally manipulative films I have ever seen.
43,,"Those of us who have never traveled beyond the earth's atmosphere -- hell, maybe even those who have -- will be easily convinced that Cuaron's outer space is the real deal."
44,,"It's horrifying (and gorgeous), and you'll be thankful you're planted securely in your theater seat."
45,A,This certain best-picture nominee sounds almost as good as it looks.
46,3/4,"It's an amazing feat of filmmaking, but where Cuarón should have applied similar elbow grease was on the script."
47,4/4,Gravity is a movie of elegant beauty and surprising emotional power.
48,5/10,"The hype for Cuarón's ambitious Gravity has been . . . well . . . out of this world. Critics have fallen over themselves praising the film and I went into the theater expecting very big things indeed. I hate to say this, but I didn't love it."
49,,Gravity should be getting award consideration in several categories. Its spectacular cinematography creates a powerful juxtaposition between the sublime beauty of the cosmos and its powerful isolation.
50,4.5/5,"Cuaron keeps his film as realistic as it can get. No melodrama, no far-fetched stylised action scenes or convenient plot twists. The film stays unpredictable till the end."
