id,user_rating,review_text
1,,"At bottom, ""Aliens"" is about nothing at all beyond squeezing yet another buck from what seven years ago was an original, arresting -- and profitable -- horror movie."
2,4/4,"An excellent science fiction, horror, action, AND war film."
3,4.5/5,"From the small character details to the massive set-pieces, Cameron expands the Alien mythology and switches sub genres seamlessly. It truly is a perfect sequel."
4,5/5,"[James Cameron] takes the franchise in another direction by raising the stakes and turning the sequel into an action-packed, war epic [while] retaining the dread-inducing feel and tone of the first movie."
5,,"Let's not mince words: Aliens is the greatest horror movie since Frankenstein. Here is a rare instance in which a sequel is infinitely superior to the original. Alien, the 1979 thriller, now seems like a preliminary sketch."
6,3.5/4,"Cameron is a master of machinery and weaponry, a technical wizard who replaces Scott's refinement with his own kind of muscularity... But with either film, you leave the theater drained, physically exhausted, well-rewarded for all your suffering."
7,,What can I say? Aliens is the scariest and most exciting movie I've seen in several years. My adrenalin was still racing an hour later. It's involving. It has well-drawn characters. It has consistency. And Sigourney Weaver gives a dazzling performance.
8,4/4,"The long-awaited sequel to Alien proves to be an extraordinary treat, as perfectly realized a thrill-a-second screamer as has ever come along."
9,4/5,"It is pure action built around the barest of plots. Yet, the characters, the catastrophes and the world Cameron and his special effects technicians envision is rich with texture."
10,3/4,"What a difference an ""s"" makes -- for the good."
11,10/10,"Delivering generously on the promise he demonstrated in The Terminator, Cameron has given us a seamless motion picture that transforms its not-for-all-tastes subject matter into the stuff of across-the-board appeal."
12,,"A noisy, hectoring, mechanical piece of filmmaking. It beats you like a drum, but there's no resonance."
13,3.5/4,"It's a first-rate movie, satisfying in nearly every way. And it's terrifying. Ah, summer. Who could ask for anything more?"
14,,It's like a Romantic symphony that won't come to an end. But it keeps you high.
15,,"A raucous and juvenile and terrifying entertainment full of guns, sweaty grunts, dirty fatigues, flame-throwers and ghostly creatures around dark corners."
16,7/10,"While Aliens would come in a distant second to Alien in any double-feature, it is a rapidly paced, hard-driving, very frightening picture that withholds nothing."
17,2.5/4,Cameron's sequel is a worthy successor to perhaps the most satisfying science fiction shocker ever.
18,3/4,"What really makes this film click is Miss Weaver, who heads a strong cast. The singular intensity of her performance lends the movie a hard inner core that translates into memorable screen entertainment."
19,,"Even though it's too long, director James Cameron's sequel to Ridley Scott's Alien is a worthy successor."
20,4/4,"There is warmth without sentimentality. There is humor, but it never breaks the tension. Most of all, there are special effects that move the audience into another world."
21,3/4,"Aliens, a high-teach fright-fest leavened with humor, offers satisfying escape from the hot weather and hit comedies that dominate this busy moviegoing season."
22,,"A familiarity with the original is not necessary to enjoy this effects-laden adventure. On the other hand, a strong heart is a must."
23,,"For Weaver, this tech noir journey into the belly of the beast provides one of the best women's roles in recent years."
24,,"A horror-film spectacular, a dark and exhilarating epic that keeps building and building."
25,,Weaver does a terrific job of showing extreme anxiety. You can't blame her.
26,,"Cameron is a terrific action director. As a vigorous and adrenaline-pumping orchestration of escalating thrills, a more powerful movie has not been put together since The Terminator and, before that, The Road Warrior."
27,,"The makers of Aliens have not done what one expects of Hollywood during these days of sequelmania. Instead of concocting a blood-and-guts ripoff, they've made a film that expands upon and complements the original."
28,,I must tell you that the large audience I saw it with seemed hooked throughout. I must also admit that I got extremely bored.
29,,"It is rare that the sequel equals the original. Aliens, multitudinous sons of Alien, surpasses its progenitor with a strong story and extra extraterrestrial nastiness."
30,,"Defying the conventional Hollywood wisdom where sequels are concerned, this one actually manages to better the first one."
31,,One of the year's best. It gives sequels a good name and Sigourney Weaver yet another sterling credit.
32,,"For sheer, unrelenting excitement that will leave you wrung out and gasping for breath, there has not been a movie like Aliens since Indiana Jones and the Temple of Doom."
33,3/10,"Totally lacking originality, the film tries to compensate with excess... The last half of the movie amounts to one action sequence re-enacted half a dozen times with little or no variation. It's instant replay ad nauseam."
34,,"Cameron's film is not going to eclipse Alien in terms of sheer fright value, but so far, it's the movie to beat for scariest film of 1986."
35,4/5,"The sequel is less innovative than its predecessor, but the horror and paranoia is still bountiful and what a dizzying special-effects trip it is."
36,,"Smartly conceived and executed, and it does contain its share of thrills and scares. But it is very much a sequel, and the element of surprise, the most invaluable of commodities in enterprises such as this, has been lost."
37,,Another showpiece for the technical mastery of the model-makers and special-effects people of Pinewood. This kind of future fantasy grows ever closer to the past and to fairy-tales.
38,5/5,Alien was the single most original and exciting horror movie ever made. It's a minor miracle that another writer-director has been able to match it with one of the best sequels ever made.
39,,"Even though Aliens was made largely in a British studio, it hasn't a shred of Anglo-Saxon refinement in its taste for terror."
40,,"Audiences stand in line to see movies such as Aliens to be thrilled, chilled, terrified and, generally speaking, to be made as nervous as all get-out. Aliens accomplishes all this with determination and artistry."
41,,"Many things that made the original Alien a pleasure are back, but with enough new twists to stimulate as well as purely shock."
42,,"It is exceptionally well-made, exciting rather than scary, and -- most surprisingly for a sci-fi horror -- often intentionally funny and never unintentionally silly."
43,,It rips off everything from Forbidden Planet to The Re-Animator but makes it all fun.
44,4/4,"Cameron, who also wrote the script, borrows from the style of Australian director George Miller. He puts his story on a treadmill of action, gradually cranks it up and then lets it slow only long enough to hit us with an occasional zinger."
45,,"You'll be thrilled, chilled, amused and finally, when you get a grip on yourself, a little embarrassed that you've been thrashed around by a movie, for heaven's sake."
46,,"Aliens has energy to burn, and with Sigourney Weaver's tight-lipped, nervous, true grit, Aliens is a superior shocker."
47,4/4,"As a stylish, futuristic shocker with a suspense-filled script, great performances and seasoned direction, this will satisfy the most exacting sci-fi buff while busily scaring the daylights out of everyone else."
48,,A super sequel to the 1979 sci-fi hit.
49,4/4,"If Alien was 10 out of 10 on the fright meter, then Aliens pushes the meter past its capacity. We'll have to find a new way to measure."
50,,Aliens looks expensive but works best when it is not ostentatiously spending money. Its biggest asset is the very survivable Miss Weaver who is a convincing argument for getting women into the front line of the armed forces.
