review_id,user_rating,review_text
1,50,"Nothing that suggests an independent vision, unless you count seeing more limbs blown off than usual."
2,89,"A bitter, bloody masterpiece with adrenalized emotions and hyper-realized images, this is perhaps as close to battle as any sane human being should ever hope to tread."
3,80,The movie's greatest strength lies in phenomenal performances that reach from the leads right down to the smallest supporting roles.
4,90,A magnificent piece of movie-making.
5,80,"If Steven Spielberg's emotional intelligence matched his visual genius, his honorably flawed new film might qualify for one of the greatest-ever American WWII movies."
6,100,An overwhelming experience.
7,100,"A war film that, entirely aware of its genre's conventions, transcends them as it transcends the simplistic moralities that inform its predecessors, to take the high, morally haunting ground."
8,80,"Steven Spielberg's new film begins as a monumental epic; then it diminishes; and, by its finish, is baffling. [August 24, 1998]"
9,100,"Spectacular, wrenching masterpiece that unflinchingly documents the random horror, the grisly spectacle and the ugliness of war."
10,100,The effect is riveting and frightening. You feel you are under siege with the combatants.
11,100,"A searingly visceral combat picture, Steven Spielberg&#146;s third World War II drama is arguably second to none as a vivid, realistic and bloody portrait of armed conflict."
12,100,Steven Spielberg's best war film -- and one of the two or three best movies the director has made.
13,100,"Searing, heartbreaking, so intense it turns your body into a single tube of clenched muscle, this is simply the greatest war movie ever made, and one of the great American movies."
14,100,"The rawest, most sustained screen portrayal of 20th century combat."
15,100,"A watershed picture, for both Spielberg and war movies."
16,100,"No Hollywood film within recent memory has achieved such richness and originality of texture, such a compelling amalgam of passionate human drama and awesome technique."
17,90,Feels like the first truly honest attempt to deal with the horrors of combat - and the terrible responsibility shared by all survivors.
18,80,"Using the overpowering techniques of modern film, Steven Spielberg has cut through the glory-tinged gauze that shrouds World War II to reveal its brutal reality, creating a phenomenology of violence unsurpassed in the history of cinema."
19,100,"One of the best films ever made in this country, filled with our proudest national virtues, cognizant of our deeply rooted human weaknesses and frighteningly able to evoke emotions."
20,80,Raises Hollywood's depiction of war to a new level.
21,80,An exceptionally intense movie whose sheer filmmaking power ultimately transcends all its (many) limitations.
22,80,"Its relatively minor imperfections seem more glaring when compared to the near flawlessness of the film's lyrical, scorching start."
23,80,A startling reminder of exactly how spectacular a director Spielberg can be when he allows himself to be challenged by a subject (in this case World War II) that pushes against his limits.
24,100,"Steven Spielberg's soberly magnificent new war film, the second such pinnacle in a career of magical versatility, has been made in the same spirit of urgent communication. It is the ultimate devastating letter home."
25,100,"In striving to duplicate reality, Spielberg has gone reality one better -- he's playing war, but it's a game no one would ever willingly join in."
26,90,What Steven Spielberg has accomplished in Saving Private Ryan is to make violence terrible again.
27,100,He (Spielberg) commemorates the soldiers in that vast Normandy cemetery in the most absolute and honorable way possible.
28,100,"An excellent movie, as effective in battle scenes as it is in that of soldiers ruminating on an Edith Piaf song."
29,100,"A movie of staggering virtuosity and raw lyric power, a masterpiece of terror, chaos, blood, and courage."
30,100,"A film of such cyclonic visual and emotional power, of such dazzling virtuosity and shattering humanity, that it is difficult to endure, yet alone describe. Savagely beautiful and savagely true, Saving Private Ryan is an excruciating masterpiece."
31,75,"A horror movie based on history, offering some of the most spectacularly brutal, viscerally intense battle scenes ever brought to a Hollywood movie."
32,100,"For those who are willing to brave the movie's shocking and unforgettable images, Saving Private Ryan offers a singular motion picture experience."
33,75,The story raises hard moral questions relating to the relative value of human lives and the overwhelming debt that may be felt by those who benefit when others sacrifice. But the movie falls short of excellence because it doesn't so much explore these issues as finesse them in an action-filled climax.
34,100,"This film embodies ideas. After the immediate experience begins to fade, the implications remain and grow."
35,90,"A harrowing World War II epic about the struggle to uphold decency in the face of seemingly insurmountable odds, the visual masterwork finds Spielberg atop his craft, weaving heart-pounding action and gut-wrenching emotion — often during the same sequence — that will leave viewers silently shaken."
36,100,Saving Private Ryan is a masterpiece. It cements Steven Spielberg’s reputation as one of the seminal filmmakers of the era. It tells a gallant story of honor and duty and courage under fire. It shows you things about war that have never been seen on a motion picture screen.
37,100,"Spielberg has taken us back to basics -- back to art, back to amazement at the film medium itself."
38,100,"Steven Spielberg's magnificent new film, Saving Private Ryan, redefines the World War II movie."
