review_id,user_rating,review_text
1,89,"One of the most suspenseful films of all time, its wartime action setting makes it easy to forget it's also one of the most spiritually righteous. [Director's Cut]"
2,60,"The film has no qualities beyond its formal polish--and its careful avoidance (or rather, displacement) of the moral and political issues involved can seem too crafty, too convenient."
3,100,Wolfgang Petersen's direction is an exercise in pure craftsmanship. [Director's Cut]
4,83,"Sweaty and claustrophobic, exciting and horrifying at the same time, it never lets us forget we're riding aboard a giant, primitive tin can, a hunk of industrial machinery that mingles the illusion of omnipotence with the reality of a floating prison cell. [Director's Cut]"
5,75,"As torpedoes shoot through the seas and depth charges pass by, carrying their whining cargo of destruction, Das Boot brings the presence of death to within a whisper of the eardrum."
6,100,The most convincing war movie ever made.
7,100,"At once a devastating condemnation of war and an exciting action film...The additional running time only adds to Petersen's masterfully bleak, claustrophobic atmosphere. Das Boot is by no means a pleasant experience, but it's an intelligent and emotionally gripping one that you won't forget. [Director's Cut]"
8,100,"Takes all of the drama and suspense inherent in a submarine-based story and delivers it in a near-perfect package, establishing Das Boot as not just a terrific adrenaline rush, but one of the best movies ever made. [Director's Cut]"
9,90,Absolutely devastating filmmaking that makes you simultaneously feel the glory and the absolute futility of war. [Director's Cut]
10,75,"A visually spectacular film, distinguished by strong performances and brilliant Steadicam photography that snakes through the U-boat as its patrols the North Atlantic during World War II. [Director's Cut]"
11,80,"Racing through the sub, squeezing through tiny openings, director Wolfgang Petersen's camera brilliantly evokes the claustrophobia and clamor of undersea battle."
12,100,"A great movie just got greater, thanks to this thorough restoration. [Director's Cut; 27 June 1997, p.D3]"
13,60,A descent into the pit of hell with slim odds of ever returning.
14,100,"You emerge from this experience rather like a returning U-boat crewman -- drained, blinking in the light, but oddly triumphant. [Director's cut]"
15,60,"Unlike Hollywood's hygienic undersea dramas, Das Boot graphically depicts the nasty intimacy of a long mission."
16,80,Das Boot is yet another moving testament to the wastefulness of battle.
