id,user_rating,review_title,review_text,author,date
1,8,A tough watch that will stay with me,"I watched this In two sittings and was glad of the break. The three ages of the main protagonist all play their part excellently, and each in their own way shows a sadness and sense of being trapped with a secret that is unacceptable to the people around them, as a child, teenager and adult. Not a world that I've ever seen portrayed before which is why I think it is worthy of its accolades. This feels like an insider account of growing up gay in a tough neighbourhood.Brooding, challenging and sad but well worth the watch.",robinssa-98507,N/A
2,7,"Works better if thought of as a good indie, rather than an Oscar winner","I remember the 'good old days' when IMDb review forums had a more balanced array of reviews, instead of everyone rating something 1 or 10, and then adding politics. So I'll add some of that to the mix. This was my experience: I watched it post-Oscar. My reaction: ""Moonlight"" is that type of movie that is best appreciated as a ""hey, that was an interesting indie; it's well acted and I wonder what the director will do next"", instead of an Oscar winner for best movie and best screenplay. It's the type of film that I would have added to my list after seeing it show up somewhere in the Independent Spirit Awards, like ""L.I.E."", ""Our Lady of the Assassins"", ""Paranoid Park"", etc. It's stylish, it captures a slice of life, and it is mostly engaging. Unfortunately, like others point out, it feels under-done, like each act was cut short a little, and in particular the last act is underwhelming, and too much like a first-time screenwriter's autobiographical play. It's Oscar-winning screenplay is ironically quite short on story-telling, dialogue (yes, sometimes appropriately intentionally, other times just not very creative), and scenes that will engage enough.The cinematography is interesting, with a video-game like POV, floating over the lead character's shoulders from behind, inviting you into the action. There's some nice shots, good use of music (although sometimes cut a bit abruptly, and I would have liked to have heard more of the beautiful score), and a lot of use of the senses. Feel the ice, feel the sand, taste the food, enjoy the nightlight; it all feels relaxing, enhancing the ability to escape a grim reality into something more beautiful. Other sounds are blocked out or intentionally out of sync. I liked that Barry Jenkins was able to capture that.The first act has an excellent scene with a showdown between a surrogate father and an absent mother, which is also a debate about the drug dealer/drug user relationship. Mahershala Ali and Naomie Harris are great in these respective roles. There's discussion of identity, acceptance, masculinity, and bullying. The second act builds on a climax in which the characters stands up for himself, literally and figuratively, and then takes on a sociopathic bully, who is one of this year's scariest villains. The third act tries to balance a charming but thin love story, while exploring identity, and the influence of our role models and life circumstances on ourselves.It sounds better than what it is, unfortunately. The trailer is great. But, again, the screenplay is underdeveloped. The third act is a different film, or perhaps needed to be shorter and add an additional act between that and the second one, to further flesh out the story.",demented_peruvian,N/A
3,8,"Moonlight is a wonderfully made movie told in three parts, perfectly encapsulating a difficult story to tell","8/10Moonlight is a wonderfully made movie told in three parts, perfectly encapsulating a difficult story to tellSpoiler",gouldjakew,N/A
4,10,"Simple, Painful, Outstandingly Beautiful","Moonlight is one of the most beautiful and heart-wrenching films that I have ever seen. Many users are expressing disdain or presumed it to be dull. Yet, to see it as such misses the whole point of the film. Moonlight wasn't intended to overtly wow us or give us knowledge about something we didn't already know. Rather the film allowed us to enter and follow a life that I'm sure many have never considered living. Yes, we know some about poverty, queerness, masculinity, and Blackness individually, but to see the conflict of it all so succinctly woven together allowed the complexity of some folks lives to be seen in an unadulterated way. Moonlight wasn't supposed to give us some grandiose finale or even answers, but simply present a narrative that we often don't see. And that's what makes it so simple, painful, yet outstandingly beautiful.It's also important to remember that just because you don't understand something, that doesn't mean it is unimportant or invalid. Just because you can't relate to the entire story doesn't mean pieces of it can't teach you something about life. Just because the narrative is one that isn't widely told, doesn't mean it should be disregarded. If you don't understand this film or find it a waste, look deep inside yourself and ask why.10/10 would recommend.",greeenchik,N/A
5,N/A,Magnificent,"A sensitive, probing drama. Exploring America through race and sexuality. Beautifully acted, written, directed. To see black Americans portrayed with such complexity is so rare in mainstream American film. And then, on top of this, a sympathetic and positive portrait of gay men. I have a cringe meter which monitors how we, gays, are treated. Goes off constantly in most films. Not Moonlight, not a single cringe meter gong. Wonderful film.",johnenyc,N/A
6,9,Coming of Age in All Its Complexities,"""Moonlight"" may very well be a breath of fresh air to others who are tired to death of our culture's obsession with labeling and categorizing everything in an attempt to understand it. If it can't be easily categorized, it's either frightening and something to be opposed to, or it's abnormal and therefore something to be marginalized.The main conflict at the heart of ""Moonlight,"" a beautiful movie about a young black man's coming of age in poor and drug-afflicted Miami, is our protagonist's inability to define himself in terms that his environment will allow. He doesn't fit into any of the categories available to him, so he sets out to force himself into one that seems like the best option. His name is Chiron, and the movie shows him to us at three stages of his life, portrayed by three different but wonderful actors. As a little boy, he struggles with loneliness and neglect thanks to a crack-addicted mom (played by Naomie Harris) and takes to the first person who offers to be a father figure to him. In a Dickensian twist, this person happens to be a drug dealer who nevertheless offers him sympathy and understanding not to be found anywhere else. The middle section depicts Chiron as a young man navigating his emerging homosexuality and the high school bullying that goes along with it. In the film's final and most breathtaking sequence, we follow Chiron as a man in his twenties to a reunion with a high school friend who gave him his first gay experience and whom he's never been able to completely move on from. This entire sequence is directed, written, and acted with utmost delicacy.I can't think of a movie in recent memory that puts loneliness and anguish on screen more effectively than ""Moonlight."" It's a movie that asks us to see life from the perspective of a very specific individual but then draws universal conclusions from it that makes the superficial differences between him and the viewer (I'm not black, I'm not gay, I didn't grow up in a poor urban environment) melt away until you feel deep compassion and sympathy for a fellow human being who is doing what we all are -- navigating the complexities of living on this world and making the best of it we can.Grade: A",evanston_dad,N/A
7,6,"So wanted to love this movie, but.............","After reading the reviews, and seeing Stuckmanns review on YouTube (a reviewer I nearly always agree with), I not only wanted to really love this movie - I expected to. But alas, no. Certainly it has some really good things about it - the cinematography is beautiful, incredible performances from just about all of the cast, but the story? I mean sure, it is meaningful and I guess important to a degree, but it was just a bit thin on the ground. Young boy, becomes a teenager, then a grown man - and he is gay and has lived a lonely life because of it. Not exactly mind-blowing. And it had one of those really frustrating endings - you know the type, the ones that just end and you are like ""Eh? Is that it....? Really...??!!""But as I said, it does have many plus points, and it is certainly worth watching - just personally after all I had read I was expecting to be blown away, and I certainly wasn't.",david1806,N/A
8,10,Identity Takes Time to Discover,"To solely categorize this film as an examination of Chiron, a young  African American who has to deal with being gay is accurate but  inadequate. It wouldn't be inadequate to also categorize it as a movie  about drug abuse, school bullying, and isolation. However, if someone  were to ask me what MOONLIGHT is truly about I would say that, at it's  core, it's a film about teaching a child how to swim, feeling the sand  on your skin, and cooking a meal for an old friend.   Director Berry Jenkins is not afraid to be poetic, to guide his film  away from conventional storytelling and offer his audience something to  connect to in their own way. The way his camera roams around is  sensually magnificent; he knows when to cut to the next shot and when  to linger a few seconds longer. But above all else, his ability to add  an extra texture to each scene is awe-inspiring; it's more than just  style for the sake of style; it's essential to the movie's argument.  From the very first shot to the very last, MOONLIGHT is about as  beautiful a movie as you're likely to see this year. The colours are  rich and luminous; James Laxton's cinematography is visually immersive  leaving you stranded inside the story of the film. It moves at a  smooth, welcoming pace. The music, whether it be the classical or  hip-hop selections as well as Nicholas Britell's subtle score, is  perfect. And the performance are, well they're the cherry on top.   It's uncanny how similar the 3 actors, who played the kid, teenage, and  adult versions of Chiron behaved and acted; you'd almost think it was  the same actor who played all three roles. Mahershala Ali and Naomie  Harris are more deserving of Oscar nominations than just about anyone  I've seen this year. They may be the standouts, but all the  performances, ranging from the children to the adults, are so raw and  powerful; a standing ovation for the casting director is in order.   But perhaps the thing about this movie that deserves the most acclaim  is its open-endedness; it's fight against straightforward  categorization and recap. MOONLIGHT so much more than a movie about  growing up gay; it's about overcoming your adversities and, despite  being a product of your environment, figuring out who you want to  become. Identity takes time to discover, and that's something anyone  can relate to.",bardia-moose,N/A
9,7,Another case where a film wins the Best Picture Oscar but the average viewer simply won't enjoy the picture.,7/10Another case where a film wins the Best Picture Oscar but the average viewer simply won't enjoy the picture.Spoiler,planktonrules,N/A
10,9,A tapestry of lyrical moments and finely wrought detail on a journey for self-identity,9/10A tapestry of lyrical moments and finely wrought detail on a journey for self-identitySpoiler,CineMuseFilms,N/A
11,6,Does not Justify the Hype,"""Moonlight"" is a dramatic and very well acted film about three stages in the life of a black character since he was a bullied boy and teenager in Miami until his adulthood in Atlanta. The first part (""Little"") is heartbreaking, with the boy Chiron completely lost between the rejection of his crack addicted mother and the love of his new friends, a drug dealer and his girlfriend. The second part (""Chiron"") is inferior but also attractive when Chiron is an adolescent and the problems and doubts he has to face in this difficult phase of life practically alone. Unfortunately, the third part (""Black""} is awful; Chiron has become a strong man (the biotypes totally different from his childhood and adolescence), drug dealer and gay.It is impressive how professional cinema critics love films where the characters are gays (remember ""Brokeback Mountain"", one of the most notorious) and the power they have to influence worldwide viewers with their opinions. A few people dare to say that the King isn't wearing anything at all, like in the ""The Emperor's New Clothes"". My vote is six.Title (Brazil): ""Moonlight: Sob a Luz do Luar"" (""Moonlight: Under the Moonlight"")",claudio_carvalho,N/A
12,10,Three One Everything,"When a film comes out and you know next to nothing about it with a director you don't know and a cast of mostly unknowns and it blows you away like it did me. Then I know I'm confronted by something unique. In fact it was director/writer Martin Donovan who wrote about Moonlight, urging all his actors to run and see it. Thank you sir. The faces of those three young men who are just one did something to my brain and to my heart. The best group of actors I've seen in one single film in a long, long time. The big surprise is that we knew it all along. It's all about love and what it means to be a man. Thank you Barry Jenkisns A revolutionary film made of truth and beauty.",marcosaguado,N/A
13,7,Not Good Enough,"So you wake up and find that Moonlight won the Oscar for Best Picture. Against La La Land. Against Manchester By The Sea. Against Hacksaw Ridge. OK...""Moonlight"" is not a bad movie, by no means. It has great moments, beautiful cinematography, interesting dialogue during the scenes and nice acting (although not amazing) - is nomination for Best Picture is acceptable. The problem is that this isn't an Academy Movie Winner. The main character lacks a more profound development, the ""third scene"" is close to nothing (it adds basically anything) and, at some point, we've seen this film before - just remember ""Boyhood"".So, it's a nice movie, interesting, but pure and simply not good enough to conquer Oscars Night.",antonio-hess7,N/A
14,4,massively overrated,"moonlight is a film that deserves recognition on its technical basis - it's a beautifully filmed motion picture. the colour palette is incredible, and the camera work is lovely. there are some strong performances by some of the actors too.however, this has unfortunately blinded everyone to the fact that the plot is majorly lacking in depth; it touches on some important elements of life (bullying, homophobia, drug abuse etc.), but fails to explore them enough to have an emotional impact on viewers. I commend them for acknowledging the existence of topics that are so very relevant, real and difficult, but the execution of them was poor. there is nothing transcendent about this film, it doesn't leave you thinking about anything.films don't always have to have a huge meaning, but when advertised as something ground breaking and having emotional impact, I'd have expected more than what moonlight consists of. this film presents themes, but doesn't deal with them. unfortunately, this is not enough to satisfy me or justify winning an Oscar - it just proves that the public are too scared of being honest about the quality of a piece of work when it touches on sensitive subjects.",evelyn-koster,N/A
15,10,Moonlight is everything a movie should be and more,"I've seen a lot of movies lately, mostly because we've had a series of amazing releases but Moonlight affected me deeply on a personal level like very few managed to do in the past few years.Having seen the trailer only once and knowing the brilliant cast – Mahershala Ali, Naomie Harris, Janelle Monae – I was sure this one would be a hit. And ten minutes into it I had already gotten a handful of tissues out, like the rest of the audience in the theater and was silently wiping my tears while the actors gave a stellar performance.First of all, I was ecstatic to see that Moonlight featured an all black cast. From behind the camera, to the leads, down to the last extra, kudos and please can we have more already? Second of all, Moonlight showed that a movie can talk about queerness in the black community and turn it into art and present it with dignity and beauty and capture the essence of being a black gay man, the masculinity and actually show the struggles, it went to places a few movies would dare to go and it spoke to me; I know for a fact a lot of people walked out of the cinema more accepting and open-minded. I had a 70-year-old grandpa sitting next to me, weeping and crying like a child, I have never felt more connected with the people I'm randomly watching a movie with.I can't talk about Moonlight enough, the cinematography was exquisite and the directing was epic, the editing just brilliant. I could almost feel the sunlight through the screen and the humidity in the air. The camera takes you with the people and it captures emotion and feelings like you are there, somehow managing to peak into their lives.Despite the fact that the movie goes from decade to decade, childhood, young adult and grown man, you never feel any gaps in the story. Sure through the years there are noticeable differences and happenings we don't know about – and never really get answers to – but this is Chiron's story and unlike books, people don't go about their life everyday talking about the past, or recalling life altering events. We get three major turning points in Chiron's life, presented beautifully and with a painful honesty. The ending left me gasping and a mess, I was happy and full of emotions and love and I still remember scenes from the movie and my heart breaks for Little and at the same time I feel happy for Black and I want to protect Chiron.Moonlight is everything a movie should be and more; an example of how things can and should be portrayed and it all comes with brilliant performances and incredible directing. If there's only one movie you'll watch this year, it's Moonlight. This is why representation matters and why we need more of it. Take everyone with you, recommend it to as many people as you can, never stop talking about it.",lovelypagesreviews,N/A
16,9,keep your eye on Mahershala Ali and Naomie Harris,"The reviewer's dilemma (and it is a dilemma reviewers LOVE to encounter) is, in a superb film with superb acting all around, a superb script, and superb directing, you still need to pay special attention to those actors that, in such a competitive environment, stand out as something ""extra"" special.In this mesmerizing film, special attention has to go to two actors who steal every scene they are in and silently promise the viewer that the long and bountiful careers ahead of them will deliver even better performances down the road.I am referring first to Mahershala Ali, whose magnetic presence made him the centerpiece of Luke Cage (where he competes with, and surpasses, actors with much greater experience). If you watch this actor closely, not only is he in the moment, but his body seems to be in constant motion even when he is sitting still. Like a hummingbird. Awesome to behold and although he has been lately playing characters of ""dubious morality"" one gets the feeling he could play a hero just as easily.And then there is the performance of Naomie Harris, a performance so strong and memorable that I began to recall that, in the Golden Age of films, they used to refer to performances like hers as ""searing"" -- but lately I have not seen the term used very often in a review.So in honor of Ms. Harris I will say for the record that her performance in this film -- with minimal screen time -- is searing and unforgettable.Highly recommended.((Designated ""IMDb Top Reviewer."" Please check out my list ""167+ Nearly-Perfect Movies (with the occasional Anime or TV miniseries) you can/should see again and again (1932 to the present))",A_Different_Drummer,N/A
17,N/A,Excellent Character Study with Fantastic Performances,"Moonlight (2016)**** (out of 4)Extremely well-made and lyrical movie that deals with a young black man trying to survive in Miami while discovering who he is through a series of hard times. We first meet ""Little"" (Alex R. Hibbert) as a young kid who is discovered by a local drug dealer (Mahershala Ali) who tries to teach him some life lesson. We then meet him as a teenager (Ashton Sanders) where he is constantly being bullied while at the same time trying to learn his sexuality. Finally, in the third act, we meet him as an adult (Trevante Rhodes) and see how these earlier events have shaped his life.MOONLIGHT is a fantastic character study and I'd argue that it's one of the most interesting ever made. I'm not saying it's one of the greatest films ever made but at the same time I would argue that it's one of the best directed and acted movies that I've seen in a very long time and the end result is something rather special. Yes, we've seen these coming of age dramas for countless decades now but this one here still manages to come across rather fresh and original.What I loved most about the film were the performances by the three actors playing the same character at various stages of his life. A lot of movies try this and it's rare that all three are so believable in their roles that you really do feel as if you're watching one character throughout a period. All three actors really did seem to have studied each other or at least had such great direction where they were all acting the same way, with the same emotions and as the film went along you could see how the teenager was in the younger version and how these two versions played a major role on the adult.The performances here are simply wonderful with Hibbert, Sanders and Rhodes delivering some of the finest performances of the year. The amount of emotional and realism they bring this character is something really breathtaking to watch. Ali is the real standout though as he plays a man we meet and who at first we don't know anything about him. We slowly learn about his character but the presence Ali brings to the role is something truly excellent to watch and he delivers a knock out performance. Janelle Monáe is also wonderful as his girlfriend as is Naomie Harris as the boy's mother.Director Barry Jenkins does an extremely wonderful job at keeping the film moving along. There's a terrific visual style including the opening sequence, which just grabs you and pulls you into this world. MOONLIGHT is one of the better character studies out there and it certainly takes you on a fantastic voyage of a boy trying to learn to be himself and become a man.",Michael_Elliott,N/A
18,6,Overrated,6/10OverratedSpoiler,SaritaLW,N/A
19,9,"Excellent movie, with first rate acting.","Young African American Chiron is essentially a square peg trying to fit into a round hole, dealt a tough hand, a tough family life, he tries to fit in a world with set ideals and so called requirements, this film looks at three eras of his young life.Personally I thoroughly enjoyed each of the three segments, however it was the second that hit hardest, an incredibly powerful, sad and moving sequence, but every single segment is poignant, moving and hard hitting.It's pretty bleak, it does dwell on some of the darker aspects of human nature, those that prey on the vulnerable, those that by an outdated mindset don't fit.The acting is A1, and I mean incredible, it doesn't get much better than this, the three incarnations if Chiron, Alex R Hibbert, Trevante Rhodes and Ashton Sanders are each marvellous. As always, Mahershala Ali and Naomie Harris are outstanding, I'd watch either in anything.For me to stay up past ten o'clock these days is something, to stay up past midnight watching a movie, is pretty much a rarity now, I wanted to see what it was like, and got absorbed.Excellent, 9/10.",Sleepin_Dragon,N/A
20,6,One of the Very Best of the Year,"Moonlight is another Barry Jenkins film that is soaked in the exact craftsmenship you'd come to expect from him: powerful screenplay, excellent performances and an all around perfect film. To put this in perspective, Moonlight is so damn good and refreshing that it is hard not to recommend it to everyone. The film puts us on the back of a young African American boy who is living with his drug addicted mother in the slums of Miami. He is exposed to drugs, alcohol and violent tendencies at a very young age. The boy is haunted for his entire life over something his mother says to him in the fit of a blind, drug fueled rage. As the film progresses he thinks about what his mother called him and that singular moment reverberates throughout his whole life.What this film does so brilliantly is it combats the idea of masculinity and homosexuality in the most blunt of fashions. No film has done this and I doubt a film will do this ever again. It is truly a great film that touches on so many topics outside of homosexuality. It touches on race relations, black culture and what it takes to be a traditional man. The performances are all around terrific, with an especially standout performance from Naomie Harris. The filmmaking is top notch and the script is perfect.Overall, Moonlight is a harrowing must see film for anyone who is a fan of cinema. It will make you laugh, it will break your heart, make you cry and everything in between. But what this film will do the most is make you really think about what, if anything, has defined you as a person. No matter the gender, no matter the sexual orientation, no matter the culture, no matter the race...this film will speak to you louder than words ever could. Bravo, Barry Jenkins.",trublu215,N/A
