id,rating,review_text
1,5,"A modern classic. Filmed over 12 years, it’s probably one of the few movies in existence that capture the heart of the human experience. At least when it comes to boyhood."
2,5,"this was spectacular. the writing was dead on, the dialogue and situations all seemed so real. this very long movie seemed to fly by in a flash"
3,3,"Too long, boring, no point, yes you connect to the characters but u just can't wait for it to end, 6/10"
4,0.5,"Incredible movie... incredible boring. Why should I want to watch people grow up that I dont know, only to find out that they have no meaning in life?! The boy should have taken that baptism along with his baby brother. Then he might have found the meaning - as would have the movie - that was missing all along."
5,5,"I never got around to seeing this and I regret it. This is an amazing movie, amazing soundtrack! It’s a long watch but worth every second!"
6,4.5,"A long, slow burn, but not in a bad way. For a long time I wondered why it was called “boyhood” because there didn’t seem to be a singular focus on anybody for quite some time. A real time capsule of the early 00’s to the early 10’s. The movie, like us who lived it, had to adjust to the rapidly changing world and growing people. So many things could’ve gone wrong but this movie did its job."
7,4,"Both Cade and Kit rated it the same: 4 Stars. Kit felt it was one of the best picks for coming-of-age theme. It's thoughtful, patient, and emotionally rich. Cade appreciated how much it reminded him of his own childhood, especially how the film gave weight to seemingly forgettable moments. This movie doesn’t grab you. It stays with you."
8,5,The perfectly unique movie. It's rare to find a movie that is actual art these days. So many memories and future thoughts that rushed through my mind in almost every moment of the film. Reminising on my childhood and now fatherhood.
9,2.5,"NYT 1000 movies. I appreciate it for its unique vision of taking the actual time to make a movie that spans literal decades in making. However, the musings on life and what it is did not seemed to be based on any lasting values. I don’t need to see it again. Saw on Hulu."
10,4.5,The movie boyhood was a coming of age story Ethan Hawke is in this movie and plays an excellent role as a father of a young boy and young girl in their life growing up through all aspects of life marriage divorce grade school high school college and so on. The movie represents what it’s like growing up in the 90s maybe even the 2000s perhaps millennials and their life stories and relationships and how they evolve over time. It’s really good movie though though it’s lengthy it’s a 3 hour movie but it takes that time to explain how life evolves over time through good times and bad. I would recommend this film for the entire family.
11,0.5,Trash movie literally they decided let's show up every year and film a random scene and see how this thing does in theatres
12,4.5,"Boy, give your mother a fu**ing hug or something! Now more seriously, Boyhood struck me as a true cinematic achievement. The fact that this film was shot over the course of 12 years already makes it remarkable and something truly one of a kind. I loved the way the story is told, with such delicate distribution of each scene, avoiding unnecessary cuts or on-screen text to signal the passage of time. Instead, time itself flows naturally through the actors, and that makes the impact so much stronger. Watching them age in front of your eyes is astonishing: you start with the protagonist as a little boy and end with him stepping into adulthood. This journey inevitably builds a strong emotional bond with the characters, because it feels like you’ve witnessed a large part of their lives condensed into just over two hours. There are also moments of heartbreaking intimacy, especially in the relationship between the boy and his mother. One particular scene left me with a lump in my throat, showing just how heavy the passage of time can be for a parent, and how painful it is to let go of your children. It’s a powerful reminder of the film’s emotional depth, and it perfectly justifies the title of this review. In the end, I truly believe it is a masterpiece, and I doubt we’ll see another project this bold and unique anytime soon."
13,0.5,I feel like the reviewers gave high marks to this movie out of pure guilt due to the extreme effort in making it. The problem I have with it is that it was simply not entertaining.
14,5,Time capsule of a movie
15,5,"Success in 2.75 hours. Rated R for Sexual References, Language and Teen Drug and Alcohol Use. Academy Award winner in 2015 for Best Supporting Actress (Patricia Arquette)."
16,4,"Boyhood is a massively ambitious project. It will certainly not appeal to everyone, but I really liked the humble simplicity of it."
17,1.5,A miserable experience that thinks it's way more profound than it actually is. It has nothing to say and its only value as a film comes from the novelty of its gimmick. Watch Lady Bird or The Florida Project instead.
18,2,"Hats off to the director for this unique take on production, taking 12 years to follow a boy's journey since childhood. Unfortunately, it was too long, too dry, and main character comes off as a self-centered prick who pisses on everything in life. Hawke makes it bearable. It's a movie about life and the take on it isn't necessarily an inspiring one."
19,3,Witty and charming. It makes you think but it does lose a point though as i feel like it's about 45 minutes too long. Give it a go if you have a spare afternoon.
20,4.5,"Boyhood captures the essence of a decade-long shoot, documenting the lives of its characters year after year. Not one of my personal favourite film but my admiration is given through its innovative film technique and the remarkable achievement of Richard Linklater having the film beautifully portray the everyday experiences of numerous individuals, which gracefully earned it its well-deserved Oscar recognition. Grading: A"
21,4.5,"Entertaining, thought provoking themes & some great acting. Really enjoyed it."
22,5,"12 years of filming Reflectance of a boyhood, also mine. You know how everyone's always saying seize the moment? I don't know I kind of think it's the other way around, you know. Like the moment seizes us -Boyhood-"
23,2,"Epic coming of age/boy to man tale. The 12 year production is to be applauded for stamina, however, it was ponderous. Felt like a fly-on-the-wall come reality tv soap without the drama. There were few moments of interest. Patricia Arquette and Ethan Hawke provided much needed energy. Too long. Plus, difficult to relate to, if like myself you grew up working class in Europe."
24,4,"This made me feel so many things - it was funny, sad, and incredibly nostalgic. It felt so real and not like a movie at all, like it was just life and I was observing. I loved how it brought back so many memories of growing up in the early 2000s - at every stage rach and I would say “omggg remember X!?”. Plus you already know I love Ethan Hawke and Linklater, so it’s crazy it took me this long to watch it."
25,4.5,"If watching twelve years of a child's life for about 3 hours has its charm, it is because Linklater did his best to make the development of the plot, and the characters, look completely natural, realistic. It is not superfluous to see it."
26,5,A very moving film. Deserved the attention it got.
27,5,"Man, this guy has his own way of making movies!"
28,5,"Richard Linklater’s coming of age epic Boyhood is a cinematic marvel. Through a whopping 12 years of production, this film’s scope is awe-inspiring. There are few experiences in art where we have the opportunity to grow, learn, and experience with a set of characters over a period of more than a decade. In this way, Boyhood is not only something to be experienced, but something to be sought out, shared, and beloved. Transfixing in its presentation and clocking in at just over 165 minutes, there is a shocking lack of grandiosity and ostentatiousness, and instead favoring humility on an intimate and empathetic scale. Every scene in this film is carried with the weight of a life, and it almost feels like we have an opportunity to interact, and create a life well lived. The entirety of this body of work is equal parts enriching, devastating, kindred, forlorn, and alive. The whirlwind of time that we are cast into is breathtaking, almost like a 12-year time capsule has been unleashed - the war on terror, Gameboys, iPods, the housing crisis of 2008, and countless other pieces of history that cement our characters’ lives in an intimately vulnerable and nostalgic reality. It’s so interesting to be in this kind of perspective. We are just beyond the realm of experience where we are so close to this evolution of a person, yet not so much that we are overstepping. The events of the film flow over us like a waterfall, changing temperature as the mood of the world we are in sways from bitter cold, to loving warmth, to something in between that I can’t quite put my finger on. This kind of divine display of sonder is a blessing - a true coming of age journey. Boyhood has spoken to me in a way that not many other movies have. With my own son on the way, this masterpiece made me identify with a great deal of our characters’ experiences. The power of cinema on those who enjoy it is endlessly magical, and fatherhood - boyhood - is a red-letter day."
29,5,"A cinematic milestone and an absolutely masterpiece, ""Boyhood"" tells an incredible story in the most unique way possible, with fantastic acting, powerful dialogue that feels natural, and a sensational plot that the audience can relate to. An absolute must see!"
30,5,A remarkable film on so many levels
31,3,"First hour was genuinely engrossing and the acting all-round was beautifully done. Genuinely felt heart-wrenching seeing Mason’s family life fall apart. BUT, after an hour I did feel like the movie started to meander and... I actually got bored a fair bit also. There was no plot, so to speak, and the acting got really quite bad to the point where I wanted to turn it off."
32,3.5,"Fantastic concept, highly engaging, but goes on too long and not all performances successful. Patient viewers only."
33,5,"Life. This movie shows the messiness of life.Relationships change, circumstances change, life is messy and still things go on. This movie shows the beauty in the mess of life with beautiful acting."
34,4,still watching but 1 star off for the horrible acting of the step dad and the chewing and drinking sounds he makes
35,4.5,"Its obviously a monumental achievement, and not just because it took twelve years to make. Linklater has made an immersive film about the forming of personality and identity in childhood, and he does it without much of a plot. Instead he's collected a series of moments at various points in one boys life and weaves a complex tapestry of memories and emotions. The new standard for coming of age films."
36,5,I LOVE THIS MOVIE... IS PERFECT!
37,4,"Touches on a more subtle level, like giving a chance to reflect on ourselves and think over what life is really about. It's not necessarily a big brutal drama, rather just a sadly not too uncommon growing curve of an adolescent boy, which is pretty well directed and casted as well."
38,1,"This movie is garbage. So pointless. The characters are not intriguing and there's no story or plot, which is worsened by the fact that it's nearly 3 hours long."
39,1.5,Over hyped drama that leads nowhere
40,4,"Boyhood is an ambitious coming-of-age film shot over 12 years with the same cast, creating an authentic and immersive experience, following the protagonist's growth from childhood to adolescence. The film's raw and emotional storytelling, coupled with exceptional performances, make it a deeply moving and unforgettable journey through the various stages of life."
41,5,There is something about this movie that it keeps bringing me back to her every time An absolute experience
42,5,"Simple but incredibly effective, Boyhood, is a trip through memory line and a collection of human experiences that hit close to home. If you feel a deja vu while watching the movie, it is because you did not see it in another film, but because you may have lived it."
43,5,This has a type of magic that 99% of modern films completely lack
44,5,Manera sincera de involucrar al espectador. Adelanta de forma visual el concepto de vivir.
45,4,"Although the film could have benefited from a more daring approach, Boyhood's is a pure, comprehensive and cordial account on growing up that is elevated by a clever filmmaking style, awesome performances and delicate writer-direction by Richard Linklater."
46,2,"Taking 12 years to create it doesn't mean it's good. Seeing someone grow up on film is pretty neat, but...it's been done, it was already done and done more extreme, check out the ""Up"" series. Or watch timelapse youtube videos."
47,5,"An absolute masterpiece of experimental film making. This movie perfectly captures the shared experience of middle-class boys that grew up in the early 2000s. There's really nothing particularly exciting in the film; instead, it makes it's subject matter the common feelings and happenings of life, doing a wonderful job transferring that to the medium of moving picture."
48,3.5,12 years in the making is definitely worth to watch
49,5,"Excellent movie and guess i never watched anything like that. I like to watch movies that make me trip like someone who used some drugs, you know. I get so connected that i put myself inside and i also find myself dreaming and thinking about things i did and didn't do in the past. You realize how fast our life pass right in front of our eyes, how many lives we didn't live, how many opportunities someone else lived but we don't. Maybe because of a single word, or a wrong place you were. Maybe movies like this gives us as taste of what we never going to have. I really wish i had a father like this guy, who gave some more attention, even though he wasn't there his entire life. But you know... It's more than recommended and to feel the whole experience, don't go and just read the comments down here, see it by yourself,man."
50,5,The best acting performances from Patricia Arquette and Ellar Coltrane! With the best directing from Richard Linklater! And the best editing ever done in a movie!
