id,user_rating,review_text
1,5/5,The Apartment remains remarkably modern in both its construction and sensibility.
2,,"The film’s darkness, culminating in a shocking scene in which a character overdoses on sleeping pills and must be painstakingly revived, doesn’t just serve its sneaky social critique. It also upholds its romance."
3,5/5,Such gritty material is infused with Wilder’s compassion and defined by two towering central performances.
4,5/5,The screenplay by Wilder and IAL Diamond is as fresh and sparkling now as it ever was.
5,,One of the great American films
6,,"The Apartment works as both poignant tragedy and romantic comedy. As smart as a whip, The Apartment is as enchanting as it is thought-provoking. A terrific examination of the desperation to get ahead in corporate America as well as a study in melancholy."
7,5/5,The Apartment is an all-around masterclass in cinema.
8,,"Billy Wilder's The Apartment is a sometimes amusing but basically unpalatable mixture of farce, social satire, and romantic comedy."
9,,"Though lighter than Arrows 2018 release on the extras front, Kinos 4K of The Apartment provides the definitive home-video presentation of one of Billy Wilders greatest films."
10,A+,"The wry and perspicacious Wilder and the more sentimental Diamond fashioned a tale of sexual office politics as microcosm for an externally well-oiled and puritanical America that, internally, was ethically and morally bankrupt."
11,4/4,A screen gem that attained classic status in about as much time as it takes to comb one's hair.
12,10/10,"The picture is brimming with crisp, quick one-liners and sharp dialogue – all setting up the next moment of banter. Each conversation or character interaction is an exploration of motivation and rich emotion."
13,,"This is a polished production, naughty, ironic, occasionally poignantly sad, and as sparkling as a Fourth of July fireworks display."
14,,"Mr. Wilder, possessor of Hollywood's sharpest eye for the witheringly ironic comment on human behavior, is richly blessed with the opportunity to use it in The Apartment."
15,,"[Jack Lemmon] is a genuine actor, not in the same universe with most of his film contemporaries, who are mere behavers. This picture is not good enough for him. Still, his performance makes it worth a visit."
16,,"With The Apartment, Wilder outdid himself. Not only is it much better than his previous comedy, but this has several serious and poignant moments that stir one... and, for these moments you can thank Fred MacMurray, Jack Lemmon and Shirley MacLaine."
17,,"The talk here is a rich blend of the candid and the confidential, and the character analyses are sharp and penetrating. In two hours, The Apartment doesn't strike a single false note; its irresistibility is constant."
18,,Director Wilder has come up with another real winner in The Apartment... It is a film with plenty of fun and one that promises hope in a society whose moral standards seems to be rapidly deteriorating
19,,"Almost any adult human being will get a tremendous bang from The Apartment... Unless your hide is thick as three winterized rhinoceroses, you'll both be yelping with laughter and gulping back tears before this deft piece is done."
20,,"The dialogue is brilliant with smart alec sparkle and the situations are as adult as one can get by with on the screen, and the performances by all concerned... are gems of alternating humor and pathos."
21,,"Anybody complaining that modern Hollywood comedy doesn't have the old human touch, the heart once supplied by directors like Frank Capra and Gregory LaCava, ought to see this. It is one of the best films of the year."
22,,"While the combination of elements might seem curious and perhaps even incompatible, Wilder has effected the blend with a masterly hand, and the total is not unlike that of some of the prewar European comedies which had both bite and boff."
23,,"Billy Wilder, who gave us Some Like It Hot with Lemmon and quite a dash of wry humor, turns over his entire screenplay to master wit Lemmon in this latest one."
24,,"It doesn't fit easily into any simple classification. For the script Wilder wrote in collaboration with I. A. L. Diamond -- and with Lemmon's talent in mind -- is an expert, winning blend of comedy and pathos."
25,,A merry comedy that is marked by strains of pathos and sentimentality.
26,,"Lemmon's comic versatility is well exercised before the plot takes a sudden serious turn. The transition is a little startling, until Lemmon and MacLaine warm up to the switch and produce a human, believable, and some-what message-loaded finish."
27,,"You can take your choice of adjectives to describe The Apartment.. Here is a partial list: Ironic, satirical, funny, sentimental, bitter and sad."
28,,"Disguised as a comedy [and frequently very funny] this film struck me as a biting, skillful satire and a ribald portrait of some organization men."
29,,It's an extremely funny picture with a lofty moral.
30,,"The dialogue of Wilder an d I. A. L. Diamond is sharp and witty, and the characterisation amusing down to the smallest role, thanks to disciplined direction of players who are all professional to their fingertips."
31,,"The Apartment, for all its tremendous enjoyment, has the ferocity, as well as the fun, typical of Mr Wilder."
32,,"Director Wilder has achieved fabulous efforts from his cast, and has handled his screenplay in marvelous fashion."
33,,"The scenes between Mr. Lemmon and Miss MacLaine are beautifully managed, with the composure and mutual confidence of an exercise in classic ballet."
34,,"Witty or serious, it makes a sharp comment with each expert scene. The picture’s a tricky mixture of comedy and tragedy."
35,,Entertaining and often engrossing.
36,,It is a masterpiece of fun and irony about the small men who make up American big business.
37,,However funny Mr Lemmon may be this really is not a funny situation.
38,,"Miss MacLaine, who has a metaphorical tightrope to walk, shows throughout that she is in no need of a safety net. Here again emotion finds itself expressed through comedy."
39,4/4,...a stylish comedy that only grows more and more captivating as time progresses...
40,4.5/5,"It remains a controversial, heavy-hitting classic from an auteur whose filmography is filled with them."
41,10/10,"Balancing the comedy and drama is perhaps the film's finest achievement, maintaining a synchronization that keeps the story alternately funny and poignant."
42,,"""Some people take, and some people get took,"" Bud says, and The Apartment never wavers in condemning the former and aligning itself with the latter."
43,,"A masterpiece, absolute, complete, total and definitive. [Full Review in Spanish]"
44,,"While the mordant ruthlessness of the asides at the expense of big business intrigues, indiscretions and Christmas parties is compromised by a final sequence of quite awful sentimentality."
45,,It somehow manages to be both sardonic and warmhearted while observantly focusing on the romance...
46,4.5/5,"A black-hearted satire this smart, cutting, and hilarious is good even if it can't quite find a way out of its nihilism."
47,,"Billy Wilder's narrative eloquence, its spectacular scenes, the fantastic soundtrack signed by Adolph Deutsch and the brilliance and charm of its two protagonists make it an absolute delight. [Full Review in Spanish]"
48,,"Savoury Shirley' Maclaine and savoury Jack Lemmon save the day, two sad comedians who never spell Pathos with a capital and make a good pair, credible and touching, pleasing rather than glamorous,"
49,,"All this is quite a load for a comedy, but where else has social comment ever been so effective? Wilder hones his points to a piercing edge..."
50,,"If it weren't for Lemmon's so affable execution of Wilder and I.A.L. Diamond's script, The Apartment could have been oppressively dark and cynical."
