id,rating,review_text
1,1,This movie was horrible! The ending was awful with no justice whatsoever!!
2,5,Greatest movie of all time imo
3,4,Excellent movie! Nicholson at his best.
4,5,"Greetings from Lithuania. ""Chinatown"" (1974) without any doubt is a one of the best crafted detective stories in memory. It filled with superb performances by Jack Nicholson, Faye Dunaway and John Huston. But the real star of this movie in my opinion is Roman Polanski. This is his masterpiece. The direction of this film is perfect. At running time 2 h 5 min this movie never drags or is it not entertaining. Sure, a story itself is not a very entertaining one, but its directing, writing, cinematography, perfect editing and gorgeous setting and of course legendary performance by legendary Jack Nicholson is what elevated this movie above and beyond the material. Overall, ""Chinatown"" is a superb film. It's perfectly constructed and will keep you glued to the screen until it shocking ending. Great movie, one of the very best."
5,5,"Amazing film! Tension, cinematography and acting were spectacular!"
6,5,Towne’s linear screenplay is a marvel
7,5,"So much back and forth, so much suspense, and gorgeous cinematography! One of the best crime films ever made!"
8,4,"Everyone's heard of Chinatown. It's a good movie if you like mystery and suspense. Great performances. A little long, and confusing though. Cool music."
9,4,"A very good movie that spirals into a head on crash at the end, inexplicably, I didn't like how it was a murder mystery- and than Polanski bombs you with a bunch of weird stuff right at the end?! Is a cop really going to shoot at a car with a woman driving, and her daughter in the passenger seat, at night with other bystanders around? NO! Love how the cop completely ignores Jakes cries of murder as if he was crazy too. I love Jack and Faye and I DO love the movie- but to be so blinded by the elements in it that don't ring true is not being much of a critic. I'm keeping it for my collection, of course, but I think it's over rated by most."
10,3.5,"A very good film which does seem a little dated in parts, but for the most part holds up pretty well. The acting and directing are great though, and there are some surprisingly bleak twists."
11,5,"I just watched Chinatown again last night after almost 50 years. The themes of corruption and the power of water rights are so relevant now. I loved Jack Nicholson at his sly wisecracking best, the bottled up fear and tension of Faye Dunaway's character, and John Huston's effortless evil. Even though I was prepared for Roman Polanski's knife attack, it still made me cringe. The acting, direction, and multilayered story still make for a timeless, great movie. Watch it again---or if you haven't seen it yet, don't miss it!"
12,5,Greatest noir ever filmed
13,5,51 years on still one of the most arresting American films ever made. Its a masterpiece.
14,4.5,"A detective story where truth itself curdles into poison, and every answer drags you deeper into a world where corruption is the only constant."
15,4.5,"A perfect screenplay, a masterclass in acting, and a troubling piece of Roman Polanski’s difficult legacy."
16,4.5,"Led by an endlessly charming performance from Jack Nicholson, Chinatown is not just a movie, it’s a mood. It effortlessly captures the 1930s detective noir atmosphere with striking costumes, detailed set design, and a delicate score. But it’s the script that makes this film exceptional. Every scene, every line, every word feels thoughtful, intentional, and precise. My only real issues come from a few out-of-character moments for Gittes. A romantic kiss appears out of nowhere, feeling unearned and unnatural. Later, in a crucial scene, he repeatedly slaps a woman who has only ever been portrayed as a victim. Even for a slimy-but-honest private investigator, this crosses a line, feeling more like a flaw in the writing than in the man himself. Still, Chinatown endures because of its devastating themes: the futility of fighting corruption, the way good intentions curdle into greater harm, and the crushing realization that the system always wins. Its bleak finale was poignant in 1974 and feels even more acute today."
17,5,"With its tremendous screenplay, glorious cinematography, superb acting, and winsome writing, it's nearly impossible to call Roman Polanski's ""Chinatown"" a bad movie. It does what few movies do. It's a movie that can be watched over and over again without feeling repetitive, because you can pick up new things with each watch. Plus, who could possibly get bored with Jack Nicholson?"
18,3.5,Quite a good mystery movie however the ending can put some viewers feeling underwhelmed.
19,5,What a masterpiece. One of the best mystery movies I've ever watched.
20,2.5,"Has a high rating because nobody has actually watched it all the way through in twenty years and they're rating it based on memory and reputation. Not as good as you think it is, or people say it should be. It's okay. I guess. If you're into film history then haha, you gotta watch it once. Sucks to be you. Hope you have some Quaaludes and sudoku handy. Or seppuku. Felt pretty ripped off when it was all said and done. Not the Hollywood darling Oscar winning trophy wife it gets portrayed as. It's not a slow burn. It's just long and boring. Bland, banal, predictable, and heavily over-acted at every chance. By the end you want everyone you've seen for the last hour to please, just please go away and never come back. I hate you all. Perhaps the most boring crime mystery I've seen. And I watch a lot of garbage. It is what it is. Oscar winning, Over-rated, Outdated, and Outclassed. Hit the road Jack. Thankfully you went on to make much, much better films. Some of the best."
21,5,"Perfect film noir, and surprisingly funny at times. You feel like you are solving the mystery right alongside Mr. Grittes. Every detail is important, and nothing is too spelled out for the audience. I'd like to rewatch it to see if I missed anything."
22,4.5,"Fantastic noir flick. Most early 70s movies I’ve seen seem to be filmed and produced strangely making it hard to follow and annoy but Chinatown, despite a complicated plot, is great"
23,5,Successful crime-drama movie in 2 hours and 11 minutes!!!!!!!!!!!!!!!!!!!!!!! Starring Jack Nicholson!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
24,5,The End is so suprising and good. It's a Classic. And was verry well. Have fun by watching the movie!
25,3,"I'm not a fan of it. Anyways, a nice one time watch. Ending should have been satisfying..."
26,1,A movie that is ass in quality
27,1.5,"Filme bacaninha, o roteiro é mais ou menos, as cenas são bacaninhas, mas a maioria das cenas são meio desinteressantes, a história é bacaninha, o elenco é mais ou menos, e alguns ajudam a melhorar o filme, os personagens são bacaninhas, o filme ainda teve um drama bom nas cenas e o final foi bacaninha, mas o jeito que foi feito é estranho, como o velho tomar um Tiro no braço e não sentir quase nada, os policiais ficarem parados e reagirem ao tudo isso todo nada, como o policial ficou olhando tudo, e do nada puxou a matou a mulher que ia embora, e ainda ele atirou que nem ia na direção do carro direito, e acabou o filme com a frase a clássica "" esquece jace, é chinatown "" o filme deveria ter cenas bem melhores e relevantes, mas pelo menos contou com uma atuação excelente do Jack nicholson, com tudo isso, eu recomendo esse filme."
28,5,My husband and I watched it last night. I had to talk him into it. He said he’d already seen it. So had I - 50 years ago. When I said that. He quit protesting. We both thoroughly enjoyed it.
29,5,"This is a masterclass in filmmaking and is one of the greatest movies of all time. It features a private detective, disillusioned with the corruption of organized institutions, pervasive injustice, and the role greed plays in society, trying to expose evil and bring good into the world in whatever way he can. The suspense is constantly building up from the first scene to the last. Every scene seems important and leaves you captivated. Excellent storytelling, excellent acting, and an excellent film. You dont want to miss it."
30,5,Great mystery drama with solid performances
31,4.5,"Faye Dunaway looks amazing in this film as Evelyn. Jack Nicholson has been touted by some academics as portraying a psychopath in his role as J.J. I think that this film was possibly an inspiration for ""The Water Knife"" written by Bacigalupi."
32,5,Truly is one of the greatest films ever made. Has the classic Hollywood feel with a darker edge.
33,5,"The best noir movie of all time... much less self-indulgent and more thrilling than many noir films made after ""Golden Era"" Hollywood noir"
34,5,"Undoubtely one of the greatest movies of all time, very brillient screenplay and plot that keep you on edge of the seat and make you think what will happened next. Both Jack Nicholson and Faye Dunaway did a wonderfull performance , last 15 minutes are very tragic. Furthermore cinemetography make this movie more beautiful"
35,3,"I'm glad to have finally watched this classic noir to see Nicholson's performance and the screenplay is deserving of its recognition as well. It's a convoluted plot but in a rich way, not a confusing way, rather in that it's intricate and woven. The backdrop of LA and the water/land grab that is a dark part of LA's history is a very intriguing setting, even today 50 years later. A tragic arc of a tale, it can drag a little at times, but there's no question this is a movie every film lover should see."
36,5,One of the masterpiece of the 70s. Absolutely brilliant. Top 20 best movies ever.
37,5,"One of the best movies that I have ever watched. It shows current issues that were happening back in the '30s that we are still arguing about. The movie left me thinking about ""what now?"", and I have a lot of questions that can't be answered. Shocking."
38,3,"It was fine. The idea was interesting and the acting was great, but I don't know why people think it's a masterpiece."
39,5,Que buena película de suspenso y misterio. Buen crimen y buenas actuaciones. Que deleite de un buen guión en todo aspecto.
40,5,"I don't know what more can be said about this film, that hasn't already been written. The one great neo-noir of American cinema, and a poison pen letter to Los Angeles (when Pauline Kael said the film's tone suggests Polanski treats the film's depiction of LA as a ""celebration of rot"" -- she wasn't wrong!). A great mystery and also a great allegory for 20th century American corruption, in one fascinating package. Nicholson has perhaps never given a better performance, and Faye Dunaway's work is remarkably able to hold up to repeat viewings (the layers she adds to Evelyn Mulwray's deceptions and vulnerability are fascinating to watch and analyze; it's a rare performance that gets better the more times you see it, rather than the other way around). A classic."
41,5,One of the best films ever. This neo noir is fantastic.
42,5,One of the all time classics
43,5,As close to perfect as a film can get.
44,5,The best detective movie ever made. A classic.
45,2,Don't understand why people think this was a good movie!It was slow as can be through most of it and the ending was just as bad!
46,3.5,"Chinatown drips with a suffocating neo-noir mystery. There's more to the film that just a simple whodunit thriller, it's also a gut-wrenching exploration of the dark underbelly of the Californian dream, exposing the corruption and greed that lies beneath the shimmering facade of sunshine and success."
47,5,The best picture of the century
48,5,"I watched Chinatown right after seeing LA Confidential. Although both movies are decades old, I hadn't seen either. They are similar films. Both are period pieces about power corruption in Los Angeles. Both have multi-layered plots. Both have good guys whose flaws you don't fully understand until the end. In the past I saw noir as something leaning too hard on cynicism, too contrived. These two movies, and Chinatown especially, show how noir can be used not just to darken, but to enlighten."
49,4,Watched in January 2024
50,5,"A cinematic masterpiece, this classic art film is 99% positivity. The remaining 1% introduces a compelling twist when Nicholson faces adversity, briefly losing consciousness, only to resurface with grace. The subsequent scene, driving elegantly with Evelyn, epitomizes sophistication, complete with a pristine tie and immaculate suit."
