id,rating,review_text
1,5,"Reviewer John B. Is absolutely right. I saw my movies as a kid at the Post Theater at the Presidio of San Francisco when it was home to the United States Sixth Army. ""North By Northwest"" was a true crowd-pleaser. Scenes of depth and high color, especially around Mt Rushmore were extra memorable. Post theater's screen was BIG. Made us all very happy."
2,4,“ North By North West” This film starring Cary Grant was one of the Alfred Hitchcock better movies and I give it a nine out of 10 stars for being such a special one. All the supporting cast was very good as well and it’s a what I would call a suspenseful drama thriller. If you love Curry red then you’re definitely going to love this film and though it’s in black and white I highly recommend it to all Alfred Hitchcock movie buffs out there. I would give it a G rating overall. Do you wanna get Bobby and I met some privacy tonight can I come you stink baby you take sorry i just need to get my peaches upper sorry i just need to get my peaches ever
3,4.5,"Greetings from Lithuania. ""North by Northwest"" (1959) is more like an adventure with some mystery and thriller elements than a real thriller - it has this lightness that separates it from more serious approach of the material. And maybe that's is the strangeness and at the same time the weakness of this great and exciting movie. It is superbly photographed, features splendid cinematography (the scene with the plane in the fields is simply amazing, still after first time seeing this movie in 2015). Acting is very solid but not very serious, you won't believe for a second that one of the characters were experiencing a real peril, it is more like acting in front of the camera, not ""being there sort of acting"". While the story is intriguing at first, it becomes more or less intriguing by the end, and although i really enjoyed the last sequence on the monument, some acting in there weren't just that good or realistic."
4,4,"Ending was a little abrupt and the villain was pretty forgettable but I still really enjoyed it. I am personally not a massive fan of Hitchcock's work, but I think this may be my favorite movie of his. The sets still look AMAZING by today's standards. The action scenes were fun and really well done. I'll admit, Alfred Hitchcock sure knows how to make a good thriller."
5,5,My favorite Hitchcock movie ever.
6,4.5,"I'm not completely, but largely, new to Hitchcock. I've watched about 10 films now and North by Northwest is by far my favourite so far. This is such an entertaining film."
7,5,Incredible cast. Plotline that can not be guessed and holds you throughout the film with a goid pace throughout. Wonderful scenery and iconic settings. Cary grant is humorous and wise.
8,3.5,"99% of the movie is incredible, and then you see the ending..."
9,4,"Alfred Hitchcock turns the “everyman” Roger Thornhill ( Cary Grant ) into a detective in the suspense mystery thriller “North by Northwest.” In what is considered as Hitchcock’s most accomplished plot, Roger Thornhill is mistakenly identified as a government agent and ends up kidnapped , threatened and framed for murder. Co Staring the enigmatic James Mason as the mysterious Philip Vandamm, the plot twists and turns as Thornhill tries to clear his name by following a trail left by the real agent. Vandamm however convinced that Thornhill is a spy, becomes somewhat of a Bond villain before James Bond was a cinematic thing.   Hitchcock sets up the action with only the main character knowing what is actually going on. Meanwhile the audience are participant in understanding that Thornhill is a victim in a complicated set of misadventures and therefore routing for him from the onset. With enough clues, delivered at timely intervals, to follow the action from mystery to mystery and a script delivered perfectly, the on screen action allows for intellectual participation from its audience. Something of standard practise for Hitchcock. The tension Hitchcock builds as Thornhill becomes more deeply involved in espionage and seemingly way out of his depth is key to “North by Northwest’s” success. Combined with the mild comedy, that adds some welcome relief to the action, is the sexual relationship between Thornhill and Vandamm’s mistress Eve. For a 1950’s movie it is quiet on point with the sexual encounters of Eve and Thornhill which is also reminiscent of the later James Bond movies.  Overall “North by Northwest” is a gripping comic thriller that is a fitting testament to the great Alfred Hitchcock. With amazing cinematography and tight script Hitchcock produced a wonderful piece of cinematic art and rightly earned the title of “the master of suspense”."
10,4,"I do usually enjoy a good Hitchcock thriller, and North by Northwest remains one of his best. It's a classic Hitchcock film in most ways. It's got all of his trademarks, twisty plot, gorgeous shot framing, blonde woman, immensely suspenseful. Cary Grant gives a great performance as the confused protagonist. This film also does have some of Hitchcock's best scenes in my opinion, like the cornfield scene or the parts on the train. Overall, North by Northwest shows again how Hitchcock pretty much got down how he should make a film, and is great for the same reasons all of Hitchcock's other films are great"
11,5,One of the greatest movies of all time
12,5,"A creative cross-country chase movie perfect for the cold war. Cary Grant and Eva Marie Saint play perfect foils, with a tremendous script of dialogue. Two of the most iconic scenes in film history with Grant being chased by a crop duster and the genius final National Park scene. Still holds it pace as a great spy thriller."
13,5,A success for a spy movie in 2 hours and 16 minutes!!!!!!!!!!!! Starring Cary Grant!!!!!!!! I love the director!!!!!!!!!!!!!!! He's cool!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
14,4,"North by Northwest is a Hitchcock thriller. Cary Grant is great in this spy chase. I was a little taken back by how much this movie pushes against midcentury respectability and language. The story was great, but the supporting characters were a little one dimensional. Overall, it was a good film."
15,3.5,"Fun to see all the well known imagery from this, the production and scenery was great. The performances are good but I didn't find the story or plotting all that intriguing."
16,5,Amazing to see on the big screen!
17,5,🌀COLLECTION RATING 96%
18,5,"North By Northwest - 10/10. A classic film, and a pathbreaking one! One of the best original thrillers, and the movie that has been copied to death, but hardly replicated. For its time, Hitchcock did an incredible job of creating interesting situations and set pieces. He also made a great lead character, who feels like an everyday guy being thrown into a horribly miscalculated situation. Still as thrilling and fun as it originally was when it came out!"
19,4,I definitely didn’t expect so much action from Hitchcock’s movie.
20,4.5,"An amazingly crafted action thriller that hits such a grand scale of escalation as our main hero gets framed and mixed into a mysterious game of espionage that not even the police are aware of. The cinematography and visual language are top notch even for Hitchcock standards. The iconic plane scene is very impressive for the time and is the highlight of the movie alongside the climax on Mount Rushmore. The twists are unexpected, but well-woven into the narrative and keeps you guessing about what’s really going on. Carry Grant is terrific and his female co-lead does a great performance despite her agency getting stripped away to mostly being a damsel by the end even though she’s the professional agent and he’s just an advertiser mixed up in all of this. Aside from that, this movie is damn near perfect and easily deserves all of its praise as one of Alfred Hitchcock’s finest works."
21,1.5,"Filme bacaninha, o roteiro é bacana, o filme é meio de perseguição com uma cena boa do Roger correndo do avião que depois o avião se chocou com um carreta com tanque atrás e o avião explodiu, no final roger salvou a sua futura mulher no penhasco do Mountain rushmore e depois os dois ficam juntos e acaba o filme."
22,3.5,Maybe not top tier Hitchcock but very entertaining all the same. Witty dialogue and nice performances by the three leads. Visually strong with iconic scenes on Mount Rushmore and with the crop duster.
23,1.5,"While there isn’t really a single scene that is anachronistically out of place, the sum total of scenes pose countless improbabilities that render this work directionally silly and anachronistic in that this movie simply could not be made today. On top of that, Hitchcock’s notorious use of women and his awful rendition of human sexuality are appalling by contemporary standards. Difficult to watch really. And of course Cary Grant is doing his best version of Jack Lemmon again. Such a goof."
24,5,"One of Hitchcock's best!! Great story, suspense, drama, romance!"
25,5,Always puts me in a good mood for some reason.
26,5,My favorite Hitchcock film. Great Cary Grant's performance and very funny and interesting mistery film.
27,4.5,"This was a very good film. I expected it to be good because of the ratings on this website, and yeah pretty good. My only issue is with the ending, the ending was building to be this super suspenseful thing right? Then pulls the carpet from beneath your feet and cuts to them on the train. I thought that was lame. Other than that, I really enjoyed the cinematography, the acting was kind of meh… felt very stilted. Specifically the romance stuff, they talk like good friends not like lovers obsessed with one another. If you haven’t seen this film then definitely watch it."
28,5,"As far as thrillers go, this as good as it gets. As far as film's in general go, this is as good as it gets. It has stood the test of time and is easily one of the greatest films ever made, combining humor, suspense, and mystery together unlike any other."
29,4,"Lovely blend of fun yet suspenseful. Acting and dialogue are both slick and silly without being gimmicky, which I find is often hard for old movies, and it’s accompanied by a classic eerie score. It felt a little long in the last third as I kept waiting for it to have a shocking twist, but it pays off in the end"
30,5,Classic Hitchcock and Cary Grant! Suspenseful and we'll written and directed! Not to be missed on the big screen!
31,3.5,I loved the fast pacing. The cinematography is excellent and ending has great suspense. The plot however gets absurd plenty of times.
32,4.5,"4.5 stars; Along with ""The Man Who Knew Too Much,"" ""North by Northwest"" are by far the best spy thriller movies that Alfred Hitchcock made. In fact, I would put them on a list with the best movies that Mr. Hitchcock made. So many twists and turns lead to the final outcome. This movie keeps you guessing because it is so very well constructed. Cary Grant plays the debonair, wealthy playboy who, as an innocent bystander, gets wrapped up in a high-level spy ring. Eva Marie Saint plays his love interest and does a great job of keeping you in the dark as to whose side she is on. James Mason and Martin Landau give good performances as the evil adversaries. Yes, I know that the plot is somewhat of a stretch, but it doesn't matter. This movie is loaded with gripping suspense. That's what you go to the movies for—to be thrilled! There is a light touch of comedy and romance to round out the story. This film has two iconic scenes that are always shown when discussing top 100 films: the crop duster chase scene and the escape scene down the faces of the Mount Rushmore Monument. This film has it all. How can you not be entertained?"
33,5,Unbelievably entertaining. This is Hitchcock at his most crowd pleasing but the movie is still masterfully constructed.
34,5,"First things first…there is one scene where we see the Northwest Airlines area of Midway Airport. (Reference 1). The direction of Mount Rushmore from Chicago is sort of northwesterly. So a more exact title would be Northwest By Northwest (airlines). I’ve never read this exactitude of the film title? I mean, we see the Northwest Airlines scene clear as day…wtf?!? Next, the film is perfect from the Saul Bass title dynamic credits, to the constancy of uptone Ernest Lehman string music, to Cary Grant’s perfect grey suit, to the iconic scenes that define NYC (take your pick: GCT, the UN, the Plaza Hotel approached by taxi through Grand Army Plaza), to the cropduster—gas tanker kaboom, to Eva Maria Saint’s red dress in the auction house, to the cool Frank Lloyd Wright-inspired house, to Mount Rushmore itself…it’s breathtaking from start to end."
35,5,Its a great movie and I love Carry Grant. I think Moderen Cinema should learn something from such classic
36,3,"I didn't realize it was a Hitchcock film, discovering that was a disappointment. It should've been so much better! The cars were awesome, but the story was absurd in several ways. A poorly written concept that defies logic in numerous ways some completely absurd. Using a crop duster? It definitely had a nostalgic allure, but could've easily been so much better had some thought gone into the writing. All the rave reviews are completely mystifying to me, as is the case with much in this world. Still, it's well worth a watch in spite of the nonsense."
37,5,My favourite Hitchcock
38,5,"Exceptional auteur-Hitchcock filmmaking from beginning to end. Cary Grant and Eva Marie Saint are perfectly cast, as are James Mason, Leo G. Carroll, Martin Landau, and Adam Williams. This film is superior to Vertigo and one of the greatest films ever made."
39,3,"Allowances have to be made for the age of the film and there are certainly flashes of greatness. Equally though there's an air of clunkiness in places and overly elaborate plot contrivances which don't hold up well. I don't think it's one that really transcends the time it was made, feeling more like the last gasp of an age of bombastic, 'gentlemanly' thrillers before leaner and more graphic fare took over. Bond was just around the corner."
40,5,Classic film that cannot be compared to many others in the same genre.
41,4,"Here's another spellbinder by Hitchcock with a lot of intrigue, a lot of double crossing and more action than most of his other films that I've seen so far. In fact, I would go so far as to categorize it as an action/suspense movie - perhaps something like THE FUGITIVE (1993). This one doesn't quite reach the heights of masterpiece for me, but Hitch does an amazing job of keeping a potentially confusing plot clear and concise. It's fun to see Martin Landau as one of Mason's henchman - of course, he would go on to win an Oscar 35 years after this movie was released. Grant is as suave and debonair as always, and Saint is a perfect femme fatale. The action scenes in the cornfield and especially atop Mount Rushmore are among the best ever made, the latter actually giving me a touch of vertigo (pun intended). Hitchcock was famous for saying he liked to play his audience like a piano - and if he doesn't necessarily hit all 88 keys here, he at least gives us a few good octaves!"
42,5,"O filme é muito bom, como diria Fellini ""antes de tudo, um filme é um quadro, uma obra de arte"". E Hitchcock da aulas sobre cinema com esse filme."
43,4.5,"Just saw this movie at film forum in NYC. And omg was it so good. The plot, the dialog perfect combination of comedy action and romance. This just a solid masterpiece of a film. Think of it as Cary grant is 007 but with more humor and charisma. I seriously love this film and recommend it to everyone. Even if you don't like Hitchcock."
44,5,"My 2nd favorite Hitchcock film (Rear Window is #1). Cary Grant and Eva Marie Saint are the perfect movie paring. The film locations and cinematography are fantastic. A great spy thriller from 1959, I still watch this one yearly. I dare you not to fall in love with Eva - I'm afraid that is a mission you will find impossible."
45,5,North by Northwest is my third favorite Alfred Hitchcock movie. Cary Grant is great as Roger Thornhill and Eva Marie Saint is amazing. I really enjoy the music in this movie. Its another masterpiece and I highly recommend it.
46,5,It's a double O 7 style motion picture by Alfred Hitchcock...
47,5,A must-watch classic!
48,5,"Insofar as North by Northwest is about anything serious, it is about the needs of the individual versus the needs of the many. The two leading characters in the film will need to find a way to strike a balance their own hopes and aspirations and the need to act for the greater good of all. To reinforce this point, there are several scenes in North by Northwest that feature a larger number of extras than usual. This sense of a teeming world of people pushed together is established at the opening of North by Northwest, where we see crowds rushing about their business in the middle of a large city. The paths are packed with people, and the roads are filled with traffic. Even the credit sequence reinforces this sense of urgency as the names of the cast rapidly zip on and off the screen. This was the first movie to feature kinetic typography of this kind. Appropriate to the sense of rush we are witnessing, Hitchcock's trademark cameo appearance shows him missing a bus that has no time to stop and open the doors for him. It has been said that North by Northwest foreshadows the later James Bond movies. It takes place in a similar world of Cold War espionage. It contains action setpieces. It has a charismatic and sinister villain. It has a charming and handsome hero who makes wisecracks and dresses smartly. Indeed Cary Grant's suit was greatly admired at the time and has been often imitated since. That is as far as the resemblance goes. Hitchcock's movies did not depend on stunts and gadgets. He preferred meticulously-crafted suspense scenes instead. Occasionally the dialogue here is clumsy, with a few expository scenes where the characters tell each other things that they already know, but these do not compromise the quality of the storytelling. There is a car chase, but it does not involve crashing into random objects. The thrills lie in whether Thornhill can stay on the road or avoid hitting a cyclist. Then there is the famous crop-duster scene where Thornhill's enemies use the plane to try to kill him, another scene where Thornhill is apparently killed, and the final chase along Mount Rushmore The craftsmanship of these scenes surpasses anything that you see in the stodgy Bond movies. The other main difference is the hero. Despite a superficial resemblance to 007, Roger Thornhill is notable for his ordinariness. He spends a good deal of time bickering with a disapproving mother. Unlike Bond he is monogamous. True, he is twice-divorced, but his wives divorced him because they thought his life was dull. Thornhill is not a secret agent, and he does not have the backing of the authorities. Indeed our glimpse of the government operatives shows them to be a cynical lot. They dismiss Townsend's assassination with a shrug and a joke. For them it is ‘C'est la guerre!' When Thornhill is accused of murder, they leave him to face death at the hands of Vandamm or arrest by the police. ""That's his problem."" It is only when their own plans are put under threat that they deem it necessary to rescue Thornhill to suit their own purposes. Yet somehow Thornhill withstands all attempts to arrest or kill him. What is it about him that helps him to get through? In a way it is the same qualities that helped him to thrive in his familiar home environment. His ordinariness allows him to pass beneath the radar. The name that he uses in his personalised materials is Roger O Thornhill, and the O does not stand for anything. Thornhill is a zero, a nondescript figure who adapts and changes at will. (There be a dig at David O Selznick here, a producer that Hitchcock detested working under.) The other reason that Thornhill survives is that he is a ruthless advertising executive, and the qualities of the advertising executive are just as well adapted for staying alive as those of the secret agent. He can bluff his way round people. He bribes a railway officer. He even bribes his own mother (and she takes it!). He steals a vehicle. When he faces death at the hands of Vandamm's men he comically disrupts an auction until the police are called. In its way, North by Northwest is good cinematic art, just as much as Hitchcock's other films, but here the art lies more in ingenious technique and the exploration of similar themes whilst using a different tone of voice. I wrote a longer appreciation of North by Northwest on my blog page if you would like to read more: https://themoviescreenscene.wordpress.com/2017/10/27/north-by-northwest-1959/"
49,5,"North by Northwest is a film of shadows and light, of danger and suspense. It is a film about a man who is hunted by forces he does not understand, and who must use all of his wits and strength to survive. There's even a shot set in my home state of Indiana. The direction is Hitchcock at his best, and the score by Bernard Herrmann is one of the most iconic of the period. The performances are all exhilarating, with Cary Grant giving one of his best performances as the man on the run. Eva Marie Saint is also excellent playing the woman as savior. A classic."
50,5,"In the 1959 world of this film, everything is neat, orderly, and purring smoothly, including glamorous and demure train passenger Eve Kendall (Eva Marie Saint). Even though this film, unlike most on this list, blatantly fails the Bechdel-Wallace test, this favorite Alfred Hitchcock film tells a suspenseful story of an advertising executive (a mature Cary Grant) enveloped in a web of mistaken identity. 1959"
