id,user_rating,review_title,review_text,author,date
1,8,One of the shining stars of the French New Wave,"Every day life, however 'real' and gritty it may be, is rarely portrayed on film and was certainly a rarity in the 1950's. In Europe however, there was a movement in film-making that embraced this realism and searched for the deeper meaning in the 'here and now'. This is about the most basic and miniscule portion of the meaning behind the French New Wave of the 1950's  films that explored the filmmaker's surroundings, and eventually became an inspiration for filmmakers around the world. Francois Truffaut's 'The 400 Blows' is one of the most well-known films of this movement, and has been embraced and hailed as one of the greatest films of all time.After viewing Truffaut's 'The 400 Blows', I have been ruminating over the deeper meaning behind his story of Antoine Doinel, a 14 year old boy in Paris who is having trouble in school and trouble at home. In school, he is marginalized as a trouble-maker, yet it is obvious that it is more a matter of him causing trouble by expressing himself creatively rather than following along with mundane assignments. At home, Doinel has to deal with an adulterous mother who only pays attention to him when it suits her needs, and a father who is barely present. Doinel responds by doing the only thing he feels he can do, and that is by acting up; eventually earning an expulsion from school and being sent to a juvenile prison camp by his parents.Nothing is cut and dry in 'The 400 Blows'. If one were to take the film at face value, there would be a 'so what' feeling. What the film subtly explores is the disenfranchisement of youth. There is no joy in Doinel's life  anytime he tries to express himself creatively or acts up in a playful way he is shot down and metaphorically forced back into line. This is not a typical Paris street kid either, this is one who reads Balzac for pleasure and conveys intense emotion. The problem is that no one is there to notice or care. Another aspect of the French New Wave was that the films were not merely a product of a Hollywood factory; these were intensely personal films to the writers and directors. In the case of 'The 400 Blows', it is certain that Doinel is based on Truffaut, himself only 28 when he made the film. Truffaut's cinematography in 'The 400 Blows' is exquisite. We see a Paris that is not in Technicolor with colorful fountains like 'An American in Paris'. This is Paris from a Parisian's perspective  and the difference is breathtaking and intense. These are not Louis XVI style houses, they are tiny flats where people have to sleep in closets and walk up and down six flights of stairs. The city views are those of a native Parisian  the kind of tour one would get if they asked the average Parisian for non-tourist attractions.There is still a lot that I have to learn and think about 'The 400 Blows' and French New Wave in general, but with the minute amount of understanding I have of it, I found it to be an intense film, one that left me emotional and craving enlightenment. Rarely is there a film that leaves that kind of impact on me, but Truffaut managed to leave me speechless and deep in thought with 'The Four Hundred Blows'.--Shel",FilmOtaku,N/A
2,8,Timeless...,"Antoine Doinel is distracted when at school, he finds it hard to concentrate, teacher thinks that he's a fool, when at home his parents argue, at wits end to know what to do, so the cycle is repeated, as he's trapped in a whirlpool.It's not an uncommon tale of a misunderstood boy, but at the time it broke the mould and introduced us to things we take for granted today in the world of cinema, as we follow the trials and tribulations of an uncouth youth, who navigates his way to a detention centre via truant, theft and desertion. Wonderfully performed by Jean-Pierre Léaud, it may leave you contemplating paths accepted or rejected during your own formative years, and the implications of the choices you made, assuming you had any.",Xstal,N/A
3,9,Deserved Truffaut Classic Benefits Significantly from Criterion's New DVD Package,"As the seminal work of the French New Wave, the 1959 directorial debut of 27-year old Francois Truffaut has such a vaunted reputation that the final film is bound to disappoint. However, the pristine print that comes with the new Criterion Collection DVD really makes me realize what a brave and emotionally resonant film he made ostensibly about his own troubled adolescence. It's worth seeing twice - once for the film itself and a second time to listen to the newly recorded commentary by Truffaut's childhood friend Robert Lachenay (the true-life inspiration for Rene in the film). Speaking in French but subtitled in English, he provides insights into the story and context of the film that no film scholar or even production associate could possibly provide. As a point of comparison, listen to the by-the-numbers commentary by film scholar Brian Stonehill (recorded back in 1992), which is thoughtful and well researched but devoid of the human factor.The film's title comes from a French colloquialism that translates into ""raising hell"", an appropriate reference since the story focuses on a thirteen-year old hellion named Antoine, living in a poor section of Paris and neglected by parents downright arrogant in their dysfunctional nature. Antoine consequently lives a street urchin's life as he lies to people in authority - his parents, his teachers, and the police - since he admits rather sadly that the truth doesn't make any difference. Truffaut tracks Antoine's life through a series of dispiriting episodes that ultimately lead him to be sent away to a reformatory after he gets caught returning a stolen typewriter and his mother and stepfather tire of their responsibility over him. To Truffaut's immense credit, the film feels stark and naturalistic without resorting to dramatic manipulation, and he finds the ideal Antoine in Jean-Pierre Leaud, who brings out the confusion, angst and wandering attention of his character in realistic terms. He is especially impressive in an apparently improvised scene where he is interviewed by the school authorities about why his life has come to this. It is heartbreaking to see how bleak his life becomes, yet Leaud imbues the incorrigible, often intolerable side of Antoine with fervor.There are several interesting extras included with the 2006 DVD package starting with two separate interviews with Truffaut, the first a year after the film's release discussing he film's impact and the second five years later when we see the filmmaker in a more reflective mood about his cinematic influences. Leaud is featured in 16mm screen test footage where his naturally ebullient personality emerges and then after the 1959 Cannes Film Festival where puberty has apparently kicked in and then in 1965 as a comparatively reserved twenty-year old. The screen test of Richard Kanayan (who has a minor role as a schoolmate) is amusing for his Satchmo-inspired rendition of ""When the Saints Go Marching In"" and his eerie resemblance to Fantasy Island's Tattoo, Herve Villechaize. Be forewarned that the film is relentlessly downbeat, but Truffaut's emotional investment and consummate abilities as a filmmaker, even at this stage of his career, make this essential viewing.",EUyeshima,N/A
4,N/A,"""N'Oublie Pas Les Ordures""","""N'Oublie Pas Les Ordures""Spoiler",stryker-5,N/A
5,10,French cinema at its best,"Truffaut has worked wonders here, creating a masterful tale of a boy confused, troubled, and unloved. Antoine Doinel (played superbly by Jean-Pierre Léaud in the lead role) has strict, unfaithful parents, and a harsh, oppressive teacher, and falls into delinquency because of his unhappiness. He lies, steals, skips school and runs away from home, and soon ends up in a juvenile delinquency centre.Truffaut's inspiration for this film came from his own depressed childhood, so he bases Antoine on himself, including in terms of appearance. Being a 'New Wave' (a cinematographic movement of the sixties, involving directors who believed Hollywood films were too lavish and unreal) director, Truffaut always used a real location for the film, including breathtaking shots of Truffaut's native Paris. He also made a cameo in the film in the style of Hitchcock.Delinquance is the key theme here. Antoine, who is a character who believes in liberty and freedom, and the way he is always locked up is repressive for him, and this provokes a constant need for him to be out.Trying to make a realistic and moving film was Truffaut's aim, which, by watching this film, I realised that he had done amazingly well. Also, by combining humour and drama too, we have the defining French film of the 20th century. A black and white film that is full of colour. Bien sur, François Truffaut.",maax48,N/A
6,10,Extraordiany Portrait Of A Parisian Youth - One Of The All Time Greats,"In viewing François Truffaut's The 400 Blows for perhaps the fifth time, I finally began to realize its true greatness. Inspired by the director's childhood, The 400 Blows (Truffaut's first film) is primarily about a young boy growing up with his mother and stepfather in Paris and apparently heading into a life of crime. Most adults see the boy as a troublemaker, but in the film, he is meant to be the protagonist.Antoine Doinel (Jean-Pierre Léaud) is the boy's name. He is resourceful, quiet, and does what he can to get by. At home, he has a struggling relationship with his parents, especially his mother. She is a woman of curious interests, always distracted by her incommodious son and a secret affair with a man from her job. Antoine's stepfather appears nice enough while treating his son as an equal in a good manner, although he is not really attached to him. However, both parents share common traits: they are away from home quite a bit and do not pay close enough attention to their son. Sadly enough, they only judge him by his behavior and by reports they get from other people.At school, Antoine's teacher classifies him as a menacing troublemaker. Not that it is entirely Antoine's fault, he just has terrible luck. In the opening scene of the film, we see a poster with a half-naked woman on the front being passed around quietly by the students. The teacher is sitting at his desk with his head down, grading papers, until the poster comes to Antoine and he finds it. He sends Antoine to the corner of the room, where he writes a note of resentment on the wall. As punishment for that, he is to diagram the exact words that he wrote. At home that night, Antoine's homework is interrupted. Because he did not complete it, his good friend René convinces him to skip school the next day, although Antoine is reluctant at first. They walk around France and notice Antoine's mother kissing a man that is not her husband. She and her son make eye contact, but René assures his friend that everything will be alright. The next morning, as the boys return to school, Antoine lies to his teacher and says the reason he missed school was that his mother died. Everything is alright until his mother, furious, arrives at school and her son is immediately identified as a liar.And yet, we see Antoine alone at home in some private, subtle, and hopeful moments. One of them being, his love for Balzac. He adores him, and we see him reading his biography and lighting a candle in a shrine in his honor at home. One day, at school, the students are proposed to write an essay on an important event in their life, and Antoine chooses the topic of his grandfather's death, in which he incorporates a phrase from his Balzac book. Alas, the teacher identifies this as plagiarism, and sends Antoine out of the classroom, along with René. The two boys stay at René's house for quite some time, living up to the expectations of a life of crime, until they steal a typewriter leaving Antoine caught trying to return it. He is later sent to a juvenile delinquent detention home.The 400 Blows is not meant to be a tragedy. Rather, it is a character study following Antoine Doinel's life and decisions he makes as a direct result of the many things going on in it. Even The 400 Blows captures a few moments of happiness joy. One of these is a priceless sequence in which a gym teacher is leading Antoine's class for a jog through Paris, not realizing that the boys are peeling off and running away two by two. There is another scene after Antoine's shrine for Balzac catches on fire and his parents are stressing and yelling at him. His mother suggests an outing to a movie theater, where they end up going. After the film, we see the trio in the car, laughing and reflecting on what they had seen. We see this as a moment of hope for Antoine and his family, for this being the only time they are all happy together.There are many poignant moments however, emerging late in the film after Antoine is caught for stealing the typewriter. His father is fed up with his behavior and escorts him to a police station where he is sent to a jail cell and later in a police wagon full of prostitutes and thieves, with his face peering through the bars, full of tears. His parents discuss with the authorities that they cannot not take him back because they believe he will only run away again. So, in turn, their son is taken to the juvenile delinquent school. These sequences express a reality of Antoine's life, in tune with the outcome of himself. He remains quiet and reserved towards the end of the film, as if he has nothing to say.The story of Antoine Doinel and his many experiences allow a life to be filled with curiosity and exploration. Every second of the ninety-nine minutes of the film is not wasted. Truffaut allows every minute to be overflowing with creativity while still maintaining the central story of the protagonist. It is not a film that can be taken lightly as a family movie to be watched every Saturday night. It is a film to be given plenty of thought, carefully examined, and given a conclusion. The genius of the film does not rely on that, moreover, it relies on how much is put into the film. Down to the smallest detail, the film is able to maneuver and progress. The story contains elements of sadness, regret, family, warmth, happiness, humor, values, and choices. Just like life itself.",jdnmevans,N/A
7,10,Great Filmmaking by a  Great Filmmaker,"The Four Hundred Blows is the semi-autobiographical story of Antoine Doinel, a boy trapped in a life of contemtptuous authority who turns to outward rebellion.  Truffaut shows his mastery of the cinema in this, his freshman attempt.The film is perfectly cast with Dionel relaying neutral facial expressions for the majority of the film.  The boy, although not necessarily evoking sympathy from the audience, definitely evokes empathy.  He is a pathetic character forced into his position by his teacher and his almost uncaring mother.Throughout the film, Truffaut hints at the possibility of a happy life for the protagonist, but just as soon as the ideal is given to us, it is taken away.  The mood shifts in the film are fabulously orchestrated through contrasting scenes, music, and  even acting.  From the opening sequence through the final,  enigmatic still shot, the movie is a masterpiece of both French and world cinema.  It is a must see.",Stroheim-3,N/A
8,10,Perfection,"I first saw this film around three or four years ago for the first time. I had watched it late at night, and I was very sleepy after it ended. I was rather ambivalent towards it. To tell you the truth, I don't know whether I had even heard of it before I rented it. And I don't even remember if it was my first film by Francois Truffaut, either. I have seen two others, The Green Room, which I didn't like all that much, and Shoot the Piano Player, which I loved. My guess would be that I saw The Green Room first, then looked up what else Francois Truffaut had made, and which ones were considered his better films.Anyhow, by some route I rented The 400 Blows, and, as I said above, it left me unaffected. I went to bed afterwards without thinking much about it. It was only a couple of months later that I realized how good it was. The memories came flooding back one day when someone mentioned it to me. I have had similar experiences with La Dolce Vita and Casablanca, among others. As I thought more and more about it, I realized just how great it was.Still, I never went back to it until now. I am strange in that way. There are some movies, some of which aren't even that good, that I will watch over and over again, alone or with friends. There are other films which I know are great, but that I never feel I have time to revisit them (there are always more films to be watched). The 400 Blows is one of those films, unfortunately. I don't know why. I have even considered purchasing it several times. I never did. So when I saw it tonight, it was like seeing something brand new.I remembered only a few of the most memorable scenes: the carnival ride (followed by Antoine catching his mother with a strange man), the whole Balzac sequence, the psychologist's interview, and, of course, the famous final shot, the freeze-frame of Antoine Doinel looking into the camera. After this time, I will probably remember everything a lot better and a lot longer. The first time, when I was ambivalent, I had time to forget before I finally grabbed hold of those fading memories.Why is this film special? Because it is the perfect example of childhood caught on film. I don't think there is anyone who could watch it without thinking that it rings true. Every piece of film that deals with a similar subject falls behind this one. The only one that I can think of that comes anywhere near is Federico Fellini's _Amarcord_. Jean Vigo's _Zero for Conduct_ is also very interesting, and probably influenced this film a lot (I know Truffaut was familiar with it, but that may not have been until after this film came out). Antoine Doinel is such an endearing character. I hope that sometime soon I can procure and see his other filmic exploits. And I really need to see more Truffaut in general. I'm far behind with him. Well, The 400 Blows deserves a 10/10, no doubt. It is easily one of the best films ever made, and one of those films that any knowledgable person would include it in a list of films that are absolutely necessary for a student of film.",zetes,N/A
9,7,Well made but the story just didn't grab me,"François Truffaut's ""The 400 Blows"" is routinely listed as one of the greatest films in all of foreign cinema. At the time of its release it was hailed as an important film and subsequently proved to be immensely influential in the context of the French New Wave.The semi-autobiographical story concerns a Parisian adolescent (Jean-Pierre Léaud) who attempts to escape problems at home and at school by delving into a life of petty crime. Unfortunately, he never receives more than a temporary respite from his predicament and frequently ends up deeper in trouble. The script is fairly loose and strives for realism above all else.Enforcing Truffaut's aim of realism is the group of actors that he assembled. Léaud indisputably carries the film, at once delivering an authentic performance while also showing a maturity beyond his years. While not quite as impressive, the supporting cast is nevertheless uniformly solid, perhaps none moreso than Guy Decomble as Antoine's antagonist at school.Truffaut's direction is exceedingly well-handled, not to mention impressive for a debut feature. The film also sports attractive cinematography and a lively score by Jean Constantin.Indeed, the film can scarcely be faulted for any flaw in its construction or execution. Instead, my tempered enthusiasm is the result of feeling a certain amount of detachment from the main character. Naturally, this sort of objection is largely personal so your mileage may vary.",sme_no_densetsu,N/A
10,10,An intense emotional journey of one boy's early life,"This film is one of the greatest I have ever seen. It depicts some events in the life of Antoine Doinel, a young French boy who gets into a lot of trouble no matter what he does. This was the first film by Francois Truffaut, and I believe that it is filmed with such an innocence that you can really feel some of the emotions that Antoine feels. I love the simple style of this film, and I think it adds to its charm. The story is can even be painful to watch as one sees all of the things that happen to Antoine. I think that the reason for the strong emotions embedded in this film is that it is semi-autobiographical. I think the cinema is what rescued Truffaut from a life like his protagonist.In short, an inspiration to all filmmakers-they DEFINITELY don't make them like this anymore!",ppw3o6r,N/A
