id,user_rating,review_text
1,5/5,This ensemble is flawless at every level.  Not a single performance is preening or misaligned with the central cause to respect the stern roots of the actual history.
2,,"Spotlight is a must-watch for people in the media, as well as people who consume the media, because it reaffirms a belief in the ideals of journalism."
3,,"It’s not just that it is a profound story, but one that is executed to perfection that draws out such emotion."
4,,"[It] wound gripping tension into the unglamorous legwork of journalists, played by a perfectly-balanced ensemble including Mark Ruffalo, Michael Keaton and Rachel McAdams."
5,5/5,"There is an incredible balance within the film. It is a journalism procedural, but there is also the serious and unsettling story we witness being uncovered."
6,9/10,The excellent ensemble of actors holds up a story that is straight-forward but effective in its dedication to the painstaking research needed to uncover such an important story.
7,4/4,"McCarthy's sobering drama affects on multiple levels, from personal to spiritual."
8,4/5,Little pieces expose an entire world.
9,A-,Perfectly paced and structured like a thriller.
10,,The power the media has to affect change and expose corruption is one that should never be taken for granted. It takes a special movie like Spotlight to bring this back into focus.
11,,"No tights or capes, but this is a film about superheroes."
12,,One of the film's strengths is that it shows the Catholic hierarchy as an essential component of Boston's political and social superstructure.
13,4/4,A glimpse behind the scenes of the Boston Globe's revelatory articles exposing pedophilia in the Roman Catholic Church takes few prisoners and paints the staff of the Globe as heroes who had to put aside their own cherished beliefs to bring about justice.
14,4.5/5,"A syllogism: A) The Communist agenda put 1,100 men into the Catholic church to destroy it from within. B) The destruction was due to rampant pedophilia. C) Therefore, the 1,100 men were chosen because they were pedophiles. ""Spotlight"" shows why."
15,8/10,It's practically a documentary in the way that it depicts the reporting that led to the unearthing of 2001's shattering Catholic Archdiocese scandal.
16,4.0/4.0,A nearly perfect example of what happens when the perfect filmmaker works with the perfect script and acquires the perfect cast and crew to bring a story to life.
17,8/10,'Spotlight' reminds us the relevance of journalism in a society where the search for truth has been kidnapped by fallacies. [Full review in Spanish]
18,,"Relevant, exciting, and minimal (on a grand scale), this one is unmissable."
19,,Spotlight itself is a masterpiece of grounded filmmaking.
20,,"The script... is a marvel of conveying a dense amount of information and characterization with intelligence, grace, and a surprising amount of tension."
21,,"For journalists and people who care about democracy and the value of open society, Spotlight is a master class on how things should be done."
22,7/10,"A good old-fashioned love letter to investigative journalism, and what it can accomplish if management has the courage to print the truth and reporters are given enough time and money to do their jobs..."
23,,"Spotlight is a taut, pulse-pounding thriller. The all-star cast delivers realistic and transformative performances."
24,4/5,"The result is a collective, well-crafted film about first-class journalism."
25,5/5,"Spotlight has everything you need from a night at the movies - gripping, enlightening, shocking, distressing, triumphant."
26,9/10,The film treats the subject of the investigation with the utmost respect and gives it the weight that it deserves.
27,,"...a film that's a bit, uh, prosaic-yet solid, intriguing and utterly credible. Like the best journalism."
28,A-,"As a much-needed ode to the type of media coverage this country is desperately, painfully, ominously in need of, Spotlight is a very important film."
29,A+,If I had my way this film would be required viewing for anyone of faith.
30,4/5,"Absorbing and understated, Spotlight handles its complex subject matter with class, restraint and, vitally, balance."
31,A+,"Riveting and ceaselessly compelling, while also illustrating the inherent nobility of reporters hitting the streets and chasing down leads and finding sources."
32,4/5,"Spotlight is well-written, well-acted and definitely one of the better films of 2015."
33,,Spotlight isn't the kind of film that just changes some facts; it's one where the most general plot summary contradicts what happened.
34,9/10,"Spotlight is the best kind of newsroom drama in that it doesn't get weighed down by meditations on the virtues of old journalism. Instead, it celebrates the people who changed the world with unglamorous, day-to-day, hard work."
35,,"Spotlight provides a couple of hours of intelligent, gripping and moving filmmaking that at once illustrates investigative journalism and celebrates it, reminding the viewer of its importance to society as a whole."
36,,"Directed by Tom McCarthy and jointly written with Josh Singer, Spotlight not only demonstrates investigative journalism at its finest, but perhaps more importantly, it shines a spotlight on a previously untouchable story."
37,A,A superbly crafted drama that perfectly captures the day-to-day activity in the newsroom and how it can have a lasting effect on the community in which it covers.
38,A-,"Spotlight works as a legal thriller, a newspaper drama, an examination of values we take for granted and of how people survive profound damage. It is, as they say, the full package."
39,3/5,"It's clearly a salient story to tell, and the earnestness of the production makes it trundle along breezily enough to its predictable conclusion."
40,,"There's a lot to be said for a movie this interested in the stress of mental exertion. It's literally all work and no play, exemplifying the kind of extreme dedication that broke a decade-spanning case wide open."
41,8.5/10,"[Spotlight] reminds us all we should never take things at face value, our hearts should always search for the truth, and most importantly - we need the news."
42,,"Thoughtful, smart and eerily timely in its look at the dangers of blind loyalty, it's easily one of the best films of the year."
43,,Spotlight is a film that serves the story. It's unfettered filmmaking that is direct and honest and amazingly refreshing in its focus and one of the best films of the year.
44,,"It's a celebration of dedication and competence. Characters hunch over directories, clippings and files. They compile databases and underline. It's glorious."
45,4/4,"The truth is sometimes hard to swallow, but ""Spotlight"" reminds us that we can't turn a blind eye."
46,,This is a movie that manages to leave its audience breathless without ever overexerting itself.
47,,"It captures an essential truth about Boston, that feeling of drabness mixed with hostility and peculiarity anyone that who has ever had to knock on a stranger's door in that town has felt."
48,4/5,... the protagonists of the film put ethics before ideologies and do not hesitate to confront their audience... [Full review in Spanish]
49,,"A great show of political cinema, there is not much more to say, nor to demand. You have to see... [Full review in Spanish]"
50,8/10,... hardly anyone can throw the first stone: by action or omission the responsibility is distributed to broad sectors of society. [Full review in Spanish]
