id,rating,review_text
1,4.5,"Eternal Sunshine did that to me too. It really changed how I think about memories in relationships - like how even the painful parts shape who we are. Funny timing actually, there’s a screening of Eternal Sunshine on the 28th at Filmfool Mumbai. Feels like the perfect film for this conversation."""
2,4,"me encanta la representación de la mente en una casa cubierta a su alrededor con agua que cada vez se hace mayor y la casa se destruye más y tú solo estás peleando con la persona que amas, tiene de todo esta película"
3,5,The cast is exhilarating to see all these years later. Winslet and Carrey are beautifully flawed together throughout the film. Really loved the rewatch. The score seemed used as if it were a horror thriller at times. Fun energy with the leads unrelenting optimism towards each other. With those brutal moments of truth against one another when needed. Still a great film.
4,5,It made me grateful for every heartbreak I’ve ever had
5,5,Joel is my spirit animal. Jim Carrey does a fantastic job playing a serious role. Kate Winslet is really good as Clementine. Elijah Wood does a good job being a character you will hate. Been meaning to rewatch this since my break up. Kinda wish I could have my memories of my ex girlfriend erased. Loved getting to see this movie again in theatres.
6,5,You can’t help but see pieces of your own life in it.
7,5,This is still my favorite movie of all time.
8,4,"In the same way of 'Being John Malkovitch', 'Human Nature' and 'Adaptation', the mind of this movie is not the director, but the writer. From Kaufman comes another great romantic drama with an original way of telling the story."
9,4,An Eternal Sunshine of a Spotless mine is one of my favourite movie due to the good acting and interesting twist in the story.
10,5,A must see for anyone who couldn’t get over an ex
11,5,"Eternal Sunshine of the Spotless Mind is a beautiful, inventive film built around the idea of erasing painful memories of someone you once loved. It shows how tempting that is, but also how much heartache shapes who we are, teaching empathy, strength, and compassion. In the end, it feels like a mix of laughter, sadness, and one haunting question: if you could erase your own painful memories, would you actually go through with it?"
12,3.5,"It's a little too jumbled, but it attacks interesting themes. Strong performances by the leads."
13,3,Nice ending. Not sure why the woman in this movie would be appealing to someone.
14,5,One of my top 5 best movies. Great acting and wonderful direction. A wonderfully creative storyline that resonates with the broken hearted everywhere. It's also the best acting I've seen from Kate and Jim.
15,5,"Beautifil movie, moving storyline, great acting."
