id,tomato_score,review_text
1,positive,The most praiseworthy character-driven films have the patience to cultivate its truths with substance and the wisdom to never give you everything.
2,positive,"Manchester By the Sea may be a somber and dour experience, but it’s one full of hope that people can survive grief."
3,positive,Lonergan interrogates the realities of grief with sober restraint.
4,positive,"Manchester overflows with ripe dialogue, developed characters, and a toughmindedness that resists the all-American bromide that with a little emotional elbow grease, anyone can transcend their past and get on with it."
5,positive,"There are some awfully good moments in ""Manchester by the Sea,"" and there aren’t really any awful moments."
6,positive,"Lonergan balances unrecoverable anguish with tender warmth in Manchester by the Sea, a film that considers a character unable to forgive himself and hesitant to engage with anyone ever again."
7,positive,A showcase in the power of understatement...Manchester By The Sea achieves great impact by feeling devastatingly real.
8,positive,Manchester by the Sea is a study of guilt and the complexity of recovering from it. A modern day tragedy that will surely bring tears but also bring hope that Lee may one day say goodbye to his past and forgive himself.
9,positive,"Manchester by the Sea defies description in a really, really good way. It's not flashy or formulaic in the way some fish-out-of-water stories are. Instead, the story of a quietly suffering man"
10,positive,"The sort of understated, under-the-radar drama that can use all the help it can get to stand out in an increasingly overcrowded marketplace."
11,positive,"Arguably 2016's most notable film about loss and grief, one that tells its story with the scope of an epic while never leaving the Boston area."
12,positive,"It deals with very real, very difficult human situations but does so with honesty and a great deal of unexpected humour and wisdom."
13,positive,"The great moments are haunting, though they're buried deep within a numbing amount of extraneous normalcy."
14,positive,Manchester By The Sea doesn't play by the rules and that is its greatest asset as a film. It will break even the toughest cynic in the world.
15,positive,"Despite the heart-breaking premise, the film is filled with unexpected moments of humour and warmth."
16,positive,Becomes nothing short of a remarkable piece of filmmaking.
17,positive,"Kenneth Lonergan's film is a humane examination of the suffering of an ordinary man, whose terrible personal tragedy has emotionally crippled him."
18,positive,"Whilst Manchester by the Sea didn't resonate with me entirely, it's hard to deny that capture of realism which works so well."
19,positive,"Lonergan masterfully directs a humane film that explores a very simple concept, that is then expanded to reveal a redemption and mourning story. [Full review in Spanish]"
20,positive,"The film is the portrait not of a man but of his self-loathing, which needs an environment and community to reflect off of, like the moon reflects sunlight."
21,positive,"Lonergan, who also writes the solid script, adjusts the film's gloomy background with cautious authorship that, while seemingly simple, is shamelessly profound. [Full review in Spanish]"
22,positive,"The film's only downside is that it reminds us how damn long it takes Lonergan to write and direct a movie. But if the results are this extraordinary, we'll somehow find a way to fill the gaps."
23,positive,"Manchester by the Sea is one of the best films of the year. It's cathartic, and it reminds us that even in the dark waters of grief, we're never truly alone."
24,positive,The writer/director doesn't avoid the leg work and turns those minor indignities of everyday life into representations of inner turmoil.
25,positive,"Despite the misery involved in this highly-emotional film, the finely-tuned script, along with outstanding performances, is reason enough to see this..."
26,positive,Manchester by the Sea will restore your faith in the movies.
27,positive,Manchester by the Sea is a deeply affecting drama with a captivating turn by Casey Affleck.
28,positive,"Though it sometimes settles into a monotonous dead zone, Manchester by the Sea is an exacting familial drama, rigidly held in place by a commendable supporting cast and what stands as Casey Affleck's most generous performance to date."
29,positive,"Even if Manchester were not so technically accomplished and beautifully acted, it would still stand as a unique work, simply because you get the ineffable sense that the director has experienced himself what he's depicting on screen"
30,positive,"It's stunning, and Casey Affleck will just break your heart into splinters."
31,positive,"Its visual modesty conveys the feeling that the director protects his characters, respecting their pain by diverting their eyes and giving them some space. [Full Review in Spanish]"
32,positive,"Lucas Hedges buoys up every scene he's in. And in a compact but explosive role, Michelle Williams brings the whole movie to a standstill with one devastating scene."
33,positive,Manchester maintains a masterful balance of tragedy and humor.
34,positive,"Takes us to a place that few films have ever gone, with a depth and maturity that is a rare commodity in modern cinema."
35,positive,Manchester by the Sea is pretentious but fantastic performances and a realistic depiction of what grief really looks like elevates this above the normal Oscar bait.
36,positive,Manchester by the Sea is a visceral cinematic experience and a beautiful accomplishment.
37,positive,"MANCHESTER BY THE SEA may not have the neat resolution you want, but it features tangible characters whose lives you want to be a part of and an unforgettable experience that's rich with all of life's pain and joy."
38,positive,"If you can handle it, the end experience is worth it."
39,positive,Manchester by the Sea is at once hilarious and tragic without ever feeling in conflict with itself.
40,positive,Manchester by the Sea is powerful stuff. No emotional punches are pulled; the blows landed on Lee land just as heavily on the audience.
41,positive,"The cinematography captures the setting exquisitely, the performances are top-notch, and the directing and writing, both courtesy of Kenneth Lonergan, is a marvel to behold."
42,positive,"Directed and written by Kenneth Lonergan, Manchester by the Sea pulls you in gently and it's soberly absorbing."
43,positive,"Devastadora y conmovedora en igual medida, Manchester frente al mar es un drama excelentemente dirigido que está al servicio del excepcional talento de Casey Affleck y el resto del reparto. Te romperá el corazón."
44,positive,Manchester by the Sea is paralytic in power.
45,positive,The masterful screenplay comes to life with such vibrancy that it's difficult to remember that viewers are watching a movie rather than peeking on a Boston family's real lives
46,positive,Its sadness is its strength as it emphasizes the ordinariness of grief...
47,positive,"Manchester by the Sea is a stunningly well acted, searingly honest, complex film. Compulsory viewing."
48,positive,Casey Affleck delivers what most will call one of the best performances of his career and will most likely earn him an Oscar nod in January.
49,positive,An emotionally resonant tearjerker/masterful character study with Casey Affleck stepping up to the plate to claim some majorly overdue attention.
50,positive,The film really is a work of deft narrative finesse. The use of flashbacks - often a syrupy or lazy trope - is expert from both a tonal and dramaturgical perspective.
