review_id,user_rating,review_text
1,80,"While Kayla Day is very much a teenager of her precise time and place, her gruelling anxiety – and Fisher’s wonderful yearning in the role – make her universally relatable anyway."
2,80,Elsie Fisher is magnificent as a vulnerable teenager facing trouble at school and at home in Bo Burnham’s gripping drama.
3,80,"The anxieties of a teenage girl weigh universally heavy. Burnham brings wisdom and immediacy to a generation raised online, his debut feature already cementing his presence as a remarkably sensitive filmmaker."
4,80,"This is a story about Kayla but really it is everyone’s story, impossible to recognise when you are in the midst of it but comforting to know that, even back then, you were never really alone."
5,80,"A sweet, thoughtfully composed story, and a darn fine film, to boot."
6,88,"If there’s a knock on Eighth Grade, it’s that it feels too true-to-life to be entirely comfortable."
7,83,Burnham avoids most of the “Mean Girls”-style tropes in favor of a more gently humorous and nuanced approach.
8,75,"Eighth Grade works you over, audience wincing followed by audience gratification, narrative tension followed by release, crises leading to just-in-time catharsis."
9,75,"In its eagerness to please, Eighth Grade does go for some sunnier touches that feel good in the moment but don’t necessarily ring true upon closer inspection."
10,88,"There are scenes that will make your jaw drop, and moments that make your heart stop."
11,88,"Writer-director Bo Burnham is after something different here, a complex, thoughtful  and funny look at the way the internet can insert itself into the coming-of-age search for identity."
12,100,"Thanks to Burnham’s exuberant, alert writing and Fisher’s masterful command of vulnerability, anxiety, resilience and steadfast self-belief, Kayla emerges as an icon of her own — just by being herself."
13,84,"The greatest miracle of Eighth Grade is its warmth. The film reflects arguably the worst stretch of growing up in America’s education system, but it’s rarely if ever ugly. Instead, it’s compassionate, radiating retroactive kindness for the children we all were to soothe the adults we are now."
14,88,"Apologies to Eugene Levy, but the award for best supporting actor in the role of an adorably well-meaning father goes to the superb Josh Hamilton."
15,100,Burnham’s debut is a little gem that feels true and is surprisingly tender.
16,90,"The transition between junior high and high school is exhilarating, traumatic, funny and horrifying, and Bo Burnham's Eighth Grade captures the whole experience perfectly."
17,88,"Writer-director Bo Burnham’s Eighth Grade is a sweet and intelligent and sometimes absolutely heartbreaking slice of modern-day, eighth-grade life, which, in some ways (hello social media), is radically different from the eighth-grade experience of 1998 or 1978 or 1958, but in many ways is absolutely relatable to audiences of any age or gender."
18,90,"Burnham is uniquely tuned into the minds and behaviors of his young characters and their hyper-active, hormonally-charged world. For a gloriously funny and heartbreaking 94 minutes, you too will feel like you’re 13 again."
19,91,Eighth Grade is both a stunning achievement in cinematic veracity and maybe not the best watch for anyone who’s spent their adult life trying to forget middle school. It’s so traumatic and awkward and embarrassing that there were times I wanted to retreat back inside my own body.
20,88,"At times, Eighth Grade plays like a nature documentary about life and death on the savannas of suburbia."
21,100,One of the more thoughtful and valiant feature film directorial debuts in recent memory.
