review_id,user_rating,review_text
1,100,"Winsome, touching and arguably the funniest Pixar effort ever, the gorgeously rendered, high-flying adventure is a tidy 90-minute distillation of all the signature touches that came before it."
2,100,A captivating odd-couple adventure that becomes funnier and more exciting as it flies along.
3,90,"By all means, see Up in its 3-D incarnation: The cliff drops are vertiginous, and the scores of balloons--bunched into the shape of one giant balloon--are as pluckable as grapes."
4,100,"The first 10 minutes of Up are flawless; the final 80 minutes, close enough. (Though, note this: Do not see Up in 3-D. It's inessential to the tale and altogether distracting.)"
5,100,"A lovely, thoughtful, and yes, uplifting adventure."
6,75,"Up is not as transcendent as last year's ""WALL-E,"" and doesn't rank near the top of Pixar's pantheon of great features, but it's a solid (and in some ways innovative) fantasy adventure that mixes comedy, action, and drama into a satisfying whole."
7,100,"Extending the patented Pixar mix of humor and heart, Up is the studio's most deeply emotional and affecting work."
8,89,"We will be comparing Up with classics like ""The Wizard of Oz"" for years to come."
9,90,"Up emerges as a gentle hymn to adventure of both the soaring, storybook variety and the smaller, less obvious kind -- the perilous, unpredictable and richly rewarding journey of ordinary, everyday life."
10,100,"This is another masterwork from Pixar, which is leading the charge in modern animation."
11,100,"Rousing, exhilarating entertainment."
12,80,"While their latest achievement can't quite one-up ""WALL-E,"" it offers soaring highs that are bound to enchant viewers of any age."
13,100,"The exhilarating film pays tribute to Buster Keaton's ""The Balloonatic"" by way of its slapstick, and to Hayao Miyazaki's ""Howl's Moving Castle"" by way of its watercolor palette and traveling domicile."
14,83,"Up is challenging, emotionally and narratively, but it trusts viewers to keep up; Pixar has never been interested in talking down to children or their parents."
15,100,"Rarely has any film, let alone an animated one powered by the logic of dream and fantasy, been able to move so successfully -- and so effortlessly -- through so many different kinds of cinematic territory."
16,100,On the most basic level the new film is pure vaudeville: a loopy flyaway fantasy that's hysterically funny if only to keep the darkness at bay.
17,100,Up is a breathtaking ride into the realm of pure imagination.
18,70,Passages of glorious imagination are invariably matched by stock characters and banal story choices.
19,88,"Each character has their own story, and Pixar never sacrifices their development just for a happy ending."
20,50,"I'm still left, though, with an unshakable sense of Up being rushed and sketchy, a collection of lovely storyboards that coalesced incompletely or not at all."
21,100,"Easily the summer's, and probably the year's, most enchanting movie, Up is a buoyant delight."
22,100,"Up is Pixar's most ambitious attempt yet to take animation to higher (and deeper) places than it's been before, and Giacchino's sprightly music keeps the whole thing, impossibly, aloft."
23,75,"Disney has historically peopled cartoons aimed at children with violent, gruesomely animated villains. For all its delicious whimsy, Up is no exception."
24,100,"Some of the comic inventions are inspired: Muntz has a pack of dogs equipped with electronic voice boxes, which means they're talking dogs, only they speak as if they've learned English from a poorly translated Berlitz guide."
25,100,"The result is a soaring, touching, funny and altogether buoyant movie that lives up to its title in spirit and in form."
26,50,"Save for a few inspired canine gags and a handful of very pretty visual details, Up left me cold. Its charms appear to have been applied with surgical precision; by the end, I felt expertly sutured, but not much else."
27,83,"Is Up top-shelf Pixar? No. But is it quality summer movie entertainment? Absolutely. Even when the folks at Pixar aim to keep their feet solidly on the ground, they can't help but soar."
28,75,Has some great movie moments but also boring stretches.
29,100,"You get the feeling that, had Pixar been in business 25 years ago, Steven Spielberg might have made this movie for them as a follow-up to ""Raiders of the Lost Ark."""
30,100,"An exquisite work of cinematic art that also happens to be the funniest, most touching, most exciting and most entertaining movie released so far this year."
31,90,Writer-directors Pete Docter and Bob Peterson present hilarious insights into bird brains and canine psychology and treat thornier human emotions deftly.
32,100,"Everything about Up is an up, in the most visceral and poetic ways."
33,83,"As a piece of poetic compression, it ranks with the opening of Orson Welles's ""The Magnificent Ambersons."""
34,50,"After a strong takeoff, the film lands on dead grounds."
35,80,"The movie is packed with lovely jokes, some of them funny in inexplicable ways."
36,100,A thoroughly uplifting bit of cinema.
37,80,"If it had lived up to its golden first five minutes, Up would have been the film of the decade. As it is, it remains the best animated flick of 2009, a funny, moving, beautifully made argument that dreamers can move mountains."
