id,user_rating,review_text
1,,"[The Shawshank Redemption] is the cinematic equivalent of therapy, showcasing the power of vulnerability."
2,5/5,The Shawshank Redemption is as beautiful and genuine now as it was in its initial overlooked run.
3,4.5/5,"Frank Darabont's The Shawshank Redemption is not only still one of the best Stephen King adaptations, but also a wonderful exploration of hope."
4,4.5/5,Deakins’s work here began his run of 16 Oscar nominations... it’s a crucial part of Shawshank’s enduring legacy.
5,3/4,... a faith-based movie without any faith.
6,A+,"Darabont cut right to the heart of a flock of human birds trapped in a giant cage, under the watch of a corrupt warden and terrifyingly sinister guard. It was serious, certain, and made you laugh. Freeman's legend has never shined brighter."
7,,If this is a feel-good movie -- and by the end it certainly is -- then at least it challenges us to dig deep for those good feelings when everything inside those mausoleum walls is unrelievedly harsh and grey.
8,,"The Shawshank Redemption is both resigned and inspirational, grittily realistic and vaguely surreal, matter-of-fact and operatic. Somehow, these opposites are combined into a remarkably smooth and lyrical composition."
9,,"The sad thing is that The Shawshank Redemption, a so-so film, would have made a terrific little movie. A pacier project would have given us less time to notice sentimentalities."
10,3.5/4,"Next to Stand By Me, The Shawshank Redemption ranks as the strongest, purest film ever made from a novel or novella by Stephen King, a monster film where the horrors are frighteningly human."
11,,"It's Robbins and Freeman who carry the film, working around the most predictable moments with simple understatement."
12,,"There's nothing going on in The Shawshank Redemption from shot to shot -- no expressive life, no spontaneity or feeling. It's a stunted movie."
13,2.5/4,"The acting is so strong, so seductive in The Shawshank Redemption that you almost don't notice this epic prison drama isn't all that good."
14,,"Darabont, making his debut as a director, is swamped by ambition. There is just too much here -- too much plot, too many particulars, too many prisoners vying for attention."
15,,A hackneyed prison movie with acting so strong that it often seems more substantive than it is.
16,3.5/4,"The Shawshank Redemption may be working with stuff we've seen before, but it's surprisingly strong and engrossing. Even elitists in the audience who dismiss King as a shock schlockmeister may be amazed at this picture's narrative grip."
17,,"Its message of hope and friendship comes premixed with a sizable dollop of unappetizing violence, intended to convince audiences that what they're watching isn't a big glob of cotton candy after all."
18,,"Darabont gets Robbins' most subtle and multi-layered performance to date. But the Oscar nomination will go to Freeman, who shows the majesty of sadness and how sweet redemption can be -- even when all hope is lost."
19,4/5,"It's a movie with dignity and surprises and before it has finished, it has acquired a good deal of power."
20,,"The towering Tim Robbins has a solidity and gentle interiority that occasionally reminds one here of Burt Lancaster. Of equal excellence is Morgan Freeman as Red, who holds the film together with his poetic, often quipping narration."
21,3/4,"You've never seen a prison movie quite like it, and I found its eccentric rhythms and the performances of co-stars Tim Robbins and Morgan Freeman nearly irresistible."
22,3/4,Even the most prosecutorial viewer will concede that Robbins and Freeman give The Shawshank Redemption a persuasive validity. They hold The Shawshank Redemption together as it gives way to story-driven melodrama.
23,2.5/4,"A work of sincerity and honorable purpose, with a first-class cast... [But] Darabont has not found a way to resolve the problems and improbabilities that tower higher than the walls of the maximum security prison."
24,,Never will you be so glad of the voyeuristic nature of filmgoing. Because The Shawshank Redemption is as close to prison as you'll want to get. And Robbins and Freeman make what could have been an endurance test an utterly engrossing experience.
25,3/4,"It's a blissfully old-fashioned melodrama spanning three decades, a classic tall tale that experiences some particularly incredible growth spurts toward the end but manages to endure them without alienating the viewer."
26,2.5/4,"It's way too long, blatantly manipulative, and sentimental to a fault. Still, the lead performances by Tim Robbins and Morgan Freeman are heartfelt, impressively shaded pieces of work (Freeman in particular is a marvel)."
27,3.5/4,The Shawshank Redemption is ultimately about the blossoming of the spirit in the muddiest of grounds. It isn't pretty. It is long. But it's very powerful.
28,3/4,"Darabont's screenplay is too expertly massaged for its own good, but the performances, particularly Freeman's authoritative portrayal, redeem much of the formula."
29,3/4,"This dude-bro fave is neither the best Stephen King screen adaptation (there’s Carrie, for one) nor the best movie of its year (at least 20 were superior). Nevertheless, there’s much to enjoy in this period prison flick."
30,3.5/4,"Exhibiting the unwavering assurance of a seasoned veteran at the top of his form, Darabont transcends all the clichés, giving us a film about prison that is ineffably sad, achingly sweet and -- yes -- even life affirming."
31,B-,"Robbins and Freeman are a wonderful polar pairing; young and old, white and black, minimalist and expressionist actors. Watching Andy and Red's wary friendship blossom through these performers is the best aspect of Darabont's film."
