id,tomato_score,review_text
1,positive,"How this ties in to the Odyssey, I don't know. I don't have time to care ... I have to go listen to the soundtrack again."
2,positive,"This eccentric, moonshine-soaked ode to old-timey joy feels like home to me."
3,positive,"O Brother, Where Art Thou? is probably not the first film that one thinks of when it comes to George Clooney or the Coen brothers but it's still a pretty fun satire and masterpiece over 23 years later."
4,positive,Simply the Coens luxuriating in a period setting and having a great time.
5,positive,"..a remarkably well-crafted and well-written film, exactly what you would expect from Joel and Ethen Coen."
6,positive,This really is a Coen Brothers masterpiece.
7,positive,The Good News is something of a siren this movie can't resist.
8,positive,"For all its limitations and the places where it feels like half a movie, that half is absolutely hilarious."
9,positive,"The movie also contrives to encapsulate every con-on-the-run picture one has ever seen, as well as southern period crime dramas. Yet again, the Coens' cinematic alchemy has worked a treat."
10,positive,"Everyone who has the capacity for abstract thought, raise your hands . . . and take this Coen brothers' journey."
11,positive,"Even with its mock-pretentious parallelism to The Odyssey...O Brother, Where Art Thou? refuses to take itself seriously, which is both its principal failing and its charm. [Blu-ray]"
12,positive,Teens might enjoy this offbeat Odyssey adaptation.
13,positive,"May not be the funniest or wackiest movie from Joel and Ethan Coen, but it is easily their most ambitious work to date."
14,negative,This lightly engaging trifle could have been more fun with a greater helping of the Coens' antic spirit.
15,positive,"It has a remarkable (if playfully skewed) fidelity to the epic poem of mythical struggle, even if the filmmaking brother act never actually read Homer's work..."
16,positive,"In its best moments (of which there are a few), O Brother, Where Art Thou? has a twang to it."
17,negative,"The Coens are like party acquaintances who keep changing the subject and then staring at you quizzically when you can't follow the thread, or when you stop wanting to follow it, but who then block all your exit routes from their obnoxious conversation."
18,positive,The ferociously one-dimensional characters here make this muddy ramble more of a guilty pleasure than a success.
19,positive,"It's not up there with Lebowski, but its still a darn good tale."
20,negative,"After making what are still probably their two best features, the Coen brothers came up with their worst, a piece of pop nihilism."
21,negative,The Coen's tale of three escaped convicts has more to do with Homer the Simpson than Homer the poet.
22,positive,"Great dialogue, superb 'Scope camerawork from Roger Deakins, and a genuinely wondrous deus ex machina are among the delights."
23,positive,its tongue-in-cheek humor effortlessly gives way to poignant drama and period musical pieces throughout.
24,positive,"O Brother, Where Art Thou? is amazing."
25,positive,"Watching Clooney, Turturro, and Nelson ham it up singing 'Man of Constant Sorrow' is one of this year's greatest big-screen delights."
26,positive,"O Brother, Where Art Thou? is the Being John Malkovich of the year 2000. The most remarkable thing about it is just how any sane studio executive agreed to back it."
27,positive,"It's an odd, charming movie, not for everyone, but definitely for Coen acolytes. A great adaptation. And buy the soundtrack."
28,negative,"As a big-budget film from two of our great contemporary social satirists, it falls short."
29,positive,The Coen brothers have once again outdone themselves.
30,positive,"The plot is just as goofy and hilarious as you would expect, but equally important is the spectacular bluegrass score."
31,positive,"Though the movie occasionally over-reaches for jokes, in the end it redeems itself with originality and style -- admittedly, a style that will not appeal to some mainstream tastes."
32,positive,"The Coens' usual arch deliberateness isn't quite as deliberate, and there's an appealing shagginess to some of the episodes and performances."
33,positive,"With ""O Brother,' the Coens have reached near perfection again, and that's something to sing about."
34,positive,"...like life itself, the destination matters much less than the shared journey. And, in this case, the gorgeous yellow-toned cinematography and the music."
35,positive,There are so many home runs hit deep out of the park on this one! What a great movie!
36,positive,"hardly a dark, weighty epic. In fact, it's more like the Red Velvet Cake that's a Southern speciality: lovely to look at, multi-layered and best taken lightly."
37,positive,"A second viewing sure does help, but it's still one of the lesser Coen projects."
38,positive,"This is an epic dreamed up and set in Coenland, where familiar film genres get twisted into balloon animals, and where anything might happen to the characters because, hey, why not?"
39,positive,Thoroughly enjoyable.
40,positive,One of the best films of the year.
41,positive,"Light, slight, stream-of-consciousness never looked so good to me."
42,positive,"Yes, it's very stylised and mannered, it tries far too hard to be funny, and it's still rather beguiling. It's also just a bit to odd to really work."
43,positive,"Rated F, for Funny as all get out."
44,positive,...a meandering shaggy dog that never really goes anywhere but has a marvelous time trying.
45,positive,A joyous mixture of the absurd and the sublime.
46,negative,"Are the Coens just being smart alecks here, or are they saying something sourly profound about American popular culture?"
47,positive,"The film is a mlange of so many clashing ideas, as well as a reference-tribute to so many moments in movie history."
48,positive,"...an old-timey, feel-good movie, which in the tradition of the screen's best screwball comedies makes no apologies for its silliness."
49,negative,"Wide-ranging ambition is a virtue in a director, but it finally counts for little if the crucial human details are missing."
50,positive,"Simply, O Brother, Where Art Thou? has one of the richest and most satisfying soundtracks I've heard in years."
