id,tomato_score,review_text
1,positive,"…a revisionist Western, and a rare genre entry with loaded satirical intent that’s always hiding in plain sight…captures a master director in absolute full flow…"
2,positive,"Ennio Morricone’s soundtrack is widely regarded as the best of his career, with the moody, two-note flute melody... an instantly recognisable refrain that is folksy and avant-garde at the same time."
3,positive,It makes a case for Sergio Leone as a true artist and it slowly reveals itself to have real emotional heft when you begin considering some of the ambitious themes that Leone tackles.
4,positive,"While it may not be the best Western ever made - heck, it's not even the best Western Leone ever made - it's clearly the work of a master filmmaker whose style has never grown stale."
5,positive,"If you only see one spaghetti Western in your lifetime, this is the one to see."
6,positive,"The score for The Good, the Bad and the Ugly is magnificent. The main theme that plays over the titles is simultaneously of a specific time and also timeless."
7,positive,"Leone's penchant for contrasting two kinds of shots, close-ups and long shots, finds its corollary in the gray or blue...Leone turns gray soldiers blue in the simplest way possible. Movies were invented for ideas like that."
8,positive,Boasts what is often considered the greatest showdown ever filmed.
9,positive,The quintessential spaghetti western.
10,positive,"As in an opera, the characters are archetypes, not figures we particularly identify with; as in an opera, we waited a long time for the inevitable ghastly conclusion; as in an opera, Leone seeks (and delivers) a kind of ecstatic dread."
11,positive,"The final scene in the Sad Hill Cemetery is a riveting spectacle, made so by some brilliantly tight editing and underscored by the genius of Ennio Morricone's genre-defining composition."
12,positive,"When Ennio Morricone's score kicks in and Leone's editing picks up, our everyday problems fade away like a cowboy riding off into the sunset."
13,positive,"If you've never gotten into spaghetti Westerns, there's no time like the present to give it a go with one of the best."
14,positive,"But ""GBU"" remains the iconic piece for all time."
15,positive,"Leone's liberal use of widescreen shots in conjunction with extreme close-ups gives the movie an epic quality that is matched in scope by a skeletal narrative structure that breathes with a poker-faced mood, tone, and personality."
16,positive,A unique vision of the American West as place of desolation and ruin on a truly epic scale.
17,positive,The defining spaghetti western pits a charismatic Clint Eastwood against partner and nemesis Eli Wallach and perpetual enemy Lee Van Cleef.
18,positive,Potent Italian-Western shoot-'em up/war drama.
19,positive,Its parody of genre conventions resonates with scope and power.
20,positive,"Sergio Leone's dramatic directing style is powerful and well delivered, even by today's standards."
21,positive,The fellas in Leone's films are seething cesspools of hatred and frustration whose only satisfaction-however fleeting-is found in pursuit and acquisition of money
22,positive,"The sublime film music, now-iconic situations (like the climactic ghost town shootout), and sure visual style add up to a pitch-perfect genre pic that ongoingly influences generations of hip filmmakers. [Blu-ray]"
23,positive,Leone created a phenomenal film but also created some of the most memorable shots in film history. The extreme close-ups are still impressive to this day.
24,positive,"It still looks a treat and a bold and largely successful attempt to recast the traditions of the genre in a new, sometimes critical, almost operatic way."
25,positive,"The visuals are eye-popping, the score (by Ennio Morricone) magnificent, the Civil War set-pieces both stunning and haunting. If you're going to end a trilogy, this is the way to do it."
26,positive,The new length gives a clearer view of the civil war context: a nightmare of panic as the south flees before the Union's advance.
27,positive,"Re-released movies are forever claiming to be iconic, but few can hold the title as easily as Sergio Leone's The Good, the Bad and the Ugly."
28,positive,Sergio Leone's masterpiece is as enduring as the scorched desert in which it is filmed. Also receives props for most effective use of whistling ever.
29,positive,"Amid the endless homages and the sheer adoration meted out to Sergio Leone's ambitious, pricier finale to his Spaghetti Western trilogy, it's easy to forget just how damn good the film is."
30,negative,"The third in the Clint Eastwood series of Italo westerns, The Good, the Bad and the Ugly is exactly that -- a curious amalgam of the visually striking, the dramatically feeble and the offensively sadistic."
31,positive,Leone also endows the film with a clever visual style. His sense of scale is especially inspired.
32,positive,"Though ordained from the beginning, the three-way showdown that climaxes the film is tense and thoroughly astonishing."
33,positive,"You don't really need me to review THE GOOD, THE BAD, AND THE UGLY for you, do you?"
34,positive,"Town streets stretch wider than eight-lane freeways, gargoyle-faced henchmen lurk behind every tumbleweed, and Ennio Morricone's majestic electric coyote score rules over all."
35,positive,"...while the film is seriously overlong, there are enough elements here to hold the interest of even the most impatient viewer."
36,positive,Arguably one of the greatest Westerns of all time.
37,positive,Sergio Leone's baroque western might be his greatest...Watch how Clint Eastwood amazingly acts with just his teeth and those squinty eyes.
38,positive,"There are many features that contribute to The Good, the Bad, and the Ugly's belated renown, and none as idiosyncratic as Ennio Morricone's score."
39,positive,"Sergio Leone's epic looks good, almost great, restored to its original running time."
40,positive,"A beautiful film, directed with supreme confidence and passion - and lots of action."
41,positive,One of the most compelling validations of the western genre's most elemental touchstones.
42,positive,"The point is not what happens in the movie but how it happens, a curious blend of partly humorous, partly dramatic, partly elegiac legend."
43,positive,profound
44,positive,
45,positive,
46,positive,
47,positive,"Of all the great films of the 1960s, The Good, the Bad and the Ugly is one of a fistful that can be truly appreciated only on the big screen."
48,positive,"Though the restoration isn't substantial, any excuse will do to revisit the moment when a young Clint Eastwood became a star and in the process helped reinvent the Western."
49,positive,
50,positive,"This is a great movie, whatever strange estuary of the western river it occupies."
