id,rating,review_text
1,3.5,"Good film but too many pointless subplots, which add nothing to the story such as the family scenes which add nothing to the story or substance of the film."
2,2.5,"Mehhh, just that average weekday movie."
3,5,"Success in 2 hours and 8 minutes!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! The USA grossed over $42,400,000.00!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
4,4,Two words viola Davis
5,5,"One of the better heist movies, well acted, great plot, what more could you ask for. One of the better heist movies in the genre."
6,2.5,"Politics & Criminals, yawn, only 2 interesting things, women from different backgrounds banding together for a goal, which is in dozens of movies these days, & ""The Secret"" which I won't ruin in the review, but that was the most interesting thing about the movie."
7,5,loved it. viola what can I say
8,5,Great story line & keeps you at the edge of your seat!
9,2,"To slow, lots of scenes that take way to long to develop. It was impossible for me to become emotionally attached to this film. I feel this movie would have benefited from more emotion from the actresses."
10,5,Amazing Viola Davis.
11,4,"Película sólida y entretenida que ofrece mucho más que un simple thriller de atracos. La historia, dirigida por Steve McQueen, combina tensión y drama social en una trama que explora tanto la supervivencia como la lucha de sus personajes en circunstancias extremas. Las actuaciones son excepcionales, destacando el papel de Elizabeth Debicki, quien aporta una profundidad y vulnerabilidad cautivadora a su personaje, haciendo que su evolución emocional sea una de las partes más impactantes del filme. La película logra mantener el interés del espectador, equilibrando bien sus momentos de acción con una reflexión más íntima sobre el empoderamiento y la lealtad."
12,4,"The only reason this movie got four stars instead of five from me is that it runs a little slow, and it sort of has a few minor loose ends. Plenty of twists and turns after the initial slowness, and the female empowerment element, meshed with the possible symbolism of the dangers of masculinity run rampant, makes this the perfect action movie for either a female sleep over, or any person who enjoys a good action movie with depth."
13,4,"The third act twist is predictable, but this ensemble drama is the Ocean's 8 alternative. Why recast an existing franchise when there are feature films like this one. It's focused on solid writing, carefully matched performances and gut-wrenching odds."
14,5,Amazing action movie!
15,4.5,"This is a fantastic movie that was unjustly ignored by audiences and awards bodies upon its initial release. I have a gut feeling its reputation will grow over the years, and it will eventually be re-discovered as a classic. Seriously, this pretty much has something for everyone. There is drama, there is humor, there are thrills and twists and turns that make you dizzy with cinematic joy. And it is that rare opportunity to see an ensemble of tough, tenacious and terrific actresses join forces and kick some serious butt in a quality film. Take OCEANS EIGHT, mix a bit of THE GRIFTERS, add some KILL BILL and a dash of GONE GIRL, bake at 350, sit back and enjoy. This is one of those rare movies like THE DARK KNIGHT that miraculously blurs the line between artistic and commercial filmmaking. Davis is fabulous in one of her best performances, and the seemingly 11 foot tall Debicki pretty much steals the show. There is also a frighteningly fun supporting turn by GET OUT's Daniel Kaluuya that probably deserved a Supporting Actor nomination. If you like a good heist thriller, I don't think you'll find one much better than this."
16,3,"I wanted to like this movie. I was told it was sort of spiritual sequel to Heat (as in what would happen in the aftermath). But, this movie was not that. It's a heist movie where the heist doesn't happen until the very end, is very quick, and isn't very interesting. Add in a bunch of plot conveniences and the movie just wasn't very good."
17,4,"Its simple brutality is often staggering. Characters die suddenly, without fanfare and you're often never sure who is next. Davis obviously gives a knockout performance but so does Michelle Rodriguez who again proves she is so much better than what she usually gets to do."
18,5,"Riveting heist with a surprisingly strong second half. Steve McQueen's heist thriller Widows (2018) is more of a pensive crime drama on the consequences of men's actions against women and their families. Gillian Flynn's script is quite excellent with complex female characters, engaging crime heist planning, genuinely shocking twists, and tense action. Her writing is so astute in dragging toxic men through the gutter of their selfish, brutal actions. I like how she props up these ladies from various backgrounds and humanizes them all with great sympathy. I did find that Hustlers does a similar thing better in a more original way, but as far as heist thrillers go, Widows is pretty solid. It's not Heat, but it isn't a Heat ripoff like nearly every heist film nowadays. Steve McQueen's direction is pretty creative, but he focuses on the acting performances and lets them talk. I do wish he extended his directorial vision further with some crazier shots. Sean Bobbitt's cinematography is quite pretty, but remains in these long wide shots during certain moments I wish had more close-ups for some deeper feelings. The heist itself is excellent and made me wish Warner got McQueen to direct a Batman movie or something, but that just might be Hans Zimmer's pounding score during the action. His music could have helped the slower quiet scenes with something extra. Widows' drama itself is carried by the lead actresses. Viola Davis is excellent as usual as the all female heist leader Veronica. She's an interesting heist leader precisely because Davis captures her lack of experience with a hard personality full of despair and uncertainty. She comes off as very strong and resolute, despite her inexperience. I liked Viola Davis a lot in Widows. Liam Neeson is surprisingly ruthless in Widows as Harry Rawlings. He's in Widows a lot more than I thought he'd be as Davis' husband. Neeson feels emotional, then his turn is so stunning that I was pretty amazed. He has surprising chemistry with Viola Davis too in their romantic scenes. I absolutely adore the effortless beauty and talented dramatic actress that is Elizabeth Debicki. She is frighteningly vulnerable with her real dramatic performance as the sadly insecure and ruthlessly abused Alice. Her perfect figure and sorrowful make Alice all the more devastating as men use her and she bears the majority of pain in Widows as she quietly suffers. I hope Hollywood casts Elizabeth Debicki in more lead actress roles as I've loved her ever since she was Jordan in The Great Gatsby. I think that Debicki is the most underrated actress in Widows. Michelle Rodriguez is really compelling, more than most of her roles, as the widow Linda. She feels realistic and strong with a practical sense that helps Widows constantly feel grounded. Cynthia Erivo gives her best acting yet as hairdresser Belle with her silent strength of will. Carrie Coon has an intriguing brief role as the widow Amanda. Robert Duvall is great as the racist old money politician Tom Mulligan. Colin Farrell is outstandingly convincing as the sleazy new money Chicago politician Jack Mulligan. Molly Kunz is great as Farrell's quietly present and totally aware assistant. Brian Tyree Henry is really excellent as a hopeful Chicago politician with ties to Chicago gangs named Jamal Manning. Daniel Kaluua steals the entire movie whenever he's on screen as the viciously intimidating Jatemme Manning. Joe Walker's editing really leaves scenes and shots playing a bit too long pretty often during Widows. His slower cutting style gives the drama more weight, but disengages you from scenes easily. Widows feels slower than it is, making 129 minutes drag on too long at times. Adam Stockhausen's sleek modern production design makes Chicago look like the future in certain rich abodes, while maintaining a gritty realism for the Southside homes. Jenny Eagan's costumes have a chic, modern style with slick, contemporary, all black, heist outfits for the ladies that look very cool. Ken Diaz, Ma Kalaadevi Ananda, and Jacqueline Fernandez' make-up makes every single lady look breathtakingly gorgeous, especially Elizabeth Debicki's flawless look. I appreciate how much craftsmanship went into Widows. In conclusion, I really liked Widows for its feminist themes and killer heist sequence. All the acting is superb, but Widows is a slow burn that will surely turn away action fans not wanting to dive deeper into crime drama within this unique thriller."
19,4,"director Steve McQueen assembles another finely-acted and heavily-dramatic film of ensemble actors Viola Davis, Liam Neeson, Michelle Rodriguez, Colin Farrell, Robert Duvall and David Kaluyah things get dark pretty fast when we see a heist taking place in Chicago then it appears all the men involved end up dead the main widow is Viola Davis trying her hardest to deal with her husband's death yet it turns out he and his accomplices stole money from the wrong person he owed this candidate Jamal Manning over $2,000 and when her life gets threatened she finds her late husband's journal and blueprints two other widows played by Michelle Rodriguez and Elizabeth Debicki face rough patches too; one is facing her shop being foreclosed and the other has no job and no credit so she moonlights as a companion for a rich socialite Davis has an idea to escape Manning's death threat so she and the others pull their resources together and pull off this one last job, it may actually work considering most wouldn't suspect a group of women and believing all they can do is sit back and grieve the loss of their loved ones Steve McQueen directs some really good actors, inputs a lot of drama into the script, and unravels some shocking story twists it takes a while to get to the actual heist though since we're focusing more on the characters themselves but it is thrilling to see it in actuality maybe 20 min couldve been shaved off and a few extra players and this wouldve been better on television but as is it shows the ultimate strength of a few women being just as capable as men when facing death and dark secrets"
20,3.5,Amazing film. Storyline was very grounded. You felt their struggles and was rooting for them.
21,5,Just watched for the second time. It only gets better with each viewing.
22,4,"The tight direction still somehow makes for a heist film that feels mess, aided in part by it's genuinely tremendous cast. With a cast this strong, it's hard to pick a star but Kaluuya and Davis both barely inch out the rest."
23,4,"Steve McQueen's smart, tense crime thriller is one of the movies of 2018. The casting of Davis in the lead role was a great decision that really pays off."
24,3,"The premise is more suited for a shorter film. It reminded me of Heat in a way, but not near as engaging. My wife enjoyed it more. The ending was not very credible."
25,5,"Amazing movie. Theres a moment of genuine shock and twist that heist movies rarely pull off.. it is actually jaw dropping. Well acted, written and edited. The cast are brilliant, but Viola Davis steals the show like she often does A must see."
26,4,"Aquele tipo de filme que nós amamos com mulheres fortes, destemidas e subversivas... Aquele filme que começa atrapalhado e confuso, entregamos atos e fatos, com muita ação, e aos poucos vai nos discorrendo sobre os personagens e os seus contextos, um plot Twist leve a cada curva, muito bom... Sou super suspeita para falar porque amo Viola e a Michelle e Daniel... Excelente filme, ótima produção..."
27,1,Not much coherency. Too many angles going that just muddled the movie. Disappointing. (20%)
28,2.5,Get the gist; then FF till the final 30 min. Decent ending.
29,1.5,"Ce film est une des nombreuses preuves qu'une excellente distribution n'est pas le gage d'un excellent film, quoiqu'elle y contribue grandement. La réalisation de Les Veuves m'a totalement décontenancé, dans le mauvais sens du terme : dès l'introduction, le film alterne entre une scène d'embrassade langoureuse et lente, et une scène de course-poursuite dynamique et bruyante… Je pense que commencer le film de cette manière est le meilleur moyen de diviser les téléspectateurs : où ils adorent, ou ils arrêtent le visionnage. Pour ma part, j'ai fait l'effort de poursuivre le film. L'intrigue politique casse le rythme sans arrêt. En 40 minutes de visionnage, aucune scène ne met en exergue le talent des acteurs, le scénario n'avance pas, la tension ne monte pas. Le son du film était très mal équilibré ; je passais mon temps à l'augmenter et à le baisser. La scène où deux personnages discutent dans la voiture, pendant près de dix minutes, sans que l'on voie leur visage – mais plutôt le pare-brise de la voiture qui roule dans la ville – a réussi à me faire abandonner le visionnage. Les Veuves, pourtant prometteur, est une vraie déception."
30,2.5,"This is an ok drama, that makes you see things from the perspectives of the recently widowed partners of criminals. Its got some good action based scenes, although it's not a film I'd say is especially memorable. For what it is, it's pretty good but I wouldn't expressly recommend it as such, no."
31,4,"Interesting plot with talented girl power, wish all drama can be at this level."
32,3.5,We should all feel so privileged to receive a heist thriller with an ensemble cast in this era of soulless films that dominate the market and hold the attention of nearly all filmgoers.
33,3.5,muy buena pelicula 7/10
34,3,"Lenta y bastante previsible en su trama, abusa de los momentos lentos para dar una mayor carga dramática a la historia lo cual no consigue, el final deja varias preguntas incluso que no entiendo porque no respondieron."
35,4,"Widows is not your usual bank robbery movie. Instead of the usual all-men team, we get an all-female lineup. It has an all-star Hollywood cast. Viola Davis acting here is outstanding. Solid performances from the other actors as well. The movie is well-directed and the pacing is just right. Nice plot build-up and character development. There is enough intrigue and suspense to keep you enthralled. Not your usual heist movie."
36,0.5,"Excessively boring, really not impressed. Waaaay too long for the story."
37,1.5,The first 20 minutes were boring enough that I gave up on watching
38,2,"Having looked forward so much to watching this movie, particularly after all the great hype it received, I was gobsmacked it how boring and amateur the whole movie was. Total rubbish and completely unconvincing - what on Earth convinced Steve McQueen to include the scene where the widows chase and ram their getaway van. Totally superfluous and so ludicrous as to render the film a total joke. RIP"
39,2.5,Can we please stop overrating movies because they have minority leads? There are enough great black and women actors and directors to celebrate without boosting up a movie that doesn't warrant it.
40,5,great movie. MUST SEE
41,5,"Fierce, fabulous film. Gripping from beginning to end."
42,3,Great cast but it's a little low key.
43,5,Bananas! Great all da way around.
44,3,Not great but not that bad either.
45,4,"Wonderful work by McQueen and the cast. This is an ensemble story that never feels too unfocused, but realistically weaves through its characters in an interesting, nunaced way. Viola Davis is reliably brilliant, but I loved Elizabeth Debicki in a bit of a breakout role for her in terms of being taken really seriously. The cast is totally packed and can only be summarized adequately by saying that there are no weak points. The action is probably less important to the story than the dramatic elements, but never at a cost the quality of these scenes. Small gripes and frustrations might be the underutilization of such assets as Farrell, who get maybe one interesting scene but fall by the wayside as the plot picks up. Same goes for Kaluuya, in a rare sadistic villainous turn that made you forget all the fluffy ideas about him from Get Out and especially Johnny English. This only accentuates the strength in other areas and of the film in general, as Flynn and McQueen wrote characters and a plot so compelling that two hours leave you still demanding more."
46,4,"Yep, it's decent, could have done with a bit more Liam Neeson even though he was playing the same character he has done for the past 10 years or so."
47,4,A suspenseful slow-paced thriller !!!
48,1.5,"In the first hour of the movie, it switches from scene to scene and later connects the pieces - Just tedious and nothing special. The critics score of plus 90% is simply beyond me. I guess some get paid to simply sell movies. I don't; I just want to enjoy them!"
49,3,Meh it was ok. Action packed but very average to me.
50,5,Your review will help others decide whether to watch.
