id,rating,review_text
1,4.5,Sometimes that shit is just nice and that's all there is to say about it...
2,5,Genuinely one of the best movies I've ever seen
3,5,This was one of the most enjoyable movies I have ever seen. Two of the most charismatic actors of all time starring in a film with exceptional dialogue and pacing. Every scene was enjoyable. I love movies/shows where the characters are always one step ahead and are able to pull off the impossible while being so out of this world cool. As someone who loves Ocean’s 11 (the remake; havent seen the original) this was such a delight. It combines the swag and pace of that great film with the timeless aura of old Hollywood. I really wish they made movies like this that are just so much fun to watch.
4,5,All time favorite 👏👏👏
5,5,"The Sting is a masterfully crafted classic that showcases the effortless chemistry between Robert Redford and Paul Newman, both delivering sharp, charismatic performances. The story is clever, tightly paced, and deeply satisfying, unfolding with confidence and style. Robert Shaw is excellent as the formidable antagonist, anchoring an outstanding ensemble cast. Elegant, witty, and endlessly entertaining, this is classic Hollywood filmmaking at its absolute best."
6,4.5,"Greetings from Lithuania. ""The Sting"" (1973) is a great film about cons and those that are being coned. It features very interesting plot, the storytelling is excellent, performances by all involved are great and directing is very good. Robert Redford was nominated for Oscar (and film has won 7) and he gives best performance in this movie. Music was very good and moody. Also set design, editing - all top notch but again it is a story and storytelling combined with excellent performances that makes this movie highly rewatchable. Overall, ""The Sting"" is a great film that stood the test of time and it is pleasant film to rewatch even in 2026. Great film."
7,4,"Very good film, although a little confusing at times. Held together by Paul Newman and Robert Redford."
8,4,Really great film and story with great acting that keeps your attention the entire time
9,1,"Filme mais ou menos, o roteiro é fraco, as cenas são mais ou menos, a história é fraca, o elenco é fraco, e ninguém ajuda a melhorar o filme, os personagens são fracos, e o filme deveria ter cenas bem melhores e relevantes, para fazer o filme ser bom"
10,5,"not for nothing, it won 7 academy awards. the opening credits, conceived with admirable visual virtuosity, set the tone from the very beginning for a work that unfolds one of the most iconic pieces of music in history: 'the entertainer'. it is no surprise that this score earned marvin hamlisch an oscar, as it integrates with such energy and precision that it enhances every moment. the sound design, vibrant and thrilling, acts as a narrative engine guiding the viewer with confidence. visually, 'the sting' is a fascinating spectacle. its composition of shots, careful framing, and aesthetic design achieve a magic rarely seen on the big screen. the direction, flawless, constructs atmospheres of tension and lightness with admirable fluidity. the famous poker sequence, even for those unfamiliar with the game, stands as one of the most tense and intense in modern cinema. the performances shine on their own, with robert redford in a state of grace devouring every scene he appears in. the chemistry between the characters, perfectly written, gives the story a narrative solidity that is hard to match. moments of genuine emotion intertwine with passages of great dramatic intensity, forming an exemplary balance. the ending, executed with admirable precision, reinforces the feeling of witnessing a major work. the mise-en-scène, carefully crafted down to the last detail, highlights the mastery of direction that leaves nothing to chance. in short, 'the sting' is an outstanding cinematic exercise, a demonstration of how film can be both thrilling entertainment and art at its highest level. it is no coincidence that in 1974 it won 7 academy awards, including best picture of the year, cementing itself forever as an essential classic of the seventh art. spanish: no por nada ganó 7 óscar. los créditos iniciales, concebidos con un virtuosismo visual admirable, marcan desde el comienzo el tono de una obra que despliega una de las canciones más icónicas de la historia: 'the entertainer'. no sorprende que esta partitura le valiera el óscar a marvin hamlisch, pues se integra con tal energía y precisión que potencia cada instante. la ambientación sonora, vibrante y trepidante, actúa como un motor narrativo que guía al espectador con firmeza. visualmente, 'the sting' es un espectáculo fascinante. su composición de planos, el cuidado en los encuadres y el diseño estético alcanzan una magia pocas veces lograda en la gran pantalla. la dirección, impecable, construye atmósferas de tensión y de ligereza con una fluidez admirable. la célebre secuencia de póker, aun para quienes desconocen el juego, se erige como una de las más tensas e intensas del cine moderno. las interpretaciones brillan con luz propia, con un robert redford en estado de gracia que devora cada escena en la que aparece. la química entre los personajes, perfectamente escritos, dota al relato de una solidez narrativa difícil de igualar. momentos de emoción genuina se entrelazan con pasajes de gran intensidad dramática, conformando un equilibrio ejemplar. el desenlace, ejecutado con una precisión admirable, refuerza la sensación de estar ante una obra mayor. la puesta en escena, cuidada hasta el último detalle, subraya la maestría de una dirección que no deja resquicio al azar. en definitiva, 'the sting' es un ejercicio cinematográfico sobresaliente, una muestra de cómo el cine puede ser, a la vez, entretenimiento vibrante y arte en su máxima expresión. no es casualidad que en 1974 conquistara 7 premios óscar, incluido el de mejor película del año, consolidándose para siempre como un clásico imprescindible del séptimo arte."
11,5,The greatest surprise ending of all time.
12,5,"The two greatest films in American cinema are The Godfather and The Sting. George Roy Hill's masterpiece weaves a brilliant screenplay with Robert Redford and Paul Newman at the peak of their respective careers. Scott Joplin's music via The Entertainer is a character all its own, setting the convincing tone of the 1930s. Robert Shaw's villain is as cold and brutal as they come. Extracting comedy from tragedy, mining revenge from greed, The Sting is without peer among comedic films."
13,5,2 hours and 9 minutes of comedy!!!!!!!!!!!!!!!!!! Starring Paul Newman as Henry Gandorff!!!!!!!!!!!!!!!!!!!!!!!!!!!! All ages admitted!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
14,4,Great comedy-crime caper that inspired so many con films.
15,5,Epic entertainment… From cinema's days of glory.
16,5,"Much has been written about this wonderful film and I will not comment on such, but rather point out what seems to be much overlooked! The music is such a big part and we owe a great debt to Scott Joplin for providing the perfect audio backdrop (aided ably by Marvin Hamlisch's adaptation). The memory would be barren without it!"
17,5,"Saw at Empire Leicester Square on release. First time, in a cinema, that the whole audience stood up to give a standing ovation at the twists and turns of the final few minutes. I had to see the film 3 times to attempt to sort out the plot, understand all the misdirection, and make sense of the flow of the story. In contrast, the Da Vinci code is like The Sun quick crossword."
18,5,Pure brilliance from start to finish. Redford and Newman are at the top of their game and Robert Shaw is possibly the scariest villain in movie history.
19,4,"This movie has really good acting and drama. While I haven't seen many movies with Paul Newman, Robert Shaw is a legend in everything he acted in and died too soon. Robert Redford is also a good actor and I really liked the smartly executed plot/character twists that they pulled in the last few scenes (such as his brief ""love interest"" that worked at the diner and the main FBI agent not being what they seemed to be). I also liked the poker scene on the train. Not only was it intense, but also funny at the same time! It's not underrated or overrated, it's rated just as it should be! It's old and old-fashioned but it deserves its reputation!"
20,3,I found the setup a little confusing but there’s lots of old Hollywood charm and glamour in this Gangster Era-set Chicago crime caper about con men pulling one over on a gang lord.
21,4.5,"Too much fun. One of moviedom's all time great entertainments. Newman and Redford and Shaw, all at the the top of their games."
22,4,I think just problem about this film is Doyle Lonnegan lose his power while the movie continues.
23,5,An absolute instant classic and probably the greatest con/heist movie of all time.
24,5,"This is one con that'll leave you rolling! As an aspiring con artist's mentor is killed by a mob boss, he decides to get payback with the help of a more experienced scammer as the two attempt to pull off one of the most ballsiest rip-offs ever. With the exceptional chemistry of Redford and Newman, this film is fun, witty and or so satisfying!"
25,4.5,"There's not much wrong with this movie; it's the perfect con-man story told expertly with twists and misdirections. It drags on just a little too long, but everything comes together so nicely at the end that it's hard to be upset for long. It's a satisfying classic that holds up extremely well, if you can keep your focus long enough."
26,4,George Roy Hill does his best to sell a pretty bleak story as fun and light-hearted. He certainly succeeds and I like how weird the final result is.
27,5,"Possibly the most brilliant plot and writing ever, paired up with perfect acting and an iconic soundtrack. A masterpiece from beginning to end, there's nothing more to say."
28,5,I can't convince my younger friends/co-workers to watch this (I'm Gen. X). Such a shame - this Redford/ Newman vehicle is a classic with one of the most catchy theme songs of all time. 7 wins out of 10 nominations on Oscar night! Robert Shaw (the boat capitan from Jaws) plays the heavy.
29,5,An absolutely brilliant film. Timing is everything and they got it perfectly.
30,4.5,"Fun crime movie built around intricate swindle. Robert Redford shines as a con artist searching for a big score. The movie focus on one complex plan to cheat a crime lord out of a big chunk of change. The characters talk fast, and there is plenty of humor sprinkled throughout the film. The set design is gorgeous, and the characters wear fantastic suits. There is no character development or real conflict, but the movie is entertaining nonetheless. Overall, I would recommend The Sting for fans of crime movies."
31,5,"I love that I had the opportunity to see it on the big screen again. The first movie I saw in a theater that I remember. I was too young to understand most of it, I was 3, but I loved it all the same. Such a marvelous ensemble of stelar craftsmen. My mom suggested we get the soundtrack. I already have it for her. We were over joyed."
32,5,What a fantastic movie ! And story and cast! Can see why so much Oscar love 👍🏻
33,5,The style the acting the plot the music even the beginning credits one of best movies I've seen
34,5,"Deftly crafted, wildly entertaining, and amazingly rewatchable. Paul Newman (especially) and Robert Shaw (as always) are outstanding."
35,4,Only matched by Grandpa vs Sexual Inadequacy in the annals of grift
36,4,"Great fun movie. A little goofy at times, but overall great acting, I love Redford and Newman. The other grifters and con-men are great. The accents are realistic, as is the fighting. The plot keeps you guessing and the sets are diverse and period pieces in themselves."
37,5,"An All Time Classic. Every core element of this is phenomenal but it takes time to build up but it does so at a perfect pacing. This is filled with wit, twists, charm, and a memorable soundtrack to boot. Everyone should give this a watch at least once. Simple As That."
38,5,"this movie is one of my favourites, i saw with my dad, and i was lucky he didn't spoiler me anything, because it is so unpredictable. and it has amazing plot twists"
39,5,Truly entertaining classic. Better watch with Butch Cassidy and the Sundance Kid. They won here.
40,3.5,"Coming from modern heist movies, was somewhat satisfying. The actors did their job and the story was on point up to the obvious plot twist—nonetheless good reference material for fans of the genre."
41,4.5,"It's an excellent motion picture, The Sting, 1973... With a script well done by David S. Ward, director, George Roy Hill also a famous film maker of Butch Cassidy and the Sundance Kid, 1969 starring by same characters, Paul Newman and Robert Redford..."
42,4,Excellent movie about grifters who pull off a big con. Great cast of actors.
43,5,Legendary. Highly authentic cast and great twists. If u like Oceans franchise you'll dig this
44,4,A classic. The supporting cast is tremendous.
45,1.5,It's really very very boring.
46,4,A very layered conman story
47,5,It's a masterpiece! One of the best movies about crime of all time. Johnny Hooker is the best role Redford have ever played.
48,4,Redford is the star here with a surprisingly good story. Though I like Butch and Sundance more.
49,2.5,"The beginning messes up the movie as a whole. If you redid it or even cut it out completely, it would do better. After that it's pretty good and will keep you entertained. I think it's some clever writing too, just not the beginning."
50,4.5,"Currently writing this review while listening to Solace from Scott Joplin. The Sting is a wonderful fillm, one that even nowadays doesn't seem to get old. It has aged like a fine, very fine, wine. The revival of the era, along with great charistmatic leads, lovely music and possibly one of the smartest screenplays every adapted into the big screen, The Sting is a triumph, an important film that everybody should see. The story itself is about Johnny Hooker (a very much cool Robert Redford), a small time con man in Joliet, Illinnois during the Great Depression. In a pidgeon drop trick, he scams a person off more than 10.000 dollars with his companion Luther. He does not know that this money was property of ruthless gangster Doyle Lonnegan. Doyle murders Luther, but Johnny escapes to Chicago in order to find degraded con man Henry Gondorff (another very much cool Paul Newman) and set up a big trick. This big trick will scam Lonnegan off half a million dollars (that time half a million dollars was a lot of money and I mean A WHOLE LOT OF MONEY, WITH INFLATION ABOUT 10 MILLION DOLLARS) and have Johnny take revenge for Luther. While the plot may not sound like much, at first it looks like a simple revenge story, the moment the plan is on, everything takes off. So many small details and scenes, from the creation of the staged horse race betting parlor, to the tense poker scene on the train, everything seems to work and make sense, and by the moment of the big plot twist in the end, you stand there as a viewer with your mouth open, trying to understand what has happened. After contemplating the story for a second, analyzing the small details and touches, you realize that in the end, it all makes sense, that you (and Lonnegan) have fallen for a well prepared trick, and you cannot but smile. The story is so complex, yet so simple, and it certainly did not have any right to be this entertaining. It ended up being one of the smartest films I have ever seen, ever. I highly recommend this film for the story alone, you will not be dissapointed, I swear. Getting to more technical details, the acting is superb, Newman and Redford act so naturally as if they have lived in this era before. The whimiscal, motley crew of the assisting scammers is also rather fascinating and nice to see. Lonnegan is menacing and effective, even if it does feel a little naive and gullible for a master gangster. Officer Snyder and Agent Polk are great as well. Overall, acting a major part of the movie, because, with natural actors, the story doesn't feel rushed or forced, enhancing the viewing experience. The art direction is also one very strong part of the film. The revival of a whole city reminiscent of the Depression Era with such detail and care shows that those who worked at the film knew what they were doing and they loved it. And we loved it as well. Great work for the art direction team. Kudos to cinematography and editing, particularly editing for using these wonderful old fashioned title cards between segments of the film. The music. Ah the music of the film is my favourite technical aspect of it. Marvin Hamlisch has done one hell of a job with the use of some good old Joplin classics, like the Entertainer and Solace. His minimal arrangements, which hardly change the original pieces, include wonderful melodies for piano accompanied by jazz bands filled with violins, clarinets, trumpets, tubas, trombones and drums. You could argue that this movie got me into ragtime music. The Entertainer is as calssic as it will ever be, Solace is haunting, beautiful and nostalgic, The Easy Winners is amazing, Pine Apple Rag is great as well. If you haven't already noticed, I love this soundtrack way too much and for a reason. Closing this review, I must say that The Sting might not be a movie for everyone, if you are easily tired by films with excessive scenes that build up the tension for the ending, and you mmight not even be into card games and tricks, so the jargon in the film will tire you. But I'll tell you one thing: this movie is a must. A mix of action, comedy, drama, gangster film and caper film genres that ultimately works due to great leads, careful direction, a smart screenplay, lovely music and a plot twist to be remembered."
