id,user_rating,review_text
1,4/4,Kurosawa managed to fashion a movie that embodies that most overriding of cinematic oxymorons: an intimate epic.
2,4/5,"…Ran means turmoil, and feudal dispute is at the heart of this stunning-looking film…Kurosawa’s swan song is a triumphant final curtain on one of cinema’s key figures for spectacle and story alike…"
3,,A level of spectacularity that continues to surprise to this day. [Full review in Spanish]
4,5/5,"Rereleased by StudioCanal to celebrate Shakespeare’s 400th anniversary, his breathtaking adaptation of King Lear proves, so far at least, to be as immune to the effects of time as the original"
5,9,"“Ran” stands as a cross-cultural testament to timeless storytelling, where Kurosawa's indomitable spirit shapes a profound meditation on power, chaos, and the enduring resonance of Shakespearean influence."
6,,"Kurosawa is not merely true to Shakespeare’s story, he brings scenes alive with a cultural twist and a visual mastery..."
7,,"Ran makes miraculous use of color, and has a feel to it that only Kurosawa could accomplish."
8,,"Over-long, dull in the middle, and unnecessarily tragic..."
9,,Just in time for its 30th anniversary - and the 400th anniversary of Shakespeare's death - comes a beautiful 4K restoration...
10,9/10,An arresting amalgamation of unforgettable imagery.
11,,One can hardly watch Ran without feeling a sense of prophecy fulfilled. The tragic results displayed in this film suggest we all need to discern more deeply exactly who we can trust to lead us.
12,,Ran takes film spectacle to new heights. Kurosawa continues not only to extend his own powers but to exploit new technical advances.
13,,There is not a wasted second. [Here] is proof of what we seldom doubted: Kurosawa is a director who becomes godlike rather than gaga in old age.
14,,"The great Japanese director Akira Kurosawa, who has made a career of creating movie masterpieces, has at the age of 75 given the world a monumental work."
15,,"This film is the visual epic of the year, and one of the few really great movies of the 80s."
16,,"Kurosawa's greatness lies in his capacity to reveal historical similarity and variance; to find a Shakespearean sense of doom in the other, remote, and apparently alien historical place."
17,,"Ran isn't the first film many think of when they consider Kurosawa's extensive filmography, but I would posit that it is among his best."
18,,"Kurosawa may not be Shakespeare, but with images like these, he gets at something about the horror -- and hopelessness -- of being a man that is peculiarly his own."
19,5/5,One can never be short of things to look at while Kurasawa's Ran is in the world.
20,5/5,Ran is high classical tragedy several times over.
21,5/5,It's the intimacy of even the most gargantuan conflict that hits home in Kurosawa's masterful hands.
22,5/5,Akira Kurosawa's Ran is virtually in a class of its own.
23,5/5,An irresistible attraction that should be viewed on the biggest screen you can find.
24,5/5,A magisterial achievement.
25,5/5,"Prepare your eyes to be gouged (this is a King Lear adaptation, after all)."
26,5/5,Perfectly paced and beautifully directed with some simply superb acting.
27,5/5,"If anything, Ran is even darker and more pessimistic than the original."
28,5/5,Its true power is found in the small moments.
29,A,"This is one of the year's major cinematic events. It's well worth leaving the house for, should that opportunity arise."
30,,"Ran remains gripping because it depicts not only the long-ago past, but also our hellish present."
31,4/4,"Ran is one of the cinema's greatest works, a film of true tragic vision."
32,,One of the supreme cinematic achievements of the last quarter-century.
33,,"The result is the year's best foreign film, an action epic to dwarf anything from Lucas or Spielberg."
34,,Less a director's return to form than an essay in solipsism and self-pity run amok.
35,,A film for the ages.
36,4/4,"Ultimately it is this mixture of the grand gesture and the fine touch, the big world and the small people who occupy it, that lingers with us long after Ran is over."
37,4/4,"By the time Kurosawa's camera comes to rest on the film's final, poignant image, a painting of the Buddha that one character had promised another would protect him from harm, the movie seemingly has accomplished the impossible: one-upping Shakespeare."
38,,"There's probably more carnage in Ran than there is in Rambo and The Terminator combined, but the new film substitutes intelligence and emotion for mindlessness and emotionalism. You leave the theater awestruck, not dumbstruck."
39,3.5/4,"What could be more exciting than the prospect of one of the giants of world cinema, his career resuscitated, adapting Shakespeare's most modern play?"
40,,"What's remarkable about Ran is that the drama enhances the spectacle the same way the spectacle bolsters the drama. Few other directors had Kurosawa's ability to convey the intimate as well as the epic, to handle stillness as well as violence."
41,,Those who were suspicious of the filmmaker's unambiguous plotting and Westernized approach had to admit to its daunting grandeur.
42,,"Visually exciting, includes outstanding acting by a fine cast, and tells a compelling tale about ambition, betrayal and revenge."
43,A-,A stunningly beautiful epic.
44,,It is a film that already belongs to the ages.
45,5/5,"A landmark of world cinema, this is a rousing, staggering epic and a haunting drama of timeless significance."
46,,"For aficionados of the war movie, the western, and the period action epic, Ran is necessary viewing."
47,,"At age 75, the director has made his most costly epic to date, and it's a dazzlingly successful addition to his distinguished career."
48,,"Akira Kurosawa's 1985 film is slightly marred by some too obvious straining toward masterpiece status, yet it's a stunning achievement in epic cinema."
49,4/5,
50,4/5,
