id,user_rating,review_text
1,,A brilliant piece of filmmaking that folds back on itself like a cleverly crafted piece of origami.
2,4/4,Quentin Tarantino’s cause celebre immediately became a direct challenge to creative complacency.
3,,"From the riveting split story lines and hyper-profanity to the quotable dialogue and shocking action, Tarantino's movie reverberated then and still does to this day."
4,10/10,"Super cool, totally thrilling, and a startling blend of homage and originality that has not been matched since—once you see it, you’ll never view cinema the same way again."
5,5/5,"Quentin Tarantino's Pulp Fiction not only remains his best movie, but is an exhilarating crime saga full of great performances and energetic writing."
6,5/5,"... A controversial yet award-worthy combination of gorgeous dialogue, genre-literacy, guns and gore."
7,10/10,"Pulp Fiction may not be perfect (the Butch sequence struggles to reach the heights of the others). However, its highs are among the very best in cinema history."
8,,... a film that twists and turns and double backs on itself with the sheer delight of a narrative magician.
9,4/4,"Quentin Tarantino is the Jerry Lee Lewis of cinema, a pounding performer who doesn't care if he tears up the piano, as long as everybody is rocking."
10,4.5/5,Rarely have I left a movie theatre more thrilled or invigorated as I did after leaving Pulp Fiction.
11,A+,"There is a fine madness to writer/director/actor Quentin Tarantino's latest wonderwork, Pulp Fiction, which is certainly one of the most exciting films of the past 20 years and easily the most important film of 1994."
12,,"Unlike his first film, Reservoir Dogs, whose genius lay in its ability to shock and dazzle, Pulp Fiction penetrates the glib surface of style, allusion, and machismo to the murky meaning of these things."
13,,There's a special kick that comes from watching something this thrillingly alive.
14,,"The actors know they've got a good thing and, echoing Tarantino's boldness and resourcefulness, they give it everything they've got."
15,,"Like its source material, Pulp Fiction is comic and grim, sun-soaked and shadowy, tender and blunt. A pop-drenched dream reel, the film is both a reverential nod to the power of words and a stunning entertainment that more than lives up to its hype."
16,,"Brilliant and brutal, funny and exhilarating, jaw-droppingly cruel and disarmingly sweet."
17,4/4,"A truly great soundtrack keeps the tone hip and even steals a scene or two. Not that Tarantino doesn't have plenty to spare. Pulp Fiction is riveting filmmaking funny, visceral, stylish and so unabashedly original that you never want it to end."
18,,"Unlike too many movies with annoying soundtracks that make up for inferior filmmaking, Tarantino allows natural sounds to slip in -- traffic utensils and other everyday background noises. It allows for more drama and a greater buildup of tension."
19,4/4,"In between the violence, which does get hard R-rated extreme, the real pleasure of Pulp Fiction is listening to these folks talk. If you smile at David Mamet's dialogue, you'll laugh out loud at the words of Quentin Tarantino."
20,A+,Nothing you've ever seen on screen fully prepares you for the audacious ferocity of Quentin Tarantino's pitch-black comedy Pulp Fiction.
21,3.5/4,"[Pulp Fiction] is a dazzling feat of writing. Lurid and unexpectedly hilarious, it's a deceptive piece of work that appears slight and simple on the surface but grows richer and more complex with hindsight."
22,4/4,"Quentin Tarantino, two movies into his directing career, brings to mind the early years of Godard and Truffaut, Coppola when he arrived with the Godfathers and Scorcese when he took to the streets of New York."
23,,A 2 1/2 -hour tour-de-force of personal style that (with the help of an extraordinary cast) creates more memorable characters than any other movie this year.
24,4/4,Possessed of the literary grit and low-life existentialism that its title suggests Pulp Fiction is a hard-boiled work of virtuoso moviemaking by writer-director Quentin Tarantino.
25,,"If you like crime fiction and enjoy superb acting, characters deep enough to bleed (sometimes excessively), suspenseful plots, masterly direction and brilliant colloquial dialogue, Pulp Fiction is definitely for you."
26,4/4,"What writer-director Quentin Tarantino serves up in Pulp Fiction is an all-out thrill ride -- like careening through a Raymond Chandler anthology, with Robert Altman and Dennis Miller in the back seat in a '64 Mustang doing Warp 9."
27,4/4,"Pulp Fiction runs more that 2 1/2 hours, but it's still lean and mean. Every element of the bizarre, dizzying journey is carefully conceived and executed to take its viewers into the darkest recesses of life, then, with a wink and a laugh, set them free."
28,4/5,"This is one engrossing film, the work of an artist who obviously loves watching movies as much as he loves building the things... Tarantino shaped great art from the ugliest of subject matter."
29,3.5/4,"[Tarantino's] underbelly-of-LA crime omnibus Pulp Fiction is a wildly entertaining movie. It may not be about anything in particular, but it’s terrifically smart nonetheless."
30,4/4,"Even Travolta cant surpass the dazzling effect of [Samuel L.] Jackson...It is Jackson, as Jules, who provides Pulp Fiction, with what little concern for conscience that Tarantino deigns to give it."
31,4/4,"As bloody, violent and profane as it is, Pulp Fiction is also amazingly funny in dark, unexpected ways. Its humor springs both from the situations Tarantino creates and from the unusual turns his characters choose."
32,,"The result, especially in the scenes involving Bruce Willis as a nervy boxer, can be long patches of dialogue that must have tickled Tarantino but will not necessarily resonate for anyone else."
33,,"It is -- and I mean this with the highest respect one can give a film -- great trash, an exquisite blend of junk food, the absolute perfect hamburger of movies... Go and savor every last minute of this extraordinarily entertaining movie."
34,,"Quentin Tarantino’s true crime adventure embraces an art form as stylized and American as jazz. This eye-popping dark comedy has its roots in the well-crafted, hard-boiled fiction of Jim Thompson, Dashiell Hammett and Raymond Chandler."
35,,"A triumphant, cleverly disorienting journey through a demimonde that springs entirely from Mr. Tarantino's ripe imagination, a landscape of danger, shock, hilarity and vibrant local color."
36,,[Tarantino] truly is a remarkable filmmaker -- and Pulp Fiction is indeed a remarkable film.
37,,"The way that this picture has been so widely ravened up and drooled over verges on the disgusting. Pulp Fiction nourishes, abets, cultural slumming."
38,4/4,"Pulp Fiction isn't an easy film to follow. For some, it may even be a repulsive venture. But for true lovers of great cinema, it's like a briefcase of gold just waiting to be opened, admired and embraced."
39,,"More than anything else, Quentin Tarantino is a spinner of tall tales—the superbly garrulous, living embodiment of the movie enthusiast’s hey-wouldn’t-it-be-great-if... aesthetic."
40,,"There are plenty of brilliantly funny moments, and it is to Tarantino’s credit that he has managed to work modern, junk, and retro culture into his script with such ease."
41,,You know the feeling you get when you hit the zone on your favorite radio station and there are half a dozen great songs in a row? That exhilarating combination of surprise arid familiarity is duplicated in the new Quentin Tarantino movie Pulp Fiction.
42,3/4,"There’s a method to his rad-ness: Tarantino stories wander, but in interesting directions. In the end they come full circle."
43,4/4,"Travolta and Thurman are mesmerizing in Pulp Fiction, as is Samuel L. Jackson. Their performances stand out amid many effective ones, including a late but savory appearance by Harvey Keitel."
44,A,"Pulp Fiction is being credited with jump-starting the dramatic careers of Travolta and Willis... But the best performance is from the ever-dependable Jackson, whose Jules has a crisis of faith. His performance is Oscar material."
45,10/10,"It offers more than sensation. Sometimes lost in the visual excitement and violence is a basic fact The director is also a first-rate storyteller. The new film offers a trio of tales, cleverly interwoven into a whole that's even greater than its parts."
46,4/4,"It's one of those rarefied cinematic achievements, along with Schindler's List and GoodFellas, that will show up on those inevitable best of the decade lists in a few years. But it's also more accessible and entertaining than either of those films."
47,A,"The stories weave, overlap and finally reveal the surprising fact that there is humanity to be found in even the most evil criminal."
48,4/4,"With Pulp Fiction, Tarantino shows himself to be something more than a genre savant. If this movie doesn't exactly reinvent the form, it reassembles it into something darkly brilliant and brutally beautiful."
49,3.5/4,"This is one wickedly exuberant entertainment a celebration of cinematic seediness at its most vivid, violent and amoral."
50,4/4,"I have seen cinematic perfection, and its name is Pulp Fiction."
