id,tomato_score,review_text
1,positive,The Fellowship of the Ring is extraordinary but the weakest in the JRR Tolkien trilogy.
2,positive,"Peter Jackson's movie is a piece of wonderment beyond anything crafted for the cinema in a long time. On all fronts it is the movie of the year, and, really, people who don't like this movie in some fundamental way just don't like the movies."
3,positive,"Jackson's film rarely moves us beyond enthusiastic technical admiration and into emotional or spiritual surrender. When the sagging anti-climax arrives, a feeling lingers that parts two and three could be canceled and wouldn't be missed."
4,positive,"A near-paragon of how fantasy books should be plucked from the page and draped across the screen. Jackson and a fully engaged cast conjure a robustly imagined universe of enveloping enchantment that looks, sounds and moves just right."
5,positive,Jackson has recreated and elaborated on the book in a way that goes beyond what I ever could have dreamed.
6,positive,"Even at three hours long, the first instalment of Peter Jackson's trilogy is going to demand considerably less of your life than the original... And, as a sequence of images, The Fellowship of the Ring is undeniably dazzling."
7,positive,"The adventure is grand, the company is a tonic and the vistas and sights from beginning to end are glorious. A rather wonderful movie, as people will find out in massive droves very soon."
8,positive,"Put simply, The Fellowship of the Ring is the rare movie that matches the power of our literary imaginations. As fairy tale, action adventure, vision quest, parable and act of pure mythological recreation, it towers over anything since [Star Wars]."
9,positive,"This time, they got it right. Right enough, anyway. After a lengthy and ponderous prologue giving us a crash-course in Middle-earth history, Fellowship of the Ring slides into pure movie magic."
10,positive,"It enjoys the advances of a technical age; it revels in an era of storytellers. Best of all, it doesn't seem like a three-hour production. In screen terms, 90 minutes can often be an eternity. Here, 180 somehow don't seem like enough."
11,positive,"Like the Star Wars trilogy, the ultimate decision on whether The Lord of the Rings is worthy of any kind of praise is going to rest on the next two movies... That said, with The Fellowship of the Ring, Jackson is off to a superb start."
12,positive,"While the classic, not-terribly-nuanced story of good vs. evil is certainly involving, I'd stop short of calling it engrossing. But this hotly anticipated first installment of The Lord of the Rings trilogy is in many respects a staggering achievement."
13,positive,"As a fan of the books myself, I'm happy to report that the movie mostly lives up to the hype. Director Peter Jackson, his production designers and computer artists have a created a visually spectacular rendering of Middle-earth."
14,positive,"[Peter Jackson] has pulled it off. While the movie honours the text, you don't feel that it has been enslaved by it. The Fellowship of the Ring has the pace and dramatic balance and visual flair of a movie."
15,negative,"Unfortunately, so many of these plot standards have been looted over the years that everything feels tired and familiar. There are unforgivably dull patches, and, McKellen's Gandalf aside, the characterisation is decidedly thin."
16,positive,"For all its strengths, though, the film's biggest problem is much the same posed by the first novel itself: The road-trip plot is a little too straightforward to fill three hours."
17,positive,Love proves an illusory goal in an epic that doesn't conjure much magic that wasn't already there in J.R.R. Tolkien's original text.
18,positive,"Much will be made of McKellen's performance, as it should be, considering his near perfect portrayal of the powerful spellcaster. Fresh off an excellent turn as Magneto in X-Men, he simply melts into the part."
19,positive,Above all... this faithful tribute to Tolkien unfolds as a celebration of the natural beauties of the director's native New Zealand.
20,negative,"Almost none of Jackson's low-budget quirkiness shows up in The Fellowship of the Ring, which he approaches with the kind of head-bowed reverence most people don't even bestow upon Hamlet anymore."
21,positive,What makes the film special is that Jackson and his team have finally given Tolkien's imagination the kind of film it deserves.
22,positive,It doesn't happen very often that filmmakers actually deliver on a popular book and Tolkien's books are classics now but Fellowship of the Ring does just that.
23,positive,Lord of the Rings will be lord of the box office -- deservedly so -- for some time.
24,positive,"The movie is never dull, and while it doesn't have a big ending in the sense of bringing the story itself to a close, it has one that reaches just the right emotional high point and wisely leaves it there."
25,positive,"It isn't just that The Lord of the Rings: The Fellowship of the Ring is a quality adaptation of the J.R.R. Tolkien fantasy novel. Heck, it's the year's best adventure film of any kind."
26,positive,The film's amazing imagery and ensemble cast supplement and enhance what has been distilled into a headlong adventure that fairly flies by... How [Peter Jackson] extracted this film from Tolkien's tedious prose is the real magic.
27,positive,The Fellowship of the Ring is a grandly imaginative epic that captures both the stirring adventure and the little-boy fussiness of this gargantuan project.
28,positive,"By showing us a new universe as detailed and imaginative as Tolkien's massive literary creation, Jackson proves that his previous films were mere warm-up for an epic."
29,positive,"It's hard to imagine this epic story done any better. If the other two films in the series are as rich as this, they could endure as long as the books."
30,positive,"When a movie has been made with as much passion and affection, it seems almost rude to point out its flaws -- lame attempts at humour, for instance."
31,positive,"The Lord of the Rings: The Fellowship of the Ring succeeds because it has good bones, created by Tolkien, that are honored by the filmmakers. It is unapologetic about celebrating mysticism, romanticism, spiritualism and heroism."
32,positive,"Tolkien's story of wars fought within mountains couldn't be more timely, a smashing connection to the present that gives the film an enormous lift as it launches into its second hour."
33,positive,"It turns out that Jackson, the creator of one art film and a host of blood-splattered horror films, is the perfect man for this job. He loves the scary villains, and he loves his heroes."
34,negative,"Bloated and overlong, with production designed to the hilt... [and] often just plain boring -- the film is nothing more than the schlocky Hollywood popcorn movie of the month, Planet of the Apes or The Mummy Returns with prestigious literary credentials."
35,positive,"I'll leave it to others to report on how faithfully Jackson has stuck to Tolkien's novel; frankly, my dears, I don't give a damn. What I do know is that he has made a grand movie-movie."
36,positive,"This story is the second most-read Western tale of spiritual enlightenment after Homer’s ""The Odyssey."" This is the hidden reason people keep returning to the well of orcs, elves, dwarves, hobbits, and black riders. It’s very, very deep. And prescient."
37,positive,The Lord Of The Rings: The Fellowship Of The Ring’ is an epic movie of every scale but it is a film that Peter Jackson should be extremely proud of it as it was a fantastic way to kick off this series of films.
38,positive,A generation-defining achievement from Peter Jackson
39,positive,"Jackson solidly answers the call with a movie that’s an appealing amalgamation of dreamlike splendor, blood-splattering violence and old-fashioned heroics."
40,positive,"An extraordinary adventure that combines incredible real locations with great-looking models, visual effects, excellent performances and memorable characterizations, managing to immerse the viewer in Middle Earth. Full review in Spanish."
41,positive,"There's still an organic, made-in-Jackson's-backyard feel to some of the battle and character scenes."
42,positive,I'm sure you can smell the nerdy fan-girl coming from this review but it is a film I genuinely love and was thrilled to rewatch for this challenge.
43,positive,Excellent well-made adventure film especially when compared with mediocre output of current superhero movies. Grand old fashioned entertainment.
44,positive,"Well balanced and stimulating, the film alternates between intense action, light comedy, and sincere drama (a few moments are even reserved for romance)."
45,positive,"Peter Jackson's epic adaptation is an impressive beast of a film that will steal your heart every time. It grabs you with its sense of urgency, huge scope and hope. The beginning to one of the best movie trilogies of all time. [Full review in Spanish]"
46,positive,Jackson is working from obvious passion; he knows the most special of effects are expected of him but deploys his technology smartly.
47,positive,Ian McKellen... does a wonderful job and he really sort of grounds the film.
48,positive,"God, it's good."
49,positive,"The Fellowship of the Ring is an impressive piece of filmmaking. It is, indeed, intensely faithful to the text, although, unsurprisingly, a great deal of the story is omitted."
50,positive,[Peter] Jackson's ability to maintain the universality of a story is praiseworthy. [Full Review in Spanish]
