id,rating,review_text
1,5,"The day Robert de Niro leaves this planet , no one can replace this actor. His ability to total immerse the character . His ability to play complex characters. His ability to be so intense . His swagger his attention to the little details of a the character. One has to watch the movie then again to study his character. He often plays narcassiss. I read where he and his friend Martin grew up in similar neighbour . They are a team. In Killings of the flowering moon , he has Leonardo as his student. Thank you for all the joy and entertainment you have given this world Robert de Niro. Mary Studdert. Sydney, Australia ."
2,5,"The most honest biography done, great work by Martín in Direction and Robert, Pesci in acting."
3,5,This brilliand tour de force of brutal Jake La Motta's life is cinema verite at its finest capped off bye De Niro's incredible performance and Scorsese's masterful direction. One of his very best.
4,5,A Scorsese masterpiece.
5,5,Rage personified. Hits like a mule.
6,4.5,A masterclass in psychotic human behavior. Robert DeNiro at his best. This is Scorsese's best film
7,4.5,It was a great movie. Especially in black and white.
8,5,this is one of my favorite movies of all time
9,5,"From De Niro’s performance to the film’s impactful editing, Raging Bull is arguably the greatest sports film ever made."
10,1.5,2 hours of DeNiro getting punched in the face and yelling at his wife. Idk man I don't think I can say this was entertaining. Points for style though.
11,4,"I think I would recommend this movie to certain people. If you're a fan of Scorsese I'm surprised you haven't already seen this one but if you still haven't, I would recommend. This is not everyone's cup of tea. It's a hard watch at times because the main character doesn't have any character development. I know it's based off a true story I'm just saying he never learned. You almost feel bad for the guy at the end. I felt bad that the guy this is based on had to watch this movie. The whole thing is pointing out all his negatives which are a lot. These kind of movies are good to watch once in a while though. A good reminder of how you want to be remembered."
12,4,"I watched this movie because it has been noted as the best performance, ranked number one. Also, the lead character has just won the Cannes, and I just watched a few of his films recently. The boxer is such a moody person and suspects everyone. He treats himself like the world, shouting and beating anyone, even when the tiniest thing does not go as he desires. Maybe he owns his most powerful ability, exactly with his anger to beat the conqueror. He needs to intercept his anger and release all these on the competition. However, he is also charming. After all, he is successfully attractive to the blonde, shining girl and becomes his husband later. I would say the dangerous and unpredictable seduce the girl. Besides, such a bad person, on a moral level. So many girls under 18. And I wonder why a girl under 18 would be treated like that. He also does really bad things to his brother, suspecting his loyalty. I can tell the actor's hard work in the real fight, the weight change for the expression of the character. Maybe I watch all his films where the actors act as the tough guy. Thus, the acting seems almost the same to me."
13,4,"I watched this movie because it has been noted as the best performance, ranked number one. Also, the lead character has just won the Cannes, and I just watched a few of his films recently. The boxer is such a moody person and suspects everyone. He treats himself like the world, shouting and beating anyone, even when the tiniest thing does not go as he desires. Maybe he owns his most powerful ability, exactly with his anger to beat the conqueror. He needs to intercept his anger and release all these on the competition. However, he is also charming. After all, he is successfully attractive to the blonde, shining girl and becomes his husband later. I would say the dangerous and unpredictable seduce the girl. Besides, such a bad person, on a moral level. So many girls under 18. And I wonder why a girl under 18 would be treated like that. He also does really bad things to his brother, suspecting his loyalty. I can tell the actor's hard work in the real fight, the weight change for the expression of the character. Maybe I watch all his films where the actors act as the tough guy. Thus, the acting seems almost the same to me."
14,5,"Based on a true story in 2 hours and 8 minutes!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Rated R for Strong Language and Graphic Boxing Violence Throughout!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! The USA grossed over $87,300.00!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
15,5,4/4 Martin Scorsese's masterpiece. If it were shot in color it does NOT have a lasting impact on cinema 🎥 the black and white makes an astronomical difference.
16,1,"Though it has solid performances and great cinematography, the plot felt muddled, the pacing was slow, and the characters were unlikeable."
17,1,"This might be the most overrated sports movie ever produced. Jake LaMotta wasn't a likeable guy, and neither is Robert DeNiro portraying him. Actually, no one in the film is likable. This downbeat, downtrodden miserable picture is so bad, the neighborhood gangland hood, an out-of-character turn for Nicholas Colasanto, is the only semblance of life in it. Actually, I would've much preferred a film based on Colasanto's character, and his viewpoint of LaMotta rather than trying to elevate a criminal like LaMotta. That would've been far more interesting. It never ceases to amaze me the countless columnists who rate this a great sports film that couldn't tell you anything about Jake LaMotta's career, his jail time, or his trainwreck of a personal life before they saw this picture. LaMotta is one of the guys who nearly finished the sport of professional boxing, before Muhammad Ali (Cassius Clay) single-handedly rescued it in 1963. Couldn't Martin Scorsese finish a film just once in under two hours? If you can sit through this entire picture, you're tougher than LaMatta was, and he was a world champion boxer."
18,5,"Masterpiece, just might be Scorsese's finest. Brutal, violent and obviously very authentic portrayal of character by whole cast. Brilliantly produced and directed. Timeless classic, can imagine what it must have been like when released, shocker. Must see, for sure"
19,4.5,"Martin Scoressce's masterpiece and cinematographic brutal . This movie is really well done the part I don't like is the time where Jack get retired and the pace becomes slow . This is movie ranks the place where Martin Scoressce's masterpiece are like Taxi driver , Good fellas , Irishman , Casino and The departed . Robert de Niro is great at acting have even 9 Oscar nominations and won 2 including this movie . It is a 8.5 /10 , it is also rated 8.1/10 on IMDB and 90/100 on Metascore . Martin Scoressce is the greatest director in modern era surpassing Spielberg and Tarantino . A really good movie ."
20,4,"Dirigido por Martin Scorsese — mesmo diretor de alguns dos meus filmes preferidos, como ""Taxi Driver"" (1976), ""Os Bons Companheiros"" (1990) e ""O Lobo de Wall Street"" (2013) — essa é uma cinebiografia que me cativou, principalmente, pelo estilo visual cru e realista, o que nos passa a impressão de realmente estarmos não apenas assistindo a vida de uma mente conturbada e problemática, mas até invadindo sua intimidade e privacidade. Além disso, marcado por uma espetacular atuação de Rober De Niro, que some, literalmente, no papel do lendário boxeador ítalo-americano Jake LaMotta, o filme é um profundo e instigante estudo de personagem sobre um homem cujas mente e alma conhecem nada al…"
21,4,"Simply because it is hard to watch how many flaws LaMotta has and how he treats all the people closest to him, is what makes this movie so great."
22,5,"Raging Bull is honestly the best sports drama I’ve ever watched. People keep saying it’s a serious drama about self-destruction and toxic masculinity, but have they actually seen Robert De Niro in this film? He’s like a living, breathing, punching bag of emotions. who wouldn’t crack up when Jake LaMotta is yelling at a steak for being “too juicy”?"
23,5,"This picture is not always pleasant to watch, but damn it is a masterpiece!"
24,2.5,This movie was severely overrated. It was okay at best.
25,3.5,"Cinematography and acting definitely creates a certain mood. Can't argue with the authentic feel of the movie. Sometimes I wish the sound guy got the mic a bit closer to Dinero. Although it was an admirable piece of art, I didn't really find it intellectually stimulating."
26,1.5,"Had to see it via TCM as it's been raved about since its release. I didn't find it All That and a Bag of Chips. It's bunch of unrelated clips in between some fight scenes, plus the 3rd act with a washed-up fighter. Our protagonist is a first class A-hole but watching it I wondered if that was the character or DiNiro projecting. Joe Pesci is Joe Pesci - maybe he just copied this same character for the rest of his career. I actually ""watched"" this in less than its running time as I edited several of the scenes that dragged. The only mystery of the filmmaking process is how they got Bobby D fat and flabby in the 3rd act. Did they shoot all that first and then whip him into shape or use a fat suit and makeup? Bottom line: I just wasn't impressed with the choppy, documentary style including the inserted color ""home movies."" The violence of some of the fight scenes was technically well done but the arc of LaMotta's career wasn't laid out well."
