id,tomato_score,review_text
1,positive,"Brilliantly told through exceptional performances and dynamic storytelling, this heart-wrenching thriller is a triumph of nuanced tension centred on rediscovering one's humanity in a place where it seems forgotten."
2,positive,"'The Lives of Others' is dark, but burning beneath the scathing political exposé of the GDR’s despotic paranoia and the personal tragedy of the drama is a bracing story of idealism, disillusionment, and defiance."
3,positive,It is an exceptional piece of intrigue in the deepest shades of gray in which the culture of fear of being spied on was deeply heightened.
4,positive,"In an on itself the film is about freedom, love, compassion, solitude, and everything that gets downtrodden in an oppression regime. An incredible paradox around obsession disguised as a film. [Full review in Spanish]"
5,negative,"One must point out there is a right-wing and a left-wing critique of Stalinism and the GDR, the opposite of genuine socialism."
6,positive,"The actors are marvelous, with special mention of Ulrich Muhe who plays Wiesler. He gives a chilling portrayal of a man reluctantly driven to something approaching heroism."
7,positive,"Examines the effects of watching and being watched, both willingly and unwillingly, and turns them into a fascinating work of pure cinematic poetry."
8,positive,"As [Captain Gerd] Weisler discovers his real self, layer by layer, we are in the presence of a masterful performance."
9,positive,"Donnersmarck makes an assured debut, builds the atmosphere of deceit, suspicion and suffocation and also undercuts it with some jokey moments."
10,positive,"The Lives of Others is exquisitely tense, with massive stakes and a pervasive sense of danger."
11,positive,"It uses the syntax and conventions of Hollywood to convey to the widest possible audience some part of the truth about life under the Stasi, and the larger truths that experience revealed about human nature."
12,negative,Cinematic smugness has a fatal impact on the delineation of Wiesler's quietly heroic political calisthenics and The Lives of Others' supposedly uplifting denouement.
13,negative,"The worst crime that this film has to offer is pure old simple dumbness, paper-thin characters, and a plot that leans heavily on artiness to give it the look of a more serious thinking story."
14,positive,Reopens our eyes to the cruelties and soul assassinations that were carried out daily in the name of state socialism.
15,positive,
16,positive,
17,positive,The scope is especially impressive given that the movie is about a society obsessively focused on the tiniest of details.
18,positive,
19,positive,"Activism proves tough on people who've thrived at their political patrons' blessings, and one character cruelly chooses a path of least resistance when the chips are down. A cataclysmic conclusion depicts political clamps on expression and emotion."
20,positive,"If the filmmaker commits a crime, it's in pushing the [Stasi] character's rehabilitation slightly too far--about as much as the weight of a teardrop."
21,positive,A truly unforgettable movie.
22,negative,"Although Henckel von Donnersmarck has a number of genuinely good ideas ... the film is marred by redundancy, indecision and clumsiness."
23,positive,Not since Francis Ford Coppola's masterful The Conversation has there been a thriller quite like this.
24,positive,The best foreign language film of the year is also one of the year's best overall.
25,positive,A multi-layered and surprisingly touching dramatic thriller.
26,positive,"The Lives of Others is a powerful but quiet film, constructed of hidden thoughts and secret desires."
27,positive,"The Lives of Others illustrates, with only a dash of sentimentality, the truth that integrity leads to vulnerability and sacrifice."
28,negative,"The Lives Of Others' obedient, obsessed spy in an exceedingly odd sense may have much more of a handle on the lives of others than, say, the filmmaker, who himself was around six years old at that time period of the former GDR."
29,positive,The best foreign film Oscar-winner is a tautly plotted political thriller of moral heft and fierce intelligence. A masterpiece.
30,negative,The Lives of Others aims to flatter its audience - a quality typical for a film whose emotional posturing is only skin deep.
31,positive,Actually one of the most optimistic stories I've watched in a long while.
32,positive,A beautifully mounted movie that's difficult to shake.
33,positive,"a mesmerizing, heartbreaking thriller"
34,positive,How surprising that a new German film would teach Americans about human faith at a time when acclaimed movies like Borat lack faith.
35,positive,"Una notable mirada a la vida bajo un régimen opresivo, en este caso la RDA de 1984. Sorprendente debut del director Florian Henckel von Donnersmarck, con excelente elenco y calidad narrativa."
36,positive,"Von Donnersmarck moves certain sequences too slowly, but matches his tightest suspense with human intrigue."
37,positive,"You know within minutes of watching The Lives of Others ... that you are in confident, authoritative hands."
38,positive,Reels us in and keeps us engaged.
39,positive,"This fierce and gloomy drama, written and directed by first-timer Florian Henckel von Donnersmarck, was a notable winner of this year's best foreign film Oscar."
40,positive,"... a moving, enlightening tale of recent times."
41,positive,"Engaging, gripping and emotionally devastating thriller with a razor-sharp script, taut direction and terrific performances from its three leads. This is one of the best films of the year."
42,positive,... you just cannot help but watch...
43,positive,"... when a filmmaker confronts you and makes you truly understand the lives of his characters, that insight takes your breath away."
44,positive,A harsh history lesson that looks back at the drab East Berlin of 1984.
45,positive,"... von Donnersmarck creates a milieu so realistic that the attention-worthy setting becomes just a backdrop, while an intricate tale, as suspenseful as it is humanistic, takes over."
46,positive,"Twisting perspectives on lives, actions and consequences, this magnificent film satisfies on every level"
47,positive,"...resolved through a couple of endings, one brutal and tragic enough for the old Greeks, the other graceful and uplifting ..."
48,positive,"Good drama it is, and it's drama that raises a lot of questions, but I found it less tense than many."
49,positive,Subtle and delightful - please see review.
50,positive,Writer-director Florian Henckel von Donnersmarck is a master of tone and place.
