id,user_rating,review_text
1,5/10,"As a dramatic comedy, it boasts a chemistry between François Cluzet and Omar Sy, but unfortunately, it relies too often on clichés to build its corny story about friendship, disability and racial prejudice. [Full review in Spanish]"
2,4.5/5,It’s an example of smart and capable filmmaking that can make you laugh as well as tug at your heartstrings.
3,3/5,The French film is superior to the Hollywood remake although the problem of Orientalism is more prominent.
4,,The movie is clearly intended to counteract the racist and anti-immigrant policies increasingly being promoted by the French ruling elite and ultra-right political elements in particular.
5,9/10,"Dark tragedy is frequently overshadowed by robust emotional energy, humor, and the stirring examination of values in completely opposite worlds."
6,,Don't whine about the subtitles. Show some sensibility and give it a shot.
7,A,Sometimes happiness is found in the places we least expect it.
8,,...a well-intentioned but misguided mess of gooey positivity that strikes a grating symphony of false notes.
9,,The Intouchables will touch you in the most unimaginable and unforgettable ways.
10,4/5,"The culture clash shtick is nothing new, but seldom has it been this funny, and Philippe and Driss' opposing perspectives on music, opera and art produce many a laugh-out-loud moment."
11,,"The bromance movie is somewhat old hat now... The Intouchables brings a new, refreshing level to the genre - it only took a real-life, improbable friendship to inspire the making of the film."
12,,Don't miss this exhilarating film...
13,8/10,"Without getting into spoilers, can I just say how refreshing it was to watch a film about a physically challenged person that didn't end on a total downer?"
14,,Gives its subject too light a treatment for the life-affirming message to feel earned.
15,3/5,"This pleasant, predictable, fact-based tale of an unlikely friendship between a quadriplegic and his carer hits all the sweet spots a feel-good movie must."
16,5/5,"In the wrong hands this film could have been a sentimental mess. Luckily it's not and instead of being a film about labels, it's about people and the healing power of camaraderie."
17,3/5,"I think a lot of people are going to enjoy it but I think it also tries too hard to please that audience and it just shrieks, aiming at that middle bar."
18,3/5,"The problem is that if, while you're having a good time with these characters, you start to think about the wider implications of the film, you might find yourself somewhat less enthralled."
19,3/5,Is The Intouchables an enjoyable movie if you overlook a few potentially queasy-making scenes? Absolutely. Is it great filmmaking in the neighbourhood of art? Nope.
20,9/10,"Oscar-nominated, lauded at festivals overseas and now, one of the most successful French pictures of all time, The Intouchables is simply irresistible."
21,A-,The two heartfelt central performances from François Cluzet and Omar Sy will inject you with happiness
22,4.5,"Capturing the unspoken shorthand, the adventurousness and the humour essential to enduring friendships makes the The Intouchables must see."
23,,"Buddy movies don't come more moving, funnier and more successful than The Intouchables, based on a true story"
24,,There are countless magical moments worth recounting - many with humour and involving the clash of the classes - it is not surprising that the film has been a runaway hit in France and elsewhere in Europe
25,3/5,The cliches are so skillfully navigated only the heartless will fail to be charmed.
26,,"It's a situation ripe for culture-clash comedy, a set-up that co-directors Eric Toledano and Olivier Nakache exploit with gusto, as Driss takes stock of his opulent new surroundings and Philippe rediscovers his appetite for life."
27,3.5/5,"Based on the true story of an unlikely odd couple who give each other a new lease on life, this French comedy-drama is almost irresistibly engaging"
28,4/5,"It's not subtle. It's not innovative. But it guarantees good humour, pranks, japes and welling-up for two hours."
29,4/5,Sweet French drama about unlikely friendship has some edge.
30,4/5,"The film's dominance of the global box office is entirely justified and hopefully it will break through that foreign language glass ceiling in the same way as the likes of Amelie and Crouching Tiger, Hidden Dragon."
31,,"It's as slick as an oil spill, as sugary as an eclair, and many moviegoers will find it irresistible."
32,2/5,There is something so fatuous about the whole farrago that one will never again believe the old saw that the French are more cultured than the Brits and couldn't possibly be taken for this sort of gooey ride.
33,4/5,Veteran French star Francois Cluzet and award-winning comedian Omar Sy are both excellent and the chemistry between them really crackles.
34,2/5,The film relies heavily on cliche and cheesiness.
35,4/5,"For once, the hype is justified."
36,3/5,Enjoy it before the English language version comes out.
37,1/5,Everything conforms to classist and racist clich.
38,,"Ultimately, it's an unashamed feelgood movie devoid of any real dramatic shocks, preferring to coast along in a pleasing - if unchallenging - formulaic arc."
39,3/5,"This is not a film that will change the whole world, but one that just might charm it."
40,3/5,It delivers broad laughs and tugs at the heartstrings without delving too deep - the very definition of a crowd-pleaser.
41,2/5,"It's undemanding, heart-warming fodder with mass appeal. Sadly, it's also predictable and its big emotional beats are often harder to stomach than an overripe brie."
42,3/4,It just goes to show that good writers and actors can work wonders with clichd premises.
43,3/4,"When Hollywood gets around to remaking the hit French film ""The Intouchables,"" it won't be much different."
44,2/5,Did the script really have to perpetuate such crass racial stereotypes?
45,C+,It's watchable because both actors have a good screen presence and bring charm to their roles.
46,A-,"Roaring onto the screen via a Maserati racing through the tunnels of Paris, if first impressions are everything, The Intouchables makes a mockery of the test."
47,9/10,An amazing story based on true characters that is beautifully acted. One of the best movies of the year.
48,6.5/10,"Intouchables is not what you'd call a ""bad film,"" but its attempts to elicit tears from its audience are simply, by now, distractingly familiar."
49,5/5,Untouchably good.
50,2.5/4,"If you loved ""The Bucket List,"" you'll be exclaiming, ""Incroyable!"""
